# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.504284055271181107e+09,0.000000000000000000e+00,2.099745181213843320e-02,-0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.504284055271630049e+09,0.000000000000000000e+00,6.591796875000000000e-03,0.000000000000000000e+00,1.098632812500000027e-04
3.333333333333333287e-02,1.504284055280149937e+09,0.000000000000000000e+00,1.949763382555711605e-02,-3.817254851680025241e-07,4.348174829178657382e-04
5.000000000000000278e-02,1.504284055298160076e+09,0.000000000000000000e+00,1.799781583897579890e-02,-1.300879160145474001e-06,7.347593989147933186e-04
6.666666666666666574e-02,1.504284055313899994e+09,0.000000000000000000e+00,2.099745181213843320e-02,-2.492678168490824970e-06,1.084675384480959012e-03
8.333333333333332871e-02,1.504284055330810070e+09,0.000000000000000000e+00,2.249726979871975036e-02,-3.823260550326531765e-06,1.459566160117115995e-03
1.000000000000000056e-01,1.504284055347095966e+09,0.000000000000000000e+00,2.249726979871975036e-02,-5.328717903556420757e-06,1.834431844797385774e-03
1.166666666666666685e-01,1.504284055364202976e+09,0.000000000000000000e+00,2.249726979871975036e-02,-7.251277399833045257e-06,2.209265486819384471e-03
1.333333333333333315e-01,1.504284055380472898e+09,0.000000000000000000e+00,2.099745181213843320e-02,-1.007052534532055656e-05,2.559055174932602875e-03
1.499999999999999944e-01,1.504284055397650003e+09,0.000000000000000000e+00,1.799781583897579890e-02,-1.452765292379677706e-05,2.858776644700136097e-03
1.666666666666666574e-01,1.504284055413825035e+09,0.000000000000000000e+00,2.249726979871975036e-02,-2.164088504001222748e-05,3.233370459928131772e-03
1.833333333333333204e-01,1.504284055430918932e+09,0.000000000000000000e+00,2.249726979871975036e-02,-3.271052087503867475e-05,3.607779781225543651e-03
2.000000000000000111e-01,1.504284055447061062e+09,0.000000000000000000e+00,1.949763382555711605e-02,-4.931236195258694631e-05,3.931918472285618991e-03
2.166666666666666741e-01,1.504284055464339018e+09,0.000000000000000000e+00,1.799781583897579890e-02,-7.327871900694729536e-05,4.230660757618433070e-03
2.333333333333333370e-01,1.504284055481957912e+09,0.000000000000000000e+00,1.649799785239448521e-02,-1.066666586335454062e-04,4.503849610847781952e-03
2.500000000000000000e-01,1.504284055498872995e+09,0.000000000000000000e+00,2.099745181213843320e-02,-1.517136580324148691e-04,4.851278580082882437e-03
2.666666666666666630e-01,1.504284055515125036e+09,0.000000000000000000e+00,2.249726979871975036e-02,-2.107813626672053490e-04,5.222720054017091287e-03
2.833333333333333259e-01,1.504284055530971050e+09,0.000000000000000000e+00,1.799781583897579890e-02,-2.862886676406794974e-04,5.517912173539343303e-03
2.999999999999999889e-01,1.504284055546504974e+09,0.000000000000000000e+00,1.949763382555711605e-02,-3.806358487452030700e-04,5.836528806486208226e-03
3.166666666666666519e-01,1.504284055564430952e+09,0.000000000000000000e+00,1.799781583897579890e-02,-4.961219333511698729e-04,6.128223704913285212e-03
3.333333333333333148e-01,1.504284055582186937e+09,0.000000000000000000e+00,2.099745181213843320e-02,-6.348579053024532926e-04,6.467600270027218032e-03
3.499999999999999778e-01,1.504284055598987103e+09,0.000000000000000000e+00,2.699672375846369834e-02,-7.986786641540012579e-04,6.904234354932379907e-03
3.666666666666666408e-01,1.504284055615534067e+09,0.000000000000000000e+00,2.249726979871975036e-02,-9.890568920481997237e-04,7.262704570043572276e-03
3.833333333333333037e-01,1.504284055632400990e+09,0.000000000000000000e+00,2.249726979871975036e-02,-1.207022108805681131e-03,7.617542031542140143e-03
4.000000000000000222e-01,1.504284055649159908e+09,0.000000000000000000e+00,2.399708778530106751e-02,-1.453088208332495518e-03,7.993275357824949565e-03
4.166666666666666852e-01,1.504284055665625095e+09,0.000000000000000000e+00,2.549690577188238466e-02,-1.727192661970529180e-03,8.389437242990146690e-03
4.333333333333333481e-01,1.504284055682142019e+09,0.000000000000000000e+00,2.249726979871975036e-02,-2.028650345806020869e-03,8.730580900538709513e-03
4.500000000000000111e-01,1.504284055699038029e+09,0.000000000000000000e+00,2.099745181213843320e-02,-2.356124602335528048e-03,9.041269687368758481e-03
4.666666666666666741e-01,1.504284055715517998e+09,0.000000000000000000e+00,2.249726979871975036e-02,-2.707617689683810766e-03,9.371097222519357214e-03
4.833333333333333370e-01,1.504284055731252909e+09,0.000000000000000000e+00,2.099745181213843320e-02,-3.080482215335874838e-03,9.669713382466065682e-03
5.000000000000000000e-01,1.504284055747601032e+09,0.000000000000000000e+00,2.399708778530106751e-02,-3.471454511515277737e-03,1.001180727036249558e-02
5.166666666666666075e-01,1.504284055764887094e+09,0.000000000000000000e+00,2.399708778530106751e-02,-3.876710204793388636e-03,1.034714689670429046e-02
5.333333333333333259e-01,1.504284055780736923e+09,0.000000000000000000e+00,2.249726979871975036e-02,-4.291941485034087185e-03,1.065056903526571778e-02
5.500000000000000444e-01,1.504284055797617912e+09,0.000000000000000000e+00,2.099745181213843320e-02,-4.712454812399590777e-03,1.092198565192803103e-02
5.666666666666666519e-01,1.504284055814564943e+09,0.000000000000000000e+00,2.399708778530106751e-02,-5.133287041395441161e-03,1.123638233099312489e-02
5.833333333333333703e-01,1.504284055832185984e+09,0.000000000000000000e+00,2.249726979871975036e-02,-5.549337214026433401e-03,1.151884787407134701e-02
5.999999999999999778e-01,1.504284055848289013e+09,0.000000000000000000e+00,2.099745181213843320e-02,-5.955510606094106124e-03,1.176954689417208585e-02
6.166666666666666963e-01,1.504284055866386890e+09,0.000000000000000000e+00,2.399708778530106751e-02,-6.346871026449030055e-03,1.206371717348628594e-02
6.333333333333333037e-01,1.504284055882332087e+09,0.000000000000000000e+00,2.099745181213843320e-02,-6.718796891643532415e-03,1.230169475549453342e-02
6.500000000000000222e-01,1.504284055899749041e+09,0.000000000000000000e+00,2.249726979871975036e-02,-7.067136248177731742e-03,1.255886364800356744e-02
6.666666666666666297e-01,1.504284055915561914e+09,0.000000000000000000e+00,2.249726979871975036e-02,-7.388355708141601010e-03,1.281067888284653615e-02
6.833333333333333481e-01,1.504284055932245016e+09,0.000000000000000000e+00,2.249726979871975036e-02,-7.679678214094950647e-03,1.305763874259028255e-02
6.999999999999999556e-01,1.504284055948806047e+09,0.000000000000000000e+00,2.099745181213843320e-02,-7.939204663339093776e-03,1.327527619507027148e-02
7.166666666666666741e-01,1.504284055966000080e+09,0.000000000000000000e+00,2.099745181213843320e-02,-8.166014703034185640e-03,1.348913348022200837e-02
7.333333333333332815e-01,1.504284055982266903e+09,0.000000000000000000e+00,2.249726979871975036e-02,-8.360242453246961164e-03,1.372475060264655503e-02
7.500000000000000000e-01,1.504284055998141050e+09,0.000000000000000000e+00,1.799781583897579890e-02,-8.523123516861340690e-03,1.388266214134846292e-02
7.666666666666666075e-01,1.504284056013871908e+09,0.000000000000000000e+00,2.399708778530106751e-02,-8.657010379878772241e-03,1.413833009810550045e-02
7.833333333333333259e-01,1.504284056031233072e+09,0.000000000000000000e+00,2.549690577188238466e-02,-8.765354174416400967e-03,1.441718929139659995e-02
8.000000000000000444e-01,1.504284056047568083e+09,0.000000000000000000e+00,2.099745181213843320e-02,-8.852651746473177985e-03,1.461960262582435478e-02
8.166666666666666519e-01,1.504284056064481974e+09,0.000000000000000000e+00,2.099745181213843320e-02,-8.924358014029961511e-03,1.482082085579282914e-02
8.333333333333333703e-01,1.504284056081274033e+09,0.000000000000000000e+00,2.099745181213843320e-02,-8.986764687736407270e-03,1.502099897453286308e-02
8.499999999999999778e-01,1.504284056097914934e+09,0.000000000000000000e+00,2.099745181213843320e-02,-9.046847523355560500e-03,1.522017571267924446e-02
8.666666666666666963e-01,1.504284056114737034e+09,0.000000000000000000e+00,2.099745181213843320e-02,-9.112085347884069444e-03,1.541826515375015021e-02
8.833333333333333037e-01,1.504284056131308079e+09,0.000000000000000000e+00,2.399708778530106751e-02,-9.190255115045500509e-03,1.566504569825440812e-02
9.000000000000000222e-01,1.504284056147914886e+09,0.000000000000000000e+00,2.099745181213843320e-02,-9.289208166566215868e-03,1.586018309234727905e-02
9.166666666666666297e-01,1.504284056164828062e+09,0.000000000000000000e+00,1.799781583897579890e-02,-9.416633670982579168e-03,1.600320279514716448e-02
9.333333333333333481e-01,1.504284056181252956e+09,0.000000000000000000e+00,2.249726979871975036e-02,-9.579815852254520633e-03,1.621849369425491794e-02
9.499999999999999556e-01,1.504284056198621035e+09,0.000000000000000000e+00,1.799781583897579890e-02,-9.785392080610881213e-03,1.635536742356100137e-02
9.666666666666666741e-01,1.504284056214584112e+09,0.000000000000000000e+00,1.649799785239448521e-02,-1.003911915705835503e-02,1.646301540181660528e-02
9.833333333333332815e-01,1.504284056230812073e+09,0.000000000000000000e+00,2.099745181213843320e-02,-1.034565516566465261e-02,1.664054534592450049e-02
1.000000000000000000e+00,1.504284056247301102e+09,0.000000000000000000e+00,2.249726979871975036e-02,-1.070836408512446970e-02,1.683702710781775566e-02
1.016666666666666607e+00,1.504284056263581991e+09,0.000000000000000000e+00,2.249726979871975036e-02,-1.112914994096944783e-02,1.702649577211359441e-02
1.033333333333333215e+00,1.504284056280168056e+09,0.000000000000000000e+00,2.099745181213843320e-02,-1.160832664678553179e-02,1.718298119153614106e-02
1.050000000000000044e+00,1.504284056299472094e+09,0.000000000000000000e+00,2.399708778530106751e-02,-1.214452883867431221e-02,1.738052384064658548e-02
1.066666666666666652e+00,1.504284056315094948e+09,0.000000000000000000e+00,2.249726979871975036e-02,-1.273466797052113901e-02,1.754323387111656266e-02
1.083333333333333259e+00,1.504284056331619978e+09,0.000000000000000000e+00,1.499817986581316806e-02,-1.337393673350005877e-02,1.757030458998844885e-02
1.100000000000000089e+00,1.504284056348045111e+09,0.000000000000000000e+00,1.949763382555711605e-02,-1.405586352265752147e-02,1.766100076170344299e-02
1.116666666666666696e+00,1.504284056364229918e+09,0.000000000000000000e+00,1.949763382555711605e-02,-1.477241723251983274e-02,1.773975437158739621e-02
1.133333333333333304e+00,1.504284056380496979e+09,0.000000000000000000e+00,1.949763382555711605e-02,-1.551416116280677701e-02,1.780614558263323571e-02
1.149999999999999911e+00,1.504284056397927999e+09,0.000000000000000000e+00,1.799781583897579890e-02,-1.627045329792277742e-02,1.783493495831745337e-02
1.166666666666666741e+00,1.504284056414566040e+09,0.000000000000000000e+00,2.999635973162633439e-03,-1.702968873521638199e-02,1.760110074561655608e-02
1.183333333333333348e+00,1.504284056431796074e+09,0.000000000000000000e+00,1.499817986581316719e-03,-1.777957862285259663e-02,1.732977140167870148e-02
1.199999999999999956e+00,1.504284056448072910e+09,0.000000000000000000e+00,-5.999271946325266877e-03,-1.850745867350635579e-02,1.692132589134817330e-02
1.216666666666666563e+00,1.504284056464620113e+09,0.000000000000000000e+00,-8.998907919487899448e-03,-1.920061918770702911e-02,1.645133377289492368e-02
1.233333333333333393e+00,1.504284056480257988e+09,0.000000000000000000e+00,-1.049872590606921660e-02,-1.984664758973129009e-02,1.594557754796491547e-02
1.250000000000000000e+00,1.504284056497706890e+09,0.000000000000000000e+00,-1.199854389265053375e-02,-2.043377378379058681e-02,1.540503892002422978e-02
