# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.504284562686614990e+09,0.000000000000000000e+00,-5.999271946325267224e-02,-0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.504284562687148094e+09,2.147917641751685147e-06,-1.538085937500000000e-02,0.000000000000000000e+00,-2.563476562499999566e-04
3.333333333333333287e-02,1.504284562696871042e+09,8.764447890478153669e-06,-4.649435758402081786e-02,-2.036121991559252359e-06,-1.031287551350206248e-03
5.000000000000000278e-02,1.504284562713849068e+09,2.010613480534787772e-05,-5.999271946325267224e-02,-8.870962340705919414e-06,-2.031314058443429126e-03
6.666666666666666574e-02,1.504284562730249882e+09,3.641188470135284743e-05,-5.999271946325267224e-02,-2.149838682797131008e-05,-3.031551022611439581e-03
8.333333333333332871e-02,1.504284562748429060e+09,5.788539582759026761e-05,-5.699308349009003793e-02,-4.077125756175501819e-05,-3.982115268405635872e-03
1.000000000000000056e-01,1.504284562764307976e+09,8.467853633946515466e-05,-5.849290147667134815e-02,-6.738982318432458051e-05,-4.958120123403230231e-03
1.166666666666666685e-01,1.504284562782440901e+09,1.168766158252789247e-04,-5.849290147667134815e-02,-1.018961169972662468e-04,-5.934700083297706624e-03
1.333333333333333315e-01,1.504284562799798965e+09,1.544864480217000185e-04,-6.299235543641529267e-02,-1.446742750637536659e-04,-6.986983911822357632e-03
1.499999999999999944e-01,1.504284562817275047e+09,1.974280167416706932e-04,-6.449217342299662370e-02,-1.959564292923599938e-04,-8.065119409360506364e-03
1.666666666666666574e-01,1.504284562833352089e+09,2.455304358554707901e-04,-5.699308349009003793e-02,-2.558335955227125928e-04,-9.019268027454051609e-03
1.833333333333333204e-01,1.504284562850321054e+09,2.985327411237056528e-04,-5.699308349009003793e-02,-3.242707734298126373e-04,-9.974557265179382140e-03
2.000000000000000111e-01,1.504284562867034912e+09,3.560898716819140670e-04,-5.849290147667134815e-02,-4.011253119695700289e-04,-1.095612437832339803e-02
2.166666666666666741e-01,1.504284562883822918e+09,4.177839979613533336e-04,-6.149253744983398939e-02,-4.861674777229892824e-04,-1.198910279378267996e-02
2.333333333333333370e-01,1.504284562900760889e+09,4.831411375935639038e-04,-6.149253744983398939e-02,-5.791020985136316728e-04,-1.302363011958847412e-02
2.500000000000000000e-01,1.504284562916750908e+09,5.516527788195227855e-04,-5.399344751692739669e-02,-6.795901435750629615e-04,-1.393484741393018200e-02
2.666666666666666630e-01,1.504284562933362007e+09,6.228020099383184969e-04,-5.999271946325267224e-02,-7.872691445820033255e-04,-1.494784722406075975e-02
2.833333333333333259e-01,1.504284562951351881e+09,6.960934413600717045e-04,-5.549326550350872078e-02,-9.017714570123564486e-04,-1.588776450673611007e-02
2.999999999999999889e-01,1.504284562967210054e+09,7.710860117291568538e-04,-5.849290147667134815e-02,-1.022739504360376103e-03,-1.687969185641997188e-02
3.166666666666666519e-01,1.504284562983620882e+09,8.474275988308622738e-04,-5.999271946325267224e-02,-1.149837332414372412e-03,-1.789873446968108864e-02
3.333333333333333148e-01,1.504284563000264883e+09,9.248902164255929856e-04,-5.699308349009003793e-02,-1.282758019077282667e-03,-1.886999849483387767e-02
3.499999999999999778e-01,1.504284563016336918e+09,1.003404475733901766e-03,-5.699308349009003793e-02,-1.421226727474051528e-03,-1.984357033179327823e-02
3.666666666666666408e-01,1.504284563032020092e+09,1.083091929899599381e-03,-5.699308349009003793e-02,-1.564999445648408444e-03,-2.081953838072225088e-02
3.833333333333333037e-01,1.504284563048943996e+09,1.164293904993369579e-03,-6.749180939615925801e-02,-1.713857713572878791e-03,-2.197296616588445203e-02
4.000000000000000222e-01,1.504284563065376997e+09,1.247595454176688660e-03,-5.399344751692739669e-02,-1.867599885772813339e-03,-2.290398362259612325e-02
4.166666666666666852e-01,1.504284563083600044e+09,1.333843153197764074e-03,-5.399344751692739669e-02,-2.026029704078251802e-03,-2.383764157627955155e-02
4.333333333333333481e-01,1.504284563098942041e+09,1.424155584535151267e-03,-5.849290147667134815e-02,-2.188943148996645802e-03,-2.484900565337401848e-02
4.500000000000000111e-01,1.504284563115473986e+09,1.519925531754505541e-03,-5.549326550350872078e-02,-2.356114690170706041e-03,-2.581316198993534317e-02
4.666666666666666741e-01,1.504284563132102013e+09,1.622813120971943043e-03,-5.549326550350872078e-02,-2.527284158082283242e-03,-2.678017115096185952e-02
4.833333333333333370e-01,1.504284563149604082e+09,1.734729397244964529e-03,-5.849290147667134815e-02,-2.702145504188221969e-03,-2.780008860064285200e-02
5.000000000000000000e-01,1.504284563165869951e+09,1.857810103447041401e-03,-5.549326550350872078e-02,-2.880338700798625376e-03,-2.877298200404797279e-02
5.166666666666666075e-01,1.504284563182965040e+09,1.994379729801744761e-03,-5.249362953034608648e-02,-3.061445953394117871e-03,-2.969889992877697629e-02
5.333333333333333259e-01,1.504284563199059963e+09,2.146906214923141425e-03,-5.399344751692739669e-02,-3.244993257417012455e-03,-3.065287394168271506e-02
5.500000000000000444e-01,1.504284563214669943e+09,2.317946994440602763e-03,-5.699308349009003793e-02,-3.430458132126551398e-03,-3.165993296871965484e-02
5.666666666666666519e-01,1.504284563231436014e+09,2.510087401210238465e-03,-5.399344751692739669e-02,-3.617284111669306738e-03,-3.262011182919626745e-02
5.833333333333333703e-01,1.504284563247970104e+09,2.725872711783801448e-03,-5.549326550350872078e-02,-3.804902276250889549e-03,-3.360841462552559278e-02
5.999999999999999778e-01,1.504284563263653040e+09,2.967735397496824943e-03,-5.399344751692739669e-02,-3.992759774512622678e-03,-3.457485141371625936e-02
6.166666666666666963e-01,1.504284563281200886e+09,3.237919366061613874e-03,-4.799417557060213502e-02,-4.180354934043660833e-03,-3.544442692212702167e-02
