# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.504284617247490883e+09,-0.000000000000000000e+00,-7.199126335590319559e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.504284617248071909e+09,-2.147917641751685147e-06,-1.721191406250000000e-02,0.000000000000000000e+00,-2.868652343749999566e-04
3.333333333333333287e-02,1.504284617256614923e+09,-8.764447890478153669e-06,-7.349108134248452662e-02,2.036121991559252359e-06,-1.511682654716549508e-03
5.000000000000000278e-02,1.504284617273845911e+09,-2.010613480534787772e-05,-7.199126335590319559e-02,8.870962340705919414e-06,-2.711389194609257775e-03
6.666666666666666574e-02,1.504284617289654016e+09,-3.641188470135284743e-05,-7.049144536932187843e-02,2.149838682797131008e-05,-3.885888310984156498e-03
8.333333333333332871e-02,1.504284617307162046e+09,-5.788539582759026761e-05,-7.949035328880978135e-02,4.077125756175501819e-05,-5.210048011504956819e-03
1.000000000000000056e-01,1.504284617322921991e+09,-8.467853633946515466e-05,-6.749180939615925801e-02,6.738982318432458051e-05,-6.333788337721205954e-03
1.166666666666666685e-01,1.504284617339885950e+09,-1.168766158252789247e-04,-6.899162738274057516e-02,1.018961169972662468e-04,-7.481950525483594371e-03
1.333333333333333315e-01,1.504284617356568098e+09,-1.544864480217000185e-04,-7.049144536932187843e-02,1.446742750637536659e-04,-8.654396710387896041e-03
1.499999999999999944e-01,1.504284617373603106e+09,-1.974280167416706932e-04,-6.599199140957794085e-02,1.959564292923599938e-04,-9.750997293392654752e-03
1.666666666666666574e-01,1.504284617389683962e+09,-2.455304358554707901e-04,-6.449217342299662370e-02,2.558335955227125928e-04,-1.082160295718388732e-02
1.833333333333333204e-01,1.504284617405766964e+09,-2.985327411237056528e-04,-6.599199140957794085e-02,3.242707734298126373e-04,-1.191606496778635504e-02
2.000000000000000111e-01,1.504284617422435045e+09,-3.560898716819140670e-04,-6.599199140957794085e-02,4.011253119695700289e-04,-1.300924606941316133e-02
