# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.504284920227082014e+09,0.000000000000000000e+00,-5.999271946325267224e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.504284920227586031e+09,3.817254851680025241e-07,-1.684570312500000000e-02,0.000000000000000000e+00,-2.807617187499999783e-04
3.333333333333333287e-02,1.504284920237154961e+09,1.300879160145474001e-06,-5.849290147667134815e-02,0.000000000000000000e+00,-1.255643410027855716e-03
5.000000000000000278e-02,1.504284920254340887e+09,2.492678168490824970e-06,-6.149253744983398939e-02,0.000000000000000000e+00,-2.280519034191755279e-03
6.666666666666666574e-02,1.504284920271320105e+09,3.823260550326531765e-06,-6.149253744983398939e-02,0.000000000000000000e+00,-3.305394658355655275e-03
8.333333333333332871e-02,1.504284920288815022e+09,5.328717903556420757e-06,-5.849290147667134815e-02,0.000000000000000000e+00,-4.280276349633510904e-03
1.000000000000000056e-01,1.504284920305422068e+09,7.251277399833045257e-06,-5.249362953034608648e-02,0.000000000000000000e+00,-5.155170175139278665e-03
1.166666666666666685e-01,1.504284920323302984e+09,1.007052534532055656e-05,-5.249362953034608648e-02,0.000000000000000000e+00,-6.030064000645046426e-03
1.333333333333333315e-01,1.504284920339283943e+09,1.452765292379677706e-05,-4.499453959743950071e-02,0.000000000000000000e+00,-6.779972993935705003e-03
1.499999999999999944e-01,1.504284920357177019e+09,2.164088504001222748e-05,-4.799417557060213502e-02,0.000000000000000000e+00,-7.579875920112407080e-03
1.666666666666666574e-01,1.504284920373542070e+09,3.271052087503867475e-05,-4.199490362427686641e-02,0.000000000000000000e+00,-8.279790980517022156e-03
1.833333333333333204e-01,1.504284920391202927e+09,4.931236195258694631e-05,-3.449581369137028758e-02,0.000000000000000000e+00,-8.854721208706527180e-03
2.000000000000000111e-01,1.504284920406800985e+09,7.327871900694729536e-05,-3.599563167795159779e-02,0.000000000000000000e+00,-9.454648403339054388e-03
2.166666666666666741e-01,1.504284920422780991e+09,1.066666586335454062e-04,-3.449581369137028758e-02,0.000000000000000000e+00,-1.002957863152855941e-02
2.333333333333333370e-01,1.504284920438973904e+09,1.517136580324148691e-04,-3.599563167795159779e-02,0.000000000000000000e+00,-1.062950582616108662e-02
