# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.504285175231918097e+09,-0.000000000000000000e+00,1.169858029533426963e-01,-0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.504285175232461929e+09,-1.798929827055640890e-06,2.966308593750000000e-02,0.000000000000000000e+00,4.943847656249999783e-04
3.333333333333333287e-02,1.504285175241333961e+09,-7.143096105243524524e-06,1.229850748996679788e-01,-1.413869948528467420e-06,2.544112449453657301e-03
5.000000000000000278e-02,1.504285175259260893e+09,-1.610466661814614789e-05,1.214852569130866478e-01,-5.480904621995249357e-06,4.568775382928068340e-03
6.666666666666666574e-02,1.504285175275115013e+09,-2.895384448307132715e-05,1.214852569130866478e-01,-1.197178372019448439e-05,6.593330135084176161e-03
8.333333333333332871e-02,1.504285175292289972e+09,-4.614755680175652706e-05,1.214852569130866478e-01,-2.069039208931063465e-05,8.617739577100796966e-03
1.000000000000000056e-01,1.504285175308675051e+09,-6.831024298560356336e-05,1.229850748996679788e-01,-3.145911940556328203e-05,1.066696650677183625e-02
1.166666666666666685e-01,1.504285175325743914e+09,-9.620762854014538220e-05,1.214852569130866478e-01,-4.410249646159308714e-05,1.269098574704892110e-02
1.333333333333333315e-01,1.504285175342618942e+09,-1.307146554978873428e-04,1.214852569130866478e-01,-5.843004229691513073e-05,1.471476619489541643e-02
1.499999999999999944e-01,1.504285175358808041e+09,-1.727789801094829173e-04,1.214852569130866478e-01,-7.421922989269736943e-05,1.673828348961531320e-02
1.666666666666666574e-01,1.504285175375562906e+09,-2.233816324214081377e-04,1.169858029533426963e-01,-9.119947392158423295e-05,1.868652688093899727e-02
1.833333333333333204e-01,1.504285175391809940e+09,-2.834965535923031810e-04,1.094867130204361244e-01,-1.090380022054298579e-04,2.050948813124284231e-02
2.000000000000000111e-01,1.504285175408133984e+09,-3.540507801474801052e-04,1.109865310070174416e-01,-1.273283945496202273e-04,2.235714150811730569e-02
2.166666666666666741e-01,1.504285175426078081e+09,-4.358870272687663831e-04,1.124863489935987448e-01,-1.455824612706091144e-04,2.422948761698943965e-02
2.333333333333333370e-01,1.504285175442812920e+09,-5.297303357130522588e-04,1.109865310070174416e-01,-1.632259930194410863e-04,2.607654270055607265e-02
2.500000000000000000e-01,1.504285175459953070e+09,-6.361602917354371124e-04,1.094867130204361244e-01,-1.795987485318640664e-04,2.789832793842114342e-02
2.666666666666666630e-01,1.504285175475641966e+09,-7.555901117132752349e-04,1.124863489935987448e-01,-1.939588637388215840e-04,2.976986777391880945e-02
2.833333333333333259e-01,1.504285175492607117e+09,-8.882536106725638213e-04,1.109865310070174416e-01,-2.054916710143152943e-04,3.161621842951885947e-02
2.999999999999999889e-01,1.504285175508203030e+09,-1.034200756394932025e-03,1.109865310070174416e-01,-2.133227184913829547e-04,3.346243856766095703e-02
3.166666666666666519e-01,1.504285175525283098e+09,-1.193302159824387266e-03,1.139861669801800759e-01,-2.165345838736542565e-04,3.535859910759939911e-02
3.333333333333333148e-01,1.504285175541873932e+09,-1.365262481094094800e-03,1.124863489935987448e-01,-2.141868925491650553e-04,3.722980180928355670e-02
3.499999999999999778e-01,1.504285175558099985e+09,-1.549642352597834774e-03,1.094867130204361244e-01,-2.053387833626603616e-04,3.905115804656811296e-02
