# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.504285343988358021e+09,0.000000000000000000e+00,-1.034874410741108697e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.504285343988918066e+09,1.798929827055640890e-06,-2.673339843750000000e-02,0.000000000000000000e+00,-4.455566406249999349e-04
3.333333333333333287e-02,1.504285343997178078e+09,7.143096105243524524e-06,-1.064870770472734762e-01,1.413869948528467420e-06,-2.220317693580415620e-03
5.000000000000000278e-02,1.504285344013046980e+09,1.610466661814614789e-05,-1.004878051009482215e-01,5.480904621995249357e-06,-3.895023096852519122e-03
6.666666666666666574e-02,1.504285344029370070e+09,2.895384448307132715e-05,-1.004878051009482215e-01,1.197178372019448439e-05,-5.569620318806318970e-03
8.333333333333332871e-02,1.504285344047364950e+09,4.614755680175652706e-05,-9.748816912778557331e-02,2.069039208931063465e-05,-7.194078297734590038e-03
1.000000000000000056e-01,1.504285344064024925e+09,6.831024298560356336e-05,-9.898798711436690434e-02,3.145911940556328203e-05,-8.843353764317279583e-03
1.166666666666666685e-01,1.504285344080976963e+09,9.620762854014538220e-05,-1.199854389265053445e-01,4.410249646159308714e-05,-1.084237603815134052e-02
1.333333333333333315e-01,1.504285344096909046e+09,1.307146554978873428e-04,-1.034874410741108697e-01,5.843004229691513073e-05,-1.256619288868157311e-02
1.499999999999999944e-01,1.504285344113898993e+09,1.727789801094829173e-04,-9.748816912778557331e-02,7.421922989269736943e-05,-1.418975872031312188e-02
1.666666666666666574e-01,1.504285344130651951e+09,2.233816324214081377e-04,-8.848926120829768427e-02,9.119947392158423295e-05,-1.566305974921939140e-02
1.833333333333333204e-01,1.504285344147613049e+09,2.834965535923031810e-04,-8.548962523513506384e-02,1.090380022054298579e-04,-1.708606953643488496e-02
2.000000000000000111e-01,1.504285344164319992e+09,3.540507801474801052e-04,-8.398980724855373281e-02,1.273283945496202273e-04,-1.848377751733495250e-02
2.166666666666666741e-01,1.504285344181222916e+09,4.358870272687663831e-04,-8.099017127539109850e-02,1.455824612706091144e-04,-1.983118733090362754e-02
2.333333333333333370e-01,1.504285344197016954e+09,5.297303357130522588e-04,-7.949035328880978135e-02,1.632259930194410863e-04,-2.115330611916679815e-02
2.500000000000000000e-01,1.504285344213943005e+09,6.361602917354371124e-04,-7.349108134248452662e-02,1.795987485318640664e-04,-2.237516416239934344e-02
2.666666666666666630e-01,1.504285344230659962e+09,7.555901117132752349e-04,-6.899162738274057516e-02,1.939588637388215840e-04,-2.352179197104937308e-02
2.833333333333333259e-01,1.504285344247636080e+09,8.882536106725638213e-04,-7.199126335590319559e-02,2.054916710143152943e-04,-2.471822149913085326e-02
2.999999999999999889e-01,1.504285344263530016e+09,1.034200756394932025e-03,-5.699308349009003793e-02,2.133227184913829547e-04,-2.566455084532416261e-02
3.166666666666666519e-01,1.504285344281100988e+09,1.193302159824387266e-03,-5.399344751692739669e-02,2.165345838736542565e-04,-2.656083272754172428e-02
3.333333333333333148e-01,1.504285344296905041e+09,1.365262481094094800e-03,-5.849290147667134815e-02,2.141868925491650553e-04,-2.753214463727709366e-02
3.499999999999999778e-01,1.504285344313961983e+09,1.549642352597834774e-03,-6.599199140957794085e-02,2.053387833626603616e-04,-2.862858884771401352e-02
3.666666666666666408e-01,1.504285344330693007e+09,1.745888050533747236e-03,-4.949399355718345217e-02,1.890729239062381717e-04,-2.945033752493530013e-02
3.833333333333333037e-01,1.504285344347697973e+09,1.953367798579231079e-03,-4.649435758402081786e-02,1.645200666847985288e-04,-3.022250148355756783e-02
4.000000000000000222e-01,1.504285344363857031e+09,2.171413275559406532e-03,-3.899526765111423210e-02,1.308830630781853213e-04,-3.087024122669150203e-02
4.166666666666666852e-01,1.504285344379755020e+09,2.399364635797831668e-03,-4.199490362427686641e-02,8.745921757750530596e-05,-3.156869863346982441e-02
4.333333333333333481e-01,1.504285344396409988e+09,2.636617147369856289e-03,-2.549690577188238466e-02,3.365987293033690574e-05,-3.199308606511902520e-02
4.500000000000000111e-01,1.504285344414408922e+09,2.882667418804716816e-03,-2.249726979871975036e-02,-3.097383122698587287e-05,-3.236855679228480692e-02
4.666666666666666741e-01,1.504285344431063890e+09,3.137157125635596337e-03,-1.799781583897579890e-02,-1.067599882549475742e-04,-3.267029972273865351e-02
4.833333333333333370e-01,1.504285344448544979e+09,3.399912168671761614e-03,-1.199854389265053375e-02,-1.938705678647713586e-04,-3.287350663041390536e-02
5.000000000000000000e-01,1.504285344466202021e+09,3.670975297224232138e-03,-1.349836187923184917e-02,-2.923323225330992062e-04,-3.310335153377665790e-02
5.166666666666666075e-01,1.504285344483283043e+09,3.950630411085220665e-03,5.999271946325266877e-03,-4.020343976670092464e-04,-3.301006424129902111e-02
5.333333333333333259e-01,1.504285344500195980e+09,4.239417010242936372e-03,1.049872590606921660e-02,-5.227428498253062399e-04,-3.284379785702828958e-02
5.500000000000000444e-01,1.504285344515865088e+09,4.538133583686351606e-03,1.799781583897579890e-02,-6.541220206403078590e-04,-3.255473629338936220e-02
5.666666666666666519e-01,1.504285344531420946e+09,4.847829108185540935e-03,2.399708778530106751e-02,-7.957624452834771798e-04,-3.216804753772239955e-02
5.833333333333333703e-01,1.504285344547962904e+09,5.169782252275831672e-03,3.299599570478897043e-02,-9.472147022102742368e-04,-3.163390118767941961e-02
5.999999999999999778e-01,1.504285344564649105e+09,5.505468335561657794e-03,3.299599570478897043e-02,-1.108028344766271356e-03,-3.110243506501237515e-02
6.166666666666666963e-01,1.504285344582153082e+09,5.856514563162844647e-03,3.749544966453291495e-02,-1.277794804439103069e-03,-3.049880748401081337e-02
6.333333333333333037e-01,1.504285344598795891e+09,6.224644522992122363e-03,4.199490362427686641e-02,-1.456192929342587728e-03,-2.982316230576190913e-02
6.500000000000000222e-01,1.504285344616358995e+09,6.611613382549182995e-03,5.099381154376476932e-02,-1.643035628704314459e-03,-2.900064937384423322e-02
6.666666666666666297e-01,1.504285344633116961e+09,7.019135635237815606e-03,4.649435758402081786e-02,-1.838315942725805060e-03,-2.825638201315598327e-02
6.833333333333333481e-01,1.504285344649507999e+09,7.448807607868692879e-03,5.399344751692739669e-02,-2.042250754190880549e-03,-2.739052873377703992e-02
6.999999999999999556e-01,1.504285344667206049e+09,7.902027236408499383e-03,5.849290147667134815e-02,-2.255320309322456866e-03,-2.645323571432122572e-02
7.166666666666666741e-01,1.504285344684700012e+09,8.379913833522279962e-03,6.149253744983398939e-02,-2.478301724829994664e-03,-2.546966511890449286e-02
7.333333333333332815e-01,1.504285344701400042e+09,8.883230698803886924e-03,6.599199140957794085e-02,-2.712294728359604477e-03,-2.441500350755085313e-02
7.500000000000000000e-01,1.504285344718812943e+09,9.412313453414918735e-03,6.299235543641529267e-02,-2.958738011342416842e-03,-2.341444321713297139e-02
7.666666666666666075e-01,1.504285344735528946e+09,9.967006910941903983e-03,6.449217342299662370e-02,-3.219414765314491337e-03,-2.239323057283826995e-02
7.833333333333333259e-01,1.504285344752443075e+09,1.054661312481581202e-02,6.599199140957794085e-02,-3.496446222001106142e-03,-2.135163815304532212e-02
8.000000000000000444e-01,1.504285344769036055e+09,1.114985298230790171e-02,7.349108134248452662e-02,-3.792272318767395470e-03,-2.018999133598337048e-02
8.166666666666666519e-01,1.504285344786442041e+09,1.177484335212272519e-02,7.799053530222846420e-02,-4.109618957571251237e-03,-1.895864273023908225e-02
8.333333333333333703e-01,1.504285344803009987e+09,1.241909134653617665e-02,7.799053530222846420e-02,-4.451451708786296514e-03,-1.773299133701504784e-02
8.499999999999999778e-01,1.504285344819643974e+09,1.307950674260833362e-02,7.949035328880978135e-02,-4.820916221201173441e-03,-1.648850071922157087e-02
8.666666666666666963e-01,1.504285344836409092e+09,1.375243303576303630e-02,7.799053530222846420e-02,-5.221266024943145220e-03,-1.527567956460014822e-02
8.833333333333333037e-01,1.504285344854120016e+09,1.443369699083479549e-02,7.349108134248452662e-02,-5.655778842898949617e-03,-1.414509118960705428e-02
9.000000000000000222e-01,1.504285344870858908e+09,1.511867593019894374e-02,7.349108134248452662e-02,-6.127662945701860438e-03,-1.302236754966067632e-02
9.166666666666666297e-01,1.504285344888375044e+09,1.580238137665665801e-02,7.799053530222846420e-02,-6.639955482583589745e-03,-1.183319121933326147e-02
9.333333333333333481e-01,1.504285344904262066e+09,1.647955707167715611e-02,8.548962523513506384e-02,-7.195415082552457202e-03,-1.052828771679021821e-02
9.499999999999999556e-01,1.504285344920238972e+09,1.714478883853170696e-02,7.349108134248452662e-02,-7.796411335184473546e-03,-9.433376550001884575e-03
