# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.504285449574939966e+09,0.000000000000000000e+00,-3.149617771820764633e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.504285449575751066e+09,2.147917641751685147e-06,-9.521484375000000000e-03,0.000000000000000000e+00,-1.586914062499999783e-04
3.333333333333333287e-02,1.504285449582007885e+09,8.764447890478153669e-06,-3.149617771820764633e-02,2.036121991559252359e-06,-6.835937661869346703e-04
5.000000000000000278e-02,1.504285449598198891e+09,2.010613480534787772e-05,-2.999635973162633612e-02,8.870962340705919414e-06,-1.183385245675028404e-03
6.666666666666666574e-02,1.504285449614036083e+09,3.641188470135284743e-05,-3.299599570478897043e-02,2.149838682797131008e-05,-1.732960200974378168e-03
8.333333333333332871e-02,1.504285449631194115e+09,5.788539582759026761e-05,-4.199490362427686641e-02,4.077125756175501819e-05,-2.432195740419629965e-03
1.000000000000000056e-01,1.504285449647869110e+09,8.467853633946515466e-05,-2.999635973162633612e-02,6.738982318432458051e-05,-2.931011905560330141e-03
1.166666666666666685e-01,1.504285449664203882e+09,1.168766158252789247e-04,-2.399708778530106751e-02,1.018961169972662468e-04,-3.329265100032059981e-03
1.333333333333333315e-01,1.504285449680253029e+09,1.544864480217000185e-04,-2.999635973162633612e-02,1.446742750637536659e-04,-3.826793190974769627e-03
1.499999999999999944e-01,1.504285449698621035e+09,1.974280167416706932e-04,-2.999635973162633612e-02,1.959564292923599938e-04,-4.323466579347002431e-03
1.666666666666666574e-01,1.504285449714576960e+09,2.455304358554707901e-04,-2.549690577188238466e-02,2.558335955227125928e-04,-4.744151115619663420e-03
1.833333333333333204e-01,1.504285449731427908e+09,2.985327411237056528e-04,-2.849654174504501897e-02,3.242707734298126373e-04,-5.213688965146583490e-03
2.000000000000000111e-01,1.504285449749099970e+09,3.560898716819140670e-04,-3.149617771820764633e-02,4.011253119695700289e-04,-5.731939838583884755e-03
2.166666666666666741e-01,1.504285449766164064e+09,4.177839979613533336e-04,-2.849654174504501897e-02,4.861674777229892824e-04,-6.198779409705918245e-03
2.333333333333333370e-01,1.504285449782850027e+09,4.831411375935639038e-04,-2.699672375846369834e-02,5.791020985136316728e-04,-6.639073104038419049e-03
