# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.504285504844850063e+09,0.000000000000000000e+00,-4.949399355718345217e-02,-0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.504285504845701933e+09,1.798929827055640890e-06,-1.171875000000000000e-02,0.000000000000000000e+00,-1.953124999999999837e-04
3.333333333333333287e-02,1.504285504848512888e+09,7.143096105243524524e-06,-4.799417557060213502e-02,-1.413869948528467420e-06,-9.952389906758445960e-04
5.000000000000000278e-02,1.504285504864902973e+09,1.610466661814614789e-05,-4.949399355718345217e-02,-5.480904621995249357e-06,-1.820230231705935410e-03
6.666666666666666574e-02,1.504285504880556107e+09,2.895384448307132715e-05,-4.949399355718345217e-02,-1.197178372019448439e-05,-2.645329654054329443e-03
8.333333333333332871e-02,1.504285504897337914e+09,4.614755680175652706e-05,-4.949399355718345217e-02,-2.069039208931063465e-05,-3.470574386542208539e-03
1.000000000000000056e-01,1.504285504913861990e+09,6.831024298560356336e-05,-4.499453959743950071e-02,-3.145911940556328203e-05,-4.221007698489626092e-03
1.166666666666666685e-01,1.504285504930196047e+09,9.620762854014538220e-05,-4.949399355718345217e-02,-4.410249646159308714e-05,-5.046642632717043310e-03
1.333333333333333315e-01,1.504285504946909904e+09,1.307146554978873428e-04,-5.249362953034608648e-02,-5.843004229691513073e-05,-5.922510292261093552e-03
1.499999999999999944e-01,1.504285504963931084e+09,1.727789801094829173e-04,-4.799417557060213502e-02,-7.421922989269736943e-05,-6.723650205602674061e-03
1.666666666666666574e-01,1.504285504980712891e+09,2.233816324214081377e-04,-4.049508563769554925e-02,-9.119947392158423295e-05,-7.400088290796293274e-03
1.833333333333333204e-01,1.504285504997946024e+09,2.834965535923031810e-04,-5.099381154376476932e-02,-1.090380022054298579e-04,-8.251802449895796754e-03
2.000000000000000111e-01,1.504285505013911963e+09,3.540507801474801052e-04,-4.499453959743950071e-02,-1.273283945496202273e-04,-9.003833583095616211e-03
2.166666666666666741e-01,1.504285505031318903e+09,4.358870272687663831e-04,-4.949399355718345217e-02,-1.455824612706091144e-04,-9.831159850069850353e-03
2.333333333333333370e-01,1.504285505047884941e+09,5.297303357130522588e-04,-4.499453959743950071e-02,-1.632259930194410863e-04,-1.058378927657750018e-02
2.500000000000000000e-01,1.504285505064248085e+09,6.361602917354371124e-04,-4.799417557060213502e-02,-1.795987485318640664e-04,-1.138668551522973270e-02
2.666666666666666630e-01,1.504285505080969095e+09,7.555901117132752349e-04,-4.799417557060213502e-02,-1.939588637388215840e-04,-1.218982108913541605e-02
2.833333333333333259e-01,1.504285505097500086e+09,8.882536106725638213e-04,-4.799417557060213502e-02,-2.054916710143152943e-04,-1.299314887649568977e-02
2.999999999999999889e-01,1.504285505115153074e+09,1.034200756394932025e-03,-4.649435758402081786e-02,-2.133227184913829547e-04,-1.377161021487089375e-02
3.166666666666666519e-01,1.504285505131056070e+09,1.193302159824387266e-03,-5.099381154376476932e-02,-2.165345838736542565e-04,-1.462511598366486761e-02
3.333333333333333148e-01,1.504285505147397041e+09,1.365262481094094800e-03,-4.799417557060213502e-02,-2.141868925491650553e-04,-1.542858869138405593e-02
3.499999999999999778e-01,1.504285505163300991e+09,1.549642352597834774e-03,-4.649435758402081786e-02,-2.053387833626603616e-04,-1.620691696417378078e-02
3.666666666666666408e-01,1.504285505179747105e+09,1.745888050533747236e-03,-4.499453959743950071e-02,-1.890729239062381717e-04,-1.695997717286287787e-02
3.833333333333333037e-01,1.504285505196451902e+09,1.953367798579231079e-03,-4.799417557060213502e-02,-1.645200666847985288e-04,-1.776262210015099388e-02
4.000000000000000222e-01,1.504285505212722063e+09,2.171413275559406532e-03,-5.099381154376476932e-02,-1.308830630781853213e-04,-1.861470034359837683e-02
4.166666666666666852e-01,1.504285505228811026e+09,2.399364635797831668e-03,-4.649435758402081786e-02,-8.745921757750530596e-05,-1.939106395695834942e-02
4.333333333333333481e-01,1.504285505245512009e+09,2.636617147369856289e-03,-4.799417557060213502e-02,-3.365987293033690574e-05,-2.019152788101722523e-02
4.500000000000000111e-01,1.504285505262711048e+09,2.882667418804716816e-03,-4.349472161085818356e-02,3.097383122698587287e-05,-2.091592367734441266e-02
4.666666666666666741e-01,1.504285505279421091e+09,3.137157125635596337e-03,-5.099381154376476932e-02,1.067599882549475742e-04,-2.176404120326957611e-02
4.833333333333333370e-01,1.504285505297122002e+09,3.399912168671761614e-03,-5.099381154376476932e-02,1.938705678647713586e-04,-2.261070688620124211e-02
5.000000000000000000e-01,1.504285505314019918e+09,3.670975297224232138e-03,-5.099381154376476932e-02,2.923323225330992062e-04,-2.345573153988843654e-02
5.166666666666666075e-01,1.504285505331404924e+09,3.950630411085220665e-03,-4.799417557060213502e-02,4.020343976670092464e-04,-2.424893389277068753e-02
5.333333333333333259e-01,1.504285505348069906e+09,4.239417010242936372e-03,-4.799417557060213502e-02,5.227428498253062399e-04,-2.504012443811696673e-02
5.500000000000000444e-01,1.504285505364152908e+09,4.538133583686351606e-03,-4.649435758402081786e-02,6.541220206403078590e-04,-2.580412836417330866e-02
5.666666666666666519e-01,1.504285505381218910e+09,4.847829108185540935e-03,-4.799417557060213502e-02,7.957624452834771798e-04,-2.659076858292861931e-02
5.833333333333333703e-01,1.504285505398320913e+09,5.169782252275831672e-03,-4.649435758402081786e-02,9.472147022102742368e-04,-2.734988763095879544e-02
5.999999999999999778e-01,1.504285505415005922e+09,5.505468335561657794e-03,-4.799417557060213502e-02,1.108028344766271356e-03,-2.813132341805605827e-02
6.166666666666666963e-01,1.504285505432563066e+09,5.856514563162844647e-03,-4.649435758402081786e-02,1.277794804439103069e-03,-2.888493279771575314e-02
6.333333333333333037e-01,1.504285505448141098e+09,6.224644522992122363e-03,-4.499453959743950071e-02,1.456192929342587728e-03,-2.961057190885070176e-02
6.500000000000000222e-01,1.504285505464788914e+09,6.611613382549182995e-03,-5.099381154376476932e-02,1.643035628704314459e-03,-3.043308484076837767e-02
6.666666666666666297e-01,1.504285505481057882e+09,7.019135635237815606e-03,-4.649435758402081786e-02,1.838315942725805060e-03,-3.117735220145662761e-02
6.833333333333333481e-01,1.504285505498017073e+09,7.448807607868692879e-03,-4.649435758402081786e-02,2.042250754190880549e-03,-3.191822064862046004e-02
6.999999999999999556e-01,1.504285505514693022e+09,7.902027236408499383e-03,-4.949399355718345217e-02,2.255320309322456866e-03,-3.270553186941814461e-02
7.166666666666666741e-01,1.504285505532219887e+09,8.379913833522279962e-03,-4.499453959743950071e-02,2.478301724829994664e-03,-3.341413583396163345e-02
7.333333333333332815e-01,1.504285505548930883e+09,8.883230698803886924e-03,-4.799417557060213502e-02,2.712294728359604477e-03,-3.416883384799900697e-02
7.500000000000000000e-01,1.504285505565829992e+09,9.412313453414918735e-03,-4.499453959743950071e-02,2.958738011342416842e-03,-3.486943054110062251e-02
7.666666666666666075e-01,1.504285505581470013e+09,9.967006910941903983e-03,-3.749544966453291495e-02,3.219414765314491337e-03,-3.544069778942093157e-02
7.833333333333333259e-01,1.504285505598779917e+09,1.054661312481581202e-02,-2.999635973162633612e-02,3.496446222001106142e-03,-3.588236301458135047e-02
8.000000000000000444e-01,1.504285505614451885e+09,1.114985298230790171e-02,-2.249726979871975036e-02,3.792272318767395470e-03,-3.619411297258055826e-02
8.166666666666666519e-01,1.504285505632069111e+09,1.177484335212272519e-02,-2.249726979871975036e-02,4.109618957571251237e-03,-3.650057381993303263e-02
8.333333333333333703e-01,1.504285505647805929e+09,1.241909134653617665e-02,-1.499817986581316806e-02,4.451451708786296514e-03,-3.667635262255014572e-02
8.499999999999999778e-01,1.504285505665227890e+09,1.307950674260833362e-02,1.499817986581316719e-03,4.820916221201173441e-03,-3.657100705242043864e-02
8.666666666666666963e-01,1.504285505680803061e+09,1.375243303576303630e-02,7.499089932906584030e-03,5.221266024943145220e-03,-3.635900111978961069e-02
8.833333333333333037e-01,1.504285505697879076e+09,1.443369699083479549e-02,1.499817986581316806e-02,5.655778842898949617e-03,-3.601476847464440967e-02
9.000000000000000222e-01,1.504285505714646101e+09,1.511867593019894374e-02,2.399708778530106751e-02,6.127662945701860438e-03,-3.551268929579436129e-02
9.166666666666666297e-01,1.504285505732196093e+09,1.580238137665665801e-02,2.699672375846369834e-02,6.639955482583589745e-03,-3.495207797511024062e-02
9.333333333333333481e-01,1.504285505747828960e+09,1.647955707167715611e-02,3.449581369137028758e-02,7.195415082552457202e-03,-3.425722416221152478e-02
9.499999999999999556e-01,1.504285505765379906e+09,1.714478883853170696e-02,4.799417557060213502e-02,7.796411335184473546e-03,-3.332738104711507887e-02
9.666666666666666741e-01,1.504285505781569004e+09,1.779262327498734933e-02,5.399344751692739669e-02,8.444814016429913126e-03,-3.228674335489245539e-02
9.833333333333332815e-01,1.504285505798671007e+09,1.841769186012975207e-02,5.399344751692739669e-02,9.141885112139282871e-03,-3.123448781107467792e-02
1.000000000000000000e+00,1.504285505814755917e+09,1.901483676081737115e-02,5.399344751692739669e-02,9.888176801993499646e-03,-3.016979407242599553e-02
1.016666666666666607e+00,1.504285505832647085e+09,1.957923443858328519e-02,5.849290147667134815e-02,1.068343859258093741e-02,-2.901685507127179167e-02
1.033333333333333215e+00,1.504285505848278999e+09,2.010651309740429937e-02,5.699308349009003793e-02,1.152653672604994108e-02,-2.787486140100279078e-02
1.050000000000000044e+00,1.504285505865474939e+09,2.059286008268162993e-02,5.849290147667134815e-02,1.241538883798810715e-02,-2.669305656242513397e-02
1.066666666666666652e+00,1.504285505881367922e+09,2.103511554387744314e-02,5.999271946325267224e-02,1.334691659534156111e-02,-2.547072929478189779e-02
