# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.504285561406305075e+09,-0.000000000000000000e+00,1.139861669801800759e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.504285561407107115e+09,-1.798929827055640890e-06,2.746582031250000000e-02,0.000000000000000000e+00,4.577636718750000000e-04
3.333333333333333287e-02,1.504285561412300110e+09,-7.143096105243524524e-06,1.094867130204361244e-01,1.413869948528467420e-06,2.282565786714743986e-03
5.000000000000000278e-02,1.504285561428777933e+09,-1.610466661814614789e-05,1.199854389265053445e-01,5.480904621995249357e-06,4.282414450566866815e-03
6.666666666666666574e-02,1.504285561445460081e+09,-2.895384448307132715e-05,1.139861669801800759e-01,1.197178372019448439e-05,6.182383429965204562e-03
8.333333333333332871e-02,1.504285561462905884e+09,-4.614755680175652706e-05,1.169858029533426963e-01,2.069039208931063465e-05,8.132491652389071957e-03
1.000000000000000056e-01,1.504285561479527950e+09,-6.831024298560356336e-05,1.154859849667613791e-01,3.145911940556328203e-05,1.005778238715852174e-02
1.166666666666666685e-01,1.504285561496727943e+09,-9.620762854014538220e-05,1.139861669801800759e-01,4.410249646159308714e-05,1.195828687843588332e-02
1.333333333333333315e-01,1.504285561513169050e+09,-1.307146554978873428e-04,1.124863489935987448e-01,5.843004229691513073e-05,1.383403319570081051e-02
1.499999999999999944e-01,1.504285561530281067e+09,-1.727789801094829173e-04,1.094867130204361244e-01,7.421922989269736943e-05,1.566004873320629015e-02
1.666666666666666574e-01,1.504285561546503067e+09,-2.233816324214081377e-04,1.139861669801800759e-01,9.119947392158423295e-05,1.756133817410798423e-02
1.833333333333333204e-01,1.504285561564451933e+09,-2.834965535923031810e-04,1.139861669801800759e-01,1.090380022054298579e-04,1.946292492381440989e-02
2.000000000000000111e-01,1.504285561582039118e+09,-3.540507801474801052e-04,1.139861669801800759e-01,1.273283945496202273e-04,2.136481651339323939e-02
2.166666666666666741e-01,1.504285561598629951e+09,-4.358870272687663831e-04,1.139861669801800759e-01,1.455824612706091144e-04,2.326701233741741703e-02
2.333333333333333370e-01,1.504285561615271091e+09,-5.297303357130522588e-04,1.154859849667613791e-01,1.632259930194410863e-04,2.519449918674709910e-02
2.500000000000000000e-01,1.504285561633548021e+09,-6.361602917354371124e-04,1.139861669801800759e-01,1.795987485318640664e-04,2.709726194889229903e-02
2.666666666666666630e-01,1.504285561649411917e+09,-7.555901117132752349e-04,1.139861669801800759e-01,1.939588637388215840e-04,2.900026404629094806e-02
2.833333333333333259e-01,1.504285561667340040e+09,-8.882536106725638213e-04,1.139861669801800759e-01,2.054916710143152943e-04,3.090345835714418746e-02
2.999999999999999889e-01,1.504285561683676958e+09,-1.034200756394932025e-03,1.139861669801800759e-01,2.133227184913829547e-04,3.280678318545537930e-02
3.166666666666666519e-01,1.504285561700944901e+09,-1.193302159824387266e-03,1.139861669801800759e-01,2.165345838736542565e-04,3.471016154485627447e-02
3.333333333333333148e-01,1.504285561717690945e+09,-1.365262481094094800e-03,1.139861669801800759e-01,2.141868925491650553e-04,3.661350077606842501e-02
3.499999999999999778e-01,1.504285561733589888e+09,-1.549642352597834774e-03,1.139861669801800759e-01,2.053387833626603616e-04,3.851669253879413946e-02
3.666666666666666408e-01,1.504285561749814034e+09,-1.745888050533747236e-03,1.139861669801800759e-01,1.890729239062381717e-04,4.041961320386224660e-02
3.833333333333333037e-01,1.504285561766360044e+09,-1.953367798579231079e-03,1.139861669801800759e-01,1.645200666847985288e-04,4.232212465464332829e-02
4.000000000000000222e-01,1.504285561783416033e+09,-2.171413275559406532e-03,1.139861669801800759e-01,1.308830630781853213e-04,4.422407548869763255e-02
4.166666666666666852e-01,1.504285561799707890e+09,-2.399364635797831668e-03,1.109865310070174416e-01,8.745921757750530596e-05,4.607530865910754864e-02
4.333333333333333481e-01,1.504285561815565109e+09,-2.636617147369856289e-03,1.124863489935987448e-01,3.365987293033690574e-05,4.795064214021636795e-02
4.500000000000000111e-01,1.504285561832993031e+09,-2.882667418804716816e-03,1.124863489935987448e-01,-3.097383122698587287e-05,4.982489839292256195e-02
4.666666666666666741e-01,1.504285561849164963e+09,-3.137157125635596337e-03,1.109865310070174416e-01,-1.067599882549475742e-04,5.167289457656860235e-02
4.833333333333333370e-01,1.504285561865606070e+09,-3.399912168671761614e-03,1.139861669801800759e-01,-1.938705678647713586e-04,5.356943285010719313e-02
5.000000000000000000e-01,1.504285561882231951e+09,-3.670975297224232138e-03,1.124863489935987448e-01,-2.923323225330992062e-04,5.543933312795829016e-02
5.166666666666666075e-01,1.504285561899058104e+09,-3.950630411085220665e-03,1.124863489935987448e-01,-4.020343976670092464e-04,5.730740503789048812e-02
5.333333333333333259e-01,1.504285561915271997e+09,-4.239417010242936372e-03,1.124863489935987448e-01,-5.227428498253062399e-04,5.917346514028671428e-02
5.500000000000000444e-01,1.504285561933433056e+09,-4.538133583686351606e-03,1.154859849667613791e-01,-6.541220206403078590e-04,6.108732952272206279e-02
5.666666666666666519e-01,1.504285561949651957e+09,-4.847829108185540935e-03,1.109865310070174416e-01,-7.957624452834771798e-04,6.292384233208429822e-02
5.833333333333333703e-01,1.504285561966017962e+09,-5.169782252275831672e-03,1.094867130204361244e-01,-9.472147022102742368e-04,6.473283397072139567e-02
5.999999999999999778e-01,1.504285561982665062e+09,-5.505468335561657794e-03,1.109865310070174416e-01,-1.108028344766271356e-03,6.656414234842558675e-02
6.166666666666666963e-01,1.504285562000406981e+09,-5.856514563162844647e-03,1.109865310070174416e-01,-1.277794804439103069e-03,6.839262128513522165e-02
6.333333333333333037e-01,1.504285562016347885e+09,-6.224644522992122363e-03,1.109865310070174416e-01,-1.456192929342587728e-03,7.021812691976313248e-02
6.500000000000000222e-01,1.504285562033704042e+09,-6.611613382549182995e-03,1.094867130204361244e-01,-1.643035628704314459e-03,7.201552154295866315e-02
6.666666666666666297e-01,1.504285562049571037e+09,-7.019135635237815606e-03,1.004878051009482215e-01,-1.838315942725805060e-03,7.365967969559569783e-02
6.833333333333333481e-01,1.504285562067115068e+09,-7.448807607868692879e-03,8.848926120829768427e-02,-2.042250754190880549e-03,7.510046320316414448e-02
6.999999999999999556e-01,1.504285562083163023e+09,-7.902027236408499383e-03,6.599199140957794085e-02,-2.255320309322456866e-03,7.616274105483507306e-02
7.166666666666666741e-01,1.504285562099829912e+09,-8.379913833522279962e-03,4.049508563769554925e-02,-2.478301724829994664e-03,7.679635412004949535e-02
7.333333333333332815e-01,1.504285562116767883e+09,-8.883230698803886924e-03,1.349836187923184917e-02,-2.712294728359604477e-03,7.697612190589736558e-02
7.500000000000000000e-01,1.504285562134135962e+09,-9.412313453414918735e-03,-1.499817986581316806e-02,-2.958738011342416842e-03,7.667683994127810765e-02
7.666666666666666075e-01,1.504285562150614023e+09,-9.967006910941903983e-03,-3.599563167795159779e-02,-3.219414765314491337e-03,7.602325583389034358e-02
7.833333333333333259e-01,1.504285562167840958e+09,-1.054661312481581202e-02,-5.249362953034608648e-02,-3.496446222001106142e-03,7.509008790468456318e-02
8.000000000000000444e-01,1.504285562183749914e+09,-1.114985298230790171e-02,-6.599199140957794085e-02,-3.792272318767395470e-03,7.392701684254547601e-02
8.166666666666666519e-01,1.504285562201451063e+09,-1.177484335212272519e-02,-7.349108134248452662e-02,-4.109618957571251237e-03,7.263367183754454448e-02
8.333333333333333703e-01,1.504285562218266964e+09,-1.241909134653617665e-02,-7.799053530222846420e-02,-4.451451708786296514e-03,7.125963872069429605e-02
8.499999999999999778e-01,1.504285562235974073e+09,-1.307950674260833362e-02,-8.398980724855373281e-02,-4.820916221201173441e-03,6.977945999619837580e-02
8.666666666666666963e-01,1.504285562252583981e+09,-1.375243303576303630e-02,-8.698944322171636712e-02,-5.221266024943145220e-03,6.824261484208737905e-02
8.833333333333333037e-01,1.504285562269958019e+09,-1.443369699083479549e-02,-9.298871516804163573e-02,-5.655778842898949617e-03,6.659853994190503834e-02
9.000000000000000222e-01,1.504285562286211967e+09,-1.511867593019894374e-02,-9.748816912778557331e-02,-6.127662945701860438e-03,6.487160940734691683e-02
9.166666666666666297e-01,1.504285562303786039e+09,-1.580238137665665801e-02,-1.109865310070174416e-01,-6.639955482583589745e-03,6.291116796585356774e-02
9.333333333333333481e-01,1.504285562319741011e+09,-1.647955707167715611e-02,-1.244848928862492821e-01,-7.195415082552457202e-03,6.071649616637354169e-02
9.499999999999999556e-01,1.504285562337120056e+09,-1.714478883853170696e-02,-1.409828907386437569e-01,-7.796411335184473546e-03,5.823684113180974120e-02
9.666666666666666741e-01,1.504285562353847027e+09,-1.779262327498734933e-02,-1.559810706044569284e-01,-8.444814016429913126e-03,5.549640972146163004e-02
9.833333333333332815e-01,1.504285562370338917e+09,-1.841769186012975207e-02,-1.649799785239448313e-01,-9.141885112139282871e-03,5.259437866086022484e-02
1.000000000000000000e+00,1.504285562387383938e+09,-1.901483676081737115e-02,-1.859774303360832715e-01,-9.888176801993499646e-03,4.932995187522561109e-02
1.016666666666666607e+00,1.504285562404607058e+09,-1.957923443858328519e-02,-1.979759742287338087e-01,-1.068343859258093741e-02,4.585229499487036842e-02
1.033333333333333215e+00,1.504285562420736074e+09,-2.010651309740429937e-02,-2.069748821482217394e-01,-1.152653672604994108e-02,4.221060468029917689e-02
1.050000000000000044e+00,1.504285562437302113e+09,-2.059286008268162993e-02,-2.144739720811282835e-01,-1.241538883798810715e-02,3.842911533164723725e-02
1.066666666666666652e+00,1.504285562453444958e+09,-2.103511554387744314e-02,-2.189734260408722488e-01,-1.334691659534156111e-02,3.455710962104367734e-02
1.083333333333333259e+00,1.504285562470911026e+09,-2.143084900500734011e-02,-2.219730620140348831e-01,-1.431701871525763517e-02,3.061894160888880070e-02
1.100000000000000089e+00,1.504285562487672091e+09,-2.177841594167675976e-02,-2.249726979871974897e-01,-1.532056635424891913e-02,2.661405386986469279e-02
1.116666666666666696e+00,1.504285562504534006e+09,-2.207699202933811541e-02,-2.234728800006162142e-01,-1.635142237206552857e-02,2.261698216365333122e-02
1.133333333333333304e+00,1.504285562521569014e+09,-2.232658338963995279e-02,-2.234728800006162142e-01,-1.740248542650978808e-02,1.860239273986789843e-02
1.149999999999999911e+00,1.504285562538451910e+09,-2.252801190117136379e-02,-2.219730620140348831e-01,-1.846575925664900933e-02,1.459507905202316741e-02
1.166666666666666741e+00,1.504285562554924011e+09,-2.268287543545080207e-02,-2.234728800006162142e-01,-1.953244687684977179e-02,1.054499027073206759e-02
1.183333333333333348e+00,1.504285562571244955e+09,-2.279348370401786464e-02,-2.219730620140348831e-01,-2.059306874865852316e-02,6.502221424687177655e-03
1.199999999999999956e+00,1.504285562586877108e+09,-2.286277123152757537e-02,-2.234728800006162142e-01,-2.163760333879154868e-02,2.417046702363714883e-03
1.216666666666666563e+00,1.504285562604650021e+09,-2.289418977541210834e-02,-2.234728800006162142e-01,-2.265564782706388017e-02,-1.685095428097620023e-03
1.233333333333333393e+00,1.504285562621279955e+09,-2.289158326745572777e-02,-2.219730620140348831e-01,-2.363659611588590781e-02,-5.778589730262967059e-03
1.250000000000000000e+00,1.504285562638767004e+09,-2.285904902980936959e-02,-2.219730620140348831e-01,-2.456983073062687234e-02,-9.887637942673995622e-03
1.266666666666666607e+00,1.504285562655477047e+09,-2.280078959252869464e-02,-2.114743361079656769e-01,-2.544492470455634106e-02,-1.383629228954936369e-02
1.283333333333333215e+00,1.504285562673053026e+09,-2.272095988918731990e-02,-2.039752461750590773e-01,-2.625184912885599950e-02,-1.767341054461461433e-02
1.300000000000000044e+00,1.504285562689783096e+09,-2.262351491240133239e-02,-1.919767022824085401e-01,-2.698118173125073349e-02,-2.132270861150893648e-02
1.316666666666666652e+00,1.504285562707722902e+09,-2.251206305720126338e-02,-1.799781583897580028e-01,-2.762431163790832200e-02,-2.478274977863671041e-02
1.333333333333333259e+00,1.504285562722970963e+09,-2.238973035681180238e-02,-1.694794324836887967e-01,-2.817363538163504544e-02,-2.807696757639210894e-02
1.350000000000000089e+00,1.504285562739326000e+09,-2.225904061744870058e-02,-1.574808885910382594e-01,-2.862273925142849729e-02,-3.117869470709988891e-02
1.366666666666666696e+00,1.504285562755973101e+09,-2.212181608663619722e-02,-1.439825267118063912e-01,-2.896656323740999864e-02,-3.406117953958683053e-02
1.383333333333333304e+00,1.504285562773406029e+09,-2.197910274938443681e-02,-1.394830727520624536e-01,-2.920154211101820552e-02,-3.687258978730484360e-02
1.399999999999999911e+00,1.504285562789598942e+09,-2.183112365011818240e-02,-1.319839828191558817e-01,-2.932571958969727721e-02,-3.956108482745239463e-02
1.416666666666666741e+00,1.504285562806562901e+09,-2.167726280274720127e-02,-1.274845288594119164e-01,-2.933883206135143654e-02,-4.217480750946511758e-02
1.433333333333333348e+00,1.504285562821935892e+09,-2.151608129905253214e-02,-1.229850748996679788e-01,-2.924235897645674140e-02,-4.471193140740052641e-02
1.449999999999999956e+00,1.504285562839240074e+09,-2.134536618350456674e-02,-1.199854389265053445e-01,-2.903953774168560945e-02,-4.719568101853704317e-02
1.466666666666666563e+00,1.504285562855942011e+09,-2.116221156144505039e-02,-1.169858029533426963e-01,-2.873534175211147138e-02,-4.962436676362794868e-02
1.483333333333333393e+00,1.504285562872885942e+09,-2.096313028094269962e-02,-1.124863489935987448e-01,-2.833642106091542254e-02,-5.197141293120318556e-02
1.500000000000000000e+00,1.504285562889235020e+09,-2.074419341228085634e-02,-1.094867130204361244e-01,-2.785100608532560876e-02,-5.426037491629921716e-02
1.516666666666666607e+00,1.504285562906205893e+09,-2.050119367958950015e-02,-1.079868950338547934e-01,-2.728877566300199134e-02,-5.651496942791349454e-02
1.533333333333333215e+00,1.504285562922931910e+09,-2.022982801305598516e-02,-1.019876230875295386e-01,-2.666069168092689151e-02,-5.865910800738776548e-02
1.550000000000000044e+00,1.504285562939774990e+09,-1.992589352254282853e-02,-1.019876230875295386e-01,-2.597880337530901820e-02,-6.079188178176840596e-02
1.566666666666666652e+00,1.504285562955753088e+09,-1.958549047692059036e-02,-9.748816912778557331e-02,-2.525602522246901335e-02,-6.283761835427265074e-02
1.583333333333333259e+00,1.504285562973201990e+09,-1.920522533699366499e-02,-9.298871516804163573e-02,-2.450589308437002914e-02,-6.479586182514618375e-02
1.600000000000000089e+00,1.504285562988852024e+09,-1.878240655792050642e-02,-9.448853315462296676e-02,-2.374230391702169055e-02,-6.676637577634025877e-02
1.616666666666666696e+00,1.504285563005271912e+09,-1.831522576831240770e-02,-8.998907919487900142e-02,-2.297924487610767535e-02,-6.864918117752337456e-02
1.633333333333333304e+00,1.504285563021965027e+09,-1.780291706020974488e-02,-8.398980724855373281e-02,-2.223051804512585564e-02,-7.041951993241803154e-02
1.649999999999999911e+00,1.504285563039357901e+09,-1.724588749240991287e-02,-7.799053530222846420e-02,-2.150946725346567293e-02,-7.207785330834626247e-02
1.666666666666666741e+00,1.504285563055726051e+09,-1.664581251734123524e-02,-7.349108134248452662e-02,-2.082871353509546664e-02,-7.364984988963926837e-02
1.683333333333333348e+00,1.504285563072091103e+09,-1.600569087948141428e-02,-6.899162738274057516e-02,-2.019990569670768871e-02,-7.513637544096340992e-02
1.699999999999999956e+00,1.504285563088778973e+09,-1.532985458433432958e-02,-6.149253744983398939e-02,-1.963349221525076405e-02,-7.648847593538149470e-02
1.716666666666666563e+00,1.504285563106419086e+09,-1.462393077707986599e-02,-5.099381154376476932e-02,-1.913852027106136347e-02,-7.765734813229525912e-02
1.733333333333333393e+00,1.504285563123346090e+09,-1.389475376831472708e-02,-4.349472161085818356e-02,-1.872246715095785344e-02,-7.869430127832552357e-02
1.750000000000000000e+00,1.504285563140619993e+09,-1.315022696388259624e-02,-3.299599570478897043e-02,-1.839110853664058937e-02,-7.955075301568267920e-02
1.766666666666666607e+00,1.504285563156558990e+09,-1.239913605459081782e-02,-2.249726979871975036e-02,-1.814842734264248900e-02,-8.022818130137204795e-02
1.783333333333333215e+00,1.504285563174288988e+09,-1.165091645356685843e-02,-1.649799785239448521e-02,-1.799656580380449081e-02,-8.080309069564202418e-02
1.800000000000000044e+00,1.504285563190890074e+09,-1.091537958528512875e-02,-1.049872590606921660e-02,-1.793582245714916285e-02,-8.127699983502899295e-02
1.816666666666666652e+00,1.504285563208409071e+09,-1.020240418070049448e-02,1.499817986581316719e-03,-1.796469454234915844e-02,-8.155141444429178654e-02
1.833333333333333259e+00,1.504285563225253105e+09,-9.521600167359312028e-03,7.499089932906584030e-03,-1.807996518633324390e-02,-8.172776236518222714e-02
1.849999999999999867e+00,1.504285563241545916e+09,-8.881954013335701531e-03,1.649799785239448521e-02,-1.827683357019490792e-02,-8.175740962714556082e-02
1.866666666666666696e+00,1.504285563259251118e+09,-8.291465443997380128e-03,3.149617771820764633e-02,-1.854908513067150821e-02,-8.154162475068663096e-02
1.883333333333333304e+00,1.504285563275938988e+09,-7.756786260180521114e-03,4.949399355718345217e-02,-1.888929775441738554e-02,-8.103154648730719056e-02
1.899999999999999911e+00,1.504285563291501045e+09,-7.282872510534854973e-03,6.299235543641529267e-02,-1.928907891086276485e-02,-8.030315854521465069e-02
1.916666666666666741e+00,1.504285563309113979e+09,-6.872661482006969455e-03,7.799053530222846420e-02,-1.973932776697905761e-02,-7.933230508629382505e-02
1.933333333333333348e+00,1.504285563325990915e+09,-6.526784851330678580e-03,9.148889718146031858e-02,-2.023051556092906461e-02,-7.814466539261830103e-02
1.949999999999999956e+00,1.504285563342396975e+09,-6.243328876798148221e-03,1.064870770472734762e-01,-2.075297690461018821e-02,-7.671576372357391538e-02
1.966666666666666563e+00,1.504285563358153105e+09,-6.017651703027253329e-03,1.229850748996679788e-01,-2.129720425715516188e-02,-7.502096587953203943e-02
1.983333333333333393e+00,1.504285563375390053e+09,-5.842266711533827990e-03,1.289843468459932474e-01,-2.185413757798744180e-02,-7.323546239173193972e-02
2.000000000000000000e+00,1.504285563392680883e+09,-5.706799396395031629e-03,1.454823446983877222e-01,-2.241544113979624525e-02,-7.118434733242208490e-02
2.016666666666666607e+00,1.504285563409084082e+09,-5.598023506783306874e-03,1.574808885910382594e-01,-2.297375966445994872e-02,-6.894256185031244488e-02
2.033333333333333215e+00,1.504285563424671888e+09,-5.499980215625677703e-03,1.664797965105261623e-01,-2.352294633880402247e-02,-6.655994768078374313e-02
2.049999999999999822e+00,1.504285563442351103e+09,-5.394181893597306890e-03,1.739788864434327342e-01,-2.405825586693658563e-02,-6.406127050450881322e-02
2.066666666666666430e+00,1.504285563459027052e+09,-5.259899744994560138e-03,1.784783404031766718e-01,-2.457649651105618671e-02,-6.149623977297347110e-02
2.083333333333333481e+00,1.504285563475169897e+09,-5.074532157742266819e-03,1.784783404031766718e-01,-2.507613604703408383e-02,-5.893953636703776200e-02
2.100000000000000089e+00,1.504285563491830111e+09,-4.814048199328078807e-03,1.814779763763393339e-01,-2.555735769362208615e-02,-5.634085938899247720e-02
2.116666666666666696e+00,1.504285563508224964e+09,-4.453498322090380587e-03,1.829777943629206372e-01,-2.602206333907886721e-02,-5.372493053859511702e-02
2.133333333333333304e+00,1.504285563525105000e+09,-3.967582094108633092e-03,1.844776123495019404e-01,-2.647382275652196762e-02,-5.109153404537878501e-02
2.149999999999999911e+00,1.504285563541969061e+09,-3.331260714022579294e-03,1.814779763763393339e-01,-2.691776893615830876e-02,-4.851553058804243534e-02
2.166666666666666519e+00,1.504285563557784081e+09,-2.520400264435887581e-03,1.859774303360832715e-01,-2.736044113286552337e-02,-4.587191410132213792e-02
2.183333333333333126e+00,1.504285563574377060e+09,-1.512430169138500669e-03,1.814779763763393339e-01,-2.780957869376940103e-02,-4.331077413994597475e-02
2.200000000000000178e+00,1.504285563590990067e+09,-2.870001973495596914e-04,1.844776123495019404e-01,-2.827387015402520881e-02,-4.070737843668802841e-02
2.216666666666666785e+00,1.504285563608437061e+09,1.173381351898509714e-03,1.829777943629206372e-01,-2.876266343165526096e-02,-3.813712625450027538e-02
2.233333333333333393e+00,1.504285563625153065e+09,2.882745915790077811e-03,1.814779763763393339e-01,-2.928564417683871685e-02,-3.560058738450860155e-02
2.250000000000000000e+00,1.504285563641696930e+09,4.851116808915261966e-03,1.829777943629206372e-01,-2.985249040242569929e-02,-3.304849898516701995e-02
2.266666666666666607e+00,1.504285563658391953e+09,7.084031978347119646e-03,1.829777943629206372e-01,-3.047251240868263655e-02,-3.050674428592971971e-02
2.283333333333333215e+00,1.504285563675779104e+09,9.582152947437420215e-03,1.814779763763393339e-01,-3.115428768834621609e-02,-2.800134947446316844e-02
2.299999999999999822e+00,1.504285563691623926e+09,1.234097389702775750e-02,1.814779763763393339e-01,-3.190530093475738710e-02,-2.550847155043680162e-02
2.316666666666666430e+00,1.504285563709041119e+09,1.535064277336298938e-02,1.754787044300140653e-01,-3.273159945844509450e-02,-2.312935313424398578e-02
2.333333333333333481e+00,1.504285563724858046e+09,1.859590386108565460e-02,1.709792504702701277e-01,-3.363747423441310752e-02,-2.084032353031303741e-02
