# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.503091042304671049e+09,0.000000000000000000e+00,1.499817986581316806e-02,-0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.503091042305196047e+09,1.798929827055640890e-06,1.831054687500000000e-03,0.000000000000000000e+00,3.051757812500000000e-05
3.333333333333333287e-02,1.503091042313702106e+09,7.143096105243524524e-06,2.099745181213843320e-02,-1.413869948528467420e-06,3.804515438281650297e-04
5.000000000000000278e-02,1.503091042330598116e+09,1.610466661814614789e-05,2.999635973162633612e-02,-5.480904621995249357e-06,8.802995242782373289e-04
6.666666666666666574e-02,1.503091042347332001e+09,2.895384448307132715e-05,2.999635973162633612e-02,-1.197178372019448439e-05,1.380039323410006246e-03
8.333333333333332871e-02,1.503091042364018917e+09,4.614755680175652706e-05,2.999635973162633612e-02,-2.069039208931063465e-05,1.879633812402289883e-03
1.000000000000000056e-01,1.503091042380671978e+09,6.831024298560356336e-05,3.299599570478897043e-02,-3.145911940556328203e-05,2.429042755492013313e-03
1.166666666666666685e-01,1.503091042397675037e+09,9.620762854014538220e-05,3.299599570478897043e-02,-4.410249646159308714e-05,2.978240975630802763e-03
1.333333333333333315e-01,1.503091042414088964e+09,1.307146554978873428e-04,3.449581369137028758e-02,-5.843004229691513073e-05,3.552197369782025740e-03
1.499999999999999944e-01,1.503091042431513071e+09,1.727789801094829173e-04,3.299599570478897043e-02,-7.421922989269736943e-05,4.100893644363630582e-03
1.666666666666666574e-01,1.503091042448223114e+09,2.233816324214081377e-04,3.299599570478897043e-02,-9.119947392158423295e-05,4.649306914878087102e-03
1.833333333333333204e-01,1.503091042464687109e+09,2.834965535923031810e-04,2.999635973162633612e-02,-1.090380022054298579e-04,5.147428943701768539e-03
2.000000000000000111e-01,1.503091042481379986e+09,3.540507801474801052e-04,3.149617771820764633e-02,-1.273283945496202273e-04,5.670243099096069182e-03
2.166666666666666741e-01,1.503091042498517036e+09,4.358870272687663831e-04,3.149617771820764633e-02,-1.455824612706091144e-04,6.192753020045019957e-03
2.333333333333333370e-01,1.503091042514813900e+09,5.297303357130522588e-04,3.149617771820764633e-02,-1.632259930194410863e-04,6.714968882131490228e-03
2.500000000000000000e-01,1.503091042532392025e+09,6.361602917354371124e-04,3.299599570478897043e-02,-1.795987485318640664e-04,7.261908831402441762e-03
2.666666666666666630e-01,1.503091042549434900e+09,7.555901117132752349e-04,3.149617771820764633e-02,-1.939588637388215840e-04,7.783612478976922010e-03
2.833333333333333259e-01,1.503091042566371918e+09,8.882536106725638213e-04,3.149617771820764633e-02,-2.054916710143152943e-04,8.305123913096811028e-03
2.999999999999999889e-01,1.503091042582895041e+09,1.034200756394932025e-03,3.599563167795159779e-02,-2.133227184913829547e-04,8.901495729087815015e-03
3.166666666666666519e-01,1.503091042599621058e+09,1.193302159824387266e-03,3.149617771820764633e-02,-2.165345838736542565e-04,9.422823114660047392e-03
3.333333333333333148e-01,1.503091042616425991e+09,1.365262481094094800e-03,3.299599570478897043e-02,-2.141868925491650553e-04,9.969186594864044848e-03
3.499999999999999778e-01,1.503091042633584976e+09,1.549642352597834774e-03,3.299599570478897043e-02,-2.053387833626603616e-04,1.051569754355448361e-02
3.666666666666666408e-01,1.503091042649626970e+09,1.745888050533747236e-03,3.449581369137028758e-02,-1.890729239062381717e-04,1.108747655634555185e-02
