# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.503091097030683041e+09,-0.000000000000000000e+00,-4.499453959743950071e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.503091097031238079e+09,-1.798929827055640890e-06,-1.171875000000000000e-02,0.000000000000000000e+00,-1.953124999999999837e-04
3.333333333333333287e-02,1.503091097040904045e+09,-7.143096105243524524e-06,-4.499453959743950071e-02,1.413869948528467420e-06,-9.451979287915161874e-04
5.000000000000000278e-02,1.503091097058155060e+09,-1.610466661814614789e-05,-3.299599570478897043e-02,5.480904621995249357e-06,-1.495039842127632258e-03
6.666666666666666574e-02,1.503091097074332952e+09,-2.895384448307132715e-05,-2.399708778530106751e-02,1.197178372019448439e-05,-1.894791775487313524e-03
8.333333333333332871e-02,1.503091097091449022e+09,-4.614755680175652706e-05,-1.499817986581316806e-02,2.069039208931063465e-05,-2.144416600049377924e-03
1.000000000000000056e-01,1.503091097107561111e+09,-6.831024298560356336e-05,-7.499089932906584030e-03,3.145911940556328203e-05,-2.268877113607728133e-03
1.166666666666666685e-01,1.503091097124294996e+09,-9.620762854014538220e-05,-4.499453959743949724e-03,4.410249646159308714e-05,-2.343132971329100860e-03
1.333333333333333315e-01,1.503091097140089989e+09,-1.307146554978873428e-04,-2.999635973162633439e-03,5.843004229691513073e-05,-2.392153070176862746e-03
1.499999999999999944e-01,1.503091097157598972e+09,-1.727789801094829173e-04,-2.999635973162633439e-03,7.421922989269736943e-05,-2.440910015898028248e-03
1.666666666666666574e-01,1.503091097173391104e+09,-2.233816324214081377e-04,-2.999635973162633439e-03,9.119947392158423295e-05,-2.489383957552045862e-03
1.833333333333333204e-01,1.503091097190447092e+09,-2.834965535923031810e-04,-4.499453959743949724e-03,1.090380022054298579e-04,-2.562557556844354510e-03
2.000000000000000111e-01,1.503091097207320929e+09,-3.540507801474801052e-04,-2.999635973162633439e-03,1.273283945496202273e-04,-2.610429349821237997e-03
2.166666666666666741e-01,1.503091097224426985e+09,-4.358870272687663831e-04,-2.999635973162633439e-03,1.455824612706091144e-04,-2.657996908352771616e-03
2.333333333333333370e-01,1.503091097240943909e+09,-5.297303357130522588e-04,-4.499453959743949724e-03,1.632259930194410863e-04,-2.730267374464846915e-03
2.500000000000000000e-01,1.503091097258243084e+09,-6.361602917354371124e-04,-2.999635973162633439e-03,1.795987485318640664e-04,-2.777267994875359542e-03
2.666666666666666630e-01,1.503091097273931026e+09,-7.555901117132752349e-04,-2.999635973162633439e-03,1.939588637388215840e-04,-2.824029280032423067e-03
2.833333333333333259e-01,1.503091097291584015e+09,-8.882536106725638213e-04,-2.999635973162633439e-03,2.054916710143152943e-04,-2.870598351734894929e-03
2.999999999999999889e-01,1.503091097308283091e+09,-1.034200756394932025e-03,-2.999635973162633439e-03,2.133227184913829547e-04,-2.917036905979415642e-03
