# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.503091210795758009e+09,0.000000000000000000e+00,-4.199490362427686641e-02,-0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.503091210796271086e+09,0.000000000000000000e+00,-9.887695312500000000e-03,0.000000000000000000e+00,-1.647949218750000108e-04
3.333333333333333287e-02,1.503091210802129984e+09,0.000000000000000000e+00,-4.199490362427686641e-02,-5.533874176911749648e-06,-8.648022135158963883e-04
5.000000000000000278e-02,1.503091210819540024e+09,0.000000000000000000e+00,-4.199490362427686641e-02,-2.246585738844798167e-05,-1.565091704876984914e-03
6.666666666666666574e-02,1.503091210836380005e+09,0.000000000000000000e+00,-4.199490362427686641e-02,-5.127754235841473405e-05,-2.265861390987573137e-03
8.333333333333332871e-02,1.503091210852857113e+09,0.000000000000000000e+00,-4.199490362427686641e-02,-9.238118567068819714e-05,-2.967316137820032521e-03
1.000000000000000056e-01,1.503091210868383884e+09,0.000000000000000000e+00,-4.199490362427686641e-02,-1.460559333900881445e-04,-3.669665463781148374e-03
1.166666666666666685e-01,1.503091210886372089e+09,0.000000000000000000e+00,-4.049508563769554925e-02,-2.123860144856160579e-04,-4.348123324650834606e-03
1.333333333333333315e-01,1.503091210900964975e+09,0.000000000000000000e+00,-4.349472161085818356e-02,-2.912036602790000106e-04,-5.077888745836454248e-03
1.499999999999999944e-01,1.503091210918625116e+09,0.000000000000000000e+00,-4.049508563769554925e-02,-3.820393804546372827e-04,-5.759174162805623734e-03
1.666666666666666574e-01,1.503091210935106993e+09,0.000000000000000000e+00,-3.749544966453291495e-02,-4.840819961801292475e-04,-6.392166357150841360e-03
1.833333333333333204e-01,1.503091210951780081e+09,0.000000000000000000e+00,-3.299599570478897043e-02,-5.961505058324608137e-04,-6.952035460661198929e-03
2.000000000000000111e-01,1.503091210968415022e+09,0.000000000000000000e+00,-2.999635973162633612e-02,-7.166794494368970009e-04,-7.463919447012253017e-03
2.166666666666666741e-01,1.503091210985291958e+09,0.000000000000000000e+00,-2.249726979871975036e-02,-8.437189580923983067e-04,-7.852935926292456056e-03
2.333333333333333370e-01,1.503091211000907898e+09,0.000000000000000000e+00,-2.099745181213843320e-02,-9.749501409648655753e-04,-8.219142625510844971e-03
2.500000000000000000e-01,1.503091211017915964e+09,0.000000000000000000e+00,-1.499817986581316806e-02,-1.107715893606488287e-03,-8.487574221501172772e-03
2.666666666666666630e-01,1.503091211034755945e+09,0.000000000000000000e+00,-1.349836187923184917e-02,-1.239066627642610883e-03,-8.733198029949080718e-03
2.833333333333333259e-01,1.503091211050899982e+09,0.000000000000000000e+00,-1.649799785239448521e-02,-1.365819844308707254e-03,-9.030928324894134732e-03
2.999999999999999889e-01,1.503091211066636086e+09,0.000000000000000000e+00,-1.499817986581316806e-02,-1.484631924057535930e-03,-9.305641854725313009e-03
3.166666666666666519e-01,1.503091211083404064e+09,0.000000000000000000e+00,-1.799781583897579890e-02,-1.592080001974978832e-03,-9.632140118741160106e-03
3.333333333333333148e-01,1.503091211100038052e+09,0.000000000000000000e+00,-1.499817986581316806e-02,-1.684751363147112815e-03,-9.910188972557165341e-03
3.499999999999999778e-01,1.503091211117788076e+09,0.000000000000000000e+00,-1.649799785239448521e-02,-1.759337440447660906e-03,-1.021447789410453479e-02
3.666666666666666408e-01,1.503091211134407043e+09,0.000000000000000000e+00,-1.499817986581316806e-02,-1.812729243806999449e-03,-1.049465971259820433e-02
3.833333333333333037e-01,1.503091211150866032e+09,0.000000000000000000e+00,-1.349836187923184917e-02,-1.842110905989324029e-03,-1.075033425901855688e-02
4.000000000000000222e-01,1.503091211166455030e+09,0.000000000000000000e+00,-1.199854389265053375e-02,-1.845048002676580919e-03,-1.098106079060734257e-02
4.166666666666666852e-01,1.503091211183434010e+09,0.000000000000000000e+00,-1.649799785239448521e-02,-1.819567397677700248e-03,-1.128635354477521176e-02
4.333333333333333481e-01,1.503091211200203896e+09,0.000000000000000000e+00,-1.349836187923184917e-02,-1.764225576610288504e-03,-1.154073000237258034e-02
4.500000000000000111e-01,1.503091211216905117e+09,0.000000000000000000e+00,-1.349836187923184917e-02,-1.678162759473531343e-03,-1.179367207968433709e-02
4.666666666666666741e-01,1.503091211232968092e+09,0.000000000000000000e+00,-1.199854389265053375e-02,-1.561140515049872684e-03,-1.201966681981267784e-02
4.833333333333333370e-01,1.503091211250677109e+09,0.000000000000000000e+00,-1.199854389265053375e-02,-1.413561125051614057e-03,-1.224320190344104636e-02
5.000000000000000000e-01,1.503091211267194986e+09,0.000000000000000000e+00,-1.349836187923184917e-02,-1.236467546864621070e-03,-1.248878239387598774e-02
5.166666666666666075e-01,1.503091211284415960e+09,0.000000000000000000e+00,-1.199854389265053375e-02,-1.031523481118459861e-03,-1.270595018343880465e-02
5.333333333333333259e-01,1.503091211301151037e+09,0.000000000000000000e+00,-1.199854389265053375e-02,-8.009737422133024996e-04,-1.291927547735320127e-02
5.500000000000000444e-01,1.503091211318813086e+09,0.000000000000000000e+00,-1.649799785239448521e-02,-5.475858327473990964e-04,-1.320336853877223347e-02
5.666666666666666519e-01,1.503091211335661888e+09,0.000000000000000000e+00,-1.199854389265053375e-02,-2.745743119843295152e-04,-1.340792050884948190e-02
5.833333333333333703e-01,1.503091211353072882e+09,0.000000000000000000e+00,-1.349836187923184917e-02,1.448980055016158534e-05,-1.363265171016084416e-02
5.999999999999999778e-01,1.503091211369739056e+09,0.000000000000000000e+00,-1.349836187923184917e-02,3.157817564270085997e-04,-1.385236137887425889e-02
6.166666666666666963e-01,1.503091211387217999e+09,0.000000000000000000e+00,-1.349836187923184917e-02,6.253346103176369913e-04,-1.406691183335616324e-02
6.333333333333333037e-01,1.503091211404386997e+09,0.000000000000000000e+00,-1.499817986581316806e-02,9.391558182922498266e-04,-1.430122890081484549e-02
6.500000000000000222e-01,1.503091211421093941e+09,0.000000000000000000e+00,-1.499817986581316806e-02,1.253344889196387297e-03,-1.453030948375845857e-02
6.666666666666666297e-01,1.503091211436733007e+09,0.000000000000000000e+00,-1.499817986581316806e-02,1.564207931263541509e-03,-1.475420901600095307e-02
6.833333333333333481e-01,1.503091211453183889e+09,0.000000000000000000e+00,-1.499817986581316806e-02,1.868364934512109585e-03,-1.497303926485597098e-02
6.999999999999999556e-01,1.503091211469727039e+09,0.000000000000000000e+00,-1.499817986581316806e-02,2.162845774974126584e-03,-1.518696149970328799e-02
7.166666666666666741e-01,1.503091211486639977e+09,0.000000000000000000e+00,-1.499817986581316806e-02,2.445171218560044952e-03,-1.539617831049083958e-02
7.333333333333332815e-01,1.503091211503353119e+09,0.000000000000000000e+00,-1.349836187923184917e-02,2.713415634493829710e-03,-1.557592741456980713e-02
7.500000000000000000e-01,1.503091211521054983e+09,0.000000000000000000e+00,-1.349836187923184917e-02,2.966248689908270592e-03,-1.575146263439186622e-02
7.666666666666666075e-01,1.503091211537184000e+09,0.000000000000000000e+00,-1.349836187923184917e-02,3.202953972796256012e-03,-1.592305276616579404e-02
7.833333333333333259e-01,1.503091211553658009e+09,0.000000000000000000e+00,-1.499817986581316806e-02,3.423423260171674660e-03,-1.611596537625981790e-02
8.000000000000000444e-01,1.503091211570570946e+09,0.000000000000000000e+00,-1.349836187923184917e-02,3.628125988331018428e-03,-1.628046930777483220e-02
8.166666666666666519e-01,1.503091211588653088e+09,0.000000000000000000e+00,-1.349836187923184917e-02,3.818054365771248338e-03,-1.644180776633251059e-02
8.333333333333333703e-01,1.503091211603610039e+09,0.000000000000000000e+00,-1.349836187923184917e-02,3.994645467586950723e-03,-1.660020303985992526e-02
