# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.503091416401529074e+09,0.000000000000000000e+00,7.499089932906584030e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.503091416402066946e+09,0.000000000000000000e+00,1.464843750000000000e-03,0.000000000000000000e+00,2.441406249999999797e-05
3.333333333333333287e-02,1.503091416410589933e+09,0.000000000000000000e+00,5.999271946325266877e-03,3.817254851680025241e-07,1.244082903635072780e-04
5.000000000000000278e-02,1.503091416426826954e+09,0.000000000000000000e+00,8.998907919487899448e-03,1.300879160145474001e-06,2.744117703409746701e-04
6.666666666666666574e-02,1.503091416442686081e+09,0.000000000000000000e+00,8.998907919487899448e-03,2.492678168490824970e-06,4.244351136352478293e-04
8.333333333333332871e-02,1.503091416458282948e+09,0.000000000000000000e+00,7.499089932906584030e-03,3.823260550326531765e-06,5.494836668595296436e-04
1.000000000000000056e-01,1.503091416474862099e+09,0.000000000000000000e+00,5.999271946325266877e-03,5.328717903556420757e-06,6.495603445966766955e-04
1.166666666666666685e-01,1.503091416492264032e+09,0.000000000000000000e+00,7.499089932906584030e-03,7.251277399833045257e-06,7.746660314351170142e-04
1.333333333333333315e-01,1.503091416507930040e+09,0.000000000000000000e+00,7.499089932906584030e-03,1.007052534532055656e-05,8.998187057393154404e-04
1.499999999999999944e-01,1.503091416525199890e+09,0.000000000000000000e+00,7.499089932906584030e-03,1.452765292379677706e-05,1.025045665503155224e-03
1.666666666666666574e-01,1.503091416541829109e+09,0.000000000000000000e+00,5.999271946325266877e-03,2.164088504001222748e-05,1.125394212692576489e-03
1.833333333333333204e-01,1.503091416559345007e+09,0.000000000000000000e+00,5.999271946325266877e-03,3.271052087503867475e-05,1.225927253812581549e-03
2.000000000000000111e-01,1.503091416575908899e+09,0.000000000000000000e+00,7.499089932906584030e-03,4.931236195258694631e-05,1.351733958726901181e-03
2.166666666666666741e-01,1.503091416593578100e+09,0.000000000000000000e+00,7.499089932906584030e-03,7.327871900694729536e-05,1.477940102925459891e-03
2.333333333333333370e-01,1.503091416610516071e+09,0.000000000000000000e+00,4.499453959743949724e-03,1.066666586335454062e-04,1.554708779898418113e-03
2.500000000000000000e-01,1.503091416627455950e+09,0.000000000000000000e+00,7.499089932906584030e-03,1.517136580324148691e-04,1.682222173080734785e-03
2.666666666666666630e-01,1.503091416644129992e+09,0.000000000000000000e+00,7.499089932906584030e-03,2.107813626672053490e-04,1.810720028006964624e-03
2.833333333333333259e-01,1.503091416661034107e+09,0.000000000000000000e+00,7.499089932906584030e-03,2.862886676406794974e-04,1.940476338016085614e-03
2.999999999999999889e-01,1.503091416677820921e+09,0.000000000000000000e+00,7.499089932906584030e-03,3.806358487452030700e-04,2.071805101043615229e-03
3.166666666666666519e-01,1.503091416694266081e+09,0.000000000000000000e+00,7.499089932906584030e-03,4.961219333511698729e-04,2.205058632147911032e-03
3.333333333333333148e-01,1.503091416709851027e+09,0.000000000000000000e+00,7.499089932906584030e-03,6.348579053024532926e-04,2.340624429451394935e-03
3.499999999999999778e-01,1.503091416726922035e+09,0.000000000000000000e+00,5.999271946325266877e-03,7.986786641540012579e-04,2.453923606292715900e-03
3.666666666666666408e-01,1.503091416743525028e+09,0.000000000000000000e+00,7.499089932906584030e-03,9.890568920481997237e-04,2.595392720041962437e-03
3.833333333333333037e-01,1.503091416759890079e+09,0.000000000000000000e+00,5.999271946325266877e-03,1.207022108805681131e-03,2.715497620960811726e-03
4.000000000000000222e-01,1.503091416776478052e+09,0.000000000000000000e+00,7.499089932906584030e-03,1.453088208332495518e-03,2.864700589981462962e-03
4.166666666666666852e-01,1.503091416793864012e+09,0.000000000000000000e+00,5.999271946325266877e-03,1.727192661970529180e-03,2.993475000119726059e-03
4.333333333333333481e-01,1.503091416810286045e+09,0.000000000000000000e+00,5.999271946325266877e-03,2.028650345806020869e-03,3.127273704988580826e-03
4.500000000000000111e-01,1.503091416827068090e+09,0.000000000000000000e+00,7.499089932906584030e-03,2.356124602335528048e-03,3.291527280575949448e-03
4.666666666666666741e-01,1.503091416843836069e+09,0.000000000000000000e+00,7.499089932906584030e-03,2.707617689683810766e-03,3.461639074285789187e-03
4.833333333333333370e-01,1.503091416860733986e+09,0.000000000000000000e+00,7.499089932906584030e-03,3.080482215335874838e-03,3.637965276756497009e-03
5.000000000000000000e-01,1.503091416876283884e+09,0.000000000000000000e+00,7.499089932906584030e-03,3.471454511515277737e-03,3.820807684163528197e-03
5.166666666666666075e-01,1.503091416893102884e+09,0.000000000000000000e+00,8.998907919487899448e-03,3.876710204793388636e-03,4.035401319568216599e-03
5.333333333333333259e-01,1.503091416909648895e+09,0.000000000000000000e+00,7.499089932906584030e-03,4.291941485034087185e-03,4.231918509867227743e-03
5.500000000000000444e-01,1.503091416925637960e+09,0.000000000000000000e+00,7.499089932906584030e-03,4.712454812399590777e-03,4.435444255622330786e-03
5.666666666666666519e-01,1.503091416941224098e+09,0.000000000000000000e+00,7.499089932906584030e-03,5.133287041395441161e-03,4.645983871860697584e-03
5.833333333333333703e-01,1.503091416959017992e+09,0.000000000000000000e+00,4.499453959743949724e-03,5.549337214026433401e-03,4.813463724756870434e-03
5.999999999999999778e-01,1.503091416975045919e+09,0.000000000000000000e+00,4.499453959743949724e-03,5.955510606094106124e-03,4.987713134187504380e-03
6.166666666666666963e-01,1.503091416992472887e+09,0.000000000000000000e+00,7.499089932906584030e-03,6.346871026449030055e-03,5.218479150176764947e-03
6.333333333333333037e-01,1.503091417008038044e+09,0.000000000000000000e+00,5.999271946325266877e-03,6.718796891643532415e-03,5.430446964142911573e-03
6.500000000000000222e-01,1.503091417026218891e+09,0.000000000000000000e+00,5.999271946325266877e-03,7.067136248177731742e-03,5.648220434051294710e-03
6.666666666666666297e-01,1.503091417041909933e+09,0.000000000000000000e+00,7.499089932906584030e-03,7.388355708141601010e-03,5.896344528068764475e-03
6.833333333333333481e-01,1.503091417060167074e+09,0.000000000000000000e+00,5.999271946325266877e-03,7.679678214094950647e-03,6.124327030742434362e-03
6.999999999999999556e-01,1.503091417075963020e+09,0.000000000000000000e+00,7.499089932906584030e-03,7.939204663339093776e-03,6.381631940679862586e-03
7.166666666666666741e-01,1.503091417093637943e+09,0.000000000000000000e+00,8.998907919487899448e-03,8.166014703034185640e-03,6.667713984388564177e-03
7.333333333333332815e-01,1.503091417109173059e+09,0.000000000000000000e+00,7.499089932906584030e-03,8.360242453246961164e-03,6.932036190824456857e-03
7.500000000000000000e-01,1.503091417126528025e+09,0.000000000000000000e+00,5.999271946325266877e-03,8.523123516861340690e-03,7.174076115210900433e-03
7.666666666666666075e-01,1.503091417142112970e+09,0.000000000000000000e+00,7.499089932906584030e-03,8.657010379878772241e-03,7.443344453757322690e-03
7.833333333333333259e-01,1.503091417159674883e+09,0.000000000000000000e+00,7.499089932906584030e-03,8.765354174416400967e-03,7.714418522212706034e-03
8.000000000000000444e-01,1.503091417176348925e+09,0.000000000000000000e+00,5.999271946325266877e-03,8.852651746473177985e-03,7.961950583759347042e-03
8.166666666666666519e-01,1.503091417193120956e+09,0.000000000000000000e+00,7.499089932906584030e-03,8.924358014029961511e-03,8.235674716208288976e-03
