# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.503091853148962021e+09,-0.000000000000000000e+00,8.998907919487899448e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.503091853149503946e+09,-2.147917641751685147e-06,2.563476562500000000e-03,0.000000000000000000e+00,4.272460937499999051e-05
3.333333333333333287e-02,1.503091853155653954e+09,-8.764447890478153669e-06,8.998907919487899448e-03,2.036121991559252359e-06,1.927403433996576420e-04
5.000000000000000278e-02,1.503091853172590017e+09,-2.010613480534787772e-05,1.049872590606921660e-02,8.870962340705919414e-06,3.678669578731563403e-04
6.666666666666666574e-02,1.503091853188931942e+09,-3.641188470135284743e-05,1.049872590606921660e-02,2.149838682797131008e-05,5.432040294214427519e-04
8.333333333333332871e-02,1.503091853206676960e+09,-5.788539582759026761e-05,8.998907919487899448e-03,4.077125756175501819e-05,6.938653490389369658e-04
1.000000000000000056e-01,1.503091853222959995e+09,-8.467853633946515466e-05,1.049872590606921660e-02,6.738982318432458051e-05,8.699672778598292484e-04
1.166666666666666685e-01,1.503091853240843058e+09,-1.168766158252789247e-04,8.998907919487899448e-03,1.018961169972662468e-04,1.021647345134582031e-03
1.333333333333333315e-01,1.503091853257344961e+09,-1.544864480217000185e-04,1.049872590606921660e-02,1.446742750637536659e-04,1.199037348153464844e-03
1.499999999999999944e-01,1.503091853274924040e+09,-1.974280167416706932e-04,7.499089932906584030e-03,1.959564292923599938e-04,1.327288120856780565e-03
1.666666666666666574e-01,1.503091853291054964e+09,-2.455304358554707901e-04,8.998907919487899448e-03,2.558335955227125928e-04,1.481533812773624167e-03
1.833333333333333204e-01,1.503091853307280064e+09,-2.985327411237056528e-04,8.998907919487899448e-03,3.242707734298126373e-04,1.636920124322252621e-03
2.000000000000000111e-01,1.503091853323434114e+09,-3.560898716819140670e-04,8.998907919487899448e-03,4.011253119695700289e-04,1.793587344846543814e-03
2.166666666666666741e-01,1.503091853340747118e+09,-4.177839979613533336e-04,8.998907919487899448e-03,4.861674777229892824e-04,1.951671934800058633e-03
2.333333333333333370e-01,1.503091853356754065e+09,-4.831411375935639038e-04,1.049872590606921660e-02,5.791020985136316728e-04,2.136302401543106137e-03
2.500000000000000000e-01,1.503091853373126030e+09,-5.516527788195227855e-04,1.049872590606921660e-02,6.795901435750629615e-04,2.322607669037177625e-03
2.666666666666666630e-01,1.503091853389421940e+09,-6.228020099383184969e-04,1.049872590606921660e-02,7.872691445820033255e-04,2.510707586548031108e-03
2.833333333333333259e-01,1.503091853406111002e+09,-6.960934413600717045e-04,7.499089932906584030e-03,9.017714570123564486e-04,2.650721943046680223e-03
2.999999999999999889e-01,1.503091853422501087e+09,-7.710860117291568538e-04,8.998907919487899448e-03,1.022739504360376103e-03,2.817749400110818210e-03
3.166666666666666519e-01,1.503091853439522982e+09,-8.474275988308622738e-04,8.998907919487899448e-03,1.149837332414372412e-03,2.986895154309189386e-03
3.333333333333333148e-01,1.503091853456706047e+09,-9.248902164255929856e-04,8.998907919487899448e-03,1.282758019077282667e-03,3.158256253285275910e-03
3.499999999999999778e-01,1.503091853473933935e+09,-1.003404475733901766e-03,8.998907919487899448e-03,1.421226727474051528e-03,3.331925164067975256e-03
3.666666666666666408e-01,1.503091853490415096e+09,-1.083091929899599381e-03,7.499089932906584030e-03,1.564999445648408444e-03,3.482993320377224949e-03
3.833333333333333037e-01,1.503091853507703066e+09,-1.164293904993369579e-03,1.049872590606921660e-02,1.713857713572878791e-03,3.686536380704593090e-03
4.000000000000000222e-01,1.503091853524627924e+09,-1.247595454176688660e-03,7.499089932906584030e-03,1.867599885772813339e-03,3.842647877682583112e-03
4.166666666666666852e-01,1.503091853541502953e+09,-1.333843153197764074e-03,1.049872590606921660e-02,2.026029704078251802e-03,4.051393804518374150e-03
4.333333333333333481e-01,1.503091853557137966e+09,-1.424155584535151267e-03,1.049872590606921660e-02,2.188943148996645802e-03,4.262854955436138141e-03
4.500000000000000111e-01,1.503091853575287104e+09,-1.519925531754505541e-03,1.049872590606921660e-02,2.356114690170706041e-03,4.477102298706803381e-03
4.666666666666666741e-01,1.503091853590904951e+09,-1.622813120971943043e-03,1.049872590606921660e-02,2.527284158082283242e-03,4.694202466442662022e-03
4.833333333333333370e-01,1.503091853608015060e+09,-1.734729397244964529e-03,1.199854389265053375e-02,2.702145504188221969e-03,4.939213956389974618e-03
5.000000000000000000e-01,1.503091853623642921e+09,-1.857810103447041401e-03,8.998907919487899448e-03,2.880338700798625376e-03,5.137201400061416380e-03
5.166666666666666075e-01,1.503091853639944077e+09,-1.994379729801744761e-03,1.199854389265053375e-02,3.061445953394117871e-03,5.388201230828826988e-03
5.333333333333333259e-01,1.503091853657191038e+09,-2.146906214923141425e-03,8.998907919487899448e-03,3.244993257417012455e-03,5.592266250443908918e-03
5.500000000000000444e-01,1.503091853674442053e+09,-2.317946994440602763e-03,1.049872590606921660e-02,3.430458132126551398e-03,5.824419317747171407e-03
5.666666666666666519e-01,1.503091853689481974e+09,-2.510087401210238465e-03,1.049872590606921660e-02,3.617284111669306738e-03,6.059686151376146752e-03
5.833333333333333703e-01,1.503091853707346916e+09,-2.725872711783801448e-03,8.998907919487899448e-03,3.804902276250889549e-03,6.273082987971793055e-03
5.999999999999999778e-01,1.503091853724164963e+09,-2.967735397496824943e-03,1.199854389265053375e-02,3.992759774512622678e-03,6.539604715757845431e-03
6.166666666666666963e-01,1.503091853741271019e+09,-3.237919366061613874e-03,1.049872590606921660e-02,4.180354934043660833e-03,6.784256063093060084e-03
6.333333333333333037e-01,1.503091853756908894e+09,-3.538403162546335627e-03,1.049872590606921660e-02,4.367278193938909682e-03,7.032022798093195450e-03
6.500000000000000222e-01,1.503091853774487972e+09,-3.870824229836991592e-03,1.049872590606921660e-02,4.553257735942629544e-03,7.282889192126725843e-03
6.666666666666666297e-01,1.503091853790575027e+09,-4.236406402220371445e-03,1.199854389265053375e-02,4.738208353935717369e-03,7.561835062903162971e-03
6.833333333333333481e-01,1.503091853808331966e+09,-4.635892817275798217e-03,7.499089932906584030e-03,4.922281800165190756e-03,7.768857925121025465e-03
6.999999999999999556e-01,1.503091853824018955e+09,-5.069486378252292987e-03,1.049872590606921660e-02,5.105916594851566716e-03,8.028935300136371550e-03
7.166666666666666741e-01,1.503091853842931032e+09,-5.536799780841432546e-03,1.049872590606921660e-02,5.289885096604191907e-03,8.292078816847594375e-03
7.333333333333332815e-01,1.503091853860606909e+09,-6.036816935986195204e-03,1.049872590606921660e-02,5.475335515649479290e-03,8.558313173876239480e-03
7.500000000000000000e-01,1.503091853878732920e+09,-6.567867377306361304e-03,8.998907919487899448e-03,5.663826519235313876e-03,8.802692081188293050e-03
7.666666666666666075e-01,1.503091853895639896e+09,-7.127614943003563255e-03,7.499089932906584030e-03,5.857352135084136283e-03,9.025299448988138851e-03
7.833333333333333259e-01,1.503091853913149118e+09,-7.713061674685069320e-03,-7.499089932906584030e-03,6.058354807817643677e-03,9.001287196903323684e-03
8.000000000000000444e-01,1.503091853930885077e+09,-8.320567488026257494e-03,-1.499817986581316806e-02,6.269724705038887472e-03,8.855812944223752370e-03
8.166666666666666519e-01,1.503091853949069023e+09,-8.945885752639210278e-03,-2.099745181213843320e-02,6.494783701041788489e-03,8.614101809038808913e-03
8.333333333333333703e-01,1.503091853966758013e+09,-9.584214482183786576e-03,-2.699672375846369834e-02,6.737252880344835222e-03,8.276443961070160601e-03
8.499999999999999778e-01,1.503091853982748985e+09,-1.023026239279348562e-02,-3.749544966453291495e-02,7.001202890535109837e-03,7.768206514836863835e-03
8.666666666666666963e-01,1.503091853999022007e+09,-1.087832865099769633e-02,-4.799417557060213502e-02,7.290987021289636362e-03,7.089820039014989306e-03
8.833333333333333037e-01,1.503091854015258074e+09,-1.152239471440864339e-02,-5.999271946325267224e-02,7.611157478166899644e-03,6.216794005930226241e-03
9.000000000000000222e-01,1.503091854032092094e+09,-1.215622628224069350e-02,-6.749180939615925801e-02,7.966365937743039027e-03,5.224703281623289605e-03
9.166666666666666297e-01,1.503091854050246000e+09,-1.277348303042312970e-02,-7.949035328880978135e-02,8.361250094991447626e-03,4.039218228392984014e-03
9.333333333333333481e-01,1.503091854066035986e+09,-1.336783351892000329e-02,-9.298871516804163573e-02,8.800308523339142597e-03,2.636078117647942635e-03
9.499999999999999556e-01,1.503091854083594084e+09,-1.393307243686997023e-02,-1.049872590606921730e-01,9.287766740895365275e-03,1.041086578984662175e-03
