# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.503092020353321075e+09,0.000000000000000000e+00,5.313720703125000000e-01,0.000000000000000000e+00,5.229492187500000000e-01
1.666666666666666644e-02,1.503092020353880882e+09,0.000000000000000000e+00,5.229492187500000000e-01,0.000000000000000000e+00,5.229492187500000000e-01
3.333333333333333287e-02,1.503092020357633114e+09,0.000000000000000000e+00,5.339355468750000000e-01,0.000000000000000000e+00,5.339355468750000000e-01
5.000000000000000278e-02,1.503092020375318050e+09,0.000000000000000000e+00,5.474853515625000000e-01,0.000000000000000000e+00,5.474853515625000000e-01
6.666666666666666574e-02,1.503092020391789913e+09,0.000000000000000000e+00,5.592041015625000000e-01,0.000000000000000000e+00,5.592041015625000000e-01
8.333333333333332871e-02,1.503092020409156084e+09,0.000000000000000000e+00,5.734863281250000000e-01,0.000000000000000000e+00,5.734863281250000000e-01
1.000000000000000056e-01,1.503092020425646067e+09,0.000000000000000000e+00,5.874023437500000000e-01,0.000000000000000000e+00,5.874023437500000000e-01
1.166666666666666685e-01,1.503092020443109989e+09,0.000000000000000000e+00,6.027832031250000000e-01,0.000000000000000000e+00,6.027832031250000000e-01
1.333333333333333315e-01,1.503092020458983898e+09,0.000000000000000000e+00,6.145019531250000000e-01,0.000000000000000000e+00,6.145019531250000000e-01
1.499999999999999944e-01,1.503092020476022959e+09,0.000000000000000000e+00,6.258544921875000000e-01,0.000000000000000000e+00,6.258544921875000000e-01
1.666666666666666574e-01,1.503092020491420984e+09,0.000000000000000000e+00,6.331787109375000000e-01,0.000000000000000000e+00,6.331787109375000000e-01
1.833333333333333204e-01,1.503092020508388042e+09,0.000000000000000000e+00,6.364746093750000000e-01,0.000000000000000000e+00,6.364746093750000000e-01
2.000000000000000111e-01,1.503092020523993969e+09,0.000000000000000000e+00,6.364746093750000000e-01,0.000000000000000000e+00,6.364746093750000000e-01
2.166666666666666741e-01,1.503092020540930986e+09,0.000000000000000000e+00,6.364746093750000000e-01,0.000000000000000000e+00,6.364746093750000000e-01
2.333333333333333370e-01,1.503092020556566954e+09,0.000000000000000000e+00,6.368408203125000000e-01,0.000000000000000000e+00,6.368408203125000000e-01
2.500000000000000000e-01,1.503092020572874069e+09,0.000000000000000000e+00,6.372070312500000000e-01,0.000000000000000000e+00,6.372070312500000000e-01
2.666666666666666630e-01,1.503092020588519096e+09,0.000000000000000000e+00,6.372070312500000000e-01,0.000000000000000000e+00,6.372070312500000000e-01
2.833333333333333259e-01,1.503092020604999065e+09,0.000000000000000000e+00,6.372070312500000000e-01,0.000000000000000000e+00,6.372070312500000000e-01
2.999999999999999889e-01,1.503092020621471882e+09,0.000000000000000000e+00,6.372070312500000000e-01,0.000000000000000000e+00,6.372070312500000000e-01
3.166666666666666519e-01,1.503092020637809992e+09,0.000000000000000000e+00,6.372070312500000000e-01,0.000000000000000000e+00,6.372070312500000000e-01
3.333333333333333148e-01,1.503092020654372931e+09,0.000000000000000000e+00,6.353759765625000000e-01,0.000000000000000000e+00,6.353759765625000000e-01
