# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.503092023525140047e+09,-0.000000000000000000e+00,-5.849290147667134815e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.503092023525607109e+09,-5.714304437118248311e-07,-1.391601562500000000e-02,0.000000000000000000e+00,-2.319335937499999892e-04
3.333333333333333287e-02,1.503092023534070015e+09,-2.302512093967138948e-06,-5.849290147667134815e-02,0.000000000000000000e+00,-1.206815285027855672e-03
5.000000000000000278e-02,1.503092023550910950e+09,-5.186605858555814017e-06,-5.699308349009003793e-02,0.000000000000000000e+00,-2.156700009862689768e-03
6.666666666666666574e-02,1.503092023567476988e+09,-9.177102081233194959e-06,-5.699308349009003793e-02,0.000000000000000000e+00,-3.106584734697523647e-03
8.333333333333332871e-02,1.503092023584158897e+09,-1.419612682244029663e-05,-5.999271946325267224e-02,0.000000000000000000e+00,-4.106463392418401026e-03
1.000000000000000056e-01,1.503092023600388050e+09,-2.014969283169138080e-05,-5.849290147667134815e-02,0.000000000000000000e+00,-5.081345083696256655e-03
1.166666666666666685e-01,1.503092023617187023e+09,-2.694859470604463341e-05,-5.849290147667134815e-02,0.000000000000000000e+00,-6.056226774974112284e-03
1.333333333333333315e-01,1.503092023632802010e+09,-3.453398915671436481e-05,-5.849290147667134815e-02,0.000000000000000000e+00,-7.031108466251967913e-03
1.499999999999999944e-01,1.503092023649916887e+09,-4.290628993505441840e-05,-5.549326550350872078e-02,0.000000000000000000e+00,-7.955996224643779174e-03
1.666666666666666574e-01,1.503092023665663004e+09,-5.215575692449811430e-05,-5.399344751692739669e-02,0.000000000000000000e+00,-8.855887016592569119e-03
1.833333333333333204e-01,1.503092023682203054e+09,-6.249298190959403591e-05,-5.399344751692739669e-02,0.000000000000000000e+00,-9.755777808541359064e-03
2.000000000000000111e-01,1.503092023697734118e+09,-7.427737844587753479e-05,-5.399344751692739669e-02,0.000000000000000000e+00,-1.065566860049014901e-02
2.166666666666666741e-01,1.503092023715610027e+09,-8.804177571000245024e-05,-5.399344751692739669e-02,0.000000000000000000e+00,-1.155555939243893895e-02
2.333333333333333370e-01,1.503092023732343912e+09,-1.045112983761726627e-04,-5.399344751692739669e-02,0.000000000000000000e+00,-1.245545018438772890e-02
2.500000000000000000e-01,1.503092023749294043e+09,-1.246148850246647159e-04,-5.549326550350872078e-02,0.000000000000000000e+00,-1.338033794277954103e-02
2.666666666666666630e-01,1.503092023765908957e+09,-1.494880513502020879e-04,-5.399344751692739669e-02,0.000000000000000000e+00,-1.428022873472833097e-02
2.833333333333333259e-01,1.503092023783727884e+09,-1.804658330804128827e-04,-5.249362953034608648e-02,0.000000000000000000e+00,-1.515512256023409873e-02
2.999999999999999889e-01,1.503092023800228119e+09,-2.190652354552083945e-04,-5.249362953034608648e-02,0.000000000000000000e+00,-1.603001638573986823e-02
3.166666666666666519e-01,1.503092023816957951e+09,-2.669569570013582017e-04,-5.249362953034608648e-02,0.000000000000000000e+00,-1.690491021124563772e-02
3.333333333333333148e-01,1.503092023833060980e+09,-3.259266285284376664e-04,-5.099381154376476932e-02,0.000000000000000000e+00,-1.775480707030838504e-02
3.499999999999999778e-01,1.503092023850215912e+09,-3.978262954429972651e-04,-5.099381154376476932e-02,0.000000000000000000e+00,-1.860470392937113235e-02
3.666666666666666408e-01,1.503092023865128994e+09,-4.845173532557454660e-04,-5.099381154376476932e-02,0.000000000000000000e+00,-1.945460078843387966e-02
3.833333333333333037e-01,1.503092023882930040e+09,-5.878066028298882919e-04,-5.249362953034608648e-02,0.000000000000000000e+00,-2.032949461393964916e-02
4.000000000000000222e-01,1.503092023898644924e+09,-7.093775041618185975e-04,-5.099381154376476932e-02,0.000000000000000000e+00,-2.117939147300239647e-02
4.166666666666666852e-01,1.503092023915303946e+09,-8.507190570829036144e-04,-5.249362953034608648e-02,0.000000000000000000e+00,-2.205428529850816596e-02
4.333333333333333481e-01,1.503092023931797028e+09,-1.013055007817564640e-03,-5.099381154376476932e-02,0.000000000000000000e+00,-2.290418215757091328e-02
4.500000000000000111e-01,1.503092023949003935e+09,-1.197276257879919831e-03,-5.249362953034608648e-02,0.000000000000000000e+00,-2.377907598307668277e-02
4.666666666666666741e-01,1.503092023965205908e+09,-1.403879425422334968e-03,-5.249362953034608648e-02,0.000000000000000000e+00,-2.465396980858245227e-02
4.833333333333333370e-01,1.503092023983238935e+09,-1.632914471456205522e-03,-4.949399355718345217e-02,0.000000000000000000e+00,-2.547886970120217739e-02
5.000000000000000000e-01,1.503092023998809099e+09,-1.883944150815729289e-03,-4.949399355718345217e-02,0.000000000000000000e+00,-2.630376959382190252e-02
