# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.503092221601366997e+09,0.000000000000000000e+00,-3.449581369137028758e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.503092221601802111e+09,5.714304437118248311e-07,-8.422851562500000000e-03,0.000000000000000000e+00,-1.403808593749999892e-04
3.333333333333333287e-02,1.503092221610296965e+09,2.302512093967138948e-06,-3.449581369137028758e-02,0.000000000000000000e+00,-7.153110875645048508e-04
5.000000000000000278e-02,1.503092221626832008e+09,5.186605858555814017e-06,-3.449581369137028758e-02,0.000000000000000000e+00,-1.290241315754009658e-03
6.666666666666666574e-02,1.503092221642585039e+09,9.177102081233194959e-06,-3.299599570478897043e-02,0.000000000000000000e+00,-1.840174577500492499e-03
8.333333333333332871e-02,1.503092221659544945e+09,1.419612682244029663e-05,-3.599563167795159779e-02,0.000000000000000000e+00,-2.440101772133019056e-03
1.000000000000000056e-01,1.503092221676172018e+09,2.014969283169138080e-05,-3.599563167795159779e-02,0.000000000000000000e+00,-3.040028966765545831e-03
1.166666666666666685e-01,1.503092221693056107e+09,2.694859470604463341e-05,-3.299599570478897043e-02,0.000000000000000000e+00,-3.589962228512028671e-03
1.333333333333333315e-01,1.503092221709583044e+09,3.453398915671436481e-05,-3.149617771820764633e-02,0.000000000000000000e+00,-4.114898523815489761e-03
1.499999999999999944e-01,1.503092221726509094e+09,4.290628993505441840e-05,-3.299599570478897043e-02,0.000000000000000000e+00,-4.664831785561972602e-03
1.666666666666666574e-01,1.503092221743093967e+09,5.215575692449811430e-05,-3.299599570478897043e-02,0.000000000000000000e+00,-5.214765047308455442e-03
1.833333333333333204e-01,1.503092221760252953e+09,6.249298190959403591e-05,-3.149617771820764633e-02,0.000000000000000000e+00,-5.739701342611916099e-03
2.000000000000000111e-01,1.503092221776602983e+09,7.427737844587753479e-05,-3.299599570478897043e-02,0.000000000000000000e+00,-6.289634604358398939e-03
2.166666666666666741e-01,1.503092221793140888e+09,8.804177571000245024e-05,-3.299599570478897043e-02,0.000000000000000000e+00,-6.839567866104881780e-03
2.333333333333333370e-01,1.503092221809751987e+09,1.045112983761726627e-04,-3.299599570478897043e-02,0.000000000000000000e+00,-7.389501127851364620e-03
