# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.503092422285711050e+09,-0.000000000000000000e+00,-4.499453959743949724e-03,-0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.503092422286264896e+09,-1.798929827055640890e-06,-1.098632812500000000e-03,0.000000000000000000e+00,-1.831054687499999932e-05
3.333333333333333287e-02,1.503092422295258045e+09,-7.143096105243524524e-06,-4.499453959743949724e-03,-1.413869948528467420e-06,-9.332501070320797841e-05
5.000000000000000278e-02,1.503092422313472986e+09,-1.610466661814614789e-05,-4.499453959743949724e-03,-5.480904621995249357e-06,-1.684072584426403647e-04
6.666666666666666574e-02,1.503092422329344034e+09,-2.895384448307132715e-05,-4.499453959743949724e-03,-1.197178372019448439e-05,-2.435976875003760924e-04
8.333333333333332871e-02,1.503092422346288919e+09,-4.614755680175652706e-05,-5.999271946325266877e-03,-2.069039208931063465e-05,-3.439303931406190130e-04
1.000000000000000056e-01,1.503092422362242937e+09,-6.831024298560356336e-05,-5.999271946325266877e-03,-3.145911940556328203e-05,-4.444425775694661827e-04
1.166666666666666685e-01,1.503092422379379988e+09,-9.620762854014538220e-05,-2.999635973162633439e-03,-4.410249646159308714e-05,-4.951715520632032907e-04
1.333333333333333315e-01,1.503092422397135019e+09,-1.307146554978873428e-04,-4.499453959743949724e-03,-5.843004229691513073e-05,-5.711362854305510224e-04
1.499999999999999944e-01,1.503092422415533066e+09,-1.727789801094829173e-04,-2.999635973162633439e-03,-7.421922989269736943e-05,-6.223672054814731718e-04
1.666666666666666574e-01,1.503092422433146954e+09,-2.233816324214081377e-04,-5.999271946325266877e-03,-9.119947392158423295e-05,-7.238750624855873599e-04
1.833333333333333204e-01,1.503092422449690104e+09,-2.834965535923031810e-04,-4.499453959743949724e-03,-1.090380022054298579e-04,-8.006832618514102967e-04
2.000000000000000111e-01,1.503092422467336893e+09,-3.540507801474801052e-04,-4.499453959743949724e-03,-1.273283945496202273e-04,-8.777963010896364278e-04
2.166666666666666741e-01,1.503092422484607935e+09,-4.358870272687663831e-04,-5.999271946325266877e-03,-1.455824612706091144e-04,-9.802105412162343944e-04
2.333333333333333370e-01,1.503092422500510931e+09,-5.297303357130522588e-04,-2.999635973162633439e-03,-1.632259930194410863e-04,-1.032924907319268931e-03
2.500000000000000000e-01,1.503092422517555952e+09,-6.361602917354371124e-04,-2.999635973162633439e-03,-1.795987485318640664e-04,-1.085912152680843954e-03
2.666666666666666630e-01,1.503092422533233881e+09,-7.555901117132752349e-04,-4.499453959743949724e-03,-1.939588637388215840e-04,-1.164135699738890048e-03
2.833333333333333259e-01,1.503092422550291061e+09,-8.882536106725638213e-04,-2.999635973162633439e-03,-2.054916710143152943e-04,-1.217554493808505837e-03
2.999999999999999889e-01,1.503092422566137075e+09,-1.034200756394932025e-03,-4.499453959743949724e-03,-2.133227184913829547e-04,-1.296100771779094742e-03
3.166666666666666519e-01,1.503092422583375931e+09,-1.193302159824387266e-03,-5.999271946325266877e-03,-2.165345838736542565e-04,-1.399697547282410023e-03
3.333333333333333148e-01,1.503092422600054979e+09,-1.365262481094094800e-03,-4.499453959743949724e-03,-2.141868925491650553e-04,-1.478258228153961958e-03
3.499999999999999778e-01,1.503092422616727114e+09,-1.549642352597834774e-03,-4.499453959743949724e-03,-2.053387833626603616e-04,-1.556671440539072158e-03
3.666666666666666408e-01,1.503092422634443998e+09,-1.745888050533747236e-03,-5.999271946325266877e-03,-1.890729239062381717e-04,-1.659810521709597243e-03
3.833333333333333037e-01,1.503092422651550055e+09,-1.953367798579231079e-03,-4.499453959743949724e-03,-1.645200666847985288e-04,-1.737543422150076428e-03
4.000000000000000222e-01,1.503092422667651892e+09,-2.171413275559406532e-03,-2.999635973162633439e-03,-1.308830630781853213e-04,-1.789718739420756649e-03
4.166666666666666852e-01,1.503092422684238911e+09,-2.399364635797831668e-03,-4.499453959743949724e-03,-8.745921757750530596e-05,-1.866167292376114161e-03
4.333333333333333481e-01,1.503092422700903893e+09,-2.636617147369856289e-03,-4.499453959743949724e-03,-3.365987293033690574e-05,-1.941719189587352281e-03
4.500000000000000111e-01,1.503092422718355894e+09,-2.882667418804716816e-03,-2.999635973162633439e-03,3.097383122698587287e-05,-1.991196891952946597e-03
