# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.503092523695044041e+09,-0.000000000000000000e+00,-1.499817986581316719e-03,-0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.503092523695565939e+09,-2.147917641751685147e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.333333333333333287e-02,1.503092523704498053e+09,-8.764447890478153669e-06,0.000000000000000000e+00,-2.036121991559252359e-06,-3.393536652598753181e-08
5.000000000000000278e-02,1.503092523720973015e+09,-2.010613480534787772e-05,0.000000000000000000e+00,-8.870962340705919414e-06,-1.817847388710861803e-07
6.666666666666666574e-02,1.503092523736926079e+09,-3.641188470135284743e-05,0.000000000000000000e+00,-2.149838682797131008e-05,-5.400911860039412725e-07
8.333333333333332871e-02,1.503092523754185915e+09,-5.788539582759026761e-05,0.000000000000000000e+00,-4.077125756175501819e-05,-1.219612145366524761e-06
1.000000000000000056e-01,1.503092523770885944e+09,-8.467853633946515466e-05,0.000000000000000000e+00,-6.738982318432458051e-05,-2.342775865105267826e-06
1.166666666666666685e-01,1.503092523788868904e+09,-1.168766158252789247e-04,-1.499817986581316719e-03,-1.018961169972662468e-04,-2.903801092474831452e-05
1.333333333333333315e-01,1.503092523806170940e+09,-1.544864480217000185e-04,-1.499817986581316719e-03,-1.446742750637536659e-04,-5.644621528549949145e-05
1.499999999999999944e-01,1.503092523822069883e+09,-1.974280167416706932e-04,0.000000000000000000e+00,-1.959564292923599938e-04,-5.971215577370549225e-05
1.666666666666666574e-01,1.503092523837934017e+09,-2.455304358554707901e-04,0.000000000000000000e+00,-2.558335955227125928e-04,-6.397604903241736654e-05
1.833333333333333204e-01,1.503092523855415106e+09,-2.985327411237056528e-04,1.499817986581316719e-03,-3.242707734298126373e-04,-4.438359547989230257e-05
2.000000000000000111e-01,1.503092523871160030e+09,-3.560898716819140670e-04,0.000000000000000000e+00,-4.011253119695700289e-04,-5.106901734605180215e-05
2.166666666666666741e-01,1.503092523889477015e+09,-4.177839979613533336e-04,0.000000000000000000e+00,-4.861674777229892824e-04,-5.917180864143495414e-05
2.333333333333333370e-01,1.503092523906342030e+09,-4.831411375935639038e-04,0.000000000000000000e+00,-5.791020985136316728e-04,-6.882351028332881762e-05
2.500000000000000000e-01,1.503092523923001051e+09,-5.516527788195227855e-04,0.000000000000000000e+00,-6.795901435750629615e-04,-8.015001267624653725e-05
2.666666666666666630e-01,1.503092523939613104e+09,-6.228020099383184969e-04,-1.499817986581316719e-03,-7.872691445820033255e-04,-1.182681315289685299e-04
