# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.503092657274322987e+09,0.000000000000000000e+00,-4.799417557060213502e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.503092657276094913e+09,2.147917641751685147e-06,-1.171875000000000000e-02,0.000000000000000000e+00,-1.953124999999999837e-04
3.333333333333333287e-02,1.503092657276542902e+09,8.764447890478153669e-06,-4.799417557060213502e-02,2.036121991559252359e-06,-9.951814908101762856e-04
5.000000000000000278e-02,1.503092657293462992e+09,2.010613480534787772e-05,-4.799417557060213502e-02,8.870962340705919414e-06,-1.794936567614533298e-03
6.666666666666666574e-02,1.503092657309969902e+09,3.641188470135284743e-05,-4.799417557060213502e-02,2.149838682797131008e-05,-2.594481187344102515e-03
8.333333333333332871e-02,1.503092657325859070e+09,5.788539582759026761e-05,-5.099381154376476932e-02,4.077125756175501819e-05,-3.443698525447486114e-03
1.000000000000000056e-01,1.503092657342704058e+09,8.467853633946515466e-05,-4.799417557060213502e-02,6.738982318432458051e-05,-4.242478287904449460e-03
1.166666666666666685e-01,1.503092657358511925e+09,1.168766158252789247e-04,-4.949399355718345217e-02,1.018961169972662468e-04,-5.065679911907552957e-03
1.333333333333333315e-01,1.503092657374998093e+09,1.544864480217000185e-04,-4.799417557060213502e-02,1.446742750637536659e-04,-5.863171600166526207e-03
1.499999999999999944e-01,1.503092657392414093e+09,1.974280167416706932e-04,-5.099381154376476932e-02,1.959564292923599938e-04,-6.709802518741066549e-03
1.666666666666666574e-01,1.503092657408763885e+09,2.455304358554707901e-04,-4.949399355718345217e-02,2.558335955227125928e-04,-7.530438518102079010e-03
1.833333333333333204e-01,1.503092657425133944e+09,2.985327411237056528e-04,-5.099381154376476932e-02,3.242707734298126373e-04,-8.374930864274328368e-03
2.000000000000000111e-01,1.503092657441931963e+09,3.560898716819140670e-04,-5.249362953034608648e-02,4.011253119695700289e-04,-9.243139267913936738e-03
2.166666666666666741e-01,1.503092657459539890e+09,4.177839979613533336e-04,-5.099381154376476932e-02,4.861674777229892824e-04,-1.008493333568129952e-02
2.333333333333333370e-01,1.503092657475426912e+09,4.831411375935639038e-04,-5.099381154376476932e-02,5.791020985136316728e-04,-1.092517849310215179e-02
2.500000000000000000e-01,1.503092657492183924e+09,5.516527788195227855e-04,-5.249362953034608648e-02,6.795901435750629615e-04,-1.178874581621500162e-02
2.666666666666666630e-01,1.503092657507788897e+09,6.228020099383184969e-04,-5.099381154376476932e-02,7.872691445820033255e-04,-1.262552152286804813e-02
2.833333333333333259e-01,1.503092657525197029e+09,6.960934413600717045e-04,-5.099381154376476932e-02,9.017714570123564486e-04,-1.346038885764725551e-02
2.999999999999999889e-01,1.503092657540971994e+09,7.710860117291568538e-04,-5.249362953034608648e-02,1.022739504360376103e-03,-1.431823702474701795e-02
3.166666666666666519e-01,1.503092657558362007e+09,8.474275988308622738e-04,-4.949399355718345217e-02,1.149837332414372412e-03,-1.512397296182650328e-02
