# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.503699696393470049e+09,0.000000000000000000e+00,-1.349836187923184917e-02,-0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.503699696394052029e+09,1.798929827055640890e-06,-4.394531250000000000e-03,0.000000000000000000e+00,-7.324218749999999729e-05
3.333333333333333287e-02,1.503699696400353909e+09,7.143096105243524524e-06,-1.499817986581316806e-02,-1.413869948528467420e-06,-3.232354164293615929e-04
5.000000000000000278e-02,1.503699696416332006e+09,1.610466661814614789e-05,-1.649799785239448521e-02,-5.480904621995249357e-06,-5.982933957129695120e-04
6.666666666666666574e-02,1.503699696432682037e+09,2.895384448307132715e-05,-1.499817986581316806e-02,-1.197178372019448439e-05,-8.484625898718589545e-04
8.333333333333332871e-02,1.503699696449646950e+09,4.614755680175652706e-05,-1.499817986581316806e-02,-2.069039208931063465e-05,-1.098777094170233677e-03
1.000000000000000056e-01,1.503699696465624094e+09,6.831024298560356336e-05,-1.499817986581316806e-02,-3.145911940556328203e-05,-1.349271077257212540e-03
1.166666666666666685e-01,1.503699696483604908e+09,9.620762854014538220e-05,-1.499817986581316806e-02,-4.410249646159308714e-05,-1.599975783295125168e-03
1.333333333333333315e-01,1.503699696499391079e+09,1.307146554978873428e-04,-1.799781583897579890e-02,-5.843004229691513073e-05,-1.900913214649670386e-03
1.499999999999999944e-01,1.503699696516271114e+09,1.727789801094829173e-04,-1.349836187923184917e-02,-7.421922989269736943e-05,-2.127122899801746087e-03
1.666666666666666574e-01,1.503699696532351971e+09,2.233816324214081377e-04,-1.649799785239448521e-02,-9.119947392158423295e-05,-2.403609521907013827e-03
1.833333333333333204e-01,1.503699696548727036e+09,2.834965535923031810e-04,-1.199854389265053375e-02,-1.090380022054298579e-04,-2.605402553487946599e-03
2.000000000000000111e-01,1.503699696565294027e+09,3.540507801474801052e-04,-1.349836187923184917e-02,-1.273283945496202273e-04,-2.832497391384304532e-03
2.166666666666666741e-01,1.503699696581604958e+09,4.358870272687663831e-04,-1.049872590606921660e-02,-1.455824612706091144e-04,-3.009902530839968400e-03
2.333333333333333370e-01,1.503699696597662926e+09,5.297303357130522588e-04,-1.499817986581316806e-02,-1.632259930194410863e-04,-3.262592628487178455e-03
2.500000000000000000e-01,1.503699696614706993e+09,6.361602917354371124e-04,-1.349836187923184917e-02,-1.795987485318640664e-04,-3.490558638949906815e-03
2.666666666666666630e-01,1.503699696630398989e+09,7.555901117132752349e-04,-1.499817986581316806e-02,-1.939588637388215840e-04,-3.743760951109106460e-03
2.833333333333333259e-01,1.503699696647860050e+09,8.882536106725638213e-04,-1.949763382555711605e-02,-2.054916710143152943e-04,-4.072146376051963453e-03
2.999999999999999889e-01,1.503699696665476084e+09,1.034200756394932025e-03,-1.349836187923184917e-02,-2.133227184913829547e-04,-4.300674452680683726e-03
3.166666666666666519e-01,1.503699696683444977e+09,1.193302159824387266e-03,-1.349836187923184917e-02,-2.165345838736542565e-04,-4.529256060399109059e-03
3.333333333333333148e-01,1.503699696699208975e+09,1.365262481094094800e-03,-1.499817986581316806e-02,-2.141868925491650553e-04,-4.782795506371814546e-03
3.499999999999999778e-01,1.503699696716154099e+09,1.549642352597834774e-03,-1.349836187923184917e-02,-2.053387833626603616e-04,-5.011190517415056549e-03
3.666666666666666408e-01,1.503699696732803106e+09,1.745888050533747236e-03,-1.349836187923184917e-02,-1.890729239062381717e-04,-5.239314430800691251e-03
3.833333333333333037e-01,1.503699696750967026e+09,1.953367798579231079e-03,-1.049872590606921660e-02,-1.645200666847985288e-04,-5.417035197013257870e-03
4.000000000000000222e-01,1.503699696766572952e+09,2.171413275559406532e-03,-1.499817986581316806e-02,-1.308830630781853213e-04,-5.669186245828113611e-03
4.166666666666666852e-01,1.503699696784957886e+09,2.399364635797831668e-03,-1.499817986581316806e-02,-8.745921757750530596e-05,-5.920613563884624675e-03
4.333333333333333481e-01,1.503699696800136089e+09,2.636617147369856289e-03,-1.349836187923184917e-02,-3.365987293033690574e-05,-6.146147259753994598e-03
