# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.503699748308326960e+09,-0.000000000000000000e+00,-4.349472161085818356e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.503699748308955908e+09,-1.798929827055640890e-06,-9.887695312500000000e-03,0.000000000000000000e+00,-1.647949218750000108e-04
3.333333333333333287e-02,1.503699748318139076e+09,-7.143096105243524524e-06,-3.599563167795159779e-02,1.413869948528467420e-06,-7.646985520083843853e-04
5.000000000000000278e-02,1.503699748335100889e+09,-1.610466661814614789e-05,-3.149617771820764633e-02,5.480904621995249357e-06,-1.289543498901478489e-03
6.666666666666666574e-02,1.503699748351712942e+09,-2.895384448307132715e-05,-2.999635973162633612e-02,1.197178372019448439e-05,-1.789283298033247406e-03
8.333333333333332871e-02,1.503699748369468927e+09,-4.614755680175652706e-05,-2.549690577188238466e-02,2.069039208931063465e-05,-2.213886887696465359e-03
1.000000000000000056e-01,1.503699748386389017e+09,-6.831024298560356336e-05,-3.449581369137028758e-02,3.145911940556328203e-05,-2.788292797229210539e-03
1.166666666666666685e-01,1.503699748402343035e+09,-9.620762854014538220e-05,-2.999635973162633612e-02,4.410249646159308714e-05,-3.287497084481956055e-03
1.333333333333333315e-01,1.503699748418510914e+09,-1.307146554978873428e-04,-2.849654174504501897e-02,5.843004229691513073e-05,-3.761465612861091164e-03
1.499999999999999944e-01,1.503699748435297012e+09,-1.727789801094829173e-04,-3.299599570478897043e-02,7.421922989269736943e-05,-4.310161887442695572e-03
1.666666666666666574e-01,1.503699748451028109e+09,-2.233816324214081377e-04,-2.399708778530106751e-02,9.119947392158423295e-05,-4.708593359299019857e-03
1.833333333333333204e-01,1.503699748468921900e+09,-2.834965535923031810e-04,-1.499817986581316806e-02,1.090380022054298579e-04,-4.956745723692482057e-03
2.000000000000000111e-01,1.503699748486656904e+09,-3.540507801474801052e-04,-1.199854389265053375e-02,1.273283945496202273e-04,-5.154599315327496913e-03
2.166666666666666741e-01,1.503699748504241943e+09,-4.358870272687663831e-04,-8.998907919487899448e-03,1.455824612706091144e-04,-5.302154739631118399e-03
2.333333333333333370e-01,1.503699748521073103e+09,-5.297303357130522588e-04,-7.499089932906584030e-03,1.632259930194410863e-04,-5.424419138629237198e-03
2.500000000000000000e-01,1.503699748537019014e+09,-6.361602917354371124e-04,-1.049872590606921660e-02,1.795987485318640664e-04,-5.596404591254859444e-03
2.666666666666666630e-01,1.503699748553891897e+09,-7.555901117132752349e-04,-1.199854389265053375e-02,1.939588637388215840e-04,-5.793147675070054771e-03
2.833333333333333259e-01,1.503699748571089983e+09,-8.882536106725638213e-04,-1.199854389265053375e-02,2.054916710143152943e-04,-5.989698545430658001e-03
2.999999999999999889e-01,1.503699748586678982e+09,-1.034200756394932025e-03,-1.199854389265053375e-02,2.133227184913829547e-04,-6.186118898333310516e-03
3.166666666666666519e-01,1.503699748604799986e+09,-1.193302159824387266e-03,-1.199854389265053375e-02,2.165345838736542565e-04,-6.382485720146258840e-03
3.333333333333333148e-01,1.503699748621706963e+09,-1.365262481094094800e-03,-1.499817986581316806e-02,2.141868925491650553e-04,-6.628885603033991825e-03
3.499999999999999778e-01,1.503699748638020992e+09,-1.549642352597834774e-03,-1.049872590606921660e-02,2.053387833626603616e-04,-6.800442055079101294e-03
3.666666666666666408e-01,1.503699748654705048e+09,-1.745888050533747236e-03,-1.049872590606921660e-02,1.890729239062381717e-04,-6.972269604781817197e-03
3.833333333333333037e-01,1.503699748672749996e+09,-1.953367798579231079e-03,-7.499089932906584030e-03,1.645200666847985288e-04,-7.094512435885513314e-03
4.000000000000000222e-01,1.503699748689292908e+09,-2.171413275559406532e-03,-7.499089932906584030e-03,1.308830630781853213e-04,-7.217315883715986861e-03
4.166666666666666852e-01,1.503699748706244946e+09,-2.399364635797831668e-03,-8.998907919487899448e-03,8.745921757750530596e-05,-7.365840028747826403e-03
4.333333333333333481e-01,1.503699748722264051e+09,-2.636617147369856289e-03,-7.499089932906584030e-03,3.365987293033690574e-05,-7.490263863080763584e-03
4.500000000000000111e-01,1.503699748738955021e+09,-2.882667418804716816e-03,-1.199854389265053375e-02,-3.097383122698587287e-05,-7.690755825145389156e-03
4.666666666666666741e-01,1.503699748754726887e+09,-3.137157125635596337e-03,-1.049872590606921660e-02,-1.067599882549475742e-04,-7.867513923384125696e-03
