# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.503699949208405018e+09,0.000000000000000000e+00,5.999271946325266877e-03,-0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.503699949208986044e+09,0.000000000000000000e+00,1.098632812500000000e-03,0.000000000000000000e+00,1.831054687499999932e-05
3.333333333333333287e-02,1.503699949216991901e+09,0.000000000000000000e+00,4.499453959743949724e-03,-9.035247014785260355e-08,9.329994032956334909e-05
5.000000000000000278e-02,1.503699949233962059e+09,0.000000000000000000e+00,2.999635973162633439e-03,-6.158594877866561234e-08,1.432928467831276085e-04
6.666666666666666574e-02,1.503699949251545906e+09,0.000000000000000000e+00,4.499453959743949724e-03,5.100377451749107210e-07,2.182922467412796736e-04
8.333333333333332871e-02,1.503699949269702911e+09,0.000000000000000000e+00,4.499453959743949724e-03,1.994648274121536016e-06,2.933163902082475041e-04
1.000000000000000056e-01,1.503699949286345959e+09,0.000000000000000000e+00,4.499453959743949724e-03,4.691205138388199306e-06,3.683854762896198224e-04
1.166666666666666685e-01,1.503699949303292990e+09,0.000000000000000000e+00,4.499453959743949724e-03,8.818200971931082271e-06,4.435233456348844578e-04
1.333333333333333315e-01,1.503699949319948912e+09,0.000000000000000000e+00,2.999635973162633439e-03,1.451334062605906637e-05,4.937591675313626706e-04
1.499999999999999944e-01,1.503699949337374926e+09,0.000000000000000000e+00,5.999271946325266877e-03,2.184245933675090187e-05,5.941110742923962681e-04
1.666666666666666574e-01,1.503699949353130102e+09,0.000000000000000000e+00,7.499089932906584030e-03,3.081747699355461261e-05,7.196095311240652617e-04
1.833333333333333204e-01,1.503699949371895075e+09,0.000000000000000000e+00,5.999271946325266877e-03,4.142271947649717591e-05,8.202877755540946341e-04
2.000000000000000111e-01,1.503699949385776043e+09,0.000000000000000000e+00,4.499453959743949724e-03,5.364849134855939253e-05,8.961728164056364382e-04
2.166666666666666741e-01,1.503699949402863026e+09,0.000000000000000000e+00,5.999271946325266877e-03,6.753037552224476850e-05,9.972861884364283593e-04
2.333333333333333370e-01,1.503699949419858932e+09,0.000000000000000000e+00,2.999635973162633439e-03,8.319238229435474104e-05,1.048666661027378199e-03
2.500000000000000000e-01,1.503699949436047077e+09,0.000000000000000000e+00,5.999271946325266877e-03,1.008917879401751631e-04,1.150336056598468817e-03
