# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.503700099968389034e+09,0.000000000000000000e+00,3.149617771820764633e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.503700099969151020e+09,0.000000000000000000e+00,8.422851562500000000e-03,0.000000000000000000e+00,1.403808593749999892e-04
3.333333333333333287e-02,1.503700099975951910e+09,0.000000000000000000e+00,3.299599570478897043e-02,5.533874176911749648e-06,6.904063523577646730e-04
5.000000000000000278e-02,1.503700099993477106e+09,0.000000000000000000e+00,3.599563167795159779e-02,2.246585738844798167e-05,1.290707977946765330e-03
6.666666666666666574e-02,1.503700100009685993e+09,0.000000000000000000e+00,3.599563167795159779e-02,5.127754235841473405e-05,1.891489798285265686e-03
8.333333333333332871e-02,1.503700100026220083e+09,0.000000000000000000e+00,3.599563167795159779e-02,9.238118567068819714e-05,2.492956679345637201e-03
1.000000000000000056e-01,1.503700100042550087e+09,0.000000000000000000e+00,3.599563167795159779e-02,1.460559333900881445e-04,3.095318139534665187e-03
1.166666666666666685e-01,1.503700100060306072e+09,0.000000000000000000e+00,3.449581369137028758e-02,2.123860144856160579e-04,3.673788134632263551e-03
1.333333333333333315e-01,1.503700100076313019e+09,0.000000000000000000e+00,3.899526765111423210e-02,2.912036602790000106e-04,4.328562656488817509e-03
1.499999999999999944e-01,1.503700100093708992e+09,0.000000000000000000e+00,3.749544966453291495e-02,3.820393804546372827e-04,4.959854140571943494e-03
1.666666666666666574e-01,1.503700100110729933e+09,0.000000000000000000e+00,3.749544966453291495e-02,4.840819961801292475e-04,5.592846334917161120e-03
1.833333333333333204e-01,1.503700100127588034e+09,0.000000000000000000e+00,3.299599570478897043e-02,5.961505058324608137e-04,6.152715438427517822e-03
2.000000000000000111e-01,1.503700100144176960e+09,0.000000000000000000e+00,3.449581369137028758e-02,7.166794494368970009e-04,6.739590324107637594e-03
2.166666666666666741e-01,1.503700100161206007e+09,0.000000000000000000e+00,3.449581369137028758e-02,8.437189580923983067e-04,7.328582534932015502e-03
2.333333333333333370e-01,1.503700100177797079e+09,0.000000000000000000e+00,3.899526765111423210e-02,9.749501409648655753e-04,7.994752831466667153e-03
2.500000000000000000e-01,1.503700100193358898e+09,0.000000000000000000e+00,3.899526765111423210e-02,1.107715893606488287e-03,8.663135890545346426e-03
2.666666666666666630e-01,1.503700100209456921e+09,0.000000000000000000e+00,4.049508563769554925e-02,1.239066627642610883e-03,9.358705094967648477e-03
2.833333333333333259e-01,1.503700100225425959e+09,0.000000000000000000e+00,4.049508563769554925e-02,1.365819844308707254e-03,1.005638685300105223e-02
2.999999999999999889e-01,1.503700100241302013e+09,0.000000000000000000e+00,4.199490362427686641e-02,1.484631924057535930e-03,1.078104577880662635e-02
3.166666666666666519e-01,1.503700100258546114e+09,0.000000000000000000e+00,4.049508563769554925e-02,1.592080001974978832e-03,1.148249853946780100e-02
3.333333333333333148e-01,1.503700100275182962e+09,0.000000000000000000e+00,4.049508563769554925e-02,1.684751363147112815e-03,1.218549582281517815e-02
3.499999999999999778e-01,1.503700100291986942e+09,0.000000000000000000e+00,4.049508563769554925e-02,1.759337440447660906e-03,1.288973620745089907e-02
3.666666666666666408e-01,1.503700100309458017e+09,0.000000000000000000e+00,3.899526765111423210e-02,1.812729243806999449e-03,1.356986948903292009e-02
3.833333333333333037e-01,1.503700100326484919e+09,0.000000000000000000e+00,4.199490362427686641e-02,1.842110905989324029e-03,1.430048639787069066e-02
4.000000000000000222e-01,1.503700100343144894e+09,0.000000000000000000e+00,4.049508563769554925e-02,1.845048002676580919e-03,1.500615529187689264e-02
4.166666666666666852e-01,1.503700100359105110e+09,0.000000000000000000e+00,4.199490362427686641e-02,1.819567397677700248e-03,1.573639647557613375e-02
4.333333333333333481e-01,1.503700100375163078e+09,0.000000000000000000e+00,4.349472161085818356e-02,1.764225576610288504e-03,1.649071226203394080e-02
4.500000000000000111e-01,1.503700100392043114e+09,0.000000000000000000e+00,3.899526765111423210e-02,1.678162759473531343e-03,1.716860276887707121e-02
4.666666666666666741e-01,1.503700100408677101e+09,0.000000000000000000e+00,4.199490362427686641e-02,1.561140515049872684e-03,1.789453683786584870e-02
4.833333333333333370e-01,1.503700100425251007e+09,0.000000000000000000e+00,4.049508563769554925e-02,1.413561125051614057e-03,1.859301428391163524e-02
5.000000000000000000e-01,1.503700100440825939e+09,0.000000000000000000e+00,4.199490362427686641e-02,1.236467546864621070e-03,1.931353713676399464e-02
5.166666666666666075e-01,1.503700100458421946e+09,0.000000000000000000e+00,4.349472161085818356e-02,1.031523481118459861e-03,2.005564122163027221e-02
5.333333333333333259e-01,1.503700100474916935e+09,0.000000000000000000e+00,4.049508563769554925e-02,8.009737422133024996e-04,2.074390887796208685e-02
5.500000000000000444e-01,1.503700100491152048e+09,0.000000000000000000e+00,4.349472161085818356e-02,5.475858327473990964e-04,2.147794733535551490e-02
5.666666666666666519e-01,1.503700100507683992e+09,0.000000000000000000e+00,4.049508563769554925e-02,2.745743119843295152e-04,2.215744166785017788e-02
5.833333333333333703e-01,1.503700100525068045e+09,0.000000000000000000e+00,3.899526765111423210e-02,-1.448980055016158534e-05,2.280712129869291380e-02
5.999999999999999778e-01,1.503700100540854931e+09,0.000000000000000000e+00,4.049508563769554925e-02,-3.157817564270085997e-04,2.347677636338072263e-02
6.166666666666666963e-01,1.503700100557425976e+09,0.000000000000000000e+00,3.899526765111423210e-02,-6.253346103176369913e-04,2.411627524739400064e-02
6.333333333333333037e-01,1.503700100573126078e+09,0.000000000000000000e+00,4.049508563769554925e-02,-9.391558182922498266e-04,2.477554074438405654e-02
6.500000000000000222e-01,1.503700100589749098e+09,0.000000000000000000e+00,3.749544966453291495e-02,-1.253344889196387297e-03,2.537957582397299891e-02
6.666666666666666297e-01,1.503700100606381893e+09,0.000000000000000000e+00,3.899526765111423210e-02,-1.564207931263541509e-03,2.600342681930384314e-02
6.833333333333333481e-01,1.503700100623716116e+09,0.000000000000000000e+00,3.749544966453291495e-02,-1.868364934512109585e-03,2.659721156480418860e-02
6.999999999999999556e-01,1.503700100639801979e+09,0.000000000000000000e+00,3.299599570478897043e-02,-2.162845774974126584e-03,2.711109739696776835e-02
7.166666666666666741e-01,1.503700100655188084e+09,0.000000000000000000e+00,3.149617771820764633e-02,-2.445171218560044952e-03,2.759528083862856224e-02
7.333333333333332815e-01,1.503700100671106100e+09,0.000000000000000000e+00,1.649799785239448521e-02,-2.713415634493829710e-03,2.782502387559357415e-02
7.500000000000000000e-01,1.503700100687621117e+09,0.000000000000000000e+00,-4.499453959743949724e-03,-2.966248689908270592e-03,2.770059549809936877e-02
7.666666666666666075e-01,1.503700100704421043e+09,0.000000000000000000e+00,-1.949763382555711605e-02,-3.202953972796256012e-03,2.732225236812681202e-02
7.833333333333333259e-01,1.503700100721398115e+09,0.000000000000000000e+00,-4.199490362427686641e-02,-3.423423260171674660e-03,2.656528025338600330e-02
8.000000000000000444e-01,1.503700100738061905e+09,0.000000000000000000e+00,-6.299235543641529267e-02,-3.628125988331018428e-03,2.545493889630689663e-02
8.166666666666666519e-01,1.503700100755769968e+09,0.000000000000000000e+00,-8.698944322171636712e-02,-3.818054365771248338e-03,2.394148060318210258e-02
8.333333333333333703e-01,1.503700100771913052e+09,0.000000000000000000e+00,-1.079868950338547934e-01,-3.994645467586950723e-03,2.207512159482474118e-02
8.499999999999999778e-01,1.503700100788515091e+09,0.000000000000000000e+00,-1.274845288594119164e-01,-4.159682532650255983e-03,1.988105140495703693e-02
8.666666666666666963e-01,1.503700100805200100e+09,0.000000000000000000e+00,-1.349836187923185160e-01,-4.315178520785480087e-03,1.755940478307196906e-02
8.833333333333333037e-01,1.503700100822598934e+09,0.000000000000000000e+00,-1.364834367788998193e-01,-4.463245746321983613e-03,1.521029340765160665e-02
9.000000000000000222e-01,1.503700100838238001e+09,0.000000000000000000e+00,-1.334838008057371850e-01,-4.605956058306192799e-03,1.290879745991754986e-02
9.166666666666666297e-01,1.503700100855779886e+09,0.000000000000000000e+00,-1.349836187923185160e-01,-4.745196560368790568e-03,1.057998387070609517e-02
9.333333333333333481e-01,1.503700100872076988e+09,0.000000000000000000e+00,-1.319839828191558817e-01,-4.882526232414131223e-03,8.298875386513261329e-03
9.499999999999999556e-01,1.503700100889312983e+09,0.000000000000000000e+00,-1.229850748996679788e-01,-5.019039013962309920e-03,6.165473487952757500e-03
9.666666666666666741e-01,1.503700100905958891e+09,0.000000000000000000e+00,-1.139861669801800759e-01,-5.155238922272869541e-03,4.179783389578541584e-03
9.833333333333332815e-01,1.503700100922686100e+09,0.000000000000000000e+00,-1.109865310070174416e-01,-5.290932600146764676e-03,2.241825662792471755e-03
1.000000000000000000e+00,1.503700100938797951e+09,0.000000000000000000e+00,-1.109865310070174416e-01,-5.425144317459010268e-03,3.016310740511975869e-04
1.016666666666666607e+00,1.503700100955502987e+09,0.000000000000000000e+00,-1.139861669801800759e-01,-5.556057892255280607e-03,-1.690739340489391153e-03
1.033333333333333215e+00,1.503700100971677065e+09,0.000000000000000000e+00,-1.289843468459932474e-01,-5.680989263219857373e-03,-3.935161608976276044e-03
1.050000000000000044e+00,1.503700100988934040e+09,0.000000000000000000e+00,-1.604805245642008660e-01,-5.796392553215560205e-03,-6.706443560933215975e-03
1.066666666666666652e+00,1.503700101005857944e+09,0.000000000000000000e+00,-1.784783404031766718e-01,-5.897901436913617797e-03,-9.779380924934719804e-03
1.083333333333333259e+00,1.503700101022743940e+09,0.000000000000000000e+00,-1.844776123495019404e-01,-5.980406492971828032e-03,-1.295368123897594828e-02
1.100000000000000089e+00,1.503700101038675070e+09,0.000000000000000000e+00,-1.844776123495019404e-01,-6.038168015929929258e-03,-1.612894424506648022e-02
1.116666666666666696e+00,1.503700101056108952e+09,0.000000000000000000e+00,-1.859774303360832715e-01,-6.064962521635169218e-03,-1.932965079269512165e-02
1.133333333333333304e+00,1.503700101071798086e+09,0.000000000000000000e+00,-1.799781583897580028e-01,-6.054259941713214556e-03,-2.243019109821964285e-02
1.149999999999999911e+00,1.503700101089020014e+09,0.000000000000000000e+00,-1.634801605373635280e-01,-5.999427307781755696e-03,-2.525485089563873214e-02
1.166666666666666741e+00,1.503700101105190992e+09,0.000000000000000000e+00,-1.394830727520624536e-01,-5.893953615232778304e-03,-2.767780133509365262e-02
1.183333333333333348e+00,1.503700101122567892e+09,0.000000000000000000e+00,-1.154859849667613791e-01,-5.731689568724562985e-03,-2.969809591068508364e-02
1.199999999999999956e+00,1.503700101138861895e+09,0.000000000000000000e+00,-9.748816912778557331e-02,-5.507095083754636085e-03,-3.141468364754408660e-02
1.216666666666666563e+00,1.503700101155380964e+09,0.000000000000000000e+00,-8.248998926197241566e-02,-5.215486783805338422e-03,-3.287644158164038100e-02
1.233333333333333393e+00,1.503700101171999931e+09,0.000000000000000000e+00,-6.299235543641529267e-02,-4.853277318638382631e-03,-3.400720212755794364e-02
1.250000000000000000e+00,1.503700101189388990e+09,0.000000000000000000e+00,-2.849654174504501897e-02,-4.418198158477932951e-03,-3.455578112594999418e-02
1.266666666666666607e+00,1.503700101206013918e+09,0.000000000000000000e+00,7.499089932906584030e-03,-3.909497606352741947e-03,-3.449595458717409635e-02
1.283333333333333215e+00,1.503700101223653078e+09,0.000000000000000000e+00,3.899526765111423210e-02,-3.328106124509364570e-03,-3.390150189506401651e-02
1.300000000000000044e+00,1.503700101239594936e+09,0.000000000000000000e+00,5.999271946325267224e-02,-2.676761690284681135e-03,-3.294623593218121843e-02
1.316666666666666652e+00,1.503700101256278038e+09,0.000000000000000000e+00,7.799053530222846420e-02,-1.960088773571966921e-03,-3.167906182337027615e-02
1.333333333333333259e+00,1.503700101272960901e+09,0.000000000000000000e+00,9.448853315462296676e-02,-1.184625645178302841e-03,-3.012399669821286610e-02
1.350000000000000089e+00,1.503700101290669918e+09,0.000000000000000000e+00,1.289843468459932474e-01,-3.587960580516324962e-04,-2.798023751841383772e-02
1.366666666666666696e+00,1.503700101306689024e+09,0.000000000000000000e+00,1.799781583897580028e-01,5.071771408981383573e-04,-2.497214859290289996e-02
1.383333333333333304e+00,1.503700101323059082e+09,0.000000000000000000e+00,2.339716059066853926e-01,1.401417251099273606e-03,-2.104926487360649079e-02
1.399999999999999911e+00,1.503700101339438915e+09,0.000000000000000000e+00,2.774663275175435762e-01,2.310596835167042559e-03,-1.638631613439464618e-02
1.416666666666666741e+00,1.503700101356066942e+09,0.000000000000000000e+00,2.984637793296820441e-01,3.220195929448183697e-03,-1.135824988007580819e-02
1.433333333333333348e+00,1.503700101371946096e+09,0.000000000000000000e+00,3.044630512760072572e-01,4.114810762164859866e-03,-6.215285512772939641e-03
1.449999999999999956e+00,1.503700101389331102e+09,0.000000000000000000e+00,3.029632332894259816e-01,4.978506648684142590e-03,-1.082923180471103732e-03
1.466666666666666563e+00,1.503700101405076027e+09,0.000000000000000000e+00,3.029632332894259816e-01,5.795207102955107249e-03,4.063050826068580201e-03
1.483333333333333393e+00,1.503700101421653032e+09,0.000000000000000000e+00,2.999635973162633196e-01,6.549109741147618978e-03,9.171595943692094355e-03
1.500000000000000000e+00,1.503700101437664032e+09,0.000000000000000000e+00,2.999635973162633196e-01,7.225118308470185151e-03,1.429140787077098559e-02
1.516666666666666607e+00,1.503700101454413891e+09,0.000000000000000000e+00,2.984637793296820441e-01,7.809279178798450571e-03,1.939595884591232763e-02
1.533333333333333215e+00,1.503700101471165895e+09,0.000000000000000000e+00,2.939643253699381065e-01,8.289209998635133428e-03,2.443351776872187964e-02
1.550000000000000044e+00,1.503700101487447977e+09,0.000000000000000000e+00,2.744666915443809696e-01,8.654507803952238634e-03,2.915220442452743158e-02
1.566666666666666652e+00,1.503700101504076004e+09,0.000000000000000000e+00,2.414706958395920200e-01,8.897123953732526819e-03,3.332500142108284213e-02
1.583333333333333259e+00,1.503700101521956921e+09,0.000000000000000000e+00,1.784783404031766718e-01,9.011693610849302871e-03,3.644983532131660514e-02
