# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.503700554379977942e+09,-0.000000000000000000e+00,4.499453959743949724e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.503700554380428076e+09,-9.035247014785260355e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.333333333333333287e-02,1.503700554389899969e+09,-6.158594877866561234e-08,4.499453959743949724e-03,0.000000000000000000e+00,7.499089932906583325e-05
5.000000000000000278e-02,1.503700554407330036e+09,5.100377451749107210e-07,1.049872590606921660e-02,0.000000000000000000e+00,2.499696644302194532e-04
6.666666666666666574e-02,1.503700554423887014e+09,1.994648274121536016e-06,5.999271946325266877e-03,0.000000000000000000e+00,3.499575302023072128e-04
8.333333333333332871e-02,1.503700554441399097e+09,4.691205138388199306e-06,5.999271946325266877e-03,0.000000000000000000e+00,4.499453959743949724e-04
1.000000000000000056e-01,1.503700554458174944e+09,8.818200971931082271e-06,5.999271946325266877e-03,0.000000000000000000e+00,5.499332617464827320e-04
1.166666666666666685e-01,1.503700554475513935e+09,1.451334062605906637e-05,4.499453959743949724e-03,0.000000000000000000e+00,6.249241610755485246e-04
1.333333333333333315e-01,1.503700554492043972e+09,2.184245933675090187e-05,5.999271946325266877e-03,0.000000000000000000e+00,7.249120268476362842e-04
1.499999999999999944e-01,1.503700554508989096e+09,3.081747699355461261e-05,2.999635973162633439e-03,0.000000000000000000e+00,7.749059597336802182e-04
1.666666666666666574e-01,1.503700554525418043e+09,4.142271947649717591e-05,5.999271946325266877e-03,0.000000000000000000e+00,8.748938255057679778e-04
1.833333333333333204e-01,1.503700554542140007e+09,5.364849134855939253e-05,7.499089932906584030e-03,0.000000000000000000e+00,9.998786577208778129e-04
2.000000000000000111e-01,1.503700554558795929e+09,6.753037552224476850e-05,7.499089932906584030e-03,0.000000000000000000e+00,1.124863489935987431e-03
2.166666666666666741e-01,1.503700554576822996e+09,8.319238229435474104e-05,7.499089932906584030e-03,0.000000000000000000e+00,1.249848322151097049e-03
2.333333333333333370e-01,1.503700554593341112e+09,1.008917879401751631e-04,7.499089932906584030e-03,0.000000000000000000e+00,1.374833154366206667e-03
2.500000000000000000e-01,1.503700554610548019e+09,1.210633050002973734e-04,7.499089932906584030e-03,0.000000000000000000e+00,1.499817986581316286e-03
2.666666666666666630e-01,1.503700554626693010e+09,1.443601226359816176e-04,5.999271946325266877e-03,0.000000000000000000e+00,1.599805852353404154e-03
2.833333333333333259e-01,1.503700554644556046e+09,1.716893527455437551e-04,7.499089932906584030e-03,0.000000000000000000e+00,1.724790684568513772e-03
2.999999999999999889e-01,1.503700554661242962e+09,2.042395190156062572e-04,5.999271946325266877e-03,0.000000000000000000e+00,1.824778550340601640e-03
3.166666666666666519e-01,1.503700554677340984e+09,2.434979309616407746e-04,8.998907919487899448e-03,0.000000000000000000e+00,1.974760348998733442e-03
3.333333333333333148e-01,1.503700554693931103e+09,2.912560886301888453e-04,5.999271946325266877e-03,0.000000000000000000e+00,2.074748214770821310e-03
3.499999999999999778e-01,1.503700554712781906e+09,3.496016575272619699e-04,8.998907919487899448e-03,0.000000000000000000e+00,2.224730013428953112e-03
3.666666666666666408e-01,1.503700554727171898e+09,4.208960254705205800e-04,1.049872590606921660e-02,0.000000000000000000e+00,2.399708778530106664e-03
3.833333333333333037e-01,1.503700554744865894e+09,5.077369881911939723e-04,8.998907919487899448e-03,0.000000000000000000e+00,2.549690577188238466e-03
4.000000000000000222e-01,1.503700554762475014e+09,6.129066906540876075e-04,1.049872590606921660e-02,0.000000000000000000e+00,2.724669342289392018e-03
4.166666666666666852e-01,1.503700554780441999e+09,7.393055560820595198e-04,7.499089932906584030e-03,0.000000000000000000e+00,2.849654174504501637e-03
4.333333333333333481e-01,1.503700554797018051e+09,8.898735429339312214e-04,8.998907919487899448e-03,0.000000000000000000e+00,2.999635973162633439e-03
4.500000000000000111e-01,1.503700554814212084e+09,1.067500659194303616e-03,2.999635973162633439e-03,0.000000000000000000e+00,3.049629906048677373e-03
4.666666666666666741e-01,1.503700554830775023e+09,1.274929210894515559e-03,5.999271946325266877e-03,0.000000000000000000e+00,3.149617771820765241e-03
4.833333333333333370e-01,1.503700554848584890e+09,1.514650746181578529e-03,8.998907919487899448e-03,0.000000000000000000e+00,3.299599570478897043e-03
5.000000000000000000e-01,1.503700554865447044e+09,1.788801057425762732e-03,7.499089932906584030e-03,0.000000000000000000e+00,3.424584402694006661e-03
5.166666666666666075e-01,1.503700554881947994e+09,2.099056904030863376e-03,2.999635973162633439e-03,0.000000000000000000e+00,3.474578335580050595e-03
5.333333333333333259e-01,1.503700554898493052e+09,2.446538302962865136e-03,8.998907919487899448e-03,0.000000000000000000e+00,3.624560134238182397e-03
5.500000000000000444e-01,1.503700554916899920e+09,2.831720291260549777e-03,1.049872590606921660e-02,0.000000000000000000e+00,3.799538899339335949e-03
5.666666666666666519e-01,1.503700554934120893e+09,3.254357987668876195e-03,7.499089932906584030e-03,0.000000000000000000e+00,3.924523731554445567e-03
5.833333333333333703e-01,1.503700554950705051e+09,3.713428566145969036e-03,5.999271946325266877e-03,0.000000000000000000e+00,4.024511597326533435e-03
5.999999999999999778e-01,1.503700554968384981e+09,4.207093404022396559e-03,8.998907919487899448e-03,0.000000000000000000e+00,4.174493395984664804e-03
6.166666666666666963e-01,1.503700554986131907e+09,4.732683188373959342e-03,5.999271946325266877e-03,0.000000000000000000e+00,4.274481261756752672e-03
6.333333333333333037e-01,1.503700555002001047e+09,5.286708166604601848e-03,7.499089932906584030e-03,0.000000000000000000e+00,4.399466093971862723e-03
6.500000000000000222e-01,1.503700555019582987e+09,5.864895026550029714e-03,8.998907919487899448e-03,0.000000000000000000e+00,4.549447892629994092e-03
6.666666666666666297e-01,1.503700555035290003e+09,6.462251106765999273e-03,8.998907919487899448e-03,0.000000000000000000e+00,4.699429691288125460e-03
6.833333333333333481e-01,1.503700555051831007e+09,7.073155791636227298e-03,7.499089932906584030e-03,0.000000000000000000e+00,4.824414523503235512e-03
6.999999999999999556e-01,1.503700555069113016e+09,7.691478063862907007e-03,8.998907919487899448e-03,0.000000000000000000e+00,4.974396322161366880e-03
7.166666666666666741e-01,1.503700555086218119e+09,8.310718296144896725e-03,5.999271946325266877e-03,0.000000000000000000e+00,5.074384187933454748e-03
7.333333333333332815e-01,1.503700555102113008e+09,8.924171492935190769e-03,7.499089932906584030e-03,0.000000000000000000e+00,5.199369020148564800e-03
7.500000000000000000e-01,1.503700555118985891e+09,9.525108370918132158e-03,7.499089932906584030e-03,0.000000000000000000e+00,5.324353852363674852e-03
7.666666666666666075e-01,1.503700555134916067e+09,1.010696992143725846e-02,8.998907919487899448e-03,0.000000000000000000e+00,5.474335651021806221e-03
7.833333333333333259e-01,1.503700555151860952e+09,1.066357045615539192e-02,8.998907919487899448e-03,0.000000000000000000e+00,5.624317449679937589e-03
8.000000000000000444e-01,1.503700555168704033e+09,1.118930362290468210e-02,7.499089932906584030e-03,0.000000000000000000e+00,5.749302281895047641e-03
8.166666666666666519e-01,1.503700555186459064e+09,1.167934551285866596e-02,7.499089932906584030e-03,0.000000000000000000e+00,5.874287114110157693e-03
8.333333333333333703e-01,1.503700555203295946e+09,1.212984877966266466e-02,8.998907919487899448e-03,0.000000000000000000e+00,6.024268912768289061e-03
8.499999999999999778e-01,1.503700555219857931e+09,1.253812166814301764e-02,8.998907919487899448e-03,0.000000000000000000e+00,6.174250711426420429e-03
8.666666666666666963e-01,1.503700555237448931e+09,1.290278601164197674e-02,8.998907919487899448e-03,0.000000000000000000e+00,6.324232510084551798e-03
8.833333333333333037e-01,1.503700555255305052e+09,1.322390860431258211e-02,7.499089932906584030e-03,0.000000000000000000e+00,6.449217342299661850e-03
9.000000000000000222e-01,1.503700555271965027e+09,1.350310088354657843e-02,7.499089932906584030e-03,0.000000000000000000e+00,6.574202174514771901e-03
9.166666666666666297e-01,1.503700555289343119e+09,1.374358255804380285e-02,8.998907919487899448e-03,0.000000000000000000e+00,6.724183973172903270e-03
9.333333333333333481e-01,1.503700555305964947e+09,1.395020567323297309e-02,8.998907919487899448e-03,0.000000000000000000e+00,6.874165771831034638e-03
9.499999999999999556e-01,1.503700555323396921e+09,1.412943659695855593e-02,7.499089932906584030e-03,0.000000000000000000e+00,6.999150604046144690e-03
9.666666666666666741e-01,1.503700555338985920e+09,1.428929450897262546e-02,7.499089932906584030e-03,0.000000000000000000e+00,7.124135436261254742e-03
9.833333333333332815e-01,1.503700555356354952e+09,1.443924615818679286e-02,4.499453959743949724e-03,0.000000000000000000e+00,7.199126335590320426e-03
1.000000000000000000e+00,1.503700555373594046e+09,1.459005787898178842e-02,7.499089932906584030e-03,0.000000000000000000e+00,7.324111167805430478e-03
1.016666666666666607e+00,1.503700555389895916e+09,1.475360709697055503e-02,7.499089932906584030e-03,0.000000000000000000e+00,7.449096000020540530e-03
1.033333333333333215e+00,1.503700555407542944e+09,1.494265676900824805e-02,8.998907919487899448e-03,0.000000000000000000e+00,7.599077798678671898e-03
1.050000000000000044e+00,1.503700555425240993e+09,1.517059735527391887e-02,8.998907919487899448e-03,0.000000000000000000e+00,7.749059597336803266e-03
