# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.503700674095237970e+09,0.000000000000000000e+00,-2.399708778530106751e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.503700674095911980e+09,3.817254851680025241e-07,-5.493164062500000000e-03,0.000000000000000000e+00,-9.155273437500000000e-05
3.333333333333333287e-02,1.503700674104026079e+09,1.300879160145474001e-06,-2.399708778530106751e-02,0.000000000000000000e+00,-4.915041974633510384e-04
5.000000000000000278e-02,1.503700674121748924e+09,2.492678168490824970e-06,-2.849654174504501897e-02,0.000000000000000000e+00,-9.664465598807679778e-04
6.666666666666666574e-02,1.503700674137607098e+09,3.823260550326531765e-06,-2.849654174504501897e-02,0.000000000000000000e+00,-1.441388922298184917e-03
8.333333333333332871e-02,1.503700674155642033e+09,5.328717903556420757e-06,-2.999635973162633612e-02,0.000000000000000000e+00,-1.941328251158623824e-03
1.000000000000000056e-01,1.503700674172071934e+09,7.251277399833045257e-06,-2.849654174504501897e-02,0.000000000000000000e+00,-2.416270613576040980e-03
1.166666666666666685e-01,1.503700674188338995e+09,1.007052534532055656e-05,-2.699672375846369834e-02,0.000000000000000000e+00,-2.866216009550435952e-03
1.333333333333333315e-01,1.503700674204868078e+09,1.452765292379677706e-05,-2.849654174504501897e-02,0.000000000000000000e+00,-3.341158371967853109e-03
1.499999999999999944e-01,1.503700674222477913e+09,2.164088504001222748e-05,-3.299599570478897043e-02,0.000000000000000000e+00,-3.891091633714335949e-03
1.666666666666666574e-01,1.503700674238473892e+09,3.271052087503867475e-05,-3.299599570478897043e-02,0.000000000000000000e+00,-4.441024895460818356e-03
1.833333333333333204e-01,1.503700674254491091e+09,4.931236195258694631e-05,-2.699672375846369834e-02,0.000000000000000000e+00,-4.890970291435213328e-03
