# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.503702649278264046e+09,0.000000000000000000e+00,2.109375000000000000e-01,0.000000000000000000e+00,6.794175479213364621e-01
1.666666666666666644e-02,1.503702649278523922e+09,0.000000000000000000e+00,6.794175479213364621e-01,0.000000000000000000e+00,6.794175479213364621e-01
3.333333333333333287e-02,1.503702649278727055e+09,0.000000000000000000e+00,2.113037109375000000e-01,0.000000000000000000e+00,2.113037109375000000e-01
5.000000000000000278e-02,1.503702649295464039e+09,0.000000000000000000e+00,2.120361328125000000e-01,0.000000000000000000e+00,2.120361328125000000e-01
6.666666666666666574e-02,1.503702649311518908e+09,0.000000000000000000e+00,2.113037109375000000e-01,0.000000000000000000e+00,2.113037109375000000e-01
8.333333333333332871e-02,1.503702649329019070e+09,0.000000000000000000e+00,2.109375000000000000e-01,0.000000000000000000e+00,2.109375000000000000e-01
1.000000000000000056e-01,1.503702649344638109e+09,0.000000000000000000e+00,2.105712890625000000e-01,0.000000000000000000e+00,2.105712890625000000e-01
1.166666666666666685e-01,1.503702649361810923e+09,0.000000000000000000e+00,2.116699218750000000e-01,0.000000000000000000e+00,2.116699218750000000e-01
1.333333333333333315e-01,1.503702649378842115e+09,0.000000000000000000e+00,2.116699218750000000e-01,0.000000000000000000e+00,2.116699218750000000e-01
1.499999999999999944e-01,1.503702649395848989e+09,0.000000000000000000e+00,2.109375000000000000e-01,0.000000000000000000e+00,2.109375000000000000e-01
1.666666666666666574e-01,1.503702649412251949e+09,0.000000000000000000e+00,2.113037109375000000e-01,0.000000000000000000e+00,2.113037109375000000e-01
1.833333333333333204e-01,1.503702649428837061e+09,0.000000000000000000e+00,2.116699218750000000e-01,0.000000000000000000e+00,2.116699218750000000e-01
2.000000000000000111e-01,1.503702649446329117e+09,0.000000000000000000e+00,2.109375000000000000e-01,0.000000000000000000e+00,2.109375000000000000e-01
2.166666666666666741e-01,1.503702649463470936e+09,0.000000000000000000e+00,2.109375000000000000e-01,0.000000000000000000e+00,2.109375000000000000e-01
2.333333333333333370e-01,1.503702649479274988e+09,0.000000000000000000e+00,2.094726562500000000e-01,0.000000000000000000e+00,2.094726562500000000e-01
