# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.504289465380209923e+09,-0.000000000000000000e+00,2.549690577188238466e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.504289465380744934e+09,-1.798929827055640890e-06,5.493164062500000000e-03,0.000000000000000000e+00,9.155273437500000000e-05
3.333333333333333287e-02,1.504289465389353037e+09,-7.143096105243524524e-06,2.699672375846369834e-02,1.413869948528467420e-06,5.415216948485369929e-04
5.000000000000000278e-02,1.504289465406302929e+09,-1.610466661814614789e-05,2.399708778530106751e-02,5.480904621995249357e-06,9.415645063472546927e-04
6.666666666666666574e-02,1.504289465422980070e+09,-2.895384448307132715e-05,2.399708778530106751e-02,1.197178372019448439e-05,1.341715499164275720e-03
8.333333333333332871e-02,1.504289465440309048e+09,-4.614755680175652706e-05,2.399708778530106751e-02,2.069039208931063465e-05,1.742011802120782028e-03
1.000000000000000056e-01,1.504289465457029104e+09,-6.831024298560356336e-05,2.099745181213843320e-02,3.145911940556328203e-05,2.092493650979848543e-03
1.166666666666666685e-01,1.504289465475158930e+09,-9.620762854014538220e-05,2.399708778530106751e-02,4.410249646159308714e-05,2.493180155675892972e-03
1.333333333333333315e-01,1.504289465491753101e+09,-1.307146554978873428e-04,2.399708778530106751e-02,5.843004229691513073e-05,2.894105452802526058e-03
1.499999999999999944e-01,1.504289465508775949e+09,-1.727789801094829173e-04,1.949763382555711605e-02,7.421922989269736943e-05,3.220303003726689844e-03
1.666666666666666574e-01,1.504289465524451971e+09,-2.233816324214081377e-04,2.249726979871975036e-02,9.119947392158423295e-05,3.596777491604045453e-03
1.833333333333333204e-01,1.504289465540798903e+09,-2.834965535923031810e-04,2.249726979871975036e-02,1.090380022054298579e-04,3.973549288286131777e-03
2.000000000000000111e-01,1.504289465557495117e+09,-3.540507801474801052e-04,1.649799785239448521e-02,1.273283945496202273e-04,4.250638059068533210e-03
2.166666666666666741e-01,1.504289465573767900e+09,-4.358870272687663831e-04,1.649799785239448521e-02,1.455824612706091144e-04,4.528031064296284512e-03
2.333333333333333370e-01,1.504289465590487003e+09,-5.297303357130522588e-04,1.649799785239448521e-02,1.632259930194410863e-04,4.805718128386516318e-03
