# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.504290006535541058e+09,0.000000000000000000e+00,-5.549326550350872078e-02,-0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.504290006536026955e+09,2.147917641751685147e-06,-1.318359375000000000e-02,0.000000000000000000e+00,-2.197265625000000054e-04
3.333333333333333287e-02,1.504290006544574022e+09,8.764447890478153669e-06,-5.549326550350872078e-02,-2.036121991559252359e-06,-1.144648256258337963e-03
5.000000000000000278e-02,1.504290006561520100e+09,2.010613480534787772e-05,-5.549326550350872078e-02,-8.870962340705919414e-06,-2.069683864022495157e-03
6.666666666666666574e-02,1.504290006578102112e+09,3.641188470135284743e-05,-5.249362953034608648e-02,-2.149838682797131008e-05,-2.944935995975395994e-03
8.333333333333332871e-02,1.504290006595663071e+09,5.788539582759026761e-05,-5.249362953034608648e-02,-4.077125756175501819e-05,-3.820509342440526167e-03
1.000000000000000056e-01,1.504290006612325907e+09,8.467853633946515466e-05,-5.399344751692739669e-02,-6.738982318432458051e-05,-4.721523298109054842e-03
1.166666666666666685e-01,1.504290006628650904e+09,1.168766158252789247e-04,-5.549326550350872078e-02,-1.018961169972662468e-04,-5.648109325117487735e-03
1.333333333333333315e-01,1.504290006645359039e+09,1.544864480217000185e-04,-5.099381154376476932e-02,-1.446742750637536659e-04,-6.500417422097963006e-03
1.499999999999999944e-01,1.504290006661391973e+09,1.974280167416706932e-04,-5.249362953034608648e-02,-1.959564292923599938e-04,-7.378577188091936870e-03
1.666666666666666574e-01,1.504290006677510023e+09,2.455304358554707901e-04,-5.249362953034608648e-02,-2.558335955227125928e-04,-8.257734906856417298e-03
1.833333333333333204e-01,1.504290006694442034e+09,2.985327411237056528e-04,-5.249362953034608648e-02,-3.242707734298126373e-04,-9.138033245252683012e-03
2.000000000000000111e-01,1.504290006710350037e+09,3.560898716819140670e-04,-5.399344751692739669e-02,-4.011253119695700289e-04,-1.004460945906763235e-02
2.166666666666666741e-01,1.504290006727627993e+09,4.177839979613533336e-04,-5.249362953034608648e-02,-4.861674777229892824e-04,-1.092760607586878291e-02
2.333333333333333370e-01,1.504290006744153976e+09,4.831411375935639038e-04,-5.249362953034608648e-02,-5.791020985136316728e-04,-1.181215160301644571e-02
2.500000000000000000e-01,1.504290006763653040e+09,5.516527788195227855e-04,-5.699308349009003793e-02,-6.795901435750629615e-04,-1.277336283024419795e-02
2.666666666666666630e-01,1.504290006776972055e+09,6.228020099383184969e-04,-5.399344751692739669e-02,-7.872691445820033255e-04,-1.368637477460268870e-02
2.833333333333333259e-01,1.504290006795114994e+09,6.960934413600717045e-04,-5.399344751692739669e-02,-9.017714570123564486e-04,-1.460129509083501857e-02
2.999999999999999889e-01,1.504290006811783075e+09,7.710860117291568538e-04,-5.249362953034608648e-02,-1.022739504360376103e-03,-1.549323457474679339e-02
3.166666666666666519e-01,1.504290006828854084e+09,8.474275988308622738e-04,-5.399344751692739669e-02,-1.149837332414372412e-03,-1.641228932223582140e-02
3.333333333333333148e-01,1.504290006845475912e+09,9.248902164255929856e-04,-5.399344751692739669e-02,-1.282758019077282667e-03,-1.733355941450256607e-02
3.499999999999999778e-01,1.504290006862703085e+09,1.003404475733901766e-03,-5.399344751692739669e-02,-1.421226727474051528e-03,-1.825713731857592226e-02
3.666666666666666408e-01,1.504290006878803015e+09,1.083091929899599381e-03,-5.399344751692739669e-02,-1.564999445648408444e-03,-1.918311143461885401e-02
3.833333333333333037e-01,1.504290006895076990e+09,1.164293904993369579e-03,-5.399344751692739669e-02,-1.713857713572878791e-03,-2.011156652179385898e-02
4.000000000000000222e-01,1.504290006910809994e+09,1.247595454176688660e-03,-5.399344751692739669e-02,-1.867599885772813339e-03,-2.104258397850553020e-02
4.166666666666666852e-01,1.504290006926786900e+09,1.333843153197764074e-03,-5.249362953034608648e-02,-2.026029704078251802e-03,-2.195124496574593631e-02
4.333333333333333481e-01,1.504290006942853928e+09,1.424155584535151267e-03,-5.399344751692739669e-02,-2.188943148996645802e-03,-2.288761814351133669e-02
4.500000000000000111e-01,1.504290006958971977e+09,1.519925531754505541e-03,-5.549326550350872078e-02,-2.356114690170706041e-03,-2.385177448007266138e-02
4.666666666666666741e-01,1.504290006974932909e+09,1.622813120971943043e-03,-5.099381154376476932e-02,-2.527284158082283242e-03,-2.474379274177011118e-02
4.833333333333333370e-01,1.504290006991086006e+09,1.734729397244964529e-03,-5.399344751692739669e-02,-2.702145504188221969e-03,-2.568871929212203711e-02
5.000000000000000000e-01,1.504290007007486105e+09,1.857810103447041401e-03,-5.249362953034608648e-02,-2.880338700798625376e-03,-2.661161876264111700e-02
5.166666666666666075e-01,1.504290007023894072e+09,1.994379729801744761e-03,-5.249362953034608648e-02,-3.061445953394117871e-03,-2.753753668737012050e-02
5.333333333333333259e-01,1.504290007039522886e+09,2.146906214923141425e-03,-5.099381154376476932e-02,-3.244993257417012455e-03,-2.844151676738981838e-02
5.500000000000000444e-01,1.504290007056138039e+09,2.317946994440602763e-03,-5.399344751692739669e-02,-3.430458132126551398e-03,-2.939858186154071726e-02
5.666666666666666519e-01,1.504290007072478056e+09,2.510087401210238465e-03,-5.399344751692739669e-02,-3.617284111669306738e-03,-3.035876072201732986e-02
5.833333333333333703e-01,1.504290007089831114e+09,2.725872711783801448e-03,-5.249362953034608648e-02,-3.804902276250889549e-03,-3.129706958546061429e-02
5.999999999999999778e-01,1.504290007105947971e+09,2.967735397496824943e-03,-5.099381154376476932e-02,-3.992759774512622678e-03,-3.221351244076523651e-02
6.166666666666666963e-01,1.504290007123075962e+09,3.237919366061613874e-03,-5.399344751692739669e-02,-4.180354934043660833e-03,-3.318307581494808756e-02
6.333333333333333037e-01,1.504290007139750957e+09,3.538403162546335627e-03,-5.399344751692739669e-02,-4.367278193938909682e-03,-3.415575457679585758e-02
6.500000000000000222e-01,1.504290007157171011e+09,3.870824229836991592e-03,-5.099381154376476932e-02,-4.553257735942629544e-03,-3.508153906479098000e-02
6.666666666666666297e-01,1.504290007174415112e+09,4.236406402220371445e-03,-5.399344751692739669e-02,-4.738208353935717369e-03,-3.606039999597203394e-02
6.833333333333333481e-01,1.504290007191986084e+09,4.635892817275798217e-03,-5.249362953034608648e-02,-4.922281800165190756e-03,-3.701733185148055327e-02
6.999999999999999556e-01,1.504290007207532883e+09,5.069486378252292987e-03,-4.049508563769554925e-02,-5.105916594851566716e-03,-3.777734855535633957e-02
7.166666666666666741e-01,1.504290007224980116e+09,5.536799780841432546e-03,-1.949763382555711605e-02,-5.289885096604191907e-03,-3.819047387072569549e-02
7.333333333333332815e-01,1.504290007240643978e+09,6.036816935986195204e-03,-2.999635973162633439e-03,-5.475335515649479290e-03,-3.833172339553923141e-02
7.500000000000000000e-01,1.504290007258048058e+09,6.567867377306361304e-03,1.949763382555711605e-02,-5.663826519235313876e-03,-3.810115994043386523e-02
