# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.504290055967389107e+09,-0.000000000000000000e+00,3.749544966453291495e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.504290055967888117e+09,-2.147917641751685147e-06,9.521484375000000000e-03,0.000000000000000000e+00,1.586914062499999783e-04
3.333333333333333287e-02,1.504290055976878881e+09,-8.764447890478153669e-06,3.749544966453291495e-02,2.036121991559252359e-06,7.836495026920744676e-04
5.000000000000000278e-02,1.504290055992970943e+09,-2.010613480534787772e-05,3.449581369137028758e-02,8.870962340705919414e-06,1.358727580253924448e-03
6.666666666666666574e-02,1.504290056009474039e+09,-3.641188470135284743e-05,3.449581369137028758e-02,2.149838682797131008e-05,1.934016114890562115e-03
8.333333333333332871e-02,1.504290056025697947e+09,-5.788539582759026761e-05,3.599563167795159779e-02,4.077125756175501819e-05,2.534622830482451301e-03
1.000000000000000056e-01,1.504290056041909933e+09,-8.467853633946515466e-05,3.749544966453291495e-02,6.738982318432458051e-05,3.160670155277738556e-03
1.166666666666666685e-01,1.504290056058147907e+09,-1.168766158252789247e-04,3.899526765111423210e-02,1.018961169972662468e-04,3.812289551412930029e-03
1.333333333333333315e-01,1.504290056074717999e+09,-1.544864480217000185e-04,3.599563167795159779e-02,1.446742750637536659e-04,4.414627983963186064e-03
1.499999999999999944e-01,1.504290056091347933e+09,-1.974280167416706932e-04,3.449581369137028758e-02,1.959564292923599938e-04,4.992824152640896324e-03
1.666666666666666574e-01,1.504290056107053041e+09,-2.455304358554707901e-04,3.599563167795159779e-02,2.558335955227125928e-04,5.597015240532134464e-03
1.833333333333333204e-01,1.504290056124851942e+09,-2.985327411237056528e-04,3.599563167795159779e-02,3.242707734298126373e-04,6.202346948055157891e-03
2.000000000000000111e-01,1.504290056141201973e+09,-3.560898716819140670e-04,3.599563167795159779e-02,4.011253119695700289e-04,6.808959564553844490e-03
2.166666666666666741e-01,1.504290056158124924e+09,-4.177839979613533336e-04,3.599563167795159779e-02,4.861674777229892824e-04,7.416989550481754498e-03
2.333333333333333370e-01,1.504290056174876928e+09,-4.831411375935639038e-04,3.749544966453291495e-02,5.791020985136316728e-04,8.051565413199197191e-03
2.500000000000000000e-01,1.504290056191972017e+09,-5.516527788195227855e-04,3.449581369137028758e-02,6.795901435750629615e-04,8.637822143781620152e-03
2.666666666666666630e-01,1.504290056208678007e+09,-6.228020099383184969e-04,3.749544966453291495e-02,7.872691445820033255e-04,9.275867457266868607e-03
2.833333333333333259e-01,1.504290056225028038e+09,-6.960934413600717045e-04,3.599563167795159779e-02,9.017714570123564486e-04,9.890824176182934011e-03
2.999999999999999889e-01,1.504290056241746902e+09,-7.710860117291568538e-04,4.199490362427686641e-02,1.022739504360376103e-03,1.060778489499355527e-02
3.166666666666666519e-01,1.504290056258680105e+09,-8.474275988308622738e-04,3.449581369137028758e-02,1.149837332414372412e-03,1.120187907872330010e-02
3.333333333333333148e-01,1.504290056274379969e+09,-9.248902164255929856e-04,3.599563167795159779e-02,1.282758019077282667e-03,1.182318557367378203e-02
3.499999999999999778e-01,1.504290056290509939e+09,-1.003404475733901766e-03,3.599563167795159779e-02,1.421226727474051528e-03,1.244679988043087548e-02
3.666666666666666408e-01,1.504290056307663918e+09,-1.083091929899599381e-03,3.599563167795159779e-02,1.564999445648408444e-03,1.307281039915754277e-02
3.833333333333333037e-01,1.504290056324651003e+09,-1.164293904993369579e-03,3.599563167795159779e-02,1.713857713572878791e-03,1.370130188901628326e-02
4.000000000000000222e-01,1.504290056341515064e+09,-1.247595454176688660e-03,3.599563167795159779e-02,1.867599885772813339e-03,1.433235574841169001e-02
4.166666666666666852e-01,1.504290056358586073e+09,-1.333843153197764074e-03,3.899526765111423210e-02,2.026029704078251802e-03,1.501604403766489820e-02
4.333333333333333481e-01,1.504290056375319004e+09,-1.424155584535151267e-03,3.599563167795159779e-02,2.188943148996645802e-03,1.565245361811403585e-02
4.500000000000000111e-01,1.504290056391501904e+09,-1.519925531754505541e-03,3.449581369137028758e-02,2.356114690170706041e-03,1.626665242447305343e-02
4.666666666666666741e-01,1.504290056408118010e+09,-1.622813120971943043e-03,2.849654174504501897e-02,2.527284158082283242e-03,1.678371618952517394e-02
4.833333333333333370e-01,1.504290056425061941e+09,-1.734729397244964529e-03,2.999635973162633612e-02,2.702145504188221969e-03,1.732869127678874840e-02
5.000000000000000000e-01,1.504290056441510916e+09,-1.857810103447041401e-03,2.999635973162633612e-02,2.880338700798625376e-03,1.787663625066249901e-02
5.166666666666666075e-01,1.504290056457958937e+09,-1.994379729801744761e-03,2.849654174504501897e-02,3.061445953394117871e-03,1.840260271230315103e-02
5.333333333333333259e-01,1.504290056474620104e+09,-2.146906214923141425e-03,2.549690577188238466e-02,3.244993257417012455e-03,1.888163436279147525e-02
5.500000000000000444e-01,1.504290056492149115e+09,-2.317946994440602763e-03,3.149617771820764633e-02,3.430458132126551398e-03,1.946374496029704484e-02
5.666666666666666519e-01,1.504290056508845091e+09,-2.510087401210238465e-03,2.849654174504501897e-02,3.617284111669306738e-03,1.999897539124228379e-02
5.833333333333333703e-01,1.504290056525778055e+09,-2.725872711783801448e-03,2.999635973162633612e-02,3.804902276250889549e-03,2.056232975804023894e-02
5.999999999999999778e-01,1.504290056542356014e+09,-2.967735397496824943e-03,3.149617771820764633e-02,3.992759774512622678e-03,2.115381204958557623e-02
6.166666666666666963e-01,1.504290056559737921e+09,-3.237919366061613874e-03,3.149617771820764633e-02,4.180354934043660833e-03,2.174842092712309799e-02
6.333333333333333037e-01,1.504290056575162888e+09,-3.538403162546335627e-03,2.999635973162633612e-02,4.367278193938909682e-03,2.232114822588252001e-02
6.500000000000000222e-01,1.504290056591522932e+09,-3.870824229836991592e-03,3.749544966453291495e-02,4.553257735942629544e-03,2.302196001589044624e-02
6.666666666666666297e-01,1.504290056608110905e+09,-4.236406402220371445e-03,2.849654174504501897e-02,4.738208353935717369e-03,2.357587251754012653e-02
6.833333333333333481e-01,1.504290056625468969e+09,-4.635892817275798217e-03,2.999635973162633612e-02,4.922281800165190756e-03,2.415784987640332004e-02
6.999999999999999556e-01,1.504290056642117023e+09,-5.069486378252292987e-03,2.999635973162633612e-02,5.105916594851566716e-03,2.474288781517795105e-02
7.166666666666666741e-01,1.504290056658535004e+09,-5.536799780841432546e-03,3.299599570478897043e-02,5.289885096604191907e-03,2.538098582853450316e-02
7.333333333333332815e-01,1.504290056675282001e+09,-6.036816935986195204e-03,3.449581369137028758e-02,5.475335515649479290e-03,2.604717164865149800e-02
7.500000000000000000e-01,1.504290056693031073e+09,-6.567867377306361304e-03,3.149617771820764633e-02,5.663826519235313876e-03,2.666650505260887913e-02
7.666666666666666075e-01,1.504290056708785057e+09,-7.127614943003563255e-03,3.299599570478897043e-02,5.857352135084136283e-03,2.731406084994009859e-02
7.833333333333333259e-01,1.504290056725172043e+09,-7.713061674685069320e-03,3.149617771820764633e-02,6.058354807817643677e-03,2.793996972537385326e-02
8.000000000000000444e-01,1.504290056740899086e+09,-8.320567488026257494e-03,3.149617771820764633e-02,6.269724705038887472e-03,2.856940143242796271e-02
8.166666666666666519e-01,1.504290056756634951e+09,-8.945885752639210278e-03,3.299599570478897043e-02,6.494783701041788489e-03,2.922758108919180919e-02
8.333333333333333703e-01,1.504290056773375988e+09,-9.584214482183786576e-03,3.299599570478897043e-02,6.737252880344835222e-03,2.988980189894403783e-02
8.499999999999999778e-01,1.504290056790884972e+09,-1.023026239279348562e-02,3.299599570478897043e-02,7.001202890535109837e-03,3.055642187553277156e-02
8.666666666666666963e-01,1.504290056807851076e+09,-1.087832865099769633e-02,2.999635973162633612e-02,7.290987021289636362e-03,3.117787765474803671e-02
8.833333333333333037e-01,1.504290056823899984e+09,-1.152239471440864339e-02,3.299599570478897043e-02,7.611157478166899644e-03,3.185466354113063170e-02
9.000000000000000222e-01,1.504290056840627909e+09,-1.215622628224069350e-02,3.299599570478897043e-02,7.966365937743039027e-03,3.253736956850616230e-02
9.166666666666666297e-01,1.504290056858208895e+09,-1.277348303042312970e-02,2.549690577188238466e-02,8.361250094991447626e-03,3.310167216628739223e-02
9.333333333333333481e-01,1.504290056875737906e+09,-1.336783351892000329e-02,2.699672375846369834e-02,8.800308523339142597e-03,3.369828937098410387e-02
9.499999999999999556e-01,1.504290056892539978e+09,-1.393307243686997023e-02,2.849654174504501897e-02,9.287766740895365275e-03,3.432802784574977978e-02
9.666666666666666741e-01,1.504290056908484936e+09,-1.446323720269759340e-02,2.549690577188238466e-02,9.827437891412245732e-03,3.491676690680468875e-02
9.833333333333332815e-01,1.504290056926990986e+09,-1.495272086792841064e-02,2.849654174504501897e-02,1.042258188496758900e-02,3.556541896730489732e-02
1.000000000000000000e+00,1.504290056943831921e+09,-1.539637828944405949e-02,2.099745181213843320e-02,1.107576718213668793e-02,3.609997261720948591e-02
1.016666666666666607e+00,1.504290056960329056e+09,-1.578962263740874353e-02,1.799781583897579890e-02,1.178873962984385709e-02,3.659641520835647810e-02
1.033333333333333215e+00,1.504290056976881981e+09,-1.612850949472105500e-02,1.349836187923184917e-02,1.256230285342018783e-02,3.703075962056734394e-02
1.050000000000000044e+00,1.504290056995006084e+09,-1.640980607574245645e-02,7.499089932906584030e-03,1.339621466745600196e-02,3.737901469724005249e-02
1.066666666666666652e+00,1.504290057011585951e+09,-1.663104344189852632e-02,5.999271946325266877e-03,1.428910378166091746e-02,3.771715429270648678e-02
1.083333333333333259e+00,1.504290057028991938e+09,-1.679055001182331794e-02,-2.999635973162633439e-03,1.523841074536454177e-02,3.792113387224318316e-02
1.100000000000000089e+00,1.504290057045500040e+09,-1.688746514407012123e-02,-5.999271946325266877e-03,1.624035659836986500e-02,3.809181861644392320e-02
1.116666666666666696e+00,1.504290057062622070e+09,-1.692173209908233791e-02,-1.499817986581316806e-02,1.728994208420411155e-02,3.813001465341710888e-02
1.133333333333333304e+00,1.504290057078006029e+09,-1.689407025041901600e-02,-2.249726979871975036e-02,1.838097954667100228e-02,3.806140981588296279e-02
