# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.504290105193327904e+09,-0.000000000000000000e+00,-7.349108134248452662e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.504290105193802118e+09,-3.817254851680025241e-07,-1.904296875000000000e-02,0.000000000000000000e+00,-3.173828124999999566e-04
3.333333333333333287e-02,1.504290105201059103e+09,-1.300879160145474001e-06,-7.049144536932187843e-02,0.000000000000000000e+00,-1.492240235322031322e-03
5.000000000000000278e-02,1.504290105218166113e+09,-2.492678168490824970e-06,-6.899162738274057516e-02,0.000000000000000000e+00,-2.642100691701040720e-03
6.666666666666666574e-02,1.504290105235735893e+09,-3.823260550326531765e-06,-6.749180939615925801e-02,0.000000000000000000e+00,-3.766964181637028151e-03
8.333333333333332871e-02,1.504290105253648996e+09,-5.328717903556420757e-06,-6.599199140957794085e-02,0.000000000000000000e+00,-4.866830705129993398e-03
1.000000000000000056e-01,1.504290105269490957e+09,-7.251277399833045257e-06,-6.299235543641529267e-02,0.000000000000000000e+00,-5.916703295736914711e-03
1.166666666666666685e-01,1.504290105285248041e+09,-1.007052534532055656e-05,-6.449217342299662370e-02,0.000000000000000000e+00,-6.991572852786858208e-03
1.333333333333333315e-01,1.504290105301875114e+09,-1.452765292379677706e-05,-5.549326550350872078e-02,0.000000000000000000e+00,-7.916460611178670337e-03
1.499999999999999944e-01,1.504290105319858074e+09,-2.164088504001222748e-05,-4.349472161085818356e-02,0.000000000000000000e+00,-8.641372638026306729e-03
1.666666666666666574e-01,1.504290105335839033e+09,-3.271052087503867475e-05,-3.749544966453291495e-02,0.000000000000000000e+00,-9.266296799101854387e-03
1.833333333333333204e-01,1.504290105353302002e+09,-4.931236195258694631e-05,-2.399708778530106751e-02,0.000000000000000000e+00,-9.666248262190205859e-03
2.000000000000000111e-01,1.504290105369113922e+09,-7.327871900694729536e-05,-1.949763382555711605e-02,0.000000000000000000e+00,-9.991208825949490779e-03
2.166666666666666741e-01,1.504290105385632038e+09,-1.066666586335454062e-04,-1.799781583897579890e-02,0.000000000000000000e+00,-1.029117242326575352e-02
2.333333333333333370e-01,1.504290105402272940e+09,-1.517136580324148691e-04,-1.799781583897579890e-02,0.000000000000000000e+00,-1.059113602058201625e-02
2.500000000000000000e-01,1.504290105418154955e+09,-2.107813626672053490e-04,-1.649799785239448521e-02,0.000000000000000000e+00,-1.086610265145525681e-02
2.666666666666666630e-01,1.504290105435802937e+09,-2.862886676406794974e-04,-1.499817986581316806e-02,0.000000000000000000e+00,-1.111607231588547691e-02
2.833333333333333259e-01,1.504290105452790976e+09,-3.806358487452030700e-04,-1.499817986581316806e-02,0.000000000000000000e+00,-1.136604198031569701e-02
2.999999999999999889e-01,1.504290105469283104e+09,-4.961219333511698729e-04,-1.649799785239448521e-02,0.000000000000000000e+00,-1.164100861118893757e-02
3.166666666666666519e-01,1.504290105486141920e+09,-6.348579053024532926e-04,-1.499817986581316806e-02,0.000000000000000000e+00,-1.189097827561915767e-02
3.333333333333333148e-01,1.504290105502469063e+09,-7.986786641540012579e-04,-1.499817986581316806e-02,0.000000000000000000e+00,-1.214094794004937777e-02
3.499999999999999778e-01,1.504290105519709110e+09,-9.890568920481997237e-04,-1.499817986581316806e-02,0.000000000000000000e+00,-1.239091760447959788e-02
3.666666666666666408e-01,1.504290105535470963e+09,-1.207022108805681131e-03,-1.799781583897579890e-02,0.000000000000000000e+00,-1.269088120179586061e-02
3.833333333333333037e-01,1.504290105552551985e+09,-1.453088208332495518e-03,-1.499817986581316806e-02,0.000000000000000000e+00,-1.294085086622608072e-02
4.000000000000000222e-01,1.504290105567265034e+09,-1.727192661970529180e-03,-1.499817986581316806e-02,0.000000000000000000e+00,-1.319082053065630082e-02
4.166666666666666852e-01,1.504290105585119963e+09,-2.028650345806020869e-03,-1.649799785239448521e-02,0.000000000000000000e+00,-1.346578716152954311e-02
4.333333333333333481e-01,1.504290105602715969e+09,-2.356124602335528048e-03,-1.499817986581316806e-02,0.000000000000000000e+00,-1.371575682595976321e-02
4.500000000000000111e-01,1.504290105621972084e+09,-2.707617689683810766e-03,-1.499817986581316806e-02,0.000000000000000000e+00,-1.396572649038998332e-02
4.666666666666666741e-01,1.504290105637166977e+09,-3.080482215335874838e-03,-1.649799785239448521e-02,0.000000000000000000e+00,-1.424069312126322387e-02
4.833333333333333370e-01,1.504290105654100895e+09,-3.471454511515277737e-03,-1.649799785239448521e-02,0.000000000000000000e+00,-1.451565975213646442e-02
5.000000000000000000e-01,1.504290105670635939e+09,-3.876710204793388636e-03,-1.349836187923184917e-02,0.000000000000000000e+00,-1.474063245012366234e-02
5.166666666666666075e-01,1.504290105687530994e+09,-4.291941485034087185e-03,-1.499817986581316806e-02,0.000000000000000000e+00,-1.499060211455388245e-02
5.333333333333333259e-01,1.504290105704129934e+09,-4.712454812399590777e-03,-1.649799785239448521e-02,0.000000000000000000e+00,-1.526556874542712300e-02
5.500000000000000444e-01,1.504290105721335888e+09,-5.133287041395441161e-03,-1.499817986581316806e-02,0.000000000000000000e+00,-1.551553840985734310e-02
5.666666666666666519e-01,1.504290105737541914e+09,-5.549337214026433401e-03,-1.949763382555711605e-02,0.000000000000000000e+00,-1.584049897361662976e-02
5.833333333333333703e-01,1.504290105755012035e+09,-5.955510606094106124e-03,-1.349836187923184917e-02,0.000000000000000000e+00,-1.606547167160382594e-02
5.999999999999999778e-01,1.504290105772046089e+09,-6.346871026449030055e-03,-1.799781583897579890e-02,0.000000000000000000e+00,-1.636543526892008868e-02
6.166666666666666963e-01,1.504290105788589001e+09,-6.718796891643532415e-03,-1.649799785239448521e-02,0.000000000000000000e+00,-1.664040189979332923e-02
6.333333333333333037e-01,1.504290105804153919e+09,-7.067136248177731742e-03,-1.649799785239448521e-02,0.000000000000000000e+00,-1.691536853066656979e-02
6.500000000000000222e-01,1.504290105821413994e+09,-7.388355708141601010e-03,-1.649799785239448521e-02,0.000000000000000000e+00,-1.719033516153981034e-02
6.666666666666666297e-01,1.504290105837182045e+09,-7.679678214094950647e-03,-1.649799785239448521e-02,0.000000000000000000e+00,-1.746530179241305089e-02
6.833333333333333481e-01,1.504290105853072882e+09,-7.939204663339093776e-03,-1.799781583897579890e-02,0.000000000000000000e+00,-1.776526538972931363e-02
6.999999999999999556e-01,1.504290105869622946e+09,-8.166014703034185640e-03,-1.649799785239448521e-02,0.000000000000000000e+00,-1.804023202060255418e-02
7.166666666666666741e-01,1.504290105886955976e+09,-8.360242453246961164e-03,-1.799781583897579890e-02,0.000000000000000000e+00,-1.834019561791881692e-02
7.333333333333332815e-01,1.504290105903476000e+09,-8.523123516861340690e-03,-1.649799785239448521e-02,0.000000000000000000e+00,-1.861516224879205747e-02
7.500000000000000000e-01,1.504290105920137882e+09,-8.657010379878772241e-03,-2.099745181213843320e-02,0.000000000000000000e+00,-1.896511977899436457e-02
7.666666666666666075e-01,1.504290105937711954e+09,-8.765354174416400967e-03,-1.649799785239448521e-02,0.000000000000000000e+00,-1.924008640986760513e-02
7.833333333333333259e-01,1.504290105955712080e+09,-8.852651746473177985e-03,-1.649799785239448521e-02,0.000000000000000000e+00,-1.951505304074084568e-02
8.000000000000000444e-01,1.504290105972258091e+09,-8.924358014029961511e-03,-1.499817986581316806e-02,0.000000000000000000e+00,-1.976502270517106405e-02
8.166666666666666519e-01,1.504290105989001989e+09,-8.986764687736407270e-03,-1.949763382555711605e-02,0.000000000000000000e+00,-2.008998326893034897e-02
