# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.504290721516746998e+09,0.000000000000000000e+00,-8.548962523513506384e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.504290721517296076e+09,1.798929827055640890e-06,-2.124023437500000000e-02,0.000000000000000000e+00,-3.540039062499999349e-04
3.333333333333333287e-02,1.504290721525615931e+09,7.143096105243524524e-06,-8.698944322171636712e-02,1.413869948528467420e-06,-1.803804395446130266e-03
5.000000000000000278e-02,1.504290721542541981e+09,1.610466661814614789e-05,-8.548962523513506384e-02,5.480904621995249357e-06,-3.228540134288014965e-03
6.666666666666666574e-02,1.504290721559264898e+09,2.895384448307132715e-05,-8.698944322171636712e-02,1.197178372019448439e-05,-4.678164658254617761e-03
8.333333333333332871e-02,1.504290721577035904e+09,4.614755680175652706e-05,-7.949035328880978135e-02,2.069039208931063465e-05,-6.002659039866625225e-03
1.000000000000000056e-01,1.504290721593661070e+09,6.831024298560356336e-05,-8.698944322171636712e-02,3.145911940556328203e-05,-7.451958774905138166e-03
1.166666666666666685e-01,1.504290721610363960e+09,9.620762854014538220e-05,-8.698944322171636712e-02,4.410249646159308714e-05,-8.901047786992717994e-03
1.333333333333333315e-01,1.504290721627119064e+09,1.307146554978873428e-04,-8.398980724855373281e-02,5.843004229691513073e-05,-1.029990407376366567e-02
1.499999999999999944e-01,1.504290721645173073e+09,1.727789801094829173e-04,-8.398980724855373281e-02,7.421922989269736943e-05,-1.169849720740801652e-02
1.666666666666666574e-01,1.504290721661107063e+09,2.233816324214081377e-04,-8.248998926197241566e-02,9.119947392158423295e-05,-1.307181037054219730e-02
1.833333333333333204e-01,1.504290721677303076e+09,2.834965535923031810e-04,-7.799053530222846420e-02,1.090380022054298579e-04,-1.436983532554257995e-02
2.000000000000000111e-01,1.504290721692998886e+09,3.540507801474801052e-04,-7.199126335590319559e-02,1.273283945496202273e-04,-1.556756757489847348e-02
2.166666666666666741e-01,1.504290721711092949e+09,4.358870272687663831e-04,-6.599199140957794085e-02,1.455824612706091144e-04,-1.666500772403693015e-02
2.333333333333333370e-01,1.504290721727377892e+09,5.297303357130522588e-04,-6.299235543641529267e-02,1.632259930194410863e-04,-1.771215988142686021e-02
2.500000000000000000e-01,1.504290721744126081e+09,6.361602917354371124e-04,-5.699308349009003793e-02,1.795987485318640664e-04,-1.865905129378616148e-02
2.666666666666666630e-01,1.504290721761348009e+09,7.555901117132752349e-04,-4.799417557060213502e-02,1.939588637388215840e-04,-1.945572157223388401e-02
2.833333333333333259e-01,1.504290721777997971e+09,8.882536106725638213e-04,-4.049508563769554925e-02,2.054916710143152943e-04,-2.012721480501190527e-02
2.999999999999999889e-01,1.504290721793876886e+09,1.034200756394932025e-03,-3.449581369137028758e-02,2.133227184913829547e-04,-2.069858965455988534e-02
3.166666666666666519e-01,1.504290721810327053e+09,1.193302159824387266e-03,-2.699672375846369834e-02,2.165345838736542565e-04,-2.114492614080305116e-02
3.333333333333333148e-01,1.504290721827117920e+09,1.365262481094094800e-03,-2.399708778530106751e-02,2.141868925491650553e-04,-2.154130782234891725e-02
3.499999999999999778e-01,1.504290721844356060e+09,1.549642352597834774e-03,-2.249726979871975036e-02,2.053387833626603616e-04,-2.191284000593820072e-02
3.666666666666666408e-01,1.504290721860440016e+09,1.745888050533747236e-03,-1.949763382555711605e-02,1.890729239062381717e-04,-2.223464935429904712e-02
3.833333333333333037e-01,1.504290721877629995e+09,1.953367798579231079e-03,-1.649799785239448521e-02,1.645200666847985288e-04,-2.250687398406087461e-02
4.000000000000000222e-01,1.504290721893590927e+09,2.171413275559406532e-03,-1.199854389265053375e-02,1.308830630781853213e-04,-2.270466833122041297e-02
4.166666666666666852e-01,1.504290721909914017e+09,2.399364635797831668e-03,-7.499089932906584030e-03,8.745921757750530596e-05,-2.282819550980923207e-02
4.333333333333333481e-01,1.504290721927268982e+09,2.636617147369856289e-03,-4.499453959743949724e-03,3.365987293033690574e-05,-2.290262541125612575e-02
4.500000000000000111e-01,1.504290721944323063e+09,2.882667418804716816e-03,2.999635973162633439e-03,-3.097383122698587287e-05,-2.285314770889053035e-02
4.666666666666666741e-01,1.504290721960494041e+09,3.137157125635596337e-03,4.499453959743949724e-03,-1.067599882549475742e-04,-2.277993614269904765e-02
4.833333333333333370e-01,1.504290721976819992e+09,3.399912168671761614e-03,5.999271946325266877e-03,-1.938705678647713586e-04,-2.268317945305804023e-02
5.000000000000000000e-01,1.504290721992779016e+09,3.670975297224232138e-03,5.999271946325266877e-03,-2.923323225330992062e-04,-2.258806379266150438e-02
5.166666666666666075e-01,1.504290722008280039e+09,3.950630411085220665e-03,8.998907919487899448e-03,-4.020343976670092464e-04,-2.244478256729782323e-02
5.333333333333333259e-01,1.504290722024012089e+09,4.239417010242936372e-03,1.349836187923184917e-02,-5.227428498253062399e-04,-2.222852225014104732e-02
5.500000000000000444e-01,1.504290722041476011e+09,4.538133583686351606e-03,1.199854389265053375e-02,-6.541220206403078590e-04,-2.203944855227420868e-02
5.666666666666666519e-01,1.504290722058239937e+09,4.847829108185540935e-03,1.199854389265053375e-02,-7.957624452834771798e-04,-2.185273552815142351e-02
5.833333333333333703e-01,1.504290722074656010e+09,5.169782252275831672e-03,1.499817986581316806e-02,-9.472147022102742368e-04,-2.161855277542470977e-02
5.999999999999999778e-01,1.504290722091327906e+09,5.505468335561657794e-03,1.199854389265053375e-02,-1.108028344766271356e-03,-2.143704418295997241e-02
6.166666666666666963e-01,1.504290722108680964e+09,5.856514563162844647e-03,1.349836187923184917e-02,-1.277794804439103069e-03,-2.123336806504675864e-02
6.333333333333333037e-01,1.504290722125381947e+09,6.224644522992122363e-03,1.649799785239448521e-02,-1.456192929342587728e-03,-2.098267131632922805e-02
6.500000000000000222e-01,1.504290722143409014e+09,6.611613382549182995e-03,1.799781583897579890e-02,-1.643035628704314459e-03,-2.071009164615803672e-02
6.666666666666666297e-01,1.504290722159326077e+09,7.019135635237815606e-03,2.249726979871975036e-02,-1.838315942725805060e-03,-2.036577574855813824e-02
6.833333333333333481e-01,1.504290722176898956e+09,7.448807607868692879e-03,2.399708778530106751e-02,-2.042250754190880549e-03,-1.999986179803963510e-02
6.999999999999999556e-01,1.504290722193856955e+09,7.902027236408499383e-03,2.849654174504501897e-02,-2.255320309322456866e-03,-1.956250810744425764e-02
7.166666666666666741e-01,1.504290722210571051e+09,8.379913833522279962e-03,3.449581369137028758e-02,-2.478301724829994664e-03,-1.902888290800192062e-02
7.333333333333332815e-01,1.504290722227019072e+09,8.883230698803886924e-03,3.749544966453291495e-02,-2.712294728359604477e-03,-1.844916365906569891e-02
7.500000000000000000e-01,1.504290722244594097e+09,9.412313453414918735e-03,4.649435758402081786e-02,-2.958738011342416842e-03,-1.772356999952105772e-02
7.666666666666666075e-01,1.504290722260916948e+09,9.967006910941903983e-03,5.099381154376476932e-02,-3.219414765314491337e-03,-1.692733005321355247e-02
7.833333333333333259e-01,1.504290722277182102e+09,1.054661312481581202e-02,5.549326550350872078e-02,-3.496446222001106142e-03,-1.606071639852175992e-02
8.000000000000000444e-01,1.504290722293891907e+09,1.114985298230790171e-02,6.149253744983398939e-02,-3.792272318767395470e-03,-1.509904531300398402e-02
8.166666666666666519e-01,1.504290722310854912e+09,1.177484335212272519e-02,6.899162738274057516e-02,-4.109618957571251237e-03,-1.401767850591782889e-02
8.333333333333333703e-01,1.504290722327572107e+09,1.241909134653617665e-02,7.949035328880978135e-02,-4.451451708786296514e-03,-1.276703014625077057e-02
8.499999999999999778e-01,1.504290722345086098e+09,1.307950674260833362e-02,8.248998926197241566e-02,-4.820916221201173441e-03,-1.147254559557124923e-02
8.666666666666666963e-01,1.504290722361056089e+09,1.375243303576303630e-02,8.248998926197241566e-02,-5.221266024943145220e-03,-1.018473354162076176e-02
8.833333333333333037e-01,1.504290722377487898e+09,1.443369699083479549e-02,8.548962523513506384e-02,-5.655778842898949617e-03,-8.854169435083493814e-03
9.000000000000000222e-01,1.504290722394248962e+09,1.511867593019894374e-02,8.848926120829768427e-02,-6.127662945701860438e-03,-7.481476130706896620e-03
9.166666666666666297e-01,1.504290722411173105e+09,1.580238137665665801e-02,8.998907919487900142e-02,-6.639955482583589745e-03,-6.092324068835306902e-03
9.333333333333333481e-01,1.504290722428756952e+09,1.647955707167715611e-02,9.598835114120427003e-02,-7.195415082552457202e-03,-4.612441801191110094e-03
9.499999999999999556e-01,1.504290722444977045e+09,1.714478883853170696e-02,1.049872590606921730e-01,-7.796411335184473546e-03,-2.992594339099314930e-03
9.666666666666666741e-01,1.504290722461314917e+09,1.779262327498734933e-02,1.124863489935987448e-01,-8.444814016429913126e-03,-1.258568756146500938e-03
9.833333333333332815e-01,1.504290722478842974e+09,1.841769186012975207e-02,1.139861669801800759e-01,-9.141885112139282871e-03,4.888359416541788582e-04
1.000000000000000000e+00,1.504290722495474100e+09,1.901483676081737115e-02,1.169858029533426963e-01,-9.888176801993499646e-03,2.273796377509998759e-03
1.016666666666666607e+00,1.504290722512044907e+09,1.957923443858328519e-02,1.154859849667613791e-01,-1.068343859258093741e-02,4.020505483746339599e-03
1.033333333333333215e+00,1.504290722528506041e+09,2.010651309740429937e-02,1.154859849667613791e-01,-1.152653672604994108e-02,5.753162954424862960e-03
1.050000000000000044e+00,1.504290722546013117e+09,2.059286008268162993e-02,1.169858029533426963e-01,-1.241538883798810715e-02,7.496003189680772172e-03
1.066666666666666652e+00,1.504290722562297106e+09,2.103511554387744314e-02,1.199854389265053445e-01,-1.334691659534156111e-02,9.273311895200168561e-03
1.083333333333333259e+00,1.504290722578915119e+09,2.143084900500734011e-02,1.154859849667613791e-01,-1.431701871525763517e-02,1.095946133272523125e-02
1.100000000000000089e+00,1.504290722595283031e+09,2.177841594167675976e-02,1.169858029533426963e-01,-1.532056635424891913e-02,1.265388194271012748e-02
1.116666666666666696e+00,1.504290722612339973e+09,2.207699202933811541e-02,1.169858029533426963e-01,-1.635142237206552857e-02,1.433112161906474613e-02
1.133333333333333304e+00,1.504290722628617048e+09,2.232658338963995279e-02,1.169858029533426963e-01,-1.740248542650978808e-02,1.599084357784529356e-02
1.149999999999999911e+00,1.504290722645870924e+09,2.252801190117136379e-02,1.154859849667613791e-01,-1.846575925664900933e-02,1.760784733968049839e-02
1.166666666666666741e+00,1.504290722661878109e+09,2.268287543545080207e-02,1.154859849667613791e-01,-1.953244687684977179e-02,1.920707297451235834e-02
1.183333333333333348e+00,1.504290722678325891e+09,2.279348370401786464e-02,1.139861669801800759e-01,-2.059306874865852316e-02,2.076362461170438295e-02
1.199999999999999956e+00,1.504290722694828033e+09,2.286277123152757537e-02,1.139861669801800759e-01,-2.163760333879154868e-02,2.230276733906085690e-02
1.216666666666666563e+00,1.504290722711035013e+09,2.289418977541210834e-02,1.139861669801800759e-01,-2.265564782706388017e-02,2.382494265827946045e-02
1.233333333333333393e+00,1.504290722727704048e+09,2.289158326745572777e-02,1.139861669801800759e-01,-2.363659611588590781e-02,2.533076883935102969e-02
1.250000000000000000e+00,1.504290722744884968e+09,2.285904902980936959e-02,1.154859849667613791e-01,-2.456983073062687234e-02,2.684603807661993871e-02
1.266666666666666607e+00,1.504290722762435913e+09,2.280078959252869464e-02,1.154859849667613791e-01,-2.544492470455634106e-02,2.834672241432335468e-02
1.283333333333333215e+00,1.504290722778317928e+09,2.272095988918731990e-02,1.154859849667613791e-01,-2.625184912885599950e-02,2.983395801162177716e-02
1.300000000000000044e+00,1.504290722794748068e+09,2.262351491240133239e-02,1.154859849667613791e-01,-2.698118173125073349e-02,3.130903806554695412e-02
1.316666666666666652e+00,1.504290722811763048e+09,2.251206305720126338e-02,1.139861669801800759e-01,-2.762431163790832200e-02,3.274840232125148659e-02
1.333333333333333259e+00,1.504290722828243017e+09,2.238973035681180238e-02,1.169858029533426963e-01,-2.817363538163504544e-02,3.422860511411328355e-02
1.350000000000000089e+00,1.504290722844362974e+09,2.225904061744870058e-02,1.139861669801800759e-01,-2.862273925142849729e-02,3.565132890959247375e-02
1.366666666666666696e+00,1.504290722861161947e+09,2.212181608663619722e-02,1.019876230875295386e-01,-2.896656323740999864e-02,3.686834657376113211e-02
1.383333333333333304e+00,1.504290722878681898e+09,2.197910274938443681e-02,8.548962523513506384e-02,-2.920154211101820552e-02,3.780648129249641193e-02
1.399999999999999911e+00,1.504290722894871950e+09,2.183112365011818240e-02,6.299235543641529267e-02,-2.932571958969727721e-02,3.836759188994171010e-02
1.416666666666666741e+00,1.504290722911307096e+09,2.167726280274720127e-02,3.599563167795159779e-02,-2.933883206135143654e-02,3.847853855021837743e-02
1.433333333333333348e+00,1.504290722928067923e+09,2.151608129905253214e-02,-2.999635973162633439e-03,-2.924235897645674140e-02,3.794117196772472250e-02
1.449999999999999956e+00,1.504290722945564985e+09,2.134536618350456674e-02,-4.649435758402081786e-02,-2.903953774168560945e-02,3.668227371229627887e-02
1.466666666666666563e+00,1.504290722961435080e+09,2.116221156144505039e-02,-7.799053530222846420e-02,-2.873534175211147138e-02,3.490350909472395013e-02
