# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.504290770127070904e+09,-0.000000000000000000e+00,1.349836187923184917e-02,-0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.504290770127607107e+09,-2.147917641751685147e-06,4.028320312500000000e-03,0.000000000000000000e+00,6.713867187499999187e-05
3.333333333333333287e-02,1.504290770132472992e+09,-8.764447890478153669e-06,1.799781583897579890e-02,-2.036121991559252359e-06,3.670683338247372383e-04
5.000000000000000278e-02,1.504290770149276018e+09,-2.010613480534787772e-05,1.499817986581316806e-02,-8.870962340705919414e-06,6.168901488826114641e-04
6.666666666666666574e-02,1.504290770165760994e+09,-3.641188470135284743e-05,1.499817986581316806e-02,-2.149838682797131008e-05,8.665015068656980578e-04
8.333333333333332871e-02,1.504290770181540966e+09,-5.788539582759026761e-05,1.649799785239448521e-02,-4.077125756175501819e-05,1.140788616779576849e-03
1.000000000000000056e-01,1.504290770197220087e+09,-8.467853633946515466e-05,1.499817986581316806e-02,-6.738982318432458051e-05,1.389635117490057572e-03
1.166666666666666685e-01,1.504290770214766979e+09,-1.168766158252789247e-04,1.499817986581316806e-02,-1.018961169972662468e-04,1.637906513303655828e-03
1.333333333333333315e-01,1.504290770230686903e+09,-1.544864480217000185e-04,1.499817986581316806e-02,-1.446742750637536659e-04,1.885464939816146020e-03
1.499999999999999944e-01,1.504290770248073101e+09,-1.974280167416706932e-04,1.649799785239448521e-02,-1.959564292923599938e-04,2.157165630201181555e-03
1.666666666666666574e-01,1.504290770264786005e+09,-2.455304358554707901e-04,1.349836187923184917e-02,-2.558335955227125928e-04,2.377874434929667241e-03
1.833333333333333204e-01,1.504290770281228065e+09,-2.985327411237056528e-04,1.349836187923184917e-02,-3.242707734298126373e-04,2.597442620026367641e-03
2.000000000000000111e-01,1.504290770298266888e+09,-3.560898716819140670e-04,1.649799785239448521e-02,-4.011253119695700289e-04,2.865723829033449670e-03
2.166666666666666741e-01,1.504290770315140009e+09,-4.177839979613533336e-04,1.649799785239448521e-02,-4.861674777229892824e-04,3.132587668611307857e-03
2.333333333333333370e-01,1.504290770331793070e+09,-4.831411375935639038e-04,1.649799785239448521e-02,-5.791020985136316728e-04,3.397902597842655109e-03
2.500000000000000000e-01,1.504290770348150015e+09,-5.516527788195227855e-04,1.499817986581316806e-02,-6.795901435750629615e-04,3.636545759879956843e-03
2.666666666666666630e-01,1.504290770363902092e+09,-6.228020099383184969e-04,1.349836187923184917e-02,-7.872691445820033255e-04,3.848397305457454398e-03
2.833333333333333259e-01,1.504290770380290031e+09,-6.960934413600717045e-04,1.499817986581316806e-02,-9.017714570123564486e-04,4.083337445604134572e-03
2.999999999999999889e-01,1.504290770394944906e+09,-7.710860117291568538e-04,1.649799785239448521e-02,-1.022739504360376103e-03,4.341258418071369807e-03
3.166666666666666519e-01,1.504290770411818027e+09,-8.474275988308622738e-04,1.499817986581316806e-02,-1.149837332414372412e-03,4.572064126961350103e-03
