# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.504290868259176970e+09,0.000000000000000000e+00,4.199490362427686641e-02,-0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.504290868259747028e+09,1.798929827055640890e-06,9.521484375000000000e-03,0.000000000000000000e+00,1.586914062499999783e-04
3.333333333333333287e-02,1.504290868267582893e+09,7.143096105243524524e-06,4.349472161085818356e-02,-1.413869948528467420e-06,8.835798685984941336e-04
5.000000000000000278e-02,1.504290868283813000e+09,1.610466661814614789e-05,4.499453959743950071e-02,-5.480904621995249357e-06,1.633397513478785723e-03
6.666666666666666574e-02,1.504290868300510883e+09,2.895384448307132715e-05,4.349472161085818356e-02,-1.197178372019448439e-05,2.358110010597752344e-03
8.333333333333332871e-02,1.504290868318097115e+09,4.614755680175652706e-05,4.499453959743950071e-02,-2.069039208931063465e-05,3.107674164020255217e-03
1.000000000000000056e-01,1.504290868335076094e+09,6.831024298560356336e-05,4.199490362427686641e-02,-3.145911940556328203e-05,3.807064905768110016e-03
1.166666666666666685e-01,1.504290868353107929e+09,9.620762854014538220e-05,4.199490362427686641e-02,-4.410249646159308714e-05,4.506244924565031701e-03
1.333333333333333315e-01,1.504290868368953943e+09,1.307146554978873428e-04,4.349472161085818356e-02,-5.843004229691513073e-05,5.230183117374386480e-03
1.499999999999999944e-01,1.504290868386856079e+09,1.727789801094829173e-04,4.349472161085818356e-02,-7.421922989269736943e-05,5.953858157057144440e-03
1.666666666666666574e-01,1.504290868403270960e+09,2.233816324214081377e-04,4.349472161085818356e-02,-9.119947392158423295e-05,6.677250192672754513e-03
1.833333333333333204e-01,1.504290868421298981e+09,2.834965535923031810e-04,4.349472161085818356e-02,-1.090380022054298579e-04,7.400344919483633870e-03
2.000000000000000111e-01,1.504290868436913967e+09,3.540507801474801052e-04,4.199490362427686641e-02,-1.273283945496202273e-04,8.098137839979088065e-03
2.166666666666666741e-01,1.504290868453888893e+09,4.358870272687663831e-04,4.349472161085818356e-02,-1.455824612706091144e-04,8.820623492472213709e-03
2.333333333333333370e-01,1.504290868469655037e+09,5.297303357130522588e-04,4.199490362427686641e-02,-1.632259930194410863e-04,9.517818119659836665e-03
2.500000000000000000e-01,1.504290868485922098e+09,6.361602917354371124e-04,4.049508563769554925e-02,-1.795987485318640664e-04,1.018974290114589738e-02
2.666666666666666630e-01,1.504290868501573086e+09,7.555901117132752349e-04,4.349472161085818356e-02,-1.939588637388215840e-04,1.091142228026455337e-02
2.833333333333333259e-01,1.504290868518517971e+09,8.882536106725638213e-04,4.499453959743950071e-02,-2.054916710143152943e-04,1.165790641237163944e-02
2.999999999999999889e-01,1.504290868535242081e+09,1.034200756394932025e-03,4.199490362427686641e-02,-2.133227184913829547e-04,1.235426609413473042e-02
3.166666666666666519e-01,1.504290868552373886e+09,1.193302159824387266e-03,4.199490362427686641e-02,-2.165345838736542565e-04,1.305057224480811809e-02
