# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.503951318275353909e+09,-0.000000000000000000e+00,4.499453959743949724e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.503951318275887012e+09,-1.798929827055640890e-06,1.831054687500000000e-03,0.000000000000000000e+00,3.051757812500000000e-05
3.333333333333333287e-02,1.503951318285510063e+09,-7.143096105243524524e-06,8.998907919487899448e-03,1.413869948528467420e-06,1.805229412822737954e-04
5.000000000000000278e-02,1.503951318303224087e+09,-1.610466661814614789e-05,5.999271946325266877e-03,5.480904621995249357e-06,2.806021554647281893e-04
6.666666666666666574e-02,1.503951318319458008e+09,-2.895384448307132715e-05,1.199854389265053375e-02,1.197178372019448439e-05,4.807774167375736436e-04
8.333333333333332871e-02,1.503951318336855888e+09,-4.614755680175652706e-05,5.999271946325266877e-03,2.069039208931063465e-05,5.811101223778165643e-04
1.000000000000000056e-01,1.503951318353523970e+09,-6.831024298560356336e-05,5.999271946325266877e-03,3.145911940556328203e-05,6.816223068066637339e-04
1.166666666666666685e-01,1.503951318370373964e+09,-9.620762854014538220e-05,5.999271946325266877e-03,4.410249646159308714e-05,7.823452141864447760e-04
1.333333333333333315e-01,1.503951318387026072e+09,-1.307146554978873428e-04,1.649799785239448521e-02,5.843004229691513073e-05,1.058285679097967918e-03
1.499999999999999944e-01,1.503951318403739929e+09,-1.727789801094829173e-04,-5.999271946325266877e-03,7.421922989269736943e-05,9.595348004907584827e-04
1.666666666666666574e-01,1.503951318419630051e+09,-2.233816324214081377e-04,1.349836187923184917e-02,9.119947392158423295e-05,1.186027489709982289e-03
1.833333333333333204e-01,1.503951318436608076e+09,-2.834965535923031810e-04,1.199854389265053375e-02,1.090380022054298579e-04,1.387820521290915061e-03
2.000000000000000111e-01,1.503951318453705072e+09,-3.540507801474801052e-04,4.499453959743949724e-03,1.273283945496202273e-04,1.464933560529141192e-03
2.166666666666666741e-01,1.503951318471560955e+09,-4.358870272687663831e-04,4.499453959743949724e-03,1.455824612706091144e-04,1.542350834212717191e-03
2.333333333333333370e-01,1.503951318488210917e+09,-5.297303357130522588e-04,1.499817986581316719e-03,1.632259930194410863e-04,1.570068233872729761e-03
2.500000000000000000e-01,1.503951318505424023e+09,-6.361602917354371124e-04,7.499089932906584030e-03,1.795987485318640664e-04,1.698046378563370469e-03
2.666666666666666630e-01,1.503951318522094965e+09,-7.555901117132752349e-04,1.049872590606921660e-02,1.939588637388215840e-04,1.876257791393504430e-03
2.833333333333333259e-01,1.503951318538260937e+09,-8.882536106725638213e-04,1.649799785239448521e-02,2.054916710143152943e-04,2.154649283450317705e-03
2.999999999999999889e-01,1.503951318554945946e+09,-1.034200756394932025e-03,1.349836187923184917e-02,2.133227184913829547e-04,2.383177360079038413e-03
3.166666666666666519e-01,1.503951318571351051e+09,-1.193302159824387266e-03,-5.999271946325266877e-03,2.165345838736542565e-04,2.286798404038178391e-03
3.333333333333333148e-01,1.503951318587264061e+09,-1.365262481094094800e-03,1.049872590606921660e-02,2.141868925491650553e-04,2.465346950681818194e-03
3.499999999999999778e-01,1.503951318604984999e+09,-1.549642352597834774e-03,5.999271946325266877e-03,2.053387833626603616e-04,2.568757129509950145e-03
3.666666666666666408e-01,1.503951318621663094e+09,-1.745888050533747236e-03,4.499453959743949724e-03,1.890729239062381717e-04,2.646899244237453479e-03
3.833333333333333037e-01,1.503951318639527082e+09,-1.953367798579231079e-03,7.499089932906584030e-03,1.645200666847985288e-04,2.774626077563976598e-03
4.000000000000000222e-01,1.503951318656066895e+09,-2.171413275559406532e-03,7.499089932906584030e-03,1.308830630781853213e-04,2.901792294163722721e-03
4.166666666666666852e-01,1.503951318672287941e+09,-2.399364635797831668e-03,1.199854389265053375e-02,8.745921757750530596e-05,3.103225679334189850e-03
4.333333333333333481e-01,1.503951318687947035e+09,-2.636617147369856289e-03,7.499089932906584030e-03,3.365987293033690574e-05,3.228771509431471905e-03
4.500000000000000111e-01,1.503951318704849958e+09,-2.882667418804716816e-03,8.998907919487899448e-03,-3.097383122698587287e-05,3.378237077569153871e-03
4.666666666666666741e-01,1.503951318721558094e+09,-3.137157125635596337e-03,5.999271946325266877e-03,-1.067599882549475742e-04,3.476445610203659185e-03
4.833333333333333370e-01,1.503951318739015102e+09,-3.399912168671761614e-03,1.649799785239448521e-02,-1.938705678647713586e-04,3.748181064945821026e-03
5.000000000000000000e-01,1.503951318755805016e+09,-3.670975297224232138e-03,5.999271946325266877e-03,-2.923323225330992062e-04,3.843296725342357310e-03
5.166666666666666075e-01,1.503951318773551941e+09,-3.950630411085220665e-03,8.998907919487899448e-03,-4.020343976670092464e-04,3.986577950706038896e-03
