# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.503951753534116983e+09,0.000000000000000000e+00,2.099745181213843320e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.503951753534538031e+09,0.000000000000000000e+00,6.591796875000000000e-03,0.000000000000000000e+00,1.098632812500000027e-04
3.333333333333333287e-02,1.503951753541452885e+09,0.000000000000000000e+00,2.249726979871975036e-02,9.035247014785260355e-08,4.848192837698316287e-04
5.000000000000000278e-02,1.503951753558701992e+09,0.000000000000000000e+00,2.099745181213843320e-02,6.158594877866561234e-08,8.347778404046183806e-04
6.666666666666666574e-02,1.503951753575433016e+09,0.000000000000000000e+00,2.549690577188238466e-02,-5.100377451749107210e-07,1.259717769306905114e-03
8.333333333333332871e-02,1.503951753593396902e+09,0.000000000000000000e+00,2.549690577188238466e-02,-1.994648274121536016e-06,1.684632954700376190e-03
1.000000000000000056e-01,1.503951753610277891e+09,0.000000000000000000e+00,2.399708778530106751e-02,-4.691205138388199306e-06,2.084506231036420756e-03
1.166666666666666685e-01,1.503951753625865936e+09,0.000000000000000000e+00,2.399708778530106751e-02,-8.818200971931082271e-06,2.484310724108573006e-03
1.333333333333333315e-01,1.503951753642523050e+09,0.000000000000000000e+00,2.249726979871975036e-02,-1.451334062605906637e-05,2.859023331743467799e-03
1.499999999999999944e-01,1.503951753658318996e+09,0.000000000000000000e+00,2.249726979871975036e-02,-2.184245933675090187e-05,3.233613787399851249e-03
1.666666666666666574e-01,1.503951753674572945e+09,0.000000000000000000e+00,2.249726979871975036e-02,-3.081747699355461261e-05,3.608054659428621379e-03
1.833333333333333204e-01,1.503951753691159964e+09,0.000000000000000000e+00,2.549690577188238466e-02,-4.142271947649717591e-05,4.032312710302052988e-03
2.000000000000000111e-01,1.503951753707534075e+09,0.000000000000000000e+00,2.099745181213843320e-02,-5.364849134855939253e-05,4.381376098981884515e-03
2.166666666666666741e-01,1.503951753724755049e+09,0.000000000000000000e+00,1.799781583897579890e-02,-6.753037552224476850e-05,4.680214190039443632e-03
2.333333333333333370e-01,1.503951753741700888e+09,0.000000000000000000e+00,2.549690577188238466e-02,-8.319238229435474104e-05,5.103776079865910732e-03
2.500000000000000000e-01,1.503951753759599924e+09,0.000000000000000000e+00,2.399708778530106751e-02,-1.008917879401751631e-04,5.502046013155259020e-03
2.666666666666666630e-01,1.503951753777288914e+09,0.000000000000000000e+00,2.099745181213843320e-02,-1.210633050002973734e-04,5.849985821607560886e-03
2.833333333333333259e-01,1.503951753793118000e+09,0.000000000000000000e+00,2.249726979871975036e-02,-1.443601226359816176e-04,6.222534316208956640e-03
2.999999999999999889e-01,1.503951753808660984e+09,0.000000000000000000e+00,2.549690577188238466e-02,-1.716893527455437551e-04,6.644621256527903815e-03
3.166666666666666519e-01,1.503951753826152086e+09,0.000000000000000000e+00,2.399708778530106751e-02,-2.042395190156062572e-04,7.041168727632661148e-03
3.333333333333333148e-01,1.503951753842823982e+09,0.000000000000000000e+00,2.099745181213843320e-02,-2.434979309616407746e-04,7.387067958985607703e-03
3.499999999999999778e-01,1.503951753859348059e+09,0.000000000000000000e+00,0.000000000000000000e+00,-2.912560886301888453e-04,7.382213690841771259e-03
3.666666666666666408e-01,1.503951753875819921e+09,0.000000000000000000e+00,2.999635973162633612e-02,-3.496016575272619699e-04,7.876326325410088966e-03
3.833333333333333037e-01,1.503951753893393993e+09,0.000000000000000000e+00,1.949763382555711605e-02,-4.208960254705205800e-04,8.194271955411532374e-03
4.000000000000000222e-01,1.503951753910003901e+09,0.000000000000000000e+00,2.999635973162633612e-02,-5.077369881911939723e-04,8.685749001135450661e-03
4.166666666666666852e-01,1.503951753926853895e+09,0.000000000000000000e+00,2.249726979871975036e-02,-6.129066906540876075e-04,9.050488386269877825e-03
4.333333333333333481e-01,1.503951753943255901e+09,0.000000000000000000e+00,2.099745181213843320e-02,-7.393055560820595198e-04,9.388124157204150166e-03
4.500000000000000111e-01,1.503951753959602118e+09,0.000000000000000000e+00,1.949763382555711605e-02,-8.898735429339312214e-04,9.698253495247869185e-03
4.666666666666666741e-01,1.503951753976428032e+09,0.000000000000000000e+00,2.549690577188238466e-02,-1.067500659194303616e-03,1.010541024712600412e-02
4.833333333333333370e-01,1.503951753992405891e+09,0.000000000000000000e+00,2.999635973162633612e-02,-1.274929210894515559e-03,1.058410075580486741e-02
5.000000000000000000e-01,1.503951754008965015e+09,0.000000000000000000e+00,2.249726979871975036e-02,-1.514650746181578529e-03,1.093381107334717023e-02
5.166666666666666075e-01,1.503951754025593042e+09,0.000000000000000000e+00,2.399708778530106751e-02,-1.788801057425762732e-03,1.130394918547842492e-02
5.333333333333333259e-01,1.503951754042253017e+09,0.000000000000000000e+00,1.499817986581316806e-02,-2.099056904030863376e-03,1.151893456817479691e-02
5.500000000000000444e-01,1.503951754059014082e+09,0.000000000000000000e+00,2.549690577188238466e-02,-2.446538302962865136e-03,1.190310735932345598e-02
5.666666666666666519e-01,1.503951754074673891e+09,0.000000000000000000e+00,2.549690577188238466e-02,-2.831720291260549777e-03,1.228086045066715398e-02
5.833333333333333703e-01,1.503951754092099905e+09,0.000000000000000000e+00,2.549690577188238466e-02,-3.254357987668876195e-03,1.265156958040404567e-02
5.999999999999999778e-01,1.503951754108051062e+09,0.000000000000000000e+00,1.949763382555711605e-02,-3.713428566145969036e-03,1.291463966806089859e-02
6.166666666666666963e-01,1.503951754125421047e+09,0.000000000000000000e+00,2.849654174504501897e-02,-4.207093404022396559e-03,1.331946380707794281e-02
6.333333333333333037e-01,1.503951754141351938e+09,0.000000000000000000e+00,2.249726979871975036e-02,-4.732683188373959342e-03,1.361554025058370546e-02
6.500000000000000222e-01,1.503951754158828974e+09,0.000000000000000000e+00,2.699672375846369834e-02,-5.286708166604601848e-03,1.397737384378135682e-02
6.666666666666666297e-01,1.503951754175513983e+09,0.000000000000000000e+00,2.699672375846369834e-02,-5.864895026550029714e-03,1.432957098931325092e-02
6.833333333333333481e-01,1.503951754192783117e+09,0.000000000000000000e+00,2.699672375846369834e-02,-6.462251106765999273e-03,1.467181220017487950e-02
6.999999999999999556e-01,1.503951754210149050e+09,0.000000000000000000e+00,1.199854389265053375e-02,-7.073155791636227298e-03,1.475390200185845192e-02
7.166666666666666741e-01,1.503951754226480007e+09,0.000000000000000000e+00,2.399708778530106751e-02,-7.691478063862907007e-03,1.502566216388242192e-02
7.333333333333332815e-01,1.503951754242403030e+09,0.000000000000000000e+00,2.249726979871975036e-02,-8.310718296144896725e-03,1.526210468892533548e-02
7.500000000000000000e-01,1.503951754260107994e+09,0.000000000000000000e+00,2.549690577188238466e-02,-8.924171492935190769e-03,1.553831692690778830e-02
7.666666666666666075e-01,1.503951754276715994e+09,0.000000000000000000e+00,1.199854389265053375e-02,-9.525108370918132158e-03,1.557954085226999526e-02
7.833333333333333259e-01,1.503951754293452024e+09,0.000000000000000000e+00,2.099745181213843320e-02,-1.010696992143725846e-02,1.576104888378168298e-02
8.000000000000000444e-01,1.503951754310129881e+09,0.000000000000000000e+00,2.399708778530106751e-02,-1.066357045615539192e-02,1.598327417260077613e-02
8.166666666666666519e-01,1.503951754327487946e+09,0.000000000000000000e+00,2.249726979871975036e-02,-1.118930362290468210e-02,1.617174027553102897e-02
8.333333333333333703e-01,1.503951754344290018e+09,0.000000000000000000e+00,2.699672375846369834e-02,-1.167934551285866596e-02,1.642702991295777806e-02
8.499999999999999778e-01,1.503951754360034943e+09,0.000000000000000000e+00,1.649799785239448521e-02,-1.212984877966266466e-02,1.649983239750330705e-02
8.666666666666666963e-01,1.503951754376599073e+09,0.000000000000000000e+00,2.099745181213843320e-02,-1.253812166814301764e-02,1.664082123323656556e-02
8.833333333333333037e-01,1.503951754394469023e+09,0.000000000000000000e+00,1.649799785239448521e-02,-1.290278601164197674e-02,1.670074143058243935e-02
9.000000000000000222e-01,1.503951754410521030e+09,0.000000000000000000e+00,1.499817986581316806e-02,-1.322390860431258211e-02,1.673031261827411659e-02
9.166666666666666297e-01,1.503951754428389072e+09,0.000000000000000000e+00,2.099745181213843320e-02,-1.350310088354657843e-02,1.685521846708398080e-02
9.333333333333333481e-01,1.503951754445266962e+09,0.000000000000000000e+00,1.799781583897579890e-02,-1.374358255804380285e-02,1.692612235509951407e-02
9.499999999999999556e-01,1.503951754462678909e+09,0.000000000000000000e+00,1.199854389265053375e-02,-1.395020567323297309e-02,1.689359465875647434e-02
9.666666666666666741e-01,1.503951754479994059e+09,0.000000000000000000e+00,8.998907919487899448e-03,-1.412943659695855593e-02,1.680808584746529624e-02
9.833333333333332815e-01,1.503951754496769905e+09,0.000000000000000000e+00,5.999271946325266877e-03,-1.428929450897262546e-02,1.666991880475450841e-02
1.000000000000000000e+00,1.503951754515022039e+09,0.000000000000000000e+00,-8.998907919487899448e-03,-1.443924615818679286e-02,1.627928290345993095e-02
1.016666666666666607e+00,1.503951754531577110e+09,0.000000000000000000e+00,-2.099745181213843320e-02,-1.459005787898178842e-02,1.568615774194126108e-02
1.033333333333333215e+00,1.503951754547365904e+09,0.000000000000000000e+00,-2.249726979871975036e-02,-1.475360709697055503e-02,1.506530979367975628e-02
1.050000000000000044e+00,1.503951754564426899e+09,0.000000000000000000e+00,-2.699672375846369834e-02,-1.494265676900824805e-02,1.436632011822189074e-02
1.066666666666666652e+00,1.503951754580749035e+09,0.000000000000000000e+00,-3.599563167795159779e-02,-1.517059735527391887e-02,1.351354963433479967e-02
1.083333333333333259e+00,1.503951754598038912e+09,0.000000000000000000e+00,-4.499453959743950071e-02,-1.545116197716087970e-02,1.250612127475812622e-02
1.100000000000000089e+00,1.503951754614551067e+09,0.000000000000000000e+00,-5.699308349009003793e-02,-1.579812133975385530e-02,1.129293452759406145e-02
1.116666666666666696e+00,1.503951754631928921e+09,0.000000000000000000e+00,-6.749180939615925801e-02,-1.622496576117664693e-02,9.897654941638463905e-03
1.133333333333333304e+00,1.503951754648520947e+09,0.000000000000000000e+00,-8.248998926197241566e-02,-1.674458222646812294e-02,8.243745416831121942e-03
1.149999999999999911e+00,1.503951754665841103e+09,0.000000000000000000e+00,-7.499089932906582989e-02,-1.736893474925971584e-02,6.704414848859029628e-03
1.166666666666666741e+00,1.503951754681854963e+09,0.000000000000000000e+00,-6.449217342299662370e-02,-1.810875646448183163e-02,5.327732684067722560e-03
1.183333333333333348e+00,1.503951754698666096e+09,0.000000000000000000e+00,-7.799053530222846420e-02,-1.897326178004728886e-02,3.711669399363126676e-03
1.199999999999999956e+00,1.503951754715203047e+09,0.000000000000000000e+00,-7.499089932906582989e-02,-1.996988658211804393e-02,2.128989634176729328e-03
1.216666666666666563e+00,1.503951754731550932e+09,0.000000000000000000e+00,-7.799053530222846420e-02,-2.110406392131172412e-02,4.774129804510597250e-04
1.233333333333333393e+00,1.503951754748569965e+09,0.000000000000000000e+00,-7.349108134248452662e-02,-2.237904181718905830e-02,-1.120422405543499648e-03
1.250000000000000000e+00,1.503951754765157938e+09,0.000000000000000000e+00,-7.799053530222846420e-02,-2.379574882353818061e-02,-2.816860474306277437e-03
1.266666666666666607e+00,1.503951754781970024e+09,0.000000000000000000e+00,-7.799053530222846420e-02,-2.535271182169551718e-02,-4.539247926371677011e-03
1.283333333333333215e+00,1.503951754799412966e+09,0.000000000000000000e+00,-7.799053530222846420e-02,-2.704602918358848390e-02,-6.289857334468625799e-03
1.300000000000000044e+00,1.503951754815705061e+09,0.000000000000000000e+00,-7.949035328880978135e-02,-2.886940100554929306e-02,-8.095853239374610488e-03
1.316666666666666652e+00,1.503951754833033085e+09,0.000000000000000000e+00,-7.949035328880978135e-02,-3.081421659751126113e-02,-9.934262737479961775e-03
1.333333333333333259e+00,1.503951754849560976e+09,0.000000000000000000e+00,-7.199126335590319559e-02,-3.286969786222338624e-02,-1.168194542444873744e-02
1.350000000000000089e+00,1.503951754866467953e+09,0.000000000000000000e+00,-7.349108134248452662e-02,-3.502309565966899713e-02,-1.349051504115129571e-02
1.366666666666666696e+00,1.503951754882613897e+09,0.000000000000000000e+00,-7.499089932906582989e-02,-3.725993476753080430e-02,-1.536136227609457248e-02
1.383333333333333304e+00,1.503951754899734974e+09,0.000000000000000000e+00,-7.799053530222846420e-02,-3.956430166310100083e-02,-1.732060955885006415e-02
1.399999999999999911e+00,1.503951754917069912e+09,0.000000000000000000e+00,-7.799053530222846420e-02,-4.191916810718405301e-02,-1.931910461567360598e-02
1.416666666666666741e+00,1.503951754934426069e+09,0.000000000000000000e+00,-8.848926120829768427e-02,-4.430674244460165029e-02,-2.153237134322192811e-02
1.433333333333333348e+00,1.503951754951184988e+09,0.000000000000000000e+00,-7.499089932906582989e-02,-4.670883968264877284e-02,-2.356070032675050552e-02
1.449999999999999956e+00,1.503951754968458891e+09,0.000000000000000000e+00,-7.199126335590319559e-02,-4.910726079637851155e-02,-2.557900906262186580e-02
1.466666666666666563e+00,1.503951754984136105e+09,0.000000000000000000e+00,-7.349108134248452662e-02,-5.148417135946821432e-02,-2.766192994098774435e-02
1.483333333333333393e+00,1.503951755001343012e+09,0.000000000000000000e+00,-7.199126335590319559e-02,-5.382246952586649397e-02,-2.975882548901723906e-02
1.500000000000000000e+00,1.503951755018141985e+09,0.000000000000000000e+00,-7.499089932906582989e-02,-5.610613359681285162e-02,-3.194377603778188190e-02
