# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.503951850045831919e+09,0.000000000000000000e+00,1.349836187923184917e-02,-0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.503951850046497107e+09,2.147917641751685147e-06,2.563476562500000000e-03,0.000000000000000000e+00,4.272460937499999051e-05
3.333333333333333287e-02,1.503951850053884029e+09,8.764447890478153669e-06,1.349836187923184917e-02,-2.036121991559252359e-06,2.676633719956714782e-04
5.000000000000000278e-02,1.503951850070297956e+09,2.010613480534787772e-05,1.049872590606921660e-02,-8.870962340705919414e-06,4.424942877244799656e-04
6.666666666666666574e-02,1.503951850086512089e+09,3.641188470135284743e-05,8.998907919487899448e-03,-2.149838682797131008e-05,5.921177799354787998e-04
8.333333333333332871e-02,1.503951850103957891e+09,5.788539582759026761e-05,8.998907919487899448e-03,-4.077125756175501819e-05,7.414200576342478647e-04
1.000000000000000056e-01,1.503951850120099068e+09,8.467853633946515466e-05,1.499817986581316806e-02,-6.738982318432458051e-05,9.902665583447285876e-04
1.166666666666666685e-01,1.503951850136104107e+09,1.168766158252789247e-04,8.998907919487899448e-03,-1.018961169972662468e-04,1.138550088386239192e-03
1.333333333333333315e-01,1.503951850152349949e+09,1.544864480217000185e-04,1.199854389265053375e-02,-1.446742750637536659e-04,1.336114582012685450e-03
1.499999999999999944e-01,1.503951850169276953e+09,1.974280167416706932e-04,-1.499817986581316719e-03,-1.959564292923599938e-04,1.307851675081457598e-03
1.666666666666666574e-01,1.503951850185120106e+09,2.455304358554707901e-04,1.649799785239448521e-02,-2.558335955227125928e-04,1.578554412695987001e-03
1.833333333333333204e-01,1.503951850201551914e+09,2.985327411237056528e-04,1.049872590606921660e-02,-3.242707734298126373e-04,1.748128664906643684e-03
2.000000000000000111e-01,1.503951850217566967e+09,3.560898716819140670e-04,7.499089932906584030e-03,-4.011253119695700289e-04,1.866428075255593911e-03
2.166666666666666741e-01,1.503951850234373093e+09,4.177839979613533336e-04,1.049872590606921660e-02,-4.861674777229892824e-04,2.033304049061364447e-03
2.333333333333333370e-01,1.503951850250207901e+09,4.831411375935639038e-04,2.999635973162633439e-03,-5.791020985136316728e-04,2.073646280305514646e-03
2.500000000000000000e-01,1.503951850266858101e+09,5.516527788195227855e-04,7.499089932906584030e-03,-6.795901435750629615e-04,2.187304610127706762e-03
2.666666666666666630e-01,1.503951850281775951e+09,6.228020099383184969e-04,1.649799785239448521e-02,-7.872691445820033255e-04,2.449150088591248251e-03
2.833333333333333259e-01,1.503951850298724890e+09,6.960934413600717045e-04,1.049872590606921660e-02,-9.017714570123564486e-04,2.609099329408862741e-03
2.999999999999999889e-01,1.503951850314822912e+09,7.710860117291568538e-04,2.249726979871975036e-02,-1.022739504360376103e-03,2.967008167648185844e-03
3.166666666666666519e-01,1.503951850331671000e+09,8.474275988308622738e-04,1.049872590606921660e-02,-1.149837332414372412e-03,3.122822977209100022e-03
3.333333333333333148e-01,1.503951850348450899e+09,9.248902164255929856e-04,1.199854389265053375e-02,-1.282758019077282667e-03,3.301419408435321036e-03
3.499999999999999778e-01,1.503951850364633083e+09,1.003404475733901766e-03,1.199854389265053375e-02,-1.421226727474051528e-03,3.477708027854929228e-03
3.666666666666666408e-01,1.503951850380616903e+09,1.083091929899599381e-03,1.349836187923184917e-02,-1.564999445648408444e-03,3.676597401747986639e-03
3.833333333333333037e-01,1.503951850397258043e+09,1.164293904993369579e-03,1.349836187923184917e-02,-1.713857713572878791e-03,3.873005804508969536e-03
4.000000000000000222e-01,1.503951850413103104e+09,1.247595454176688660e-03,2.699672375846369834e-02,-1.867599885772813339e-03,4.291824535720484106e-03
4.166666666666666852e-01,1.503951850430032969e+09,1.333843153197764074e-03,1.049872590606921660e-02,-2.026029704078251802e-03,4.433036139087000171e-03
4.333333333333333481e-01,1.503951850446073055e+09,1.424155584535151267e-03,1.499817986581316806e-02,-2.188943148996645802e-03,4.646523417700608970e-03
4.500000000000000111e-01,1.503951850462399960e+09,1.519925531754505541e-03,1.199854389265053375e-02,-2.356114690170706041e-03,4.807230571075273018e-03
4.666666666666666741e-01,1.503951850479057074e+09,1.622813120971943043e-03,1.799781583897579890e-02,-2.527284158082283242e-03,5.065072765756831533e-03
4.833333333333333370e-01,1.503951850495740891e+09,1.734729397244964529e-03,1.199854389265053375e-02,-2.702145504188221969e-03,5.220012738897870409e-03
5.000000000000000000e-01,1.503951850511101961e+09,1.857810103447041401e-03,5.999271946325266877e-03,-2.880338700798625376e-03,5.271994959656647883e-03
5.166666666666666075e-01,1.503951850527570963e+09,1.994379729801744761e-03,1.049872590606921660e-02,-3.061445953394117871e-03,5.395949625534566564e-03
5.333333333333333259e-01,1.503951850544289112e+09,2.146906214923141425e-03,7.499089932906584030e-03,-3.244993257417012455e-03,5.466851236792726054e-03
5.500000000000000444e-01,1.503951850561563969e+09,2.317946994440602763e-03,7.499089932906584030e-03,-3.430458132126551398e-03,5.534661766805726302e-03
5.666666666666666519e-01,1.503951850578058958e+09,2.510087401210238465e-03,1.349836187923184917e-02,-3.617284111669306738e-03,5.699346396265102428e-03
5.833333333333333703e-01,1.503951850594319105e+09,2.725872711783801448e-03,7.499089932906584030e-03,-3.804902276250889549e-03,5.760916190542697546e-03
5.999999999999999778e-01,1.503951850610615015e+09,2.967735397496824943e-03,5.999271946325266877e-03,-3.992759774512622678e-03,5.794358060072907907e-03
6.166666666666666963e-01,1.503951850627891064e+09,3.237919366061613874e-03,1.499817986581316719e-03,-4.180354934043660833e-03,5.749682444281868990e-03
6.333333333333333037e-01,1.503951850642966986e+09,3.538403162546335627e-03,1.499817986581316806e-02,-4.367278193938909682e-03,5.926864138813106413e-03
6.500000000000000222e-01,1.503951850659765005e+09,3.870824229836991592e-03,4.499453959743949724e-03,-4.553257735942629544e-03,5.925967409209795256e-03
6.666666666666666297e-01,1.503951850677040100e+09,4.236406402220371445e-03,1.199854389265053375e-02,-4.738208353935717369e-03,6.046973001521708732e-03
