# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.503951899236877918e+09,-0.000000000000000000e+00,1.349836187923184917e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.503951899237380981e+09,-2.147917641751685147e-06,2.929687500000000000e-03,0.000000000000000000e+00,4.882812499999999593e-05
3.333333333333333287e-02,1.503951899246977091e+09,-8.764447890478153669e-06,1.349836187923184917e-02,2.036121991559252359e-06,2.738347583537234942e-04
5.000000000000000278e-02,1.503951899263164043e+09,-2.010613480534787772e-05,1.199854389265053375e-02,8.870962340705919414e-06,4.739583392702441324e-04
6.666666666666666574e-02,1.503951899280005932e+09,-3.641188470135284743e-05,1.349836187923184917e-02,2.149838682797131008e-05,6.992893437045744238e-04
8.333333333333332871e-02,1.503951899297674894e+09,-5.788539582759026761e-05,1.049872590606921660e-02,4.077125756175501819e-05,8.749476297650906047e-04
1.000000000000000056e-01,1.503951899314610004e+09,-8.467853633946515466e-05,5.999271946325266877e-03,6.738982318432458051e-05,9.760586592569170947e-04
1.166666666666666685e-01,1.503951899333275080e+09,-1.168766158252789247e-04,1.499817986581316719e-03,1.018961169972662468e-04,1.002753894316560151e-03
1.333333333333333315e-01,1.503951899349265099e+09,-1.544864480217000185e-04,7.499089932906584030e-03,1.446742750637536659e-04,1.130149964449399030e-03
1.499999999999999944e-01,1.503951899366352081e+09,-1.974280167416706932e-04,7.499089932906584030e-03,1.959564292923599938e-04,1.258400737152714751e-03
1.666666666666666574e-01,1.503951899382046938e+09,-2.455304358554707901e-04,8.998907919487899448e-03,2.558335955227125928e-04,1.412646429069558352e-03
1.833333333333333204e-01,1.503951899399087906e+09,-2.985327411237056528e-04,1.349836187923184917e-02,3.242707734298126373e-04,1.643023639947252708e-03
2.000000000000000111e-01,1.503951899415033102e+09,-3.560898716819140670e-04,1.799781583897579890e-02,4.011253119695700289e-04,1.949672659129675486e-03
2.166666666666666741e-01,1.503951899431294918e+09,-4.177839979613533336e-04,1.049872590606921660e-02,4.861674777229892824e-04,2.132754215526212055e-03
2.333333333333333370e-01,1.503951899448077917e+09,-4.831411375935639038e-04,8.998907919487899448e-03,5.791020985136316728e-04,2.292387715826237592e-03
2.500000000000000000e-01,1.503951899465430021e+09,-5.516527788195227855e-04,1.199854389265053375e-02,6.795901435750629615e-04,2.503689949763330830e-03
2.666666666666666630e-01,1.503951899482333899e+09,-6.228020099383184969e-04,1.049872590606921660e-02,7.872691445820033255e-04,2.691789867274184313e-03
2.833333333333333259e-01,1.503951899499561071e+09,-6.960934413600717045e-04,4.499453959743949724e-03,9.017714570123564486e-04,2.781810290886789494e-03
2.999999999999999889e-01,1.503951899516510963e+09,-7.710860117291568538e-04,1.199854389265053375e-02,1.022739504360376103e-03,2.998831680836971415e-03
3.166666666666666519e-01,1.503951899532464027e+09,-8.474275988308622738e-04,1.049872590606921660e-02,1.149837332414372412e-03,3.192974401478364775e-03
3.333333333333333148e-01,1.503951899549174070e+09,-9.248902164255929856e-04,1.199854389265053375e-02,1.282758019077282667e-03,3.414329433340495233e-03
3.499999999999999778e-01,1.503951899565726995e+09,-1.003404475733901766e-03,1.049872590606921660e-02,1.421226727474051528e-03,3.612995310566216329e-03
3.666666666666666408e-01,1.503951899583637953e+09,-1.083091929899599381e-03,1.049872590606921660e-02,1.564999445648408444e-03,3.814057399761509957e-03
3.833333333333333037e-01,1.503951899601617098e+09,-1.164293904993369579e-03,5.999271946325266877e-03,1.713857713572878791e-03,3.942609560759812413e-03
4.000000000000000222e-01,1.503951899618885040e+09,-1.247595454176688660e-03,1.199854389265053375e-02,1.867599885772813339e-03,4.173711957066868553e-03
4.166666666666666852e-01,1.503951899635865927e+09,-1.333843153197764074e-03,1.349836187923184917e-02,2.026029704078251802e-03,4.432451816788703092e-03
4.333333333333333481e-01,1.503951899651410103e+09,-1.424155584535151267e-03,8.998907919487899448e-03,2.188943148996645802e-03,4.618916001263445766e-03
4.500000000000000111e-01,1.503951899668438911e+09,-1.519925531754505541e-03,1.349836187923184917e-02,2.356114690170706041e-03,4.883157277420155373e-03
4.666666666666666741e-01,1.503951899685328960e+09,-1.622813120971943043e-03,1.049872590606921660e-02,2.527284158082283242e-03,5.100257445156014015e-03
4.833333333333333370e-01,1.503951899701133013e+09,-1.734729397244964529e-03,8.998907919487899448e-03,2.702145504188221969e-03,5.295275002217283110e-03
5.000000000000000000e-01,1.503951899717052937e+09,-1.857810103447041401e-03,8.998907919487899448e-03,2.880338700798625376e-03,5.493262445888724872e-03
5.166666666666666075e-01,1.503951899734998941e+09,-1.994379729801744761e-03,1.349836187923184917e-02,3.061445953394117871e-03,5.769259243099157664e-03
5.333333333333333259e-01,1.503951899750585079e+09,-2.146906214923141425e-03,1.799781583897579890e-02,3.244993257417012455e-03,6.123306061372370962e-03
5.500000000000000444e-01,1.503951899768119097e+09,-2.317946994440602763e-03,1.049872590606921660e-02,3.430458132126551398e-03,6.355459128675633451e-03
5.666666666666666519e-01,1.503951899783684969e+09,-2.510087401210238465e-03,7.499089932906584030e-03,3.617284111669306738e-03,6.540732029418565296e-03
5.833333333333333703e-01,1.503951899800875902e+09,-2.725872711783801448e-03,8.998907919487899448e-03,3.804902276250889549e-03,6.754128866014211599e-03
5.999999999999999778e-01,1.503951899816319942e+09,-2.967735397496824943e-03,1.349836187923184917e-02,3.992759774512622678e-03,7.045647560243286159e-03
6.166666666666666963e-01,1.503951899832717896e+09,-3.237919366061613874e-03,4.499453959743949724e-03,4.180354934043660833e-03,7.190311041806412944e-03
6.333333333333333037e-01,1.503951899849941015e+09,-3.538403162546335627e-03,1.199854389265053375e-02,4.367278193938909682e-03,7.463074743249570493e-03
6.500000000000000222e-01,1.503951899867141962e+09,-3.870824229836991592e-03,5.999271946325266877e-03,4.553257735942629544e-03,7.638950237954035202e-03
6.666666666666666297e-01,1.503951899882745981e+09,-4.236406402220371445e-03,1.349836187923184917e-02,4.738208353935717369e-03,7.942893075173495382e-03
6.833333333333333481e-01,1.503951899900260925e+09,-4.635892817275798217e-03,1.349836187923184917e-02,4.922281800165190756e-03,8.249903803163446611e-03
6.999999999999999556e-01,1.503951899915862083e+09,-5.069486378252292987e-03,8.998907919487899448e-03,5.105916594851566716e-03,8.484984211735770512e-03
7.166666666666666741e-01,1.503951899932480097e+09,-5.536799780841432546e-03,1.049872590606921660e-02,5.289885096604191907e-03,8.748127728446993337e-03
7.333333333333332815e-01,1.503951899949255943e+09,-6.036816935986195204e-03,7.499089932906584030e-03,5.475335515649479290e-03,8.964368152589594074e-03
7.500000000000000000e-01,1.503951899966829062e+09,-6.567867377306361304e-03,1.349836187923184917e-02,5.663826519235313876e-03,9.283737959230714196e-03
7.666666666666666075e-01,1.503951899982264042e+09,-7.127614943003563255e-03,1.049872590606921660e-02,5.857352135084136283e-03,9.556339259916602630e-03
7.833333333333333259e-01,1.503951899998648882e+09,-7.713061674685069320e-03,8.998907919487899448e-03,6.058354807817643677e-03,9.807293638705028016e-03
8.000000000000000444e-01,1.503951900016347885e+09,-8.320567488026257494e-03,1.349836187923184917e-02,6.269724705038887472e-03,1.013676174844287299e-02
8.166666666666666519e-01,1.503951900034007072e+09,-8.945885752639210278e-03,1.049872590606921660e-02,6.494783701041788489e-03,1.041998690856139019e-02
8.333333333333333703e-01,1.503951900050616980e+09,-9.584214482183786576e-03,0.000000000000000000e+00,6.737252880344835222e-03,1.053227445656713772e-02
8.499999999999999778e-01,1.503951900068068027e+09,-1.023026239279348562e-02,7.499089932906584030e-03,7.001202890535109837e-03,1.077394600362449953e-02
8.666666666666666963e-01,1.503951900084000111e+09,-1.087832865099769633e-02,7.499089932906584030e-03,7.290987021289636362e-03,1.102044728619443713e-02
8.833333333333333037e-01,1.503951900101399899e+09,-1.152239471440864339e-02,-1.499817986581316719e-03,7.611157478166899644e-03,1.112230294438753056e-02
9.000000000000000222e-01,1.503951900117377996e+09,-1.215622628224069350e-02,-2.999635973162633439e-03,7.966365937743039027e-03,1.120508177713053742e-02
9.166666666666666297e-01,1.503951900134732008e+09,-1.277348303042312970e-02,-2.399708778530106751e-02,8.361250094991447626e-03,1.094448448229204396e-02
9.333333333333333481e-01,1.503951900151716948e+09,-1.336783351892000329e-02,-2.849654174504501897e-02,8.800308523339142597e-03,1.061621392859694521e-02
9.499999999999999556e-01,1.503951900169594049e+09,-1.393307243686997023e-02,-3.899526765111423210e-02,9.287766740895365275e-03,1.012108891342663151e-02
9.666666666666666741e-01,1.503951900186536074e+09,-1.446323720269759340e-02,-3.749544966453291495e-02,9.827437891412245732e-03,9.659955383874620910e-03
9.833333333333332815e-01,1.503951900202744961e+09,-1.495272086792841064e-02,-4.949399355718345217e-02,1.042258188496758900e-02,9.008765189337689799e-03
1.000000000000000000e+00,1.503951900221029043e+09,-1.539637828944405949e-02,-5.699308349009003793e-02,1.107576718213668793e-02,8.243476584205133503e-03
1.016666666666666607e+00,1.503951900237521887e+09,-1.578962263740874353e-02,-6.599199140957794085e-02,1.178873962984385709e-02,7.340089054542899005e-03
1.033333333333333215e+00,1.503951900253709078e+09,-1.612850949472105500e-02,-6.599199140957794085e-02,1.256230285342018783e-02,6.449594245273602977e-03
1.050000000000000044e+00,1.503951900270761013e+09,-1.640980607574245645e-02,-7.199126335590319559e-02,1.339621466745600196e-02,5.473010100466149663e-03
1.066666666666666652e+00,1.503951900287817955e+09,-1.663104344189852632e-02,-8.398980724855373281e-02,1.428910378166091746e-02,4.311331709351269408e-03
1.083333333333333259e+00,1.503951900304936886e+09,-1.679055001182331794e-02,-8.848926120829768427e-02,1.523841074536454177e-02,3.090484201635717351e-03
1.100000000000000089e+00,1.503951900321528912e+09,-1.688746514407012123e-02,-9.448853315462296676e-02,1.624035659836986500e-02,1.786347925698165669e-03
1.116666666666666696e+00,1.503951900339114904e+09,-1.692173209908233791e-02,-1.004878051009482215e-01,1.728994208420411155e-02,3.997168754190970688e-04
1.133333333333333304e+00,1.503951900355703115e+09,-1.689407025041901600e-02,-1.139861669801800759e-01,1.838097954667100228e-02,-1.193702915139387708e-03
1.149999999999999911e+00,1.503951900373226881e+09,-1.680592699809493537e-02,-1.214852569130866478e-01,1.950615878874241080e-02,-2.893354550545125005e-03
1.166666666666666741e+00,1.503951900389806032e+09,-1.665941042326709448e-02,-1.364834367788998193e-01,2.065714724510621381e-02,-4.823792709441684576e-03
1.183333333333333348e+00,1.503951900407466888e+09,-1.645720429675929380e-02,-1.589807065776195627e-01,2.182472383060851326e-02,-7.109725755225202587e-03
1.199999999999999956e+00,1.503951900423763990e+09,-1.620246759733963079e-02,-1.844776123495019404e-01,2.299894480388233950e-02,-9.801036880985528402e-03
1.216666666666666563e+00,1.503951900441154003e+09,-1.589872119289491639e-02,-2.009756102018964430e-01,2.416933895838568880e-02,-1.274780806837737430e-02
1.233333333333333393e+00,1.503951900457180023e+09,-1.554972477315924757e-02,-2.069748821482217394e-01,2.532512845302545279e-02,-1.577530396329731091e-02
1.250000000000000000e+00,1.503951900474818945e+09,-1.515934748223349976e-02,-2.204732440274535521e-01,2.645547065316306706e-02,-1.900893351953548624e-02
1.266666666666666607e+00,1.503951900491740942e+09,-1.473143597029277947e-02,-2.234728800006162142e-01,2.754971550124589094e-02,-2.227431959452499249e-02
1.283333333333333215e+00,1.503951900509152889e+09,-1.426968375627704969e-02,-2.234728800006162142e-01,2.859767220430045609e-02,-2.552223972446358846e-02
1.300000000000000044e+00,1.503951900525105000e+09,-1.377750585913464255e-02,-2.204732440274535521e-01,2.958987844034459413e-02,-2.870362915091540304e-02
1.316666666666666652e+00,1.503951900542068005e+09,-1.325792260926238891e-02,-2.159737900677095868e-01,3.051786487136461459e-02,-3.179456123752115448e-02
1.333333333333333259e+00,1.503951900557971001e+09,-1.271345639207369614e-02,-2.219730620140348831e-01,3.137440752658524068e-02,-3.497120547897864667e-02
1.350000000000000089e+00,1.503951900574680090e+09,-1.214604480318910197e-02,-2.114743361079656769e-01,3.215376060110447520e-02,-3.795988173742633615e-02
1.366666666666666696e+00,1.503951900590985060e+09,-1.155697331383802665e-02,-2.144739720811282835e-01,3.285186241074742469e-02,-4.098691689859935289e-02
