# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.503951947789808989e+09,-0.000000000000000000e+00,5.999271946325266877e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.503951947790294886e+09,-3.817254851680025241e-07,1.464843750000000000e-03,0.000000000000000000e+00,2.441406249999999797e-05
3.333333333333333287e-02,1.503951947800781965e+09,-1.300879160145474001e-06,0.000000000000000000e+00,0.000000000000000000e+00,2.441406249999999797e-05
5.000000000000000278e-02,1.503951947818511963e+09,-2.492678168490824970e-06,8.998907919487899448e-03,0.000000000000000000e+00,1.743958611581316611e-04
6.666666666666666574e-02,1.503951947835362911e+09,-3.823260550326531765e-06,4.499453959743949724e-03,0.000000000000000000e+00,2.493867604871975079e-04
8.333333333333332871e-02,1.503951947852454901e+09,-5.328717903556420757e-06,1.499817986581316806e-02,0.000000000000000000e+00,4.993564249174169611e-04
1.000000000000000056e-01,1.503951947869112968e+09,-7.251277399833045257e-06,1.049872590606921660e-02,0.000000000000000000e+00,6.743351900185706217e-04
1.166666666666666685e-01,1.503951947886651039e+09,-1.007052534532055656e-05,1.049872590606921660e-02,0.000000000000000000e+00,8.493139551197241739e-04
1.333333333333333315e-01,1.503951947904388905e+09,-1.452765292379677706e-05,5.999271946325266877e-03,0.000000000000000000e+00,9.493018208918119335e-04
1.499999999999999944e-01,1.503951947921010017e+09,-2.164088504001222748e-05,5.999271946325266877e-03,0.000000000000000000e+00,1.049289686663899693e-03
1.666666666666666574e-01,1.503951947937633038e+09,-3.271052087503867475e-05,5.999271946325266877e-03,0.000000000000000000e+00,1.149277552435987561e-03
1.833333333333333204e-01,1.503951947954133987e+09,-4.931236195258694631e-05,7.499089932906584030e-03,0.000000000000000000e+00,1.274262384651097396e-03
2.000000000000000111e-01,1.503951947970793962e+09,-7.327871900694729536e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.274262384651097396e-03
2.166666666666666741e-01,1.503951947987687111e+09,-1.066666586335454062e-04,1.349836187923184917e-02,0.000000000000000000e+00,1.499235082638294882e-03
2.333333333333333370e-01,1.503951948005462885e+09,-1.517136580324148691e-04,1.649799785239448521e-02,0.000000000000000000e+00,1.774201713511536303e-03
2.500000000000000000e-01,1.503951948022808075e+09,-2.107813626672053490e-04,4.499453959743949724e-03,0.000000000000000000e+00,1.849192612840602204e-03
2.666666666666666630e-01,1.503951948039427996e+09,-2.862886676406794974e-04,5.999271946325266877e-03,0.000000000000000000e+00,1.949180478612690072e-03
2.833333333333333259e-01,1.503951948057301044e+09,-3.806358487452030700e-04,5.999271946325266877e-03,0.000000000000000000e+00,2.049168344384777723e-03
2.999999999999999889e-01,1.503951948072896957e+09,-4.961219333511698729e-04,5.999271946325266877e-03,0.000000000000000000e+00,2.149156210156865591e-03
3.166666666666666519e-01,1.503951948089812040e+09,-6.348579053024532926e-04,-7.499089932906584030e-03,0.000000000000000000e+00,2.024171377941755973e-03
3.333333333333333148e-01,1.503951948105288029e+09,-7.986786641540012579e-04,7.499089932906584030e-03,0.000000000000000000e+00,2.149156210156865591e-03
3.499999999999999778e-01,1.503951948122359037e+09,-9.890568920481997237e-04,0.000000000000000000e+00,0.000000000000000000e+00,2.149156210156865591e-03
3.666666666666666408e-01,1.503951948137964964e+09,-1.207022108805681131e-03,5.999271946325266877e-03,0.000000000000000000e+00,2.249144075928953459e-03
3.833333333333333037e-01,1.503951948154488087e+09,-1.453088208332495518e-03,5.999271946325266877e-03,0.000000000000000000e+00,2.349131941701041327e-03
4.000000000000000222e-01,1.503951948170142889e+09,-1.727192661970529180e-03,2.999635973162633439e-03,0.000000000000000000e+00,2.399125874587085261e-03
4.166666666666666852e-01,1.503951948186547995e+09,-2.028650345806020869e-03,8.998907919487899448e-03,0.000000000000000000e+00,2.549107673245217063e-03
4.333333333333333481e-01,1.503951948203180075e+09,-2.356124602335528048e-03,8.998907919487899448e-03,0.000000000000000000e+00,2.699089471903348865e-03
4.500000000000000111e-01,1.503951948220175028e+09,-2.707617689683810766e-03,8.998907919487899448e-03,0.000000000000000000e+00,2.849071270561480667e-03
4.666666666666666741e-01,1.503951948235909939e+09,-3.080482215335874838e-03,4.499453959743949724e-03,0.000000000000000000e+00,2.924062169890546351e-03
4.833333333333333370e-01,1.503951948252727985e+09,-3.471454511515277737e-03,8.998907919487899448e-03,0.000000000000000000e+00,3.074043968548678153e-03
5.000000000000000000e-01,1.503951948270335913e+09,-3.876710204793388636e-03,4.499453959743949724e-03,0.000000000000000000e+00,3.149034867877743837e-03
5.166666666666666075e-01,1.503951948286860943e+09,-4.291941485034087185e-03,8.998907919487899448e-03,0.000000000000000000e+00,3.299016666535875639e-03
5.333333333333333259e-01,1.503951948303268909e+09,-4.712454812399590777e-03,0.000000000000000000e+00,0.000000000000000000e+00,3.299016666535875639e-03
5.500000000000000444e-01,1.503951948321154118e+09,-5.133287041395441161e-03,4.499453959743949724e-03,0.000000000000000000e+00,3.374007565864941324e-03
5.666666666666666519e-01,1.503951948336658955e+09,-5.549337214026433401e-03,5.999271946325266877e-03,0.000000000000000000e+00,3.473995431637029192e-03
5.833333333333333703e-01,1.503951948353434086e+09,-5.955510606094106124e-03,1.199854389265053375e-02,0.000000000000000000e+00,3.673971163181204928e-03
5.999999999999999778e-01,1.503951948369415045e+09,-6.346871026449030055e-03,8.998907919487899448e-03,0.000000000000000000e+00,3.823952961839336730e-03
6.166666666666666963e-01,1.503951948386964083e+09,-6.718796891643532415e-03,8.998907919487899448e-03,0.000000000000000000e+00,3.973934760497468098e-03
6.333333333333333037e-01,1.503951948403795958e+09,-7.067136248177731742e-03,4.499453959743949724e-03,0.000000000000000000e+00,4.048925659826533782e-03
6.500000000000000222e-01,1.503951948420695066e+09,-7.388355708141601010e-03,8.998907919487899448e-03,0.000000000000000000e+00,4.198907458484665151e-03
6.666666666666666297e-01,1.503951948438105106e+09,-7.679678214094950647e-03,5.999271946325266877e-03,0.000000000000000000e+00,4.298895324256753019e-03
