# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.503952236113082886e+09,0.000000000000000000e+00,-5.699308349009003793e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.503952236113620043e+09,5.714304437118248311e-07,-1.464843750000000000e-02,0.000000000000000000e+00,-2.441406250000000000e-04
3.333333333333333287e-02,1.503952236121311903e+09,2.302512093967138948e-06,-5.999271946325267224e-02,0.000000000000000000e+00,-1.244019282720877813e-03
5.000000000000000278e-02,1.503952236138823986e+09,5.186605858555814017e-06,-5.699308349009003793e-02,0.000000000000000000e+00,-2.193904007555711692e-03
6.666666666666666574e-02,1.503952236153520107e+09,9.177102081233194959e-06,-5.999271946325267224e-02,0.000000000000000000e+00,-3.193782665276589505e-03
8.333333333333332871e-02,1.503952236170734882e+09,1.419612682244029663e-05,-6.299235543641529267e-02,0.000000000000000000e+00,-4.243655255883511251e-03
1.000000000000000056e-01,1.503952236188199043e+09,2.014969283169138080e-05,-5.699308349009003793e-02,0.000000000000000000e+00,-5.193539980718345564e-03
1.166666666666666685e-01,1.503952236205514908e+09,2.694859470604463341e-05,-5.699308349009003793e-02,0.000000000000000000e+00,-6.143424705553179876e-03
1.333333333333333315e-01,1.503952236222161055e+09,3.453398915671436481e-05,-5.849290147667134815e-02,0.000000000000000000e+00,-7.118306396831035505e-03
1.499999999999999944e-01,1.503952236238837004e+09,4.290628993505441840e-05,-5.699308349009003793e-02,0.000000000000000000e+00,-8.068191121665868951e-03
1.666666666666666574e-01,1.503952236255111933e+09,5.215575692449811430e-05,-5.699308349009003793e-02,0.000000000000000000e+00,-9.018075846500703263e-03
1.833333333333333204e-01,1.503952236271593094e+09,6.249298190959403591e-05,-5.399344751692739669e-02,0.000000000000000000e+00,-9.917966638449493208e-03
2.000000000000000111e-01,1.503952236288383961e+09,7.427737844587753479e-05,-5.699308349009003793e-02,0.000000000000000000e+00,-1.086785136328432752e-02
2.166666666666666741e-01,1.503952236305183887e+09,8.804177571000245024e-05,-5.999271946325267224e-02,0.000000000000000000e+00,-1.186773002100520447e-02
2.333333333333333370e-01,1.503952236321115971e+09,1.045112983761726627e-04,-5.699308349009003793e-02,0.000000000000000000e+00,-1.281761474584003878e-02
2.500000000000000000e-01,1.503952236340147972e+09,1.246148850246647159e-04,-5.999271946325267224e-02,0.000000000000000000e+00,-1.381749340356091746e-02
2.666666666666666630e-01,1.503952236353120089e+09,1.494880513502020879e-04,-5.699308349009003793e-02,0.000000000000000000e+00,-1.476737812839575177e-02
2.833333333333333259e-01,1.503952236369723082e+09,1.804658330804128827e-04,-5.999271946325267224e-02,0.000000000000000000e+00,-1.576725678611663045e-02
2.999999999999999889e-01,1.503952236385505915e+09,2.190652354552083945e-04,-5.699308349009003793e-02,0.000000000000000000e+00,-1.671714151095146303e-02
3.166666666666666519e-01,1.503952236403285027e+09,2.669569570013582017e-04,-5.549326550350872078e-02,0.000000000000000000e+00,-1.764202926934327342e-02
3.333333333333333148e-01,1.503952236419832945e+09,3.259266285284376664e-04,-5.849290147667134815e-02,0.000000000000000000e+00,-1.861691096062112818e-02
3.499999999999999778e-01,1.503952236437016010e+09,3.978262954429972651e-04,-5.849290147667134815e-02,0.000000000000000000e+00,-1.959179265189898295e-02
3.666666666666666408e-01,1.503952236452888966e+09,4.845173532557454660e-04,-5.699308349009003793e-02,0.000000000000000000e+00,-2.054167737673381552e-02
3.833333333333333037e-01,1.503952236469631910e+09,5.878066028298882919e-04,-5.549326550350872078e-02,0.000000000000000000e+00,-2.146656513512562592e-02
4.000000000000000222e-01,1.503952236486246109e+09,7.093775041618185975e-04,-6.299235543641529267e-02,0.000000000000000000e+00,-2.251643772573254723e-02
4.166666666666666852e-01,1.503952236503863096e+09,8.507190570829036144e-04,-5.549326550350872078e-02,0.000000000000000000e+00,-2.344132548412435763e-02
