# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.503952431266550064e+09,-0.000000000000000000e+00,3.899526765111423210e-02,-0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.503952431267126083e+09,-1.798929827055640890e-06,9.521484375000000000e-03,0.000000000000000000e+00,1.586914062499999783e-04
3.333333333333333287e-02,1.503952431276758909e+09,-7.143096105243524524e-06,3.449581369137028758e-02,-1.413869948528467420e-06,7.335980699403626569e-04
5.000000000000000278e-02,1.503952431295032978e+09,-1.610466661814614789e-05,3.599563167795159779e-02,-5.480904621995249357e-06,1.333433916162522770e-03
6.666666666666666574e-02,1.503952431312021971e+09,-2.895384448307132715e-05,3.599563167795159779e-02,-1.197178372019448439e-05,1.933161581066379555e-03
8.333333333333332871e-02,1.503952431329327106e+09,-4.614755680175652706e-05,3.899526765111423210e-02,-2.069039208931063465e-05,2.582737868716794560e-03
1.000000000000000056e-01,1.503952431345982075e+09,-6.831024298560356336e-05,3.599563167795159779e-02,-3.145911940556328203e-05,3.182140744692561925e-03
1.166666666666666685e-01,1.503952431363162041e+09,-9.620762854014538220e-05,3.599563167795159779e-02,-4.410249646159308714e-05,3.781332897717395308e-03
1.333333333333333315e-01,1.503952431378914118e+09,-1.307146554978873428e-04,3.749544966453291495e-02,-5.843004229691513073e-05,4.405283224754662219e-03
1.499999999999999944e-01,1.503952431395859003e+09,-1.727789801094829173e-04,3.749544966453291495e-02,-7.421922989269736943e-05,5.028970398665332311e-03
1.666666666666666574e-01,1.503952431412560940e+09,-2.233816324214081377e-04,3.899526765111423210e-02,-9.119947392158423295e-05,5.677371534951876700e-03
1.833333333333333204e-01,1.503952431430174112e+09,-2.834965535923031810e-04,3.599563167795159779e-02,-1.090380022054298579e-04,6.275481429547646005e-03
2.000000000000000111e-01,1.503952431446595907e+09,-3.540507801474801052e-04,3.449581369137028758e-02,-1.273283945496202273e-04,6.848289517827990149e-03
2.166666666666666741e-01,1.503952431464637041e+09,-4.358870272687663831e-04,3.749544966453291495e-02,-1.455824612706091144e-04,7.470787304549028791e-03
2.333333333333333370e-01,1.503952431481240034e+09,-5.297303357130522588e-04,3.299599570478897043e-02,-1.632259930194410863e-04,8.018000133078521247e-03
2.500000000000000000e-01,1.503952431497488976e+09,-6.361602917354371124e-04,3.599563167795159779e-02,-1.795987485318640664e-04,8.614934015235517148e-03
2.666666666666666630e-01,1.503952431514417887e+09,-7.555901117132752349e-04,3.749544966453291495e-02,-1.939588637388215840e-04,9.236625528582086131e-03
2.833333333333333259e-01,1.503952431530339003e+09,-8.882536106725638213e-04,3.749544966453291495e-02,-2.054916710143152943e-04,9.858124828474063017e-03
