# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.503952557367881060e+09,0.000000000000000000e+00,-1.199854389265053375e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.503952557369611025e+09,1.798929827055640890e-06,-5.126953125000000000e-03,0.000000000000000000e+00,-8.544921874999998103e-05
3.333333333333333287e-02,1.503952557370088100e+09,7.143096105243524524e-06,-2.699672375846369834e-02,1.413869948528467420e-06,-5.353710502252528652e-04
5.000000000000000278e-02,1.503952557387306929e+09,1.610466661814614789e-05,-1.799781583897579890e-02,5.480904621995249357e-06,-8.352432991311495910e-04
6.666666666666666574e-02,1.503952557403983116e+09,2.895384448307132715e-05,-1.649799785239448521e-02,1.197178372019448439e-05,-1.110010400275721022e-03
8.333333333333332871e-02,1.503952557419773102e+09,4.614755680175652706e-05,-1.349836187923184917e-02,2.069039208931063465e-05,-1.334638258394763239e-03
1.000000000000000056e-01,1.503952557435579062e+09,6.831024298560356336e-05,-1.949763382555711605e-02,3.145911940556328203e-05,-1.659074503497288966e-03
1.166666666666666685e-01,1.503952557453483105e+09,9.620762854014538220e-05,-2.099745181213843320e-02,4.410249646159308714e-05,-2.008296992091903113e-03
1.333333333333333315e-01,1.503952557469145060e+09,1.307146554978873428e-04,-1.499817986581316806e-02,5.843004229691513073e-05,-2.257292822483840736e-03
1.499999999999999944e-01,1.503952557486155987e+09,1.727789801094829173e-04,-1.349836187923184917e-02,7.421922989269736943e-05,-2.481028533306159790e-03
1.666666666666666574e-01,1.503952557502553940e+09,2.233816324214081377e-04,-1.199854389265053375e-02,9.119947392158423295e-05,-2.679484273618308772e-03
1.833333333333333204e-01,1.503952557518716097e+09,2.834965535923031810e-04,-1.649799785239448521e-02,1.090380022054298579e-04,-2.952633604454793156e-03
2.000000000000000111e-01,1.503952557536164045e+09,3.540507801474801052e-04,-1.349836187923184917e-02,1.273283945496202273e-04,-3.175484162532830196e-03
2.166666666666666741e-01,1.503952557553070068e+09,4.358870272687663831e-04,-1.499817986581316806e-02,1.455824612706091144e-04,-3.423027452608539550e-03
2.333333333333333370e-01,1.503952557569426060e+09,5.297303357130522588e-04,-1.649799785239448521e-02,1.632259930194410863e-04,-3.695273650264790152e-03
2.500000000000000000e-01,1.503952557586401939e+09,6.361602917354371124e-04,-1.499817986581316806e-02,1.795987485318640664e-04,-3.942250002219478515e-03
2.666666666666666630e-01,1.503952557602960110e+09,7.555901117132752349e-04,-8.998907919487899448e-03,1.939588637388215840e-04,-4.088999153148629474e-03
2.833333333333333259e-01,1.503952557619575024e+09,8.882536106725638213e-04,-2.099745181213843320e-02,2.054916710143152943e-04,-4.435531822167364940e-03
2.999999999999999889e-01,1.503952557635914087e+09,1.034200756394932025e-03,-1.349836187923184917e-02,2.133227184913829547e-04,-4.656949141513039639e-03
3.166666666666666519e-01,1.503952557652530909e+09,1.193302159824387266e-03,-1.199854389265053375e-02,2.165345838736542565e-04,-4.853315963325987963e-03
3.333333333333333148e-01,1.503952557669259071e+09,1.365262481094094800e-03,-1.349836187923184917e-02,2.141868925491650553e-04,-5.074718879770699631e-03
3.499999999999999778e-01,1.503952557686145067e+09,1.549642352597834774e-03,-1.499817986581316806e-02,2.053387833626603616e-04,-5.321266231144874785e-03
3.666666666666666408e-01,1.503952557702569008e+09,1.745888050533747236e-03,-1.349836187923184917e-02,1.890729239062381717e-04,-5.543087713733635055e-03
3.833333333333333037e-01,1.503952557720136881e+09,1.953367798579231079e-03,-1.349836187923184917e-02,1.645200666847985288e-04,-5.765318410609419041e-03
4.000000000000000222e-01,1.503952557736170053e+09,2.171413275559406532e-03,-1.799781583897579890e-02,1.308830630781853213e-04,-6.063100623541046140e-03
4.166666666666666852e-01,1.503952557753722906e+09,2.399364635797831668e-03,-1.499817986581316806e-02,8.745921757750530596e-05,-6.311612634344973549e-03
4.333333333333333481e-01,1.503952557770056963e+09,2.636617147369856289e-03,-1.499817986581316806e-02,3.365987293033690574e-05,-6.561021300893020783e-03
4.500000000000000111e-01,1.503952557786257029e+09,2.882667418804716816e-03,-1.499817986581316806e-02,-3.097383122698587287e-05,-6.811507195843689855e-03
4.666666666666666741e-01,1.503952557802158117e+09,3.137157125635596337e-03,-7.499089932906584030e-03,-1.067599882549475742e-04,-6.938271361196382027e-03
4.833333333333333370e-01,1.503952557818938971e+09,3.399912168671761614e-03,-1.799781583897579890e-02,-1.938705678647713586e-04,-7.241466134643725211e-03
5.000000000000000000e-01,1.503952557834585905e+09,3.670975297224232138e-03,-1.649799785239448521e-02,-2.923323225330992062e-04,-7.521304970892518649e-03
