# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.503952605764372110e+09,-0.000000000000000000e+00,7.499089932906584030e-03,-0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.503952605764848948e+09,-2.147917641751685147e-06,2.197265625000000000e-03,0.000000000000000000e+00,3.662109374999999864e-05
3.333333333333333287e-02,1.503952605773406029e+09,-8.764447890478153669e-06,5.999271946325266877e-03,-2.036121991559252359e-06,1.365750241555617733e-04
5.000000000000000278e-02,1.503952605791084051e+09,-2.010613480534787772e-05,1.499817986581316806e-02,-8.870962340705919414e-06,3.863968392134360533e-04
6.666666666666666574e-02,1.503952605807810068e+09,-3.641188470135284743e-05,8.998907919487899448e-03,-2.149838682797131008e-05,5.360203314244348875e-04
8.333333333333332871e-02,1.503952605825180054e+09,-5.788539582759026761e-05,5.999271946325266877e-03,-4.077125756175501819e-05,6.353286762371601268e-04
1.000000000000000056e-01,1.503952605841473103e+09,-8.467853633946515466e-05,5.999271946325266877e-03,-6.738982318432458051e-05,7.341933782895091560e-04
1.166666666666666685e-01,1.503952605857692957e+09,-1.168766158252789247e-04,1.049872590606921660e-02,-1.018961169972662468e-04,9.074738747740416188e-04
1.333333333333333315e-01,1.503952605875487089e+09,-1.544864480217000185e-04,8.998907919487899448e-03,-1.446742750637536659e-04,1.055044435514444160e-03
1.499999999999999944e-01,1.503952605893620968e+09,-1.974280167416706932e-04,5.999271946325266877e-03,-1.959564292923599938e-04,1.151766360798325926e-03
1.666666666666666574e-01,1.503952605909270048e+09,-2.455304358554707901e-04,1.199854389265053375e-02,-2.558335955227125928e-04,1.347478199083789645e-03
1.833333333333333204e-01,1.503952605925888062e+09,-2.985327411237056528e-04,8.998907919487899448e-03,-3.242707734298126373e-04,1.492055484851424361e-03
2.000000000000000111e-01,1.503952605942075968e+09,-3.560898716819140670e-04,7.499089932906584030e-03,-4.011253119695700289e-04,1.610354895200374588e-03
2.166666666666666741e-01,1.503952605959625959e+09,-4.177839979613533336e-04,1.049872590606921660e-02,-4.861674777229892824e-04,1.777230869006145124e-03
2.333333333333333370e-01,1.503952605976439953e+09,-4.831411375935639038e-04,-4.499453959743949724e-03,-5.791020985136316728e-04,1.692588268035185488e-03
2.500000000000000000e-01,1.503952605992233038e+09,-5.516527788195227855e-04,8.998907919487899448e-03,-6.795901435750629615e-04,1.831243564300399354e-03
2.666666666666666630e-01,1.503952606008970976e+09,-6.228020099383184969e-04,7.499089932906584030e-03,-7.872691445820033255e-04,1.943107244105809041e-03
2.833333333333333259e-01,1.503952606024925947e+09,-6.960934413600717045e-04,1.199854389265053375e-02,-9.017714570123564486e-04,2.128053451366445498e-03
2.999999999999999889e-01,1.503952606041656017e+09,-7.710860117291568538e-04,5.999271946325266877e-03,-1.022739504360376103e-03,2.210995658732527180e-03
3.166666666666666519e-01,1.503952606058852911e+09,-8.474275988308622738e-04,2.999635973162633439e-03,-1.149837332414372412e-03,2.241825636078331740e-03
3.333333333333333148e-01,1.503952606074553013e+09,-9.248902164255929856e-04,5.999271946325266877e-03,-1.282758019077282667e-03,2.320434201532464887e-03
3.499999999999999778e-01,1.503952606092112064e+09,-1.003404475733901766e-03,1.199854389265053375e-02,-1.421226727474051528e-03,2.496722820952073079e-03
3.666666666666666408e-01,1.503952606109054089e+09,-1.083091929899599381e-03,8.998907919487899448e-03,-1.564999445648408444e-03,2.620621295516064805e-03
3.833333333333333037e-01,1.503952606126087904e+09,-1.164293904993369579e-03,7.499089932906584030e-03,-1.713857713572878791e-03,2.717041832504959835e-03
4.000000000000000222e-01,1.503952606142910004e+09,-1.247595454176688660e-03,5.999271946325266877e-03,-1.867599885772813339e-03,2.785903033514167300e-03
4.166666666666666852e-01,1.503952606160548925e+09,-1.333843153197764074e-03,7.499089932906584030e-03,-2.026029704078251802e-03,2.877120703994639431e-03
4.333333333333333481e-01,1.503952606177056074e+09,-1.424155584535151267e-03,1.649799785239448521e-02,-2.188943148996645802e-03,3.115604949051269980e-03
4.500000000000000111e-01,1.503952606193768978e+09,-1.519925531754505541e-03,7.499089932906584030e-03,-2.356114690170706041e-03,3.201321203096867910e-03
4.666666666666666741e-01,1.503952606211211920e+09,-1.622813120971943043e-03,7.499089932906584030e-03,-2.527284158082283242e-03,3.284184632677272873e-03
4.833333333333333370e-01,1.503952606228431940e+09,-1.734729397244964529e-03,8.998907919487899448e-03,-2.702145504188221969e-03,3.389130672932267382e-03
5.000000000000000000e-01,1.503952606244813919e+09,-1.857810103447041401e-03,8.998907919487899448e-03,-2.880338700798625376e-03,3.491106826577088790e-03
5.166666666666666075e-01,1.503952606262686968e+09,-1.994379729801744761e-03,1.649799785239448521e-02,-3.061445953394117871e-03,3.715049358227094905e-03
5.333333333333333259e-01,1.503952606278841019e+09,-2.146906214923141425e-03,5.999271946325266877e-03,-3.244993257417012455e-03,3.760954003042232645e-03
5.500000000000000444e-01,1.503952606295949936e+09,-2.317946994440602763e-03,1.049872590606921660e-02,-3.430458132126551398e-03,3.878758465941277260e-03
5.666666666666666519e-01,1.503952606312474966e+09,-2.510087401210238465e-03,1.649799785239448521e-02,-3.617284111669306738e-03,4.093437028286696887e-03
5.833333333333333703e-01,1.503952606329543114e+09,-2.725872711783801448e-03,5.999271946325266877e-03,-3.804902276250889549e-03,4.130009856121269821e-03
