# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.503952655784856081e+09,0.000000000000000000e+00,8.998907919487899448e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.503952655785437107e+09,2.147917641751685147e-06,1.831054687500000000e-03,0.000000000000000000e+00,3.051757812500000000e-05
3.333333333333333287e-02,1.503952655794888973e+09,8.764447890478153669e-06,2.999635973162633439e-03,2.036121991559252359e-06,8.054544637756987156e-05
5.000000000000000278e-02,1.503952655811072111e+09,2.010613480534787772e-05,2.999635973162633439e-03,8.870962340705919414e-06,1.306872286359588432e-04
6.666666666666666574e-02,1.503952655827759027e+09,3.641188470135284743e-05,7.499089932906584030e-03,2.149838682797131008e-05,2.560303672982014293e-04
8.333333333333332871e-02,1.503952655845434904e+09,5.788539582759026761e-05,8.998907919487899448e-03,4.077125756175501819e-05,4.066916869156956974e-04
1.000000000000000056e-01,1.503952655862164974e+09,8.467853633946515466e-05,5.999271946325266877e-03,6.738982318432458051e-05,5.078027164075221873e-04
1.166666666666666685e-01,1.503952655878837109e+09,1.168766158252789247e-04,7.499089932906584030e-03,1.018961169972662468e-04,6.344858172392530034e-04
1.333333333333333315e-01,1.503952655894830942e+09,1.544864480217000185e-04,5.999271946325266877e-03,1.446742750637536659e-04,7.368849209290700237e-04
1.499999999999999944e-01,1.503952655911277056e+09,1.974280167416706932e-04,1.049872590606921660e-02,1.959564292923599938e-04,9.151296265184295699e-04
1.666666666666666574e-01,1.503952655927763939e+09,2.455304358554707901e-04,1.049872590606921660e-02,2.558335955227125928e-04,1.094372284878295139e-03
1.833333333333333204e-01,1.503952655945686102e+09,2.985327411237056528e-04,8.998907919487899448e-03,3.242707734298126373e-04,1.249758596426923593e-03
2.000000000000000111e-01,1.503952655962526083e+09,3.560898716819140670e-04,4.499453959743949724e-03,4.011253119695700289e-04,1.331434917622148885e-03
2.166666666666666741e-01,1.503952655980437994e+09,4.177839979613533336e-04,5.999271946325266877e-03,4.861674777229892824e-04,1.439525574689619770e-03
2.333333333333333370e-01,1.503952655997463942e+09,4.831411375935639038e-04,7.499089932906584030e-03,5.791020985136316728e-04,1.574162108546623339e-03
2.500000000000000000e-01,1.503952656012890100e+09,5.516527788195227855e-04,-1.499817986581316719e-03,6.795901435750629615e-04,1.560491644496519092e-03
2.666666666666666630e-01,1.503952656029294014e+09,6.228020099383184969e-04,1.049872590606921660e-02,7.872691445820033255e-04,1.748591562007372792e-03
2.833333333333333259e-01,1.503952656046253920e+09,6.960934413600717045e-04,5.999271946325266877e-03,9.017714570123564486e-04,1.863608952062999939e-03
2.999999999999999889e-01,1.503952656062741041e+09,7.710860117291568538e-04,4.499453959743949724e-03,1.022739504360376103e-03,1.955645509798072026e-03
3.166666666666666519e-01,1.503952656079879999e+09,8.474275988308622738e-04,8.998907919487899448e-03,1.149837332414372412e-03,2.124791263996443202e-03
3.333333333333333148e-01,1.503952656095628023e+09,9.248902164255929856e-04,4.499453959743949724e-03,1.282758019077282667e-03,2.221161463643463608e-03
3.499999999999999778e-01,1.503952656113240957e+09,1.003404475733901766e-03,7.499089932906584030e-03,1.421226727474051528e-03,2.369833407983140770e-03
3.666666666666666408e-01,1.503952656128842115e+09,1.083091929899599381e-03,4.499453959743949724e-03,1.564999445648408444e-03,2.470907631406346529e-03
3.833333333333333037e-01,1.503952656145826101e+09,1.164293904993369579e-03,8.998907919487899448e-03,1.713857713572878791e-03,2.649453725290692920e-03
4.000000000000000222e-01,1.503952656162015915e+09,1.247595454176688660e-03,7.499089932906584030e-03,1.867599885772813339e-03,2.805565222268682941e-03
4.166666666666666852e-01,1.503952656178021908e+09,1.333843153197764074e-03,1.499817986581316719e-03,2.026029704078251802e-03,2.864329350446342612e-03
4.333333333333333481e-01,1.503952656193938017e+09,1.424155584535151267e-03,5.999271946325266877e-03,2.188943148996645802e-03,3.000799602035040918e-03
4.500000000000000111e-01,1.503952656210891008e+09,1.519925531754505541e-03,7.499089932906584030e-03,2.356114690170706041e-03,3.165053012419662224e-03
4.666666666666666741e-01,1.503952656226933956e+09,1.622813120971943043e-03,7.499089932906584030e-03,2.527284158082283242e-03,3.332159247269476498e-03
4.833333333333333370e-01,1.503952656244354010e+09,1.734729397244964529e-03,2.999635973162633439e-03,2.702145504188221969e-03,3.427188938558657291e-03
5.000000000000000000e-01,1.503952656261077881e+09,1.857810103447041401e-03,4.499453959743949724e-03,2.880338700798625376e-03,3.550185482901033369e-03
5.166666666666666075e-01,1.503952656278258085e+09,1.994379729801744761e-03,2.999635973162633439e-03,3.061445953394117871e-03,3.651203515010312609e-03
5.333333333333333259e-01,1.503952656295169115e+09,2.146906214923141425e-03,-2.999635973162633439e-03,3.244993257417012455e-03,3.655292803081218803e-03
5.500000000000000444e-01,1.503952656312916040e+09,2.317946994440602763e-03,-1.049872590606921660e-02,3.430458132126551398e-03,3.537488340182174187e-03
5.666666666666666519e-01,1.503952656328526020e+09,2.510087401210238465e-03,-8.998907919487899448e-03,3.617284111669306738e-03,3.447794610051864179e-03
5.833333333333333703e-01,1.503952656344564915e+09,2.725872711783801448e-03,-5.999271946325266877e-03,3.804902276250889549e-03,3.411221782217291245e-03
5.999999999999999778e-01,1.503952656360353947e+09,2.967735397496824943e-03,-1.499817986581316806e-02,3.992759774512622678e-03,3.227798114028948648e-03
6.166666666666666963e-01,1.503952656377245903e+09,3.237919366061613874e-03,-2.099745181213843320e-02,4.180354934043660833e-03,2.947513166060702211e-03
6.333333333333333037e-01,1.503952656394011974e+09,3.538403162546335627e-03,-2.399708778530106751e-02,4.367278193938909682e-03,2.620349672871332986e-03
6.500000000000000222e-01,1.503952656411494017e+09,3.870824229836991592e-03,-2.399708778530106751e-02,4.553257735942629544e-03,2.296285838715359223e-03
6.666666666666666297e-01,1.503952656428411961e+09,4.236406402220371445e-03,-2.399708778530106751e-02,4.738208353935717369e-03,1.975304514859270010e-03
6.833333333333333481e-01,1.503952656444611073e+09,4.635892817275798217e-03,-2.249726979871975036e-02,4.922281800165190756e-03,1.682388048216694031e-03
6.999999999999999556e-01,1.503952656461718082e+09,5.069486378252292987e-03,-2.249726979871975036e-02,5.105916594851566716e-03,1.392532161485557710e-03
7.166666666666666741e-01,1.503952656478355885e+09,5.536799780841432546e-03,-2.399708778530106751e-02,5.289885096604191907e-03,1.080745450007276377e-03
7.333333333333332815e-01,1.503952656494949102e+09,6.036816935986195204e-03,-2.099745181213843320e-02,5.475335515649479290e-03,8.220435117324605004e-04
7.500000000000000000e-01,1.503952656511244059e+09,6.567867377306361304e-03,-2.249726979871975036e-02,5.663826519235313876e-03,5.414861237410533053e-04
7.666666666666666075e-01,1.503952656527843952e+09,7.127614943003563255e-03,-2.699672375846369834e-02,5.857352135084136283e-03,1.891632633513939737e-04
7.833333333333333259e-01,1.503952656545241117e+09,7.713061674685069320e-03,-1.649799785239448521e-02,6.058354807817643677e-03,1.516921260844665271e-05
8.000000000000000444e-01,1.503952656561892986e+09,8.320567488026257494e-03,-1.799781583897579890e-02,6.269724705038887472e-03,-1.802989729571685142e-04
8.166666666666666519e-01,1.503952656579319000e+09,8.945885752639210278e-03,-2.399708778530106751e-02,6.494783701041788489e-03,-4.720040410281565015e-04
8.333333333333333703e-01,1.503952656595957994e+09,9.584214482183786576e-03,-2.249726979871975036e-02,6.737252880344835222e-03,-7.346709896677383698e-04
8.499999999999999778e-01,1.503952656613496065e+09,1.023026239279348562e-02,-1.499817986581316806e-02,7.001202890535109837e-03,-8.679539392557060647e-04
8.666666666666666963e-01,1.503952656630151033e+09,1.087832865099769633e-02,-1.199854389265053375e-02,7.290987021289636362e-03,-9.464132204450543618e-04
8.833333333333333037e-01,1.503952656646754026e+09,1.152239471440864339e-02,-1.049872590606921660e-02,7.611157478166899644e-03,-9.945393609100930572e-04
9.000000000000000222e-01,1.503952656663644075e+09,1.215622628224069350e-02,-4.499453959743949724e-03,7.966365937743039027e-03,-9.367574946101082716e-04
9.166666666666666297e-01,1.503952656679975033e+09,1.277348303042312970e-02,1.499817986581316806e-02,8.361250094991447626e-03,-5.474336619300313508e-04
9.333333333333333481e-01,1.503952656696633101e+09,1.336783351892000329e-02,1.349836187923184917e-02,8.800308523339142597e-03,-1.757891552205149152e-04
9.499999999999999556e-01,1.503952656714025974e+09,1.393307243686997023e-02,1.949763382555711605e-02,9.287766740895365275e-03,3.039675208870264221e-04
9.666666666666666741e-01,1.503952656730736971e+09,1.446323720269759340e-02,3.449581369137028758e-02,9.827437891412245732e-03,1.042688380600068554e-03
9.833333333333332815e-01,1.503952656747980118e+09,1.495272086792841064e-02,3.449581369137028758e-02,1.042258188496758900e-02,1.791328306872366511e-03
1.000000000000000000e+00,1.503952656763828039e+09,1.539637828944405949e-02,5.549326550350872078e-02,1.107576718213668793e-02,2.900812184966456223e-03
1.016666666666666607e+00,1.503952656779506922e+09,1.578962263740874353e-02,5.399344751692739669e-02,1.178873962984385709e-02,3.997181970745977350e-03
1.033333333333333215e+00,1.503952656796003103e+09,1.612850949472105500e-02,7.949035328880978135e-02,1.256230285342018783e-02,5.531392906449809736e-03
1.050000000000000044e+00,1.503952656813206911e+09,1.640980607574245645e-02,9.298871516804163573e-02,1.339621466745600196e-02,7.304475070374769757e-03
1.066666666666666652e+00,1.503952656829528093e+09,1.663104344189852632e-02,1.124863489935987448e-01,1.428910378166091746e-02,9.417399283295765228e-03
1.083333333333333259e+00,1.503952656846967936e+09,1.679055001182331794e-02,1.289843468459932474e-01,1.523841074536454177e-02,1.182111190981839470e-02
1.100000000000000089e+00,1.503952656863523006e+09,1.688746514407012123e-02,1.334838008057371850e-01,1.624035659836986500e-02,1.431651453322017875e-02
1.116666666666666696e+00,1.503952656880484104e+09,1.692173209908233791e-02,1.484819806715503565e-01,1.728994208420411155e-02,1.707937991248275472e-02
1.133333333333333304e+00,1.503952656897088051e+09,1.689407025041901600e-02,1.589807065776195627e-01,1.838097954667100228e-02,2.003540801455426512e-02
1.149999999999999911e+00,1.503952656914352894e+09,1.680592699809493537e-02,1.649799785239448313e-01,1.950615878874241080e-02,2.311017696976571875e-02
1.166666666666666741e+00,1.503952656930902004e+09,1.665941042326709448e-02,1.739788864434327342e-01,2.065714724510621381e-02,2.635411086457470006e-02
1.183333333333333348e+00,1.503952656947355986e+09,1.645720429675929380e-02,1.769785224165953685e-01,2.182472383060851326e-02,2.966749830202809746e-02
1.199999999999999956e+00,1.503952656963874102e+09,1.620246759733963079e-02,1.769785224165953685e-01,2.299894480388233950e-02,3.300045608903606070e-02
