# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.503952702565052032e+09,0.000000000000000000e+00,-1.649799785239448521e-02,-0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.503952702565548897e+09,1.798929827055640890e-06,-4.760742187500000000e-03,0.000000000000000000e+00,-7.934570312499998916e-05
3.333333333333333287e-02,1.503952702576245070e+09,7.143096105243524524e-06,-1.949763382555711605e-02,-1.413869948528467420e-06,-4.043298313834274181e-04
5.000000000000000278e-02,1.503952702593163967e+09,1.610466661814614789e-05,-1.499817986581316806e-02,-5.480904621995249357e-06,-6.543908442240135327e-04
6.666666666666666574e-02,1.503952702610017061e+09,2.895384448307132715e-05,-1.949763382555711605e-02,-1.197178372019448439e-05,-9.795509377119686594e-04
8.333333333333332871e-02,1.503952702626960039e+09,4.614755680175652706e-05,-1.499817986581316806e-02,-2.069039208931063465e-05,-1.229865442010343382e-03
1.000000000000000056e-01,1.503952702642824888e+09,6.831024298560356336e-05,-1.349836187923184917e-02,-3.145911940556328203e-05,-1.455362458654300278e-03
1.166666666666666685e-01,1.503952702659874916e+09,9.620762854014538220e-05,-1.199854389265053375e-02,-4.410249646159308714e-05,-1.656073231806168972e-03
1.333333333333333315e-01,1.503952702676521063e+09,1.307146554978873428e-04,-1.499817986581316806e-02,-5.843004229691513073e-05,-1.907016730274670255e-03
1.499999999999999944e-01,1.503952702694572926e+09,1.727789801094829173e-04,-1.199854389265053375e-02,-7.421922989269736943e-05,-2.108229448983723990e-03
1.666666666666666574e-01,1.503952702711507082e+09,2.233816324214081377e-04,-1.349836187923184917e-02,-9.119947392158423295e-05,-2.334722138202947796e-03
1.833333333333333204e-01,1.503952702727407932e+09,2.834965535923031810e-04,-8.998907919487899448e-03,-1.090380022054298579e-04,-2.486521236897836634e-03
2.000000000000000111e-01,1.503952702743868113e+09,3.540507801474801052e-04,-1.349836187923184917e-02,-1.273283945496202273e-04,-2.713616074794194567e-03
2.166666666666666741e-01,1.503952702760648966e+09,4.358870272687663831e-04,-1.349836187923184917e-02,-1.455824612706091144e-04,-2.941015147135902369e-03
2.333333333333333370e-01,1.503952702777506113e+09,5.297303357130522588e-04,-1.499817986581316806e-02,-1.632259930194410863e-04,-3.193705244783112424e-03
2.500000000000000000e-01,1.503952702794437885e+09,6.361602917354371124e-04,-1.199854389265053375e-02,-1.795987485318640664e-04,-3.396674288802819033e-03
2.666666666666666630e-01,1.503952702811058044e+09,7.555901117132752349e-04,-1.199854389265053375e-02,-1.939588637388215840e-04,-3.599882668075974745e-03
2.833333333333333259e-01,1.503952702828099966e+09,8.882536106725638213e-04,-1.349836187923184917e-02,-2.054916710143152943e-04,-3.828280227246744303e-03
2.999999999999999889e-01,1.503952702843907118e+09,1.034200756394932025e-03,-1.349836187923184917e-02,-2.133227184913829547e-04,-4.056808303875465010e-03
3.166666666666666519e-01,1.503952702860883951e+09,1.193302159824387266e-03,-1.199854389265053375e-02,-2.165345838736542565e-04,-4.260392945150868159e-03
3.333333333333333148e-01,1.503952702877530098e+09,1.365262481094094800e-03,-8.998907919487899448e-03,-2.141868925491650553e-04,-4.413944525351485779e-03
3.499999999999999778e-01,1.503952702895493984e+09,1.549642352597834774e-03,-1.199854389265053375e-02,-2.053387833626603616e-04,-4.617342569951705597e-03
3.666666666666666408e-01,1.503952702912364006e+09,1.745888050533747236e-03,-1.499817986581316806e-02,-1.890729239062381717e-04,-4.870463449780362483e-03
3.833333333333333037e-01,1.503952702928385973e+09,1.953367798579231079e-03,-1.799781583897579890e-02,-1.645200666847985288e-04,-5.173169048208039154e-03
4.000000000000000222e-01,1.503952702945040941e+09,2.171413275559406532e-03,-1.199854389265053375e-02,-1.308830630781853213e-04,-5.375326164136851395e-03
4.166666666666666852e-01,1.503952702962116003e+09,2.399364635797831668e-03,-7.499089932906584030e-03,-8.745921757750530596e-05,-5.501768649978253274e-03
4.333333333333333481e-01,1.503952702978127956e+09,2.636617147369856289e-03,-1.499817986581316806e-02,-3.365987293033690574e-05,-5.752299312290645381e-03
4.500000000000000111e-01,1.503952702995053053e+09,2.882667418804716816e-03,-1.499817986581316806e-02,3.097383122698587287e-05,-6.001752746200414781e-03
4.666666666666666741e-01,1.503952703010996103e+09,3.137157125635596337e-03,-1.049872590606921660e-02,1.067599882549475742e-04,-6.174952178163986213e-03
4.833333333333333370e-01,1.503952703028688908e+09,3.399912168671761614e-03,-1.499817986581316806e-02,1.938705678647713586e-04,-6.421690666463125870e-03
5.000000000000000000e-01,1.503952703045279980e+09,3.670975297224232138e-03,-1.199854389265053375e-02,2.923323225330992062e-04,-6.616794192631749588e-03
5.166666666666666075e-01,1.503952703062278986e+09,3.950630411085220665e-03,-7.499089932906584030e-03,4.020343976670092464e-04,-6.735078451552409425e-03
5.333333333333333259e-01,1.503952703078603983e+09,4.239417010242936372e-03,-8.998907919487899448e-03,5.227428498253062399e-04,-6.876347869380119646e-03
5.500000000000000444e-01,1.503952703096092939e+09,4.538133583686351606e-03,-1.199854389265053375e-02,6.541220206403078590e-04,-7.065421567246956552e-03
5.666666666666666519e-01,1.503952703112210035e+09,4.847829108185540935e-03,-1.499817986581316806e-02,7.957624452834771798e-04,-7.302128524255784361e-03
5.833333333333333703e-01,1.503952703129635096e+09,5.169782252275831672e-03,-2.549690577188238466e-02,9.472147022102742368e-04,-7.711290042083652520e-03
5.999999999999999778e-01,1.503952703146276951e+09,5.505468335561657794e-03,-1.799781583897579890e-02,1.108028344766271356e-03,-7.992786500320477744e-03
6.166666666666666963e-01,1.503952703163758039e+09,5.856514563162844647e-03,-1.049872590606921660e-02,1.277794804439103069e-03,-8.146468685347647148e-03
6.333333333333333037e-01,1.503952703181441069e+09,6.224644522992122363e-03,-1.199854389265053375e-02,1.456192929342587728e-03,-8.322174534736112919e-03
6.500000000000000222e-01,1.503952703198503017e+09,6.611613382549182995e-03,-1.349836187923184917e-02,1.643035628704314459e-03,-8.519763305578237703e-03
6.666666666666666297e-01,1.503952703215415955e+09,7.019135635237815606e-03,-8.998907919487899448e-03,1.838315942725805060e-03,-8.639106505190939991e-03
6.833333333333333481e-01,1.503952703232002974e+09,7.448807607868692879e-03,-1.499817986581316806e-02,2.042250754190880549e-03,-8.855038657051311768e-03
6.999999999999999556e-01,1.503952703247827053e+09,7.902027236408499383e-03,-1.199854389265053375e-02,2.255320309322456866e-03,-9.017425716773446939e-03
7.166666666666666741e-01,1.503952703265250921e+09,8.379913833522279962e-03,-8.998907919487899448e-03,2.478301724829994664e-03,-9.126102486684412041e-03
7.333333333333332815e-01,1.503952703281936884e+09,8.883230698803886924e-03,-1.799781583897579890e-02,2.712294728359604477e-03,-9.380861171861348824e-03
7.500000000000000000e-01,1.503952703298722982e+09,9.412313453414918735e-03,-1.799781583897579890e-02,2.958738011342416842e-03,-9.631512468988571996e-03
7.666666666666666075e-01,1.503952703315964937e+09,9.967006910941903983e-03,-1.199854389265053375e-02,3.219414765314491337e-03,-9.777831287777505667e-03
7.833333333333333259e-01,1.503952703333463907e+09,1.054661312481581202e-02,-1.499817986581316806e-02,3.496446222001106142e-03,-9.969526848507706193e-03
8.000000000000000444e-01,1.503952703350169897e+09,1.114985298230790171e-02,-1.349836187923184917e-02,3.792272318767395470e-03,-1.013129500784878088e-02
8.166666666666666519e-01,1.503952703366960049e+09,1.177484335212272519e-02,-1.499817986581316806e-02,4.109618957571251237e-03,-1.031277102298614606e-02
8.333333333333333703e-01,1.503952703382538080e+09,1.241909134653617665e-02,-1.349836187923184917e-02,4.451451708786296514e-03,-1.046355285916023871e-02
8.499999999999999778e-01,1.503952703400122881e+09,1.307950674260833362e-02,-1.649799785239448521e-02,4.820916221201173441e-03,-1.065817088634679437e-02
8.666666666666666963e-01,1.503952703416791916e+09,1.375243303576303630e-02,-2.999635973162633439e-03,5.221266024943145220e-03,-1.062114371881711997e-02
8.833333333333333037e-01,1.503952703433376074e+09,1.443369699083479549e-02,-1.349836187923184917e-02,5.655778842898949617e-03,-1.075185343608933523e-02
9.000000000000000222e-01,1.503952703449055910e+09,1.511867593019894374e-02,-1.499817986581316806e-02,6.127662945701860438e-03,-1.089969538475785669e-02
9.166666666666666297e-01,1.503952703466531992e+09,1.580238137665665801e-02,-1.199854389265053375e-02,6.639955482583589745e-03,-1.098900519159230586e-02
9.333333333333333481e-01,1.503952703483184099e+09,1.647955707167715611e-02,-1.799781583897579890e-02,7.195415082552457202e-03,-1.116904520419936125e-02
9.499999999999999556e-01,1.503952703500636101e+09,1.714478883853170696e-02,-1.499817986581316806e-02,7.796411335184473546e-03,-1.128907467970984013e-02
9.666666666666666741e-01,1.503952703516190052e+09,1.779262327498734933e-02,-1.799781583897579890e-02,8.444814016429913126e-03,-1.144829137675227107e-02
9.833333333333332815e-01,1.503952703533740044e+09,1.841769186012975207e-02,-2.099745181213843320e-02,9.141885112139282871e-03,-1.164588415508559065e-02
1.000000000000000000e+00,1.503952703550745010e+09,1.901483676081737115e-02,-1.499817986581316806e-02,9.888176801993499646e-03,-1.173105087281591831e-02
1.016666666666666607e+00,1.503952703568269968e+09,1.957923443858328519e-02,-1.199854389265053375e-02,1.068343859258093741e-02,-1.175296929448374494e-02
1.033333333333333215e+00,1.503952703584760904e+09,2.010651309740429937e-02,-7.499089932906584030e-03,1.152653672604994108e-02,-1.168584518126468928e-02
1.050000000000000044e+00,1.503952703602247953e+09,2.059286008268162993e-02,-2.999635973162633439e-03,1.241538883798810715e-02,-1.152891596685093160e-02
1.066666666666666652e+00,1.503952703618834972e+09,2.103511554387744314e-02,1.499817986581316806e-02,1.334691659534156111e-02,-1.105649769249835226e-02
1.083333333333333259e+00,1.503952703636686087e+09,2.143084900500734011e-02,2.399708778530106751e-02,1.431701871525763517e-02,-1.041792925082237441e-02
1.100000000000000089e+00,1.503952703652719021e+09,2.177841594167675976e-02,5.249362953034608648e-02,1.532056635424891913e-02,-9.287692652745791616e-03
1.116666666666666696e+00,1.503952703670202017e+09,2.207699202933811541e-02,5.549326550350872078e-02,1.635142237206552857e-02,-8.090281188152886882e-03
1.133333333333333304e+00,1.503952703686814070e+09,2.232658338963995279e-02,8.099017127539109850e-02,1.740248542650978808e-02,-6.450403576454539004e-03
1.149999999999999911e+00,1.503952703703784943e+09,2.252801190117136379e-02,1.094867130204361244e-01,1.846575925664900933e-02,-4.317862371836452690e-03
1.166666666666666741e+00,1.503952703720387936e+09,2.268287543545080207e-02,1.409828907386437569e-01,1.953244687684977179e-02,-1.642606744911560834e-03
1.183333333333333348e+00,1.503952703737777948e+09,2.279348370401786464e-02,1.514816166447129908e-01,2.059306874865852316e-02,1.225304678311297732e-03
1.199999999999999956e+00,1.503952703754329920e+09,2.286277123152757537e-02,1.844776123495019404e-01,2.163760333879154868e-02,4.660558273116188928e-03
1.216666666666666563e+00,1.503952703772649050e+09,2.289418977541210834e-02,2.024754281884777740e-01,2.265564782706388017e-02,8.412742873375216729e-03
1.233333333333333393e+00,1.503952703790513992e+09,2.289158326745572777e-02,2.129741540945469525e-01,2.363659611588590781e-02,1.235625537688243153e-02
1.250000000000000000e+00,1.503952703807517052e+09,2.285904902980936959e-02,2.084747001348030149e-01,2.456983073062687234e-02,1.624033089130626217e-02
1.266666666666666607e+00,1.503952703824429989e+09,2.280078959252869464e-02,2.099745181213843459e-01,2.544492470455634106e-02,2.016398827173860805e-02
1.283333333333333215e+00,1.503952703840888023e+09,2.272095988918731990e-02,2.099745181213843459e-01,2.625184912885599950e-02,2.410109439257594743e-02
1.300000000000000044e+00,1.503952703856260061e+09,2.262351491240133239e-02,2.114743361079656769e-01,2.698118173125073349e-02,2.807535302322955451e-02
1.316666666666666652e+00,1.503952703873226881e+09,2.251206305720126338e-02,2.159737900677095868e-01,2.762431163790832200e-02,3.213532138498985391e-02
1.333333333333333259e+00,1.503952703890069962e+09,2.238973035681180238e-02,2.159737900677095868e-01,2.817363538163504544e-02,3.620444514247893320e-02
1.350000000000000089e+00,1.503952703907582045e+09,2.225904061744870058e-02,2.189734260408722488e-01,2.862273925142849729e-02,4.033104789735061230e-02
1.366666666666666696e+00,1.503952703924518108e+09,2.212181608663619722e-02,2.189734260408722488e-01,2.896656323740999864e-02,4.446338105198864576e-02
1.383333333333333304e+00,1.503952703941427946e+09,2.197910274938443681e-02,2.174736080542909178e-01,2.920154211101820552e-02,4.857463355474379851e-02
1.399999999999999911e+00,1.503952703957674980e+09,2.183112365011818240e-02,2.159737900677095868e-01,2.932571958969727721e-02,5.266295871570057796e-02
1.416666666666666741e+00,1.503952703975254059e+09,2.167726280274720127e-02,2.099745181213843459e-01,2.933883206135143654e-02,5.665151455207950715e-02
1.433333333333333348e+00,1.503952703992167950e+09,2.151608129905253214e-02,2.084747001348030149e-01,2.924235897645674140e-02,6.061346553726716657e-02
1.449999999999999956e+00,1.503952704009640932e+09,2.134536618350456674e-02,2.084747001348030149e-01,2.903953774168560945e-02,6.457203616854197137e-02
1.466666666666666563e+00,1.503952704026267052e+09,2.116221156144505039e-02,2.054750641616404083e-01,2.873534175211147138e-02,6.847554293377117185e-02
1.483333333333333393e+00,1.503952704042112112e+09,2.096313028094269962e-02,1.964761562421524776e-01,2.833642106091542254e-02,7.222241922215563714e-02
1.500000000000000000e+00,1.503952704057868004e+09,2.074419341228085634e-02,1.724790684568514310e-01,2.785100608532560876e-02,7.556125379785859353e-02
1.516666666666666607e+00,1.503952704075273991e+09,2.050119367958950015e-02,1.514816166447129908e-01,2.728877566300199134e-02,7.854076033632051423e-02
1.533333333333333215e+00,1.503952704091943979e+09,2.022982801305598516e-02,1.229850748996679788e-01,2.666069168092689151e-02,8.103485644599708881e-02
1.550000000000000044e+00,1.503952704109314919e+09,1.992589352254282853e-02,1.049872590606921730e-01,2.597880337530901820e-02,8.321762415326378060e-02
1.566666666666666652e+00,1.503952704125986099e+09,1.958549047692059036e-02,8.698944322171636712e-02,2.525602522246901335e-02,8.508838196066687010e-02
1.583333333333333259e+00,1.503952704143444061e+09,1.920522533699366499e-02,6.299235543641529267e-02,2.450589308437002914e-02,8.654668610267995943e-02
1.600000000000000089e+00,1.503952704159260988e+09,1.878240655792050642e-02,3.899526765111423210e-02,2.374230391702169055e-02,8.759231229548222752e-02
1.616666666666666696e+00,1.503952704175865889e+09,1.831522576831240770e-02,1.199854389265053375e-02,2.297924487610767535e-02,8.817527544162820363e-02
1.633333333333333304e+00,1.503952704192534924e+09,1.780291706020974488e-02,-1.349836187923184917e-02,2.223051804512585564e-02,8.832081137772643253e-02
1.649999999999999911e+00,1.503952704209619045e+09,1.724588749240991287e-02,-4.349472161085818356e-02,2.150946725346567293e-02,8.795439047176989433e-02
1.666666666666666741e+00,1.503952704227437973e+09,1.664581251734123524e-02,-7.349108134248452662e-02,2.082871353509546664e-02,8.707668434164674010e-02
1.683333333333333348e+00,1.503952704244275093e+09,1.600569087948141428e-02,-9.148889718146031858e-02,2.019990569670768871e-02,8.588853448356753573e-02
1.699999999999999956e+00,1.503952704261086941e+09,1.532985458433432958e-02,-1.139861669801800759e-01,1.963349221525076405e-02,8.431598990415205275e-02
