# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.504296123144509077e+09,0.000000000000000000e+00,-4.649435758402081786e-02,-0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.504296123145035028e+09,1.798929827055640890e-06,-1.098632812500000000e-02,0.000000000000000000e+00,-1.831054687500000000e-04
3.333333333333333287e-02,1.504296123154757977e+09,7.143096105243524524e-06,-4.199490362427686641e-02,-1.413869948528467420e-06,-8.830440936537565545e-04
5.000000000000000278e-02,1.504296123170906067e+09,1.610466661814614789e-05,-5.099381154376476932e-02,-5.480904621995249357e-06,-1.733032301126869335e-03
6.666666666666666574e-02,1.504296123187555075e+09,2.895384448307132715e-05,-4.499453959743950071e-02,-1.197178372019448439e-05,-2.483140824146197467e-03
8.333333333333332871e-02,1.504296123204504967e+09,4.614755680175652706e-05,-4.349472161085818356e-02,-2.069039208931063465e-05,-3.208397690861989129e-03
1.000000000000000056e-01,1.504296123221818924e+09,6.831024298560356336e-05,-5.549326550350872078e-02,-3.145911940556328203e-05,-4.133809767910560234e-03
1.166666666666666685e-01,1.504296123237868071e+09,9.620762854014538220e-05,-3.449581369137028758e-02,-4.410249646159308714e-05,-4.709475037707758216e-03
1.333333333333333315e-01,1.504296123254153013e+09,1.307146554978873428e-04,-1.949763382555711605e-02,-5.843004229691513073e-05,-5.035409435505325618e-03
1.499999999999999944e-01,1.504296123270134926e+09,1.727789801094829173e-04,-8.998907919487899448e-03,-7.421922989269736943e-05,-5.186628221328335418e-03
1.666666666666666574e-01,1.504296123286850929e+09,2.233816324214081377e-04,7.499089932906584030e-03,-9.119947392158423295e-05,-5.063163380345251686e-03
1.833333333333333204e-01,1.504296123303901911e+09,2.834965535923031810e-04,2.399708778530106751e-02,-1.090380022054298579e-04,-4.665029217293658118e-03
2.000000000000000111e-01,1.504296123320137978e+09,3.540507801474801052e-04,2.399708778530106751e-02,-1.273283945496202273e-04,-4.267199894114467526e-03
2.166666666666666741e-01,1.504296123335735083e+09,4.358870272687663831e-04,4.349472161085818356e-02,-1.455824612706091144e-04,-3.544714241621341449e-03
2.333333333333333370e-01,1.504296123352422953e+09,5.297303357130522588e-04,4.649435758402081786e-02,-1.632259930194410863e-04,-2.772528715104651941e-03
