# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.504296173355503082e+09,-0.000000000000000000e+00,-2.849654174504501897e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.504296173356030941e+09,-1.798929827055640890e-06,-6.591796875000000000e-03,0.000000000000000000e+00,-1.098632812500000027e-04
3.333333333333333287e-02,1.504296173366703033e+09,-7.143096105243524524e-06,-2.849654174504501897e-02,1.413869948528467420e-06,-5.847820791682748539e-04
5.000000000000000278e-02,1.504296173383363008e+09,-1.610466661814614789e-05,-2.549690577188238466e-02,5.480904621995249357e-06,-1.009639160289281306e-03
6.666666666666666574e-02,1.504296173399532080e+09,-2.895384448307132715e-05,-2.999635973162633612e-02,1.197178372019448439e-05,-1.509378959421050223e-03
8.333333333333332871e-02,1.504296173417538881e+09,-4.614755680175652706e-05,-2.699672375846369834e-02,2.069039208931063465e-05,-1.958979515527290143e-03
1.000000000000000056e-01,1.504296173434338093e+09,-6.831024298560356336e-05,-2.549690577188238466e-02,3.145911940556328203e-05,-2.383403626401903955e-03
1.166666666666666685e-01,1.504296173451533079e+09,-9.620762854014538220e-05,-2.699672375846369834e-02,4.410249646159308714e-05,-2.832613980768605537e-03
1.333333333333333315e-01,1.504296173468200922e+09,-1.307146554978873428e-04,-2.699672375846369834e-02,5.843004229691513073e-05,-3.281585542704718462e-03
1.499999999999999944e-01,1.504296173486038923e+09,-1.727789801094829173e-04,-2.549690577188238466e-02,7.421922989269736943e-05,-3.705296985071213252e-03
1.666666666666666574e-01,1.504296173502635002e+09,-2.233816324214081377e-04,-2.699672375846369834e-02,9.119947392158423295e-05,-4.153722389813581904e-03
1.833333333333333204e-01,1.504296173519850016e+09,-2.834965535923031810e-04,-2.699672375846369834e-02,1.090380022054298579e-04,-4.601850485751219841e-03
2.000000000000000111e-01,1.504296173535959959e+09,-3.540507801474801052e-04,-2.699672375846369834e-02,1.273283945496202273e-04,-5.049673741816454800e-03
2.166666666666666741e-01,1.504296173552551031e+09,-4.358870272687663831e-04,-2.699672375846369834e-02,1.455824612706091144e-04,-5.497192763436339891e-03
2.333333333333333370e-01,1.504296173569238901e+09,-5.297303357130522588e-04,-2.999635973162633612e-02,1.632259930194410863e-04,-5.994411659079787978e-03
2.500000000000000000e-01,1.504296173586569071e+09,-6.361602917354371124e-04,-2.699672375846369834e-02,1.795987485318640664e-04,-6.441363742578651644e-03
2.666666666666666630e-01,1.504296173603316069e+09,-7.555901117132752349e-04,-2.699672375846369834e-02,1.939588637388215840e-04,-6.888076490824066207e-03
2.833333333333333259e-01,1.504296173620974064e+09,-8.882536106725638213e-04,-2.999635973162633612e-02,2.054916710143152943e-04,-7.384590958500933042e-03
2.999999999999999889e-01,1.504296173636647940e+09,-1.034200756394932025e-03,-2.999635973162633612e-02,2.133227184913829547e-04,-7.880974908719848293e-03
3.166666666666666519e-01,1.504296173653644085e+09,-1.193302159824387266e-03,-3.149617771820764633e-02,2.165345838736542565e-04,-8.402302294292080670e-03
3.333333333333333148e-01,1.504296173669291973e+09,-1.365262481094094800e-03,-2.849654174504501897e-02,2.141868925491650553e-04,-8.873674875167011575e-03
3.499999999999999778e-01,1.504296173687247992e+09,-1.549642352597834774e-03,-2.699672375846369834e-02,2.053387833626603616e-04,-9.320197958085361598e-03
3.666666666666666408e-01,1.504296173703881025e+09,-1.745888050533747236e-03,-2.849654174504501897e-02,1.890729239062381717e-04,-9.791989105104341104e-03
3.833333333333333037e-01,1.504296173720829964e+09,-1.953367798579231079e-03,-2.999635973162633612e-02,1.645200666847985288e-04,-1.028918643285336651e-02
4.000000000000000222e-01,1.504296173737539053e+09,-2.171413275559406532e-03,-2.699672375846369834e-02,1.308830630781853213e-04,-1.073695044444312498e-02
