# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.504296320558666945e+09,0.000000000000000000e+00,-5.999271946325266877e-03,-0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.504296320559127092e+09,0.000000000000000000e+00,-7.324218750000000000e-04,0.000000000000000000e+00,-1.220703124999999898e-05
3.333333333333333287e-02,1.504296320569389105e+09,0.000000000000000000e+00,-7.499089932906584030e-03,-5.714304437118248311e-07,-1.372013873058382694e-04
5.000000000000000278e-02,1.504296320587263107e+09,0.000000000000000000e+00,-4.499453959743949724e-03,-2.302512093967138948e-06,-2.122306618364701964e-04
6.666666666666666574e-02,1.504296320604311943e+09,0.000000000000000000e+00,-5.999271946325266877e-03,-5.186605858555814017e-06,-3.123049710395338937e-04
8.333333333333332871e-02,1.504296320620754957e+09,0.000000000000000000e+00,-2.999635973162633439e-03,-9.177102081233194959e-06,-3.624518556269316818e-04
1.000000000000000056e-01,1.504296320637432098e+09,0.000000000000000000e+00,-1.049872590606921660e-02,-1.419612682244029663e-05,-5.376672228417925725e-04
1.166666666666666685e-01,1.504296320655311108e+09,0.000000000000000000e+00,-5.999271946325266877e-03,-2.014969283169138080e-05,-6.379909168277418273e-04
1.333333333333333315e-01,1.504296320671672106e+09,0.000000000000000000e+00,-2.999635973162633439e-03,-2.694859470604463341e-05,-6.884339929588864605e-04
1.499999999999999944e-01,1.504296320688901901e+09,0.000000000000000000e+00,-7.499089932906584030e-03,-3.453398915671436481e-05,-8.139943916599414169e-04
1.666666666666666574e-01,1.504296320704595089e+09,0.000000000000000000e+00,-7.499089932906584030e-03,-4.290628993505441840e-05,-9.396943287073020786e-04
1.833333333333333204e-01,1.504296320722465992e+09,0.000000000000000000e+00,-5.999271946325266877e-03,-5.215575692449811430e-05,-1.040551457094798229e-03
2.000000000000000111e-01,1.504296320740030050e+09,0.000000000000000000e+00,-1.049872590606921660e-02,-6.249298190959403591e-05,-1.216571771894445122e-03
2.166666666666666741e-01,1.504296320755897999e+09,0.000000000000000000e+00,-5.999271946325266877e-03,-7.427737844587753479e-05,-1.317797593973964090e-03
2.333333333333333370e-01,1.504296320771544933e+09,0.000000000000000000e+00,-7.499089932906584030e-03,-8.804177571000245024e-05,-1.444249789117573899e-03
2.500000000000000000e-01,1.504296320789449930e+09,0.000000000000000000e+00,-4.499453959743949724e-03,-1.045112983761726627e-04,-1.520982543419575981e-03
2.666666666666666630e-01,1.504296320806092978e+09,0.000000000000000000e+00,-5.999271946325266877e-03,-1.246148850246647159e-04,-1.623047323942074845e-03
2.833333333333333259e-01,1.504296320823610067e+09,0.000000000000000000e+00,-4.499453959743949724e-03,-1.494880513502020879e-04,-1.700529690793643961e-03
2.999999999999999889e-01,1.504296320840262890e+09,0.000000000000000000e+00,-4.499453959743949724e-03,-1.804658330804128827e-04,-1.778528354007383443e-03
3.166666666666666519e-01,1.504296320857527018e+09,0.000000000000000000e+00,-2.999635973162633439e-03,-2.190652354552083945e-04,-1.832173374151014082e-03
3.333333333333333148e-01,1.504296320874799013e+09,0.000000000000000000e+00,-4.499453959743949724e-03,-2.669569570013582017e-04,-1.911613556096769268e-03
3.499999999999999778e-01,1.504296320890713930e+09,0.000000000000000000e+00,-4.499453959743949724e-03,-3.259266285284376664e-04,-1.992036565901308866e-03
3.666666666666666408e-01,1.504296320906862020e+09,0.000000000000000000e+00,-4.499453959743949724e-03,-3.978262954429972651e-04,-2.073657903487758150e-03
3.833333333333333037e-01,1.504296320924182892e+09,0.000000000000000000e+00,-5.999271946325266877e-03,-4.845173532557454660e-04,-2.181721058480775091e-03
4.000000000000000222e-01,1.504296320939968109e+09,0.000000000000000000e+00,-5.999271946325266877e-03,-5.878066028298882919e-04,-2.291505700966694516e-03
4.166666666666666852e-01,1.504296320956971884e+09,0.000000000000000000e+00,-4.499453959743949724e-03,-7.093775041618185975e-04,-2.378319558698457122e-03
4.333333333333333481e-01,1.504296320973339081e+09,0.000000000000000000e+00,-5.999271946325266877e-03,-8.507190570829036144e-04,-2.492486075421926437e-03
4.500000000000000111e-01,1.504296320990263939e+09,0.000000000000000000e+00,-4.499453959743949724e-03,-1.013055007817564640e-03,-2.584361224881284898e-03
4.666666666666666741e-01,1.504296321006853104e+09,0.000000000000000000e+00,-5.999271946325266877e-03,-1.197276257879919831e-03,-2.704303694951371538e-03
4.833333333333333370e-01,1.504296321023653984e+09,0.000000000000000000e+00,-5.999271946325266877e-03,-1.403879425422334968e-03,-2.827689551147164783e-03
5.000000000000000000e-01,1.504296321040103912e+09,0.000000000000000000e+00,-4.499453959743949724e-03,-1.632914471456205522e-03,-2.929895691667167186e-03
5.166666666666666075e-01,1.504296321056745052e+09,0.000000000000000000e+00,-4.499453959743949724e-03,-1.883944150815729289e-03,-3.036285660176495180e-03
5.333333333333333259e-01,1.504296321072065115e+09,0.000000000000000000e+00,-5.999271946325266877e-03,-2.156017780906799818e-03,-3.172207155630363002e-03
5.500000000000000444e-01,1.504296321089824915e+09,0.000000000000000000e+00,-5.999271946325266877e-03,-2.447661444963157747e-03,-3.312989378818503600e-03
5.666666666666666519e-01,1.504296321103494883e+09,0.000000000000000000e+00,-4.499453959743949724e-03,-2.756886269670313482e-03,-3.433928382642074863e-03
5.833333333333333703e-01,1.504296321120543957e+09,0.000000000000000000e+00,-5.999271946325266877e-03,-3.081215852534982275e-03,-3.585269845956412429e-03
5.999999999999999778e-01,1.504296321138401985e+09,0.000000000000000000e+00,-4.499453959743949724e-03,-3.417733278828999875e-03,-3.717222966599295023e-03
6.166666666666666963e-01,1.504296321155792952e+09,0.000000000000000000e+00,-8.998907919487899448e-03,-3.763147481044204143e-03,-3.929923889941496461e-03
6.333333333333333037e-01,1.504296321171413898e+09,0.000000000000000000e+00,1.499817986581316719e-03,-4.113877977857417594e-03,-3.973491556462764758e-03
6.500000000000000222e-01,1.504296321188235998e+09,0.000000000000000000e+00,-4.499453959743949724e-03,-4.466156308803886747e-03,-4.122918394271895236e-03
6.666666666666666297e-01,1.504296321205037117e+09,0.000000000000000000e+00,-4.499453959743949724e-03,-4.816141780483457722e-03,-4.278178323275685403e-03
6.833333333333333481e-01,1.504296321222826004e+09,0.000000000000000000e+00,-5.999271946325266877e-03,-5.160048485737117607e-03,-4.464166997143391609e-03
6.999999999999999556e-01,1.504296321239881992e+09,0.000000000000000000e+00,-8.998907919487899448e-03,-5.494279973801095666e-03,-4.705720128698208382e-03
7.166666666666666741e-01,1.504296321256817102e+09,0.000000000000000000e+00,-7.499089932906584030e-03,-5.815567460473788225e-03,-4.927631085254548238e-03
7.333333333333332815e-01,1.504296321272789001e+09,0.000000000000000000e+00,-4.499453959743949724e-03,-6.121107094011518819e-03,-5.104640436150473075e-03
7.500000000000000000e-01,1.504296321290271997e+09,0.000000000000000000e+00,-5.999271946325266877e-03,-6.408691552892799466e-03,-5.311439827804107644e-03
7.666666666666666075e-01,1.504296321306833982e+09,0.000000000000000000e+00,-5.999271946325266877e-03,-6.676831160036197227e-03,-5.522708212910131670e-03
7.833333333333333259e-01,1.504296321323406935e+09,0.000000000000000000e+00,-7.499089932906584030e-03,-6.924859764382477675e-03,-5.763107374531615743e-03
8.000000000000000444e-01,1.504296321341048956e+09,0.000000000000000000e+00,-7.499089932906584030e-03,-7.153020869923236262e-03,-6.007309221245446182e-03
8.166666666666666519e-01,1.504296321358319998e+09,0.000000000000000000e+00,-5.999271946325266877e-03,-7.362529884015206992e-03,-6.230005918417787399e-03
8.333333333333333703e-01,1.504296321374936104e+09,0.000000000000000000e+00,-7.499089932906584030e-03,-7.555608905512389145e-03,-6.480917565724770082e-03
8.499999999999999778e-01,1.504296321392296076e+09,0.000000000000000000e+00,-5.999271946325266877e-03,-7.735491167836208194e-03,-6.709830284294128130e-03
8.666666666666666963e-01,1.504296321408943892e+09,0.000000000000000000e+00,-7.499089932906584030e-03,-7.906393076341566156e-03,-6.966588334448264343e-03
8.833333333333333037e-01,1.504296321426130056e+09,0.000000000000000000e+00,-7.499089932906584030e-03,-8.073452712117148294e-03,-7.226130711865326114e-03
9.000000000000000222e-01,1.504296321441656113e+09,0.000000000000000000e+00,-5.999271946325266877e-03,-8.242634690242422665e-03,-7.463495822474787607e-03
9.166666666666666297e-01,1.504296321458190918e+09,0.000000000000000000e+00,-7.499089932906584030e-03,-8.420602330408019642e-03,-7.728824026863364421e-03
9.333333333333333481e-01,1.504296321474881887e+09,0.000000000000000000e+00,-5.999271946325266877e-03,-8.614559189736739273e-03,-7.972387879131064004e-03
9.499999999999999556e-01,1.504296321491580009e+09,0.000000000000000000e+00,-7.499089932906584030e-03,-8.832063087741433283e-03,-8.244573762808531450e-03
9.666666666666666741e-01,1.504296321507571936e+09,0.000000000000000000e+00,-2.999635973162633439e-03,-9.080816786836445192e-03,-8.445914642141848921e-03
9.833333333333332815e-01,1.504296321524882078e+09,0.000000000000000000e+00,-8.998907919487899448e-03,-9.368440444054588687e-03,-8.752037114867557144e-03
1.000000000000000000e+00,1.504296321542036057e+09,0.000000000000000000e+00,-5.999271946325266877e-03,-9.702231787251125797e-03,-9.013728843760497600e-03
1.016666666666666607e+00,1.504296321558727980e+09,0.000000000000000000e+00,-4.499453959743949724e-03,-1.008892066109040066e-02,-9.256868420774402861e-03
1.033333333333333215e+00,1.504296321575035095e+09,0.000000000000000000e+00,-7.499089932906584030e-03,-1.053442510690318773e-02,-9.557427004771232304e-03
1.050000000000000044e+00,1.504296321591619968e+09,0.000000000000000000e+00,-8.998907919487899448e-03,-1.104361646284704804e-02,-9.891469077810148905e-03
1.066666666666666652e+00,1.504296321606527090e+09,0.000000000000000000e+00,-5.999271946325266877e-03,-1.162010107870771990e-02,-1.018512529489403254e-02
1.083333333333333259e+00,1.504296321623893976e+09,0.000000000000000000e+00,-7.499089932906584030e-03,-1.226602612113289123e-02,-1.051454389579468962e-02
1.100000000000000089e+00,1.504296321639727116e+09,0.000000000000000000e+00,-1.199854389265053375e-02,-1.298191659460227326e-02,-1.093088490391556922e-02
1.116666666666666696e+00,1.504296321656900883e+09,0.000000000000000000e+00,-8.998907919487899448e-03,-1.376655012243997202e-02,-1.131030920461436641e-02
1.133333333333333304e+00,1.504296321673443079e+09,0.000000000000000000e+00,-8.998907919487899448e-03,-1.461687522917651770e-02,-1.170390559042544000e-02
1.149999999999999911e+00,1.504296321690783978e+09,0.000000000000000000e+00,-7.499089932906584030e-03,-1.552797785613765046e-02,-1.208769005357617637e-02
1.166666666666666741e+00,1.504296321706624985e+09,0.000000000000000000e+00,-8.998907919487899448e-03,-1.649309964863363356e-02,-1.251255684637820123e-02
1.183333333333333348e+00,1.504296321724030972e+09,0.000000000000000000e+00,-8.998907919487899448e-03,-1.750371020424751692e-02,-1.295426714844045805e-02
1.199999999999999956e+00,1.504296321740694046e+09,0.000000000000000000e+00,-8.998907919487899448e-03,-1.854963400181980013e-02,-1.341340951379558707e-02
1.216666666666666563e+00,1.504296321757251978e+09,0.000000000000000000e+00,-1.199854389265053375e-02,-1.961923117895846003e-02,-1.394037243165573668e-02
1.233333333333333393e+00,1.504296321772896051e+09,0.000000000000000000e+00,-5.999271946325266877e-03,-2.069962973517361013e-02,-1.438535412634738518e-02
1.250000000000000000e+00,1.504296321789467096e+09,0.000000000000000000e+00,-8.998907919487899448e-03,-2.177700515355884131e-02,-1.489828601089816448e-02
1.266666666666666607e+00,1.504296321806644917e+09,0.000000000000000000e+00,-1.049872590606921660e-02,-2.283690190312363810e-02,-1.545387980771804545e-02
1.283333333333333215e+00,1.504296321823570013e+09,0.000000000000000000e+00,-7.499089932906584030e-03,-2.386458985319454482e-02,-1.597660780415306389e-02
1.300000000000000044e+00,1.504296321840704918e+09,0.000000000000000000e+00,-4.499453959743949724e-03,-2.484544734606573477e-02,-1.646568949258322631e-02
1.316666666666666652e+00,1.504296321857074976e+09,0.000000000000000000e+00,-1.049872590606921660e-02,-2.576536157679374869e-02,-1.707009095063094159e-02
1.333333333333333259e+00,1.504296321873769999e+09,0.000000000000000000e+00,-1.199854389265053375e-02,-2.661113605802403748e-02,-1.771358561647551691e-02
1.350000000000000089e+00,1.504296321890460014e+09,0.000000000000000000e+00,-5.999271946325266877e-03,-2.737089433592539145e-02,-1.826975505451302814e-02
1.366666666666666696e+00,1.504296321907324076e+09,0.000000000000000000e+00,-1.649799785239448521e-02,-2.803446879706608663e-02,-1.901196283200403889e-02
1.383333333333333304e+00,1.504296321923949003e+09,0.000000000000000000e+00,-5.999271946325266877e-03,-2.859376338427301739e-02,-1.958851342084734493e-02
1.399999999999999911e+00,1.504296321939708948e+09,0.000000000000000000e+00,-5.999271946325266877e-03,-2.904307933278951759e-02,-2.017255260883259183e-02
1.416666666666666741e+00,1.504296321957118988e+09,0.000000000000000000e+00,-2.999635973162633439e-03,-2.937939364821080812e-02,-2.071220310252214897e-02
1.433333333333333348e+00,1.504296321972968102e+09,0.000000000000000000e+00,1.349836187923184917e-02,-2.960258096745824533e-02,-2.098060675399258945e-02
1.449999999999999956e+00,1.504296321989634991e+09,0.000000000000000000e+00,1.049872590606921660e-02,-2.971557065705680151e-02,-2.130088749984238375e-02
1.466666666666666563e+00,1.504296322005182981e+09,0.000000000000000000e+00,1.649799785239448521e-02,-2.972443248391218318e-02,-2.152132807703434694e-02
1.483333333333333393e+00,1.504296322022941113e+09,0.000000000000000000e+00,1.649799785239448521e-02,-2.963838590894977629e-02,-2.174033454464360110e-02
1.500000000000000000e+00,1.504296322039868116e+09,0.000000000000000000e+00,1.799781583897579890e-02,-2.946972996204039880e-02,-2.193153311336134420e-02
1.516666666666666607e+00,1.504296322057049036e+09,0.000000000000000000e+00,1.949763382555711605e-02,-2.923369270959519720e-02,-2.209380076142864607e-02
1.533333333333333215e+00,1.504296322073760033e+09,0.000000000000000000e+00,2.099745181213843320e-02,-2.894820147062819246e-02,-2.222631325573680774e-02
1.550000000000000044e+00,1.504296322090321064e+09,0.000000000000000000e+00,2.849654174504501897e-02,-2.863357711546447512e-02,-2.222859717857713149e-02
1.566666666666666652e+00,1.504296322106935024e+09,0.000000000000000000e+00,3.449581369137028758e-02,-2.831215793361416960e-02,-2.212553624928119758e-02
1.583333333333333259e+00,1.504296322123964071e+09,0.000000000000000000e+00,4.649435758402081786e-02,-2.800786062279236530e-02,-2.181742796659405514e-02
1.600000000000000089e+00,1.504296322140810966e+09,0.000000000000000000e+00,5.849290147667134815e-02,-2.774568786964771994e-02,-2.130497440647699525e-02
1.616666666666666696e+00,1.504296322157809973e+09,0.000000000000000000e+00,6.749180939615925801e-02,-2.755119370707821008e-02,-2.063929747832564388e-02
1.633333333333333304e+00,1.504296322174444914e+09,0.000000000000000000e+00,6.899162738274057516e-02,-2.744991928994628544e-02,-1.994693567677907273e-02
1.649999999999999911e+00,1.504296322191749096e+09,0.000000000000000000e+00,7.649071731564716092e-02,-2.746681288334750295e-02,-1.912987060290741170e-02
1.666666666666666741e+00,1.504296322208410025e+09,0.000000000000000000e+00,7.949035328880978135e-02,-2.762564866549319445e-02,-1.826545885918546760e-02
1.683333333333333348e+00,1.504296322225773096e+09,0.000000000000000000e+00,8.248998926197241566e-02,-2.794845937955969806e-02,-1.735643336114525703e-02
1.699999999999999956e+00,1.504296322241794109e+09,0.000000000000000000e+00,8.698944322171636712e-02,-2.845499790411532698e-02,-1.638085927251857477e-02
1.716666666666666563e+00,1.504296322259078026e+09,0.000000000000000000e+00,9.898798711436690434e-02,-2.916224243909440808e-02,-1.521709686126403345e-02
1.733333333333333393e+00,1.504296322274743080e+09,0.000000000000000000e+00,1.079868950338547934e-01,-3.008395922400727840e-02,-1.391871459776657452e-02
1.750000000000000000e+00,1.504296322291488886e+09,0.000000000000000000e+00,1.169858029533426963e-01,-3.123033552875472199e-02,-1.248945680735677466e-02
1.766666666666666607e+00,1.504296322307086945e+09,0.000000000000000000e+00,1.244848928862492821e-01,-3.260769410792201811e-02,-1.095817016105132130e-02
1.783333333333333215e+00,1.504296322323498011e+09,0.000000000000000000e+00,1.364834367788998193e-01,-3.421829842050380655e-02,-9.253751188411388218e-03
