# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.504296559451199055e+09,0.000000000000000000e+00,-1.349836187923184917e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.504296559451879025e+09,0.000000000000000000e+00,-3.295898437500000000e-03,0.000000000000000000e+00,-5.493164062500000136e-05
3.333333333333333287e-02,1.504296559458765984e+09,0.000000000000000000e+00,-8.998907919487899448e-03,5.714304437118248311e-07,-2.049039154424031021e-04
5.000000000000000278e-02,1.504296559474795103e+09,0.000000000000000000e+00,-8.998907919487899448e-03,2.302512093967138948e-06,-3.548473388989686070e-04
6.666666666666666574e-02,1.504296559490695953e+09,0.000000000000000000e+00,-1.049872590606921660e-02,5.186605858555814017e-06,-5.297396605691462486e-04
8.333333333333332871e-02,1.504296559507877111e+09,0.000000000000000000e+00,-1.499817986581316806e-02,9.177102081233194959e-06,-7.795563732980119020e-04
1.000000000000000056e-01,1.504296559523691893e+09,0.000000000000000000e+00,-1.199854389265053375e-02,1.419612682244029663e-05,-9.792955027284801911e-04
1.166666666666666685e-01,1.504296559540926933e+09,0.000000000000000000e+00,-1.049872590606921660e-02,2.014969283169138080e-05,-1.153938439615772357e-03
1.333333333333333315e-01,1.504296559557518005e+09,0.000000000000000000e+00,-1.049872590606921660e-02,2.694859470604463341e-05,-1.328468061471825210e-03
1.499999999999999944e-01,1.504296559574695110e+09,0.000000000000000000e+00,-1.049872590606921660e-02,3.453398915671436481e-05,-1.502871260087033532e-03
1.666666666666666574e-01,1.504296559591265917e+09,0.000000000000000000e+00,-1.049872590606921660e-02,4.290628993505441840e-05,-1.677134920355936257e-03
1.833333333333333204e-01,1.504296559626544952e+09,0.000000000000000000e+00,-8.998907919487899448e-03,5.215575692449811430e-05,-1.826247456398659560e-03
2.000000000000000111e-01,1.504296559627049923e+09,0.000000000000000000e+00,-8.998907919487899448e-03,6.249298190959403591e-05,-1.975187705358298022e-03
2.166666666666666741e-01,1.504296559644134998e+09,0.000000000000000000e+00,-1.049872590606921660e-02,7.427737844587753479e-05,-2.148928514152020474e-03
2.333333333333333370e-01,1.504296559660098076e+09,0.000000000000000000e+00,-7.499089932906584030e-03,8.804177571000245024e-05,-2.272445983438630118e-03
2.500000000000000000e-01,1.504296559676140070e+09,0.000000000000000000e+00,-8.998907919487899448e-03,1.045112983761726627e-04,-2.420685927123825739e-03
2.666666666666666630e-01,1.504296559692193031e+09,0.000000000000000000e+00,-1.199854389265053375e-02,1.246148850246647159e-04,-2.618584743917590045e-03
