# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.504296704212526083e+09,0.000000000000000000e+00,-3.299599570478897043e-02,-0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.504296704213036060e+09,2.147917641751685147e-06,-9.155273437500000000e-03,0.000000000000000000e+00,-1.525878906250000000e-04
3.333333333333333287e-02,1.504296704223678112e+09,8.764447890478153669e-06,-3.299599570478897043e-02,-2.036121991559252359e-06,-7.025550877380088051e-04
5.000000000000000278e-02,1.504296704240636110e+09,2.010613480534787772e-05,-3.449581369137028758e-02,-8.870962340705919414e-06,-1.277633165299858677e-03
6.666666666666666574e-02,1.504296704256690025e+09,3.641188470135284743e-05,-3.299599570478897043e-02,-2.149838682797131008e-05,-1.827924733493474377e-03
8.333333333333332871e-02,1.504296704273617983e+09,5.788539582759026761e-05,-3.599563167795159779e-02,-4.077125756175501819e-05,-2.428531449085363780e-03
1.000000000000000056e-01,1.504296704290371895e+09,8.467853633946515466e-05,-3.449581369137028758e-02,-6.738982318432458051e-05,-3.004584840994607535e-03
1.166666666666666685e-01,1.504296704308044910e+09,1.168766158252789247e-04,-3.449581369137028758e-02,-1.018961169972662468e-04,-3.581213337800733323e-03
1.333333333333333315e-01,1.504296704324034929e+09,1.544864480217000185e-04,-3.449581369137028758e-02,-1.446742750637536659e-04,-4.158554803907967175e-03
1.499999999999999944e-01,1.504296704339946985e+09,1.974280167416706932e-04,-3.449581369137028758e-02,-1.959564292923599938e-04,-4.736750972585678301e-03
1.666666666666666574e-01,1.504296704356775045e+09,2.455304358554707901e-04,-3.599563167795159779e-02,-2.558335955227125928e-04,-5.340942060476916442e-03
1.833333333333333204e-01,1.504296704373744011e+09,2.985327411237056528e-04,-3.749544966453291495e-02,-3.242707734298126373e-04,-5.971270734442962053e-03
2.000000000000000111e-01,1.504296704390521049e+09,3.560898716819140670e-04,-3.449581369137028758e-02,-4.011253119695700289e-04,-6.552886384498626468e-03
2.166666666666666741e-01,1.504296704408428907e+09,4.177839979613533336e-04,-3.449581369137028758e-02,-4.861674777229892824e-04,-7.135919403983514292e-03
2.333333333333333370e-01,1.504296704425065994e+09,4.831411375935639038e-04,-3.449581369137028758e-02,-5.791020985136316728e-04,-7.720501333814912617e-03
2.500000000000000000e-01,1.504296704443001986e+09,5.516527788195227855e-04,-3.299599570478897043e-02,-6.795901435750629615e-04,-8.281761097954313394e-03
2.666666666666666630e-01,1.504296704458957911e+09,6.228020099383184969e-04,-3.449581369137028758e-02,-7.872691445820033255e-04,-8.869812478553517482e-03
2.833333333333333259e-01,1.504296704475756884e+09,6.960934413600717045e-04,-3.149617771820764633e-02,-9.017714570123564486e-04,-9.409778298140518069e-03
2.999999999999999889e-01,1.504296704491549015e+09,7.710860117291568538e-04,-3.449581369137028758e-02,-1.022739504360376103e-03,-1.000175418473602841e-02
3.166666666666666519e-01,1.504296704509432077e+09,8.474275988308622738e-04,-3.449581369137028758e-02,-1.149837332414372412e-03,-1.059584836846577324e-02
3.333333333333333148e-01,1.504296704527076006e+09,9.248902164255929856e-04,-3.449581369137028758e-02,-1.282758019077282667e-03,-1.119215789697323299e-02
3.499999999999999778e-01,1.504296704544167042e+09,1.003404475733901766e-03,-3.749544966453291495e-02,-1.421226727474051528e-03,-1.184076917017334862e-02
3.666666666666666408e-01,1.504296704560893059e+09,1.083091929899599381e-03,-3.449581369137028758e-02,-1.564999445648408444e-03,-1.244178272245699372e-02
3.833333333333333037e-01,1.504296704577857018e+09,1.164293904993369579e-03,-3.449581369137028758e-02,-1.713857713572878791e-03,-1.304527724587271377e-02
4.000000000000000222e-01,1.504296704594068050e+09,1.247595454176688660e-03,-3.449581369137028758e-02,-1.867599885772813339e-03,-1.365133413882509833e-02
4.166666666666666852e-01,1.504296704611087084e+09,1.333843153197764074e-03,-3.449581369137028758e-02,-2.026029704078251802e-03,-1.426003152874923997e-02
4.333333333333333481e-01,1.504296704627846003e+09,1.424155584535151267e-03,-3.449581369137028758e-02,-2.188943148996645802e-03,-1.487144414275535544e-02
4.500000000000000111e-01,1.504296704644881964e+09,1.519925531754505541e-03,-3.299599570478897043e-02,-2.356114690170706041e-03,-1.546064598267134910e-02
4.666666666666666741e-01,1.504296704661561966e+09,1.622813120971943043e-03,-3.299599570478897043e-02,-2.527284158082283242e-03,-1.605270064705253616e-02
4.833333333333333370e-01,1.504296704678997993e+09,1.734729397244964529e-03,-3.449581369137028758e-02,-2.702145504188221969e-03,-1.667266663364517718e-02
5.000000000000000000e-01,1.504296704695678949e+09,1.857810103447041401e-03,-3.599563167795159779e-02,-2.880338700798625376e-03,-1.732059947329101304e-02
5.166666666666666075e-01,1.504296704712708950e+09,1.994379729801744761e-03,-3.299599570478897043e-02,-3.061445953394117871e-03,-1.792155683426073162e-02
