# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.504296938201827049e+09,-0.000000000000000000e+00,-2.399708778530106751e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.504296938202394962e+09,-9.035247014785260355e-08,-6.225585937500000000e-03,0.000000000000000000e+00,-1.037597656249999837e-04
3.333333333333333287e-02,1.504296938210781097e+09,-6.158594877866561234e-08,-2.699672375846369834e-02,0.000000000000000000e+00,-5.537051615993949290e-04
5.000000000000000278e-02,1.504296938227869034e+09,5.100377451749107210e-07,-3.299599570478897043e-02,0.000000000000000000e+00,-1.103638423345877769e-03
6.666666666666666574e-02,1.504296938243839979e+09,1.994648274121536016e-06,-2.999635973162633612e-02,0.000000000000000000e+00,-1.603577752206316676e-03
8.333333333333332871e-02,1.504296938260767937e+09,4.691205138388199306e-06,-3.149617771820764633e-02,0.000000000000000000e+00,-2.128514047509777549e-03
1.000000000000000056e-01,1.504296938277386904e+09,8.818200971931082271e-06,-2.999635973162633612e-02,0.000000000000000000e+00,-2.628453376370216456e-03
1.166666666666666685e-01,1.504296938294338942e+09,1.451334062605906637e-05,-2.549690577188238466e-02,0.000000000000000000e+00,-3.053401805901589678e-03
1.333333333333333315e-01,1.504296938311868906e+09,2.184245933675090187e-05,-2.849654174504501897e-02,0.000000000000000000e+00,-3.528344168319006834e-03
1.499999999999999944e-01,1.504296938328670025e+09,3.081747699355461261e-05,-2.999635973162633612e-02,0.000000000000000000e+00,-4.028283497179445741e-03
1.666666666666666574e-01,1.504296938344840050e+09,4.142271947649717591e-05,-2.849654174504501897e-02,0.000000000000000000e+00,-4.503225859596862897e-03
1.833333333333333204e-01,1.504296938362083912e+09,5.364849134855939253e-05,-2.849654174504501897e-02,0.000000000000000000e+00,-4.978168222014280053e-03
2.000000000000000111e-01,1.504296938378535986e+09,6.753037552224476850e-05,-2.849654174504501897e-02,0.000000000000000000e+00,-5.453110584431697209e-03
2.166666666666666741e-01,1.504296938395281076e+09,8.319238229435474104e-05,-2.699672375846369834e-02,0.000000000000000000e+00,-5.903055980406092182e-03
2.333333333333333370e-01,1.504296938411325932e+09,1.008917879401751631e-04,-2.549690577188238466e-02,0.000000000000000000e+00,-6.328004409937464970e-03
2.500000000000000000e-01,1.504296938428201914e+09,1.210633050002973734e-04,-2.699672375846369834e-02,0.000000000000000000e+00,-6.777949805911859943e-03
2.666666666666666630e-01,1.504296938444948912e+09,1.443601226359816176e-04,-2.999635973162633612e-02,0.000000000000000000e+00,-7.277889134772298416e-03
2.833333333333333259e-01,1.504296938461698055e+09,1.716893527455437551e-04,-2.999635973162633612e-02,0.000000000000000000e+00,-7.777828463632736888e-03
2.999999999999999889e-01,1.504296938478154898e+09,2.042395190156062572e-04,-2.849654174504501897e-02,0.000000000000000000e+00,-8.252770826050153177e-03
3.166666666666666519e-01,1.504296938494926929e+09,2.434979309616407746e-04,-2.849654174504501897e-02,0.000000000000000000e+00,-8.727713188467569466e-03
3.333333333333333148e-01,1.504296938511548042e+09,2.912560886301888453e-04,-2.999635973162633612e-02,0.000000000000000000e+00,-9.227652517328007939e-03
3.499999999999999778e-01,1.504296938528733015e+09,3.496016575272619699e-04,-2.849654174504501897e-02,0.000000000000000000e+00,-9.702594879745424228e-03
3.666666666666666408e-01,1.504296938545521975e+09,4.208960254705205800e-04,-2.699672375846369834e-02,0.000000000000000000e+00,-1.015254027571982007e-02
3.833333333333333037e-01,1.504296938561467886e+09,5.077369881911939723e-04,-2.849654174504501897e-02,0.000000000000000000e+00,-1.062748263813723636e-02
4.000000000000000222e-01,1.504296938578572989e+09,6.129066906540876075e-04,-2.699672375846369834e-02,0.000000000000000000e+00,-1.107742803411163046e-02
4.166666666666666852e-01,1.504296938596306086e+09,7.393055560820595198e-04,-2.849654174504501897e-02,0.000000000000000000e+00,-1.155237039652904675e-02
4.333333333333333481e-01,1.504296938612124920e+09,8.898735429339312214e-04,-2.999635973162633612e-02,0.000000000000000000e+00,-1.205230972538948522e-02
4.500000000000000111e-01,1.504296938630325079e+09,1.067500659194303616e-03,-2.699672375846369834e-02,0.000000000000000000e+00,-1.250225512136388106e-02
4.666666666666666741e-01,1.504296938646507978e+09,1.274929210894515559e-03,-3.149617771820764633e-02,0.000000000000000000e+00,-1.302719141666734172e-02
4.833333333333333370e-01,1.504296938664323092e+09,1.514650746181578529e-03,-2.849654174504501897e-02,0.000000000000000000e+00,-1.350213377908475801e-02
5.000000000000000000e-01,1.504296938680500984e+09,1.788801057425762732e-03,-2.849654174504501897e-02,0.000000000000000000e+00,-1.397707614150217430e-02
5.166666666666666075e-01,1.504296938697866917e+09,2.099056904030863376e-03,-2.699672375846369834e-02,0.000000000000000000e+00,-1.442702153747656840e-02
5.333333333333333259e-01,1.504296938714653015e+09,2.446538302962865136e-03,-2.699672375846369834e-02,0.000000000000000000e+00,-1.487696693345096424e-02
5.500000000000000444e-01,1.504296938732382059e+09,2.831720291260549777e-03,-2.849654174504501897e-02,0.000000000000000000e+00,-1.535190929586838053e-02
5.666666666666666519e-01,1.504296938750144005e+09,3.254357987668876195e-03,-3.299599570478897043e-02,0.000000000000000000e+00,-1.590184255761486337e-02
5.833333333333333703e-01,1.504296938768045902e+09,3.713428566145969036e-03,-2.849654174504501897e-02,0.000000000000000000e+00,-1.637678492003228140e-02
5.999999999999999778e-01,1.504296938783765078e+09,4.207093404022396559e-03,-2.849654174504501897e-02,0.000000000000000000e+00,-1.685172728244969942e-02
6.166666666666666963e-01,1.504296938801151037e+09,4.732683188373959342e-03,-2.849654174504501897e-02,0.000000000000000000e+00,-1.732666964486711744e-02
6.333333333333333037e-01,1.504296938816684008e+09,5.286708166604601848e-03,-2.849654174504501897e-02,0.000000000000000000e+00,-1.780161200728453547e-02
6.500000000000000222e-01,1.504296938833009958e+09,5.864895026550029714e-03,-2.849654174504501897e-02,0.000000000000000000e+00,-1.827655436970195349e-02
6.666666666666666297e-01,1.504296938848805904e+09,6.462251106765999273e-03,-2.699672375846369834e-02,0.000000000000000000e+00,-1.872649976567634933e-02
6.833333333333333481e-01,1.504296938865231037e+09,7.073155791636227298e-03,-2.849654174504501897e-02,0.000000000000000000e+00,-1.920144212809376735e-02
6.999999999999999556e-01,1.504296938881026983e+09,7.691478063862907007e-03,-2.549690577188238466e-02,0.000000000000000000e+00,-1.962639055762514101e-02
7.166666666666666741e-01,1.504296938897618055e+09,8.310718296144896725e-03,-2.699672375846369834e-02,0.000000000000000000e+00,-2.007633595359953685e-02
7.333333333333332815e-01,1.504296938914261103e+09,8.924171492935190769e-03,-2.249726979871975036e-02,0.000000000000000000e+00,-2.045129045024486614e-02
7.500000000000000000e-01,1.504296938931653023e+09,9.525108370918132158e-03,-3.299599570478897043e-02,0.000000000000000000e+00,-2.100122371199134724e-02
7.666666666666666075e-01,1.504296938948462009e+09,1.010696992143725846e-02,-2.849654174504501897e-02,0.000000000000000000e+00,-2.147616607440876527e-02
7.833333333333333259e-01,1.504296938965368986e+09,1.066357045615539192e-02,-2.849654174504501897e-02,0.000000000000000000e+00,-2.195110843682618329e-02
8.000000000000000444e-01,1.504296938982218981e+09,1.118930362290468210e-02,-2.699672375846369834e-02,0.000000000000000000e+00,-2.240105383280057913e-02
8.166666666666666519e-01,1.504296938999991894e+09,1.167934551285866596e-02,-2.699672375846369834e-02,0.000000000000000000e+00,-2.285099922877497497e-02
8.333333333333333703e-01,1.504296939015595913e+09,1.212984877966266466e-02,-2.699672375846369834e-02,0.000000000000000000e+00,-2.330094462474937081e-02
8.499999999999999778e-01,1.504296939031944990e+09,1.253812166814301764e-02,-2.999635973162633612e-02,0.000000000000000000e+00,-2.380088395360981102e-02
8.666666666666666963e-01,1.504296939048629999e+09,1.290278601164197674e-02,-2.399708778530106751e-02,0.000000000000000000e+00,-2.420083541669816249e-02
8.833333333333333037e-01,1.504296939065006018e+09,1.322390860431258211e-02,-2.699672375846369834e-02,0.000000000000000000e+00,-2.465078081267255833e-02
9.000000000000000222e-01,1.504296939081706047e+09,1.350310088354657843e-02,-2.849654174504501897e-02,0.000000000000000000e+00,-2.512572317508997635e-02
9.166666666666666297e-01,1.504296939098400116e+09,1.374358255804380285e-02,-2.999635973162633612e-02,0.000000000000000000e+00,-2.562566250395041656e-02
