# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.503098012081548929e+09,0.000000000000000000e+00,-1.349836187923184917e-02,-0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.503098012082020998e+09,0.000000000000000000e+00,-3.662109375000000000e-03,0.000000000000000000e+00,-6.103515625000000000e-05
3.333333333333333287e-02,1.503098012091362000e+09,0.000000000000000000e+00,-1.349836187923184917e-02,-9.035247014785260355e-08,-2.860093601116998918e-04
5.000000000000000278e-02,1.503098012107986927e+09,0.000000000000000000e+00,-1.499817986581316806e-02,-6.158594877866561234e-08,-5.359800509743989924e-04
6.666666666666666574e-02,1.503098012124614954e+09,0.000000000000000000e+00,-1.349836187923184917e-02,5.100377451749107210e-07,-7.609442483325102062e-04
8.333333333333332871e-02,1.503098012141102076e+09,0.000000000000000000e+00,-1.649799785239448521e-02,1.994648274121536016e-06,-1.035877635067849589e-03
1.000000000000000056e-01,1.503098012157669067e+09,0.000000000000000000e+00,-1.499817986581316806e-02,4.691205138388199306e-06,-1.285769112745762570e-03
1.166666666666666685e-01,1.503098012174264908e+09,0.000000000000000000e+00,-1.499817986581316806e-02,8.818200971931082271e-06,-1.535591807159783235e-03
1.333333333333333315e-01,1.503098012190908909e+09,0.000000000000000000e+00,-1.349836187923184917e-02,1.451334062605906637e-05,-1.760322616136546442e-03
1.499999999999999944e-01,1.503098012208431959e+09,0.000000000000000000e+00,-1.349836187923184917e-02,2.184245933675090187e-05,-1.984931273134798307e-03
1.666666666666666574e-01,1.503098012225038052e+09,0.000000000000000000e+00,-1.499817986581316806e-02,3.081747699355461261e-05,-2.234387312948458385e-03
1.833333333333333204e-01,1.503098012242034912e+09,0.000000000000000000e+00,-1.349836187923184917e-02,4.142271947649717591e-05,-2.458669632277714259e-03
2.000000000000000111e-01,1.503098012257635117e+09,0.000000000000000000e+00,-1.349836187923184917e-02,5.364849134855939253e-05,-2.682748188742435733e-03
2.166666666666666741e-01,1.503098012274349928e+09,0.000000000000000000e+00,-1.349836187923184917e-02,6.753037552224476850e-05,-2.906595380470929166e-03
2.333333333333333370e-01,1.503098012288924932e+09,0.000000000000000000e+00,-1.349836187923184917e-02,8.319238229435474104e-05,-3.130181538753220531e-03
2.500000000000000000e-01,1.503098012305598021e+09,0.000000000000000000e+00,-1.499817986581316806e-02,1.008917879401751631e-04,-3.378469673384437016e-03
2.666666666666666630e-01,1.503098012322052956e+09,0.000000000000000000e+00,-1.649799785239448521e-02,1.210633050002973734e-04,-3.651418582507673198e-03
2.833333333333333259e-01,1.503098012339466095e+09,0.000000000000000000e+00,-1.349836187923184917e-02,1.443601226359816176e-04,-3.873985278450937583e-03
2.999999999999999889e-01,1.503098012355693102e+09,0.000000000000000000e+00,-1.199854389265053375e-02,1.716893527455437551e-04,-4.071099520782687706e-03
3.166666666666666519e-01,1.503098012372488022e+09,0.000000000000000000e+00,-1.199854389265053375e-02,2.042395190156062572e-04,-4.267671260343270170e-03
3.333333333333333148e-01,1.503098012389090061e+09,0.000000000000000000e+00,-8.998907919487899448e-03,2.434979309616407746e-04,-4.413594760152040990e-03
3.499999999999999778e-01,1.503098012406110048e+09,0.000000000000000000e+00,-1.199854389265053375e-02,2.912560886301888453e-04,-4.608716223552380281e-03
3.666666666666666408e-01,1.503098012422250986e+09,0.000000000000000000e+00,-7.499089932906584030e-03,3.496016575272619699e-04,-4.727874361475368700e-03
3.833333333333333037e-01,1.503098012439179897e+09,0.000000000000000000e+00,-8.998907919487899448e-03,4.208960254705205800e-04,-4.870841226375658556e-03
4.000000000000000222e-01,1.503098012455809116e+09,0.000000000000000000e+00,-8.998907919487899448e-03,5.077369881911939723e-04,-5.012360741897270607e-03
4.166666666666666852e-01,1.503098012472778082e+09,0.000000000000000000e+00,-1.049872590606921660e-02,6.129066906540876075e-04,-5.177124395487522901e-03
4.333333333333333481e-01,1.503098012489418983e+09,0.000000000000000000e+00,-1.049872590606921660e-02,7.393055560820595198e-04,-5.339781401320642558e-03
4.500000000000000111e-01,1.503098012505609035e+09,0.000000000000000000e+00,-1.649799785239448521e-02,8.898735429339312214e-04,-5.599916806478318076e-03
4.666666666666666741e-01,1.503098012522053957e+09,0.000000000000000000e+00,-8.998907919487899448e-03,1.067500659194303616e-03,-5.732106927483211593e-03
4.833333333333333370e-01,1.503098012539913893e+09,0.000000000000000000e+00,-1.049872590606921660e-02,1.274929210894515559e-03,-5.885836872402789959e-03
5.000000000000000000e-01,1.503098012556742907e+09,0.000000000000000000e+00,-8.998907919487899448e-03,1.514650746181578529e-03,-6.010574491957895726e-03
5.166666666666666075e-01,1.503098012573677063e+09,0.000000000000000000e+00,-8.998907919487899448e-03,1.788801057425762732e-03,-6.130742939658931183e-03
5.333333333333333259e-01,1.503098012590198994e+09,0.000000000000000000e+00,-8.998907919487899448e-03,2.099056904030863376e-03,-6.245740456583215305e-03
5.500000000000000444e-01,1.503098012609091997e+09,0.000000000000000000e+00,-1.199854389265053375e-02,2.446538302962865136e-03,-6.404940549744676456e-03
5.666666666666666519e-01,1.503098012625921011e+09,0.000000000000000000e+00,-8.998907919487899448e-03,2.831720291260549777e-03,-6.507727010215132168e-03
5.833333333333333703e-01,1.503098012642154932e+09,0.000000000000000000e+00,-1.049872590606921660e-02,3.254357987668876195e-03,-6.628466475521804617e-03
5.999999999999999778e-01,1.503098012658787012e+09,0.000000000000000000e+00,-1.049872590606921660e-02,3.713428566145969036e-03,-6.741554764520525309e-03
6.166666666666666963e-01,1.503098012675189972e+09,0.000000000000000000e+00,-1.049872590606921660e-02,4.207093404022396559e-03,-6.846415306221305917e-03
6.333333333333333037e-01,1.503098012691800117e+09,0.000000000000000000e+00,-1.049872590606921660e-02,4.732683188373959342e-03,-6.942516018182893697e-03
6.500000000000000222e-01,1.503098012708189964e+09,0.000000000000000000e+00,-1.049872590606921660e-02,5.286708166604601848e-03,-7.029382980507303640e-03
6.666666666666666297e-01,1.503098012723742008e+09,0.000000000000000000e+00,-8.998907919487899448e-03,5.864895026550029714e-03,-7.081616528722935004e-03
6.833333333333333481e-01,1.503098012741147041e+09,0.000000000000000000e+00,-1.049872590606921660e-02,6.462251106765999273e-03,-7.148891108711322162e-03
6.999999999999999556e-01,1.503098012758019924e+09,0.000000000000000000e+00,-8.998907919487899448e-03,7.073155791636227298e-03,-7.180986977508850219e-03
7.166666666666666741e-01,1.503098012774199009e+09,0.000000000000000000e+00,-2.999635973162633439e-03,7.691478063862907007e-03,-7.102789609330512240e-03
7.333333333333332815e-01,1.503098012790504932e+09,0.000000000000000000e+00,-8.998907919487899448e-03,8.310718296144896725e-03,-7.114259436386228749e-03
7.500000000000000000e-01,1.503098012806871891e+09,0.000000000000000000e+00,-1.049872590606921660e-02,8.924171492935190769e-03,-7.140502009938462340e-03
7.666666666666666075e-01,1.503098012823478937e+09,0.000000000000000000e+00,-1.049872590606921660e-02,9.525108370918132158e-03,-7.156728968857647109e-03
7.833333333333333259e-01,1.503098012839678049e+09,0.000000000000000000e+00,-1.049872590606921660e-02,1.010696992143725846e-02,-7.163258235268179543e-03
8.000000000000000444e-01,1.503098012856400013e+09,0.000000000000000000e+00,-8.998907919487899448e-03,1.066357045615539192e-02,-7.135513859657054321e-03
8.166666666666666519e-01,1.503098012874298096e+09,0.000000000000000000e+00,-1.049872590606921660e-02,1.118930362290468210e-02,-7.124004231043129694e-03
8.333333333333333703e-01,1.503098012890666008e+09,0.000000000000000000e+00,-7.499089932906584030e-03,1.167934551285866596e-02,-7.054333304710594735e-03
8.499999999999999778e-01,1.503098012907141924e+09,0.000000000000000000e+00,-8.998907919487899448e-03,1.212984877966266466e-02,-7.002150957041015401e-03
8.666666666666666963e-01,1.503098012923748016e+09,0.000000000000000000e+00,-8.998907919487899448e-03,1.253812166814301764e-02,-6.943164061230096447e-03
8.833333333333333037e-01,1.503098012940727949e+09,0.000000000000000000e+00,-1.049872590606921660e-02,1.290278601164197674e-02,-6.903096392803884096e-03
9.000000000000000222e-01,1.503098012957329988e+09,0.000000000000000000e+00,-8.998907919487899448e-03,1.322390860431258211e-02,-6.832679714723472603e-03
9.166666666666666297e-01,1.503098012974322081e+09,0.000000000000000000e+00,-8.998907919487899448e-03,1.350310088354657843e-02,-6.757609831989161084e-03
9.333333333333333481e-01,1.503098012989548922e+09,0.000000000000000000e+00,-1.199854389265053375e-02,1.374358255804380285e-02,-6.728525854232606483e-03
9.499999999999999556e-01,1.503098013005928993e+09,0.000000000000000000e+00,-1.049872590606921660e-02,1.395020567323297309e-02,-6.671001191446543702e-03
