# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.503098122358149052e+09,0.000000000000000000e+00,-1.649799785239448521e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.503098122358638048e+09,0.000000000000000000e+00,-3.662109375000000000e-03,0.000000000000000000e+00,-6.103515625000000000e-05
3.333333333333333287e-02,1.503098122367999077e+09,0.000000000000000000e+00,-1.499817986581316806e-02,3.817254851680025241e-07,-3.109984585888000107e-04
5.000000000000000278e-02,1.503098122384794950e+09,0.000000000000000000e+00,-1.649799785239448521e-02,1.300879160145474001e-06,-5.859434081427056240e-04
6.666666666666666574e-02,1.503098122400661945e+09,0.000000000000000000e+00,-1.499817986581316806e-02,2.492678168490824970e-06,-8.358715279367834490e-04
8.333333333333332871e-02,1.503098122417910099e+09,0.000000000000000000e+00,-1.649799785239448521e-02,3.823260550326531765e-06,-1.110774437800852782e-03
1.000000000000000056e-01,1.503098122434974909e+09,0.000000000000000000e+00,-1.499817986581316806e-02,5.328717903556420757e-06,-1.360655290266012942e-03
1.166666666666666685e-01,1.503098122452059984e+09,0.000000000000000000e+00,-1.349836187923184917e-02,7.251277399833045257e-06,-1.585507133629879837e-03
1.333333333333333315e-01,1.503098122468059063e+09,0.000000000000000000e+00,-1.499817986581316806e-02,1.007052534532055656e-05,-1.835308955971010590e-03
1.499999999999999944e-01,1.503098122485193968e+09,0.000000000000000000e+00,-1.649799785239448521e-02,1.452765292379677706e-05,-2.110033459295522062e-03
1.666666666666666574e-01,1.503098122502376080e+09,0.000000000000000000e+00,-7.499089932906584030e-03,2.164088504001222748e-05,-2.234657610093298066e-03
1.833333333333333204e-01,1.503098122519435883e+09,0.000000000000000000e+00,-1.499817986581316806e-02,3.271052087503867475e-05,-2.484082099175600328e-03
2.000000000000000111e-01,1.503098122535547972e+09,0.000000000000000000e+00,-1.649799785239448521e-02,4.931236195258694631e-05,-2.758226857349632168e-03
2.166666666666666741e-01,1.503098122552191973e+09,0.000000000000000000e+00,-1.499817986581316806e-02,7.327871900694729536e-05,-3.006975209796402745e-03
2.333333333333333370e-01,1.503098122568006992e+09,0.000000000000000000e+00,-1.349836187923184917e-02,1.066666586335454062e-04,-3.230170130139707694e-03
2.500000000000000000e-01,1.503098122585777998e+09,0.000000000000000000e+00,-1.499817986581316806e-02,1.517136580324148691e-04,-3.477611233602720311e-03
2.666666666666666630e-01,1.503098122601768970e+09,0.000000000000000000e+00,-1.349836187923184917e-02,2.107813626672053490e-04,-3.699070908878797793e-03
2.833333333333333259e-01,1.503098122618733883e+09,0.000000000000000000e+00,-1.649799785239448521e-02,2.862886676406794974e-04,-3.969266061958028058e-03
2.999999999999999889e-01,1.503098122634440899e+09,0.000000000000000000e+00,-1.499817986581316806e-02,3.806358487452030700e-04,-4.212891795575827297e-03
3.166666666666666519e-01,1.503098122650516033e+09,0.000000000000000000e+00,-1.499817986581316806e-02,4.961219333511698729e-04,-4.454592761116860783e-03
3.333333333333333148e-01,1.503098122666666985e+09,0.000000000000000000e+00,-1.349836187923184917e-02,6.348579053024532926e-04,-4.668984494015684418e-03
