# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.503098393205677032e+09,0.000000000000000000e+00,2.849654174504501897e-02,-0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.503098393206182957e+09,2.147917641751685147e-06,7.324218750000000000e-03,0.000000000000000000e+00,1.220703125000000000e-04
3.333333333333333287e-02,1.503098393216214895e+09,8.764447890478153669e-06,2.849654174504501897e-02,-2.036121991559252359e-06,5.969787395508908663e-04
5.000000000000000278e-02,1.503098393234535933e+09,2.010613480534787772e-05,2.999635973162633612e-02,-8.870962340705919414e-06,1.096770219038984600e-03
6.666666666666666574e-02,1.503098393250627995e+09,3.641188470135284743e-05,2.699672375846369834e-02,-2.149838682797131008e-05,1.546357308566246713e-03
8.333333333333332871e-02,1.503098393267617941e+09,5.788539582759026761e-05,2.399708778530106751e-02,-4.077125756175501819e-05,1.945629250695235339e-03
1.000000000000000056e-01,1.503098393283463955e+09,8.467853633946515466e-05,2.099745181213843320e-02,-6.738982318432458051e-05,2.294463617177803713e-03
1.166666666666666685e-01,1.503098393300220966e+09,1.168766158252789247e-04,1.649799785239448521e-02,-1.018961169972662468e-04,2.567731979434423936e-03
1.333333333333333315e-01,1.503098393316800117e+09,1.544864480217000185e-04,8.998907919487899448e-03,-1.446742750637536659e-04,2.715302540174826477e-03
1.499999999999999944e-01,1.503098393333832026e+09,1.974280167416706932e-04,0.000000000000000000e+00,-1.959564292923599938e-04,2.712036599686620374e-03
1.666666666666666574e-01,1.503098393350137949e+09,2.455304358554707901e-04,-1.049872590606921660e-02,-2.558335955227125928e-04,2.532793941326755022e-03
1.833333333333333204e-01,1.503098393368366003e+09,2.985327411237056528e-04,-1.499817986581316806e-02,-3.242707734298126373e-04,2.277419764006038700e-03
2.000000000000000111e-01,1.503098393385067940e+09,3.560898716819140670e-04,-1.499817986581316806e-02,-4.011253119695700289e-04,2.020764677709659639e-03
2.166666666666666741e-01,1.503098393403423071e+09,4.177839979613533336e-04,-1.349836187923184917e-02,-4.861674777229892824e-04,1.787689188427078919e-03
2.333333333333333370e-01,1.503098393419022083e+09,4.831411375935639038e-04,-1.499817986581316806e-02,-5.791020985136316728e-04,1.528067822354965515e-03
2.500000000000000000e-01,1.503098393437120914e+09,5.516527788195227855e-04,-1.499817986581316806e-02,-6.795901435750629615e-04,1.266771655531828342e-03
2.666666666666666630e-01,1.503098393453749895e+09,6.228020099383184969e-04,-1.499817986581316806e-02,-7.872691445820033255e-04,1.003680838691908741e-03
2.833333333333333259e-01,1.503098393470763922e+09,6.960934413600717045e-04,-1.649799785239448521e-02,-9.017714570123564486e-04,7.136846835351280411e-04
2.999999999999999889e-01,1.503098393486722946e+09,7.710860117291568538e-04,-1.349836187923184917e-02,-1.022739504360376103e-03,4.716663271419243154e-04
3.166666666666666519e-01,1.503098393503906012e+09,8.474275988308622738e-04,-1.649799785239448521e-02,-1.149837332414372412e-03,1.775357407284433586e-04
