# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.503098505446588039e+09,-0.000000000000000000e+00,4.499453959743950071e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.503098505447108030e+09,-2.147917641751685147e-06,1.135253906250000000e-02,0.000000000000000000e+00,1.892089843750000054e-04
3.333333333333333287e-02,1.503098505457499027e+09,-8.764447890478153669e-06,4.649435758402081786e-02,2.036121991559252359e-06,9.641488794752062696e-04
5.000000000000000278e-02,1.503098505474756956e+09,-2.010613480534787772e-05,4.649435758402081786e-02,8.870962340705919414e-06,1.739202688581231553e-03
6.666666666666666574e-02,1.503098505490870953e+09,-3.641188470135284743e-05,4.799417557060213502e-02,2.149838682797131008e-05,2.539463921205066706e-03
8.333333333333332871e-02,1.503098505507462978e+09,-5.788539582759026761e-05,4.499453959743950071e-02,4.077125756175501819e-05,3.290052435455087694e-03
1.000000000000000056e-01,1.503098505525338888e+09,-8.467853633946515466e-05,4.799417557060213502e-02,6.738982318432458051e-05,4.091078525351528501e-03
1.166666666666666685e-01,1.503098505542984962e+09,-1.168766158252789247e-04,4.799417557060213502e-02,1.018961169972662468e-04,4.892679720144851342e-03
1.333333333333333315e-01,1.503098505560110092e+09,-1.544864480217000185e-04,4.499453959743950071e-02,1.446742750637536659e-04,5.644999951353238746e-03
1.499999999999999944e-01,1.503098505577414989e+09,-1.974280167416706932e-04,4.799417557060213502e-02,1.959564292923599938e-04,6.448168818018146925e-03
1.666666666666666574e-01,1.503098505595077038e+09,-2.455304358554707901e-04,4.949399355718345217e-02,2.558335955227125928e-04,7.277332603896582985e-03
1.833333333333333204e-01,1.503098505613814116e+09,-2.985327411237056528e-04,4.649435758402081786e-02,3.242707734298126373e-04,8.057643076520759964e-03
2.000000000000000111e-01,1.503098505631087065e+09,-3.560898716819140670e-04,4.799417557060213502e-02,4.011253119695700289e-04,8.864231424563622300e-03
2.166666666666666741e-01,1.503098505646787882e+09,-4.177839979613533336e-04,4.499453959743950071e-02,4.861674777229892824e-04,9.622243209149663676e-03
2.333333333333333370e-01,1.503098505664460897e+09,-4.831411375935639038e-04,4.649435758402081786e-02,5.791020985136316728e-04,1.040680087052523774e-02
2.500000000000000000e-01,1.503098505681473970e+09,-5.516527788195227855e-04,4.799417557060213502e-02,6.795901435750629615e-04,1.121803029909485688e-02
2.666666666666666630e-01,1.503098505699209929e+09,-6.228020099383184969e-04,4.499453959743950071e-02,7.872691445820033255e-04,1.198106044479521452e-02
2.833333333333333259e-01,1.503098505716315031e+09,-6.960934413600717045e-04,4.349472161085818356e-02,9.017714570123564486e-04,1.272100199592639085e-02
2.999999999999999889e-01,1.503098505731487036e+09,-7.710860117291568538e-04,4.949399355718345217e-02,1.022739504360376103e-03,1.356294754695212129e-02
3.166666666666666519e-01,1.503098505748831034e+09,-8.474275988308622738e-04,4.649435758402081786e-02,1.149837332414372412e-03,1.435701746222604186e-02
3.333333333333333148e-01,1.503098505764997005e+09,-9.248902164255929856e-04,4.649435758402081786e-02,1.282758019077282667e-03,1.515330272227767734e-02
3.499999999999999778e-01,1.503098505782233953e+09,-1.003404475733901766e-03,4.799417557060213502e-02,1.421226727474051528e-03,1.597689276057894653e-02
3.666666666666666408e-01,1.503098505799592972e+09,-1.083091929899599381e-03,4.799417557060213502e-02,1.564999445648408444e-03,1.680287901084978955e-02
3.833333333333333037e-01,1.503098505816814899e+09,-1.164293904993369579e-03,4.649435758402081786e-02,1.713857713572878791e-03,1.760634926580968360e-02
4.000000000000000222e-01,1.503098505834005117e+09,-1.247595454176688660e-03,4.649435758402081786e-02,1.867599885772813339e-03,1.841238189030624389e-02
4.166666666666666852e-01,1.503098505851193905e+09,-1.333843153197764074e-03,4.799417557060213502e-02,2.026029704078251802e-03,1.924605197821758346e-02
4.333333333333333481e-01,1.503098505869040012e+09,-1.424155584535151267e-03,4.499453959743950071e-02,2.188943148996645802e-03,2.003244335732485421e-02
4.500000000000000111e-01,1.503098505885770082e+09,-1.519925531754505541e-03,4.799417557060213502e-02,2.356114690170706041e-03,2.087161486167106797e-02
4.666666666666666741e-01,1.503098505902317047e+09,-1.622813120971943043e-03,4.649435758402081786e-02,2.527284158082283242e-03,2.168864222403945469e-02
4.833333333333333370e-01,1.503098505920173883e+09,-1.734729397244964529e-03,4.649435758402081786e-02,2.702145504188221969e-03,2.250858394217627317e-02
5.000000000000000000e-01,1.503098505936182022e+09,-1.857810103447041401e-03,4.499453959743950071e-02,2.880338700798625376e-03,2.330649858048024214e-02
5.166666666666666075e-01,1.503098505953056097e+09,-1.994379729801744761e-03,3.599563167795159779e-02,3.061445953394117871e-03,2.395744987433600509e-02
5.333333333333333259e-01,1.503098505969649076e+09,-2.146906214923141425e-03,4.799417557060213502e-02,3.244993257417012455e-03,2.481143602146965860e-02
5.500000000000000444e-01,1.503098505987457991e+09,-2.317946994440602763e-03,4.649435758402081786e-02,3.430458132126551398e-03,2.564351628340544656e-02
5.666666666666666519e-01,1.503098506005136967e+09,-2.510087401210238465e-03,4.649435758402081786e-02,3.617284111669306738e-03,2.647871031166694825e-02
5.833333333333333703e-01,1.503098506024184942e+09,-2.725872711783801448e-03,5.099381154376476932e-02,3.804902276250889549e-03,2.739202220866721049e-02
5.999999999999999778e-01,1.503098506041907072e+09,-2.967735397496824943e-03,4.499453959743950071e-02,3.992759774512622678e-03,2.820847719819974744e-02
6.166666666666666963e-01,1.503098506060736895e+09,-3.237919366061613874e-03,4.649435758402081786e-02,4.180354934043660833e-03,2.905305574016748757e-02
6.333333333333333037e-01,1.503098506077383995e+09,-3.538403162546335627e-03,4.499453959743950071e-02,4.367278193938909682e-03,2.987575270335712796e-02
6.500000000000000222e-01,1.503098506095114946e+09,-3.870824229836991592e-03,4.799417557060213502e-02,4.553257735942629544e-03,3.075154325846620601e-02
6.666666666666666297e-01,1.503098506111128092e+09,-4.236406402220371445e-03,4.649435758402081786e-02,4.738208353935717369e-03,3.160541935743214903e-02
6.833333333333333481e-01,1.503098506128648996e+09,-4.635892817275798217e-03,4.649435758402081786e-02,4.922281800165190756e-03,3.246236334716857963e-02
6.999999999999999556e-01,1.503098506145647049e+09,-5.069486378252292987e-03,4.499453959743950071e-02,5.105916594851566716e-03,3.329737095037343247e-02
7.166666666666666741e-01,1.503098506161974907e+09,-5.536799780841432546e-03,4.499453959743950071e-02,5.289885096604191907e-03,3.413544469527415859e-02
7.333333333333332815e-01,1.503098506177809954e+09,-6.036816935986195204e-03,4.649435758402081786e-02,5.475335515649479290e-03,3.500160624693533090e-02
7.500000000000000000e-01,1.503098506195400953e+09,-6.567867377306361304e-03,4.499453959743950071e-02,5.663826519235313876e-03,3.584591234887991168e-02
7.666666666666666075e-01,1.503098506213169098e+09,-7.127614943003563255e-03,4.649435758402081786e-02,5.857352135084136283e-03,3.671844084419832732e-02
7.833333333333333259e-01,1.503098506231154919e+09,-7.713061674685069320e-03,4.799417557060213502e-02,6.058354807817643677e-03,3.761931635050532602e-02
8.000000000000000444e-01,1.503098506248784065e+09,-8.320567488026257494e-03,4.649435758402081786e-02,6.269724705038887472e-03,3.849871772198965730e-02
8.166666666666666519e-01,1.503098506266787052e+09,-8.945885752639210278e-03,4.649435758402081786e-02,6.494783701041788489e-03,3.938187007674070345e-02
8.333333333333333703e-01,1.503098506283320904e+09,-9.584214482183786576e-03,4.499453959743950071e-02,6.737252880344835222e-03,4.024406661803710955e-02
8.499999999999999778e-01,1.503098506300441980e+09,-1.023026239279348562e-02,4.049508563769554925e-02,7.001202890535109837e-03,4.103567142684095420e-02
8.666666666666666963e-01,1.503098506315531969e+09,-1.087832865099769633e-02,4.649435758402081786e-02,7.290987021289636362e-03,4.193209383692945991e-02
8.833333333333333037e-01,1.503098506332938910e+09,-1.152239471440864339e-02,4.649435758402081786e-02,7.611157478166899644e-03,4.283385242129925802e-02
9.000000000000000222e-01,1.503098506349064112e+09,-1.215622628224069350e-02,4.649435758402081786e-02,7.966365937743039027e-03,4.374153114666198827e-02
9.166666666666666297e-01,1.503098506367072105e+09,-1.277348303042312970e-02,4.649435758402081786e-02,8.361250094991447626e-03,4.465579127464552878e-02
9.333333333333333481e-01,1.503098506384083033e+09,-1.336783351892000329e-02,4.499453959743950071e-02,8.800308523339142597e-03,4.555237207665850663e-02
9.499999999999999556e-01,1.503098506401545048e+09,-1.393307243686997023e-02,4.199490362427686641e-02,9.287766740895365275e-03,4.640708324941137525e-02
9.666666666666666741e-01,1.503098506418746948e+09,-1.446323720269759340e-02,4.049508563769554925e-02,9.827437891412245732e-03,4.724579197489650606e-02
9.833333333333332815e-01,1.503098506436057091e+09,-1.495272086792841064e-02,4.199490362427686641e-02,1.042258188496758900e-02,4.811941673338391429e-02
1.000000000000000000e+00,1.503098506452466965e+09,-1.539637828944405949e-02,4.199490362427686641e-02,1.107576718213668793e-02,4.900392791349080651e-02
1.016666666666666607e+00,1.503098506468811989e+09,-1.578962263740874353e-02,3.599563167795159779e-02,1.178873962984385709e-02,4.980033410195406490e-02
1.033333333333333215e+00,1.503098506485974073e+09,-1.612850949472105500e-02,1.349836187923184917e-02,1.256230285342018783e-02,5.023467851416493074e-02
1.050000000000000044e+00,1.503098506502254009e+09,-1.640980607574245645e-02,-1.949763382555711605e-02,1.339621466745600196e-02,5.013298819486324692e-02
1.066666666666666652e+00,1.503098506518662930e+09,-1.663104344189852632e-02,-5.549326550350872078e-02,1.428910378166091746e-02,4.944625216616578556e-02
1.083333333333333259e+00,1.503098506535640955e+09,-1.679055001182331794e-02,-8.548962523513506384e-02,1.523841074536454177e-02,4.827539859133627570e-02
1.100000000000000089e+00,1.503098506551820993e+09,-1.688746514407012123e-02,-1.079868950338547934e-01,1.624035659836986500e-02,4.674628961741152805e-02
1.116666666666666696e+00,1.503098506569190025e+09,-1.692173209908233791e-02,-1.349836187923185160e-01,1.728994208420411155e-02,4.478472833894295291e-02
1.133333333333333304e+00,1.503098506585833073e+09,-1.689407025041901600e-02,-1.589807065776195627e-01,1.838097954667100228e-02,4.244139955509380890e-02
1.149999999999999911e+00,1.503098506604326010e+09,-1.680592699809493537e-02,-1.739788864434327342e-01,1.950615878874241080e-02,3.986685409418230103e-02
1.166666666666666741e+00,1.503098506619272947e+09,-1.665941042326709448e-02,-1.889770663092459335e-01,2.065714724510621381e-02,3.706152210977996936e-02
1.183333333333333348e+00,1.503098506636953115e+09,-1.645720429675929380e-02,-1.964761562421524776e-01,2.182472383060851326e-02,3.415066490292090196e-02
1.199999999999999956e+00,1.503098506653669119e+09,-1.620246759733963079e-02,-2.054750641616404083e-01,2.299894480388233950e-02,3.110939624695826730e-02
1.216666666666666563e+00,1.503098506670397043e+09,-1.589872119289491639e-02,-2.144739720811282835e-01,2.416933895838568880e-02,2.793765236157922521e-02
1.233333333333333393e+00,1.503098506687125921e+09,-1.554972477315924757e-02,-2.204732440274535521e-01,2.532512845302545279e-02,2.468518376867209069e-02
1.250000000000000000e+00,1.503098506704574108e+09,-1.515934748223349976e-02,-2.279723339603601517e-01,2.645547065316306706e-02,2.132656938021880444e-02
1.266666666666666607e+00,1.503098506720454931e+09,-1.473143597029277947e-02,-2.369712418798480547e-01,2.754971550124589094e-02,1.783621060724210200e-02
1.283333333333333215e+00,1.503098506737107992e+09,-1.426968375627704969e-02,-2.414706958395920200e-01,2.859767220430045609e-02,1.428832687998724330e-02
