# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.503098754886806011e+09,0.000000000000000000e+00,1.499817986581316806e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.503098754887291908e+09,3.946847468807326460e-06,3.662109375000000000e-03,0.000000000000000000e+00,6.103515625000000000e-05
3.333333333333333287e-02,1.503098754897896051e+09,1.590754399572168073e-05,1.499817986581316806e-02,0.000000000000000000e+00,3.110048206802194532e-04
5.000000000000000278e-02,1.503098754915883064e+09,3.621080142349402222e-05,1.499817986581316806e-02,0.000000000000000000e+00,5.609744851104389064e-04
6.666666666666666574e-02,1.503098754931654930e+09,6.536572918442416780e-05,1.499817986581316806e-02,0.000000000000000000e+00,8.109441495406583596e-04
8.333333333333332871e-02,1.503098754948002100e+09,1.040329526293467811e-04,1.349836187923184917e-02,0.000000000000000000e+00,1.035916847527855846e-03
1.000000000000000056e-01,1.503098754964108944e+09,1.529887793250687316e-04,1.349836187923184917e-02,0.000000000000000000e+00,1.260889545515053332e-03
1.166666666666666685e-01,1.503098754981400967e+09,2.130842443654243205e-04,1.349836187923184917e-02,0.000000000000000000e+00,1.485862243502250818e-03
1.333333333333333315e-01,1.503098754998245955e+09,2.852011035195873884e-04,1.499817986581316806e-02,0.000000000000000000e+00,1.735831907932470271e-03
1.499999999999999944e-01,1.503098755013701916e+09,3.702069968511535834e-04,1.349836187923184917e-02,0.000000000000000000e+00,1.960804605919667758e-03
1.666666666666666574e-01,1.503098755030771971e+09,4.689120682768788736e-04,1.349836187923184917e-02,0.000000000000000000e+00,2.185777303906865244e-03
1.833333333333333204e-01,1.503098755049381018e+09,5.820292947160088338e-04,1.349836187923184917e-02,0.000000000000000000e+00,2.410750001894062730e-03
2.000000000000000111e-01,1.503098755064940929e+09,7.101406518293942264e-04,1.499817986581316806e-02,0.000000000000000000e+00,2.660719666324281966e-03
2.166666666666666741e-01,1.503098755081046104e+09,8.536710252301197167e-04,1.499817986581316806e-02,0.000000000000000000e+00,2.910689330754501203e-03
2.333333333333333370e-01,1.503098755097254038e+09,1.012871473306615946e-03,1.199854389265053375e-02,0.000000000000000000e+00,3.110665062298676939e-03
2.500000000000000000e-01,1.503098755114965916e+09,1.187813070554959898e-03,1.499817986581316806e-02,0.000000000000000000e+00,3.360634726728896175e-03
2.666666666666666630e-01,1.503098755131587982e+09,1.378392121651593732e-03,1.349836187923184917e-02,0.000000000000000000e+00,3.585607424716093661e-03
2.833333333333333259e-01,1.503098755148044109e+09,1.584347052032635634e-03,1.499817986581316806e-02,0.000000000000000000e+00,3.835577089146313332e-03
2.999999999999999889e-01,1.503098755165087938e+09,1.805286768124088554e-03,1.499817986581316806e-02,0.000000000000000000e+00,4.085546753576532568e-03
3.166666666666666519e-01,1.503098755182213068e+09,2.040729758655249540e-03,1.199854389265053375e-02,0.000000000000000000e+00,4.285522485120708304e-03
3.333333333333333148e-01,1.503098755197843075e+09,2.290152697519688436e-03,1.499817986581316806e-02,0.000000000000000000e+00,4.535492149550927540e-03
3.499999999999999778e-01,1.503098755215872049e+09,2.553046828331736323e-03,1.199854389265053375e-02,0.000000000000000000e+00,4.735467881095103276e-03
3.666666666666666408e-01,1.503098755231529951e+09,2.828979980433346617e-03,1.349836187923184917e-02,0.000000000000000000e+00,4.960440579082301196e-03
3.833333333333333037e-01,1.503098755248631001e+09,3.117661703572600657e-03,1.499817986581316806e-02,0.000000000000000000e+00,5.210410243512520433e-03
4.000000000000000222e-01,1.503098755264924049e+09,3.419008729736094758e-03,1.349836187923184917e-02,0.000000000000000000e+00,5.435382941499717485e-03
4.166666666666666852e-01,1.503098755283149004e+09,3.733207788995595525e-03,1.499817986581316806e-02,0.000000000000000000e+00,5.685352605929936722e-03
4.333333333333333481e-01,1.503098755299195051e+09,4.060772731905007774e-03,1.499817986581316806e-02,0.000000000000000000e+00,5.935322270360155958e-03
4.500000000000000111e-01,1.503098755316920996e+09,4.402592950559221056e-03,1.349836187923184917e-02,0.000000000000000000e+00,6.160294968347353878e-03
4.666666666666666741e-01,1.503098755332470894e+09,4.759970246607537862e-03,1.499817986581316806e-02,0.000000000000000000e+00,6.410264632777573114e-03
4.833333333333333370e-01,1.503098755349925995e+09,5.134641565916725492e-03,1.499817986581316806e-02,0.000000000000000000e+00,6.660234297207792351e-03
5.000000000000000000e-01,1.503098755366796970e+09,5.528785400671271805e-03,1.499817986581316806e-02,0.000000000000000000e+00,6.910203961638011587e-03
5.166666666666666075e-01,1.503098755385674953e+09,5.945010140886964993e-03,1.199854389265053375e-02,0.000000000000000000e+00,7.110179693182187323e-03
5.333333333333333259e-01,1.503098755403299093e+09,6.386323225166076929e-03,1.349836187923184917e-02,0.000000000000000000e+00,7.335152391169384375e-03
5.500000000000000444e-01,1.503098755422188044e+09,6.856080578126952201e-03,1.349836187923184917e-02,0.000000000000000000e+00,7.560125089156582295e-03
5.666666666666666519e-01,1.503098755439733982e+09,7.357916509395778966e-03,1.349836187923184917e-02,0.000000000000000000e+00,7.785097787143780215e-03
5.833333333333333703e-01,1.503098755457561970e+09,7.895654964059634420e-03,1.649799785239448521e-02,0.000000000000000000e+00,8.060064418017022503e-03
5.999999999999999778e-01,1.503098755474188089e+09,8.473203733058482304e-03,1.499817986581316806e-02,0.000000000000000000e+00,8.310034082447242607e-03
6.166666666666666963e-01,1.503098755491624117e+09,9.094433929224456786e-03,1.349836187923184917e-02,0.000000000000000000e+00,8.535006780434440526e-03
6.333333333333333037e-01,1.503098755509349108e+09,9.763047685538457990e-03,1.349836187923184917e-02,0.000000000000000000e+00,8.759979478421638446e-03
6.500000000000000222e-01,1.503098755525840044e+09,1.048243761238617719e-02,1.199854389265053375e-02,0.000000000000000000e+00,8.959955209965814182e-03
6.666666666666666297e-01,1.503098755543576002e+09,1.125554203745818445e-02,1.649799785239448521e-02,0.000000000000000000e+00,9.234921840839054735e-03
6.833333333333333481e-01,1.503098755560856104e+09,1.208470042514449456e-02,1.349836187923184917e-02,0.000000000000000000e+00,9.459894538826252655e-03
6.999999999999999556e-01,1.503098755576843023e+09,1.297151361466079150e-02,1.349836187923184917e-02,0.000000000000000000e+00,9.684867236813450575e-03
7.166666666666666741e-01,1.503098755594552994e+09,1.391671361436371511e-02,1.499817986581316806e-02,0.000000000000000000e+00,9.934836901243670679e-03
7.333333333333332815e-01,1.503098755612188101e+09,1.492004763479008560e-02,1.499817986581316806e-02,0.000000000000000000e+00,1.018480656567389078e-02
7.500000000000000000e-01,1.503098755629992962e+09,1.598018083072128351e-02,8.998907919487899448e-03,0.000000000000000000e+00,1.033478836433202215e-02
