# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.503099062820023060e+09,-0.000000000000000000e+00,-5.249362953034608648e-02,-0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.503099062820758104e+09,-1.798929827055640890e-06,-1.245117187500000000e-02,0.000000000000000000e+00,-2.075195312499999675e-04
3.333333333333333287e-02,1.503099062823513985e+09,-7.143096105243524524e-06,-5.249362953034608648e-02,-1.413869948528467420e-06,-1.082436921254910237e-03
5.000000000000000278e-02,1.503099062840440035e+09,-1.610466661814614789e-05,-5.249362953034608648e-02,-5.480904621995249357e-06,-1.957422095171044985e-03
6.666666666666666574e-02,1.503099062857330084e+09,-2.895384448307132715e-05,-5.399344751692739669e-02,-1.197178372019448439e-05,-2.857512416848504919e-03
8.333333333333332871e-02,1.503099062873810053e+09,-4.614755680175652706e-05,-5.549326550350872078e-02,-2.069039208931063465e-05,-3.782745015108471883e-03
1.000000000000000056e-01,1.503099062890017033e+09,-6.831024298560356336e-05,-5.249362953034608648e-02,-3.145911940556328203e-05,-4.658163159270999054e-03
1.166666666666666685e-01,1.503099062906258106e+09,-9.620762854014538220e-05,-5.099381154376476932e-02,-4.410249646159308714e-05,-5.508795059941438456e-03
1.333333333333333315e-01,1.503099062921853065e+09,-1.307146554978873428e-04,-5.099381154376476932e-02,-5.843004229691513073e-05,-6.359665753042466514e-03
1.499999999999999944e-01,1.503099062939908028e+09,-1.727789801094829173e-04,-5.849290147667134815e-02,-7.421922989269736943e-05,-7.335784431485200575e-03
1.666666666666666574e-01,1.503099062956774950e+09,-2.233816324214081377e-04,-5.699308349009003793e-02,-9.119947392158423295e-05,-8.287189147552061208e-03
1.833333333333333204e-01,1.503099062972649097e+09,-2.834965535923031810e-04,-5.849290147667134815e-02,-1.090380022054298579e-04,-9.263888138866673005e-03
2.000000000000000111e-01,1.503099062989355087e+09,-3.540507801474801052e-04,-5.699308349009003793e-02,-1.273283945496202273e-04,-1.021589500361066646e-02
2.166666666666666741e-01,1.503099063005151987e+09,-4.358870272687663831e-04,-5.549326550350872078e-02,-1.455824612706091144e-04,-1.114320913635698934e-02
2.333333333333333370e-01,1.503099063022083998e+09,-5.297303357130522588e-04,-5.999271946325267224e-02,-1.632259930194410863e-04,-1.214580822729485754e-02
2.500000000000000000e-01,1.503099063038676023e+09,-6.361602917354371124e-04,-5.549326550350872078e-02,-1.795987485318640664e-04,-1.307368929816220098e-02
2.666666666666666630e-01,1.503099063055562019e+09,-7.555901117132752349e-04,-5.399344751692739669e-02,-1.939588637388215840e-04,-1.397681273783997133e-02
2.833333333333333259e-01,1.503099063072714090e+09,-8.882536106725638213e-04,-5.549326550350872078e-02,-2.054916710143152943e-04,-1.490512535741535596e-02
2.999999999999999889e-01,1.503099063089608908e+09,-1.034200756394932025e-03,-5.999271946325267224e-02,-2.133227184913829547e-04,-1.590855939377775613e-02
3.166666666666666519e-01,1.503099063106535912e+09,-1.193302159824387266e-03,-5.399344751692739669e-02,-2.165345838736542565e-04,-1.681205909545777435e-02
3.333333333333333148e-01,1.503099063123339891e+09,-1.365262481094094800e-03,-5.699308349009003793e-02,-2.141868925491650553e-04,-1.776551360183509579e-02
3.499999999999999778e-01,1.503099063139705896e+09,-1.549642352597834774e-03,-5.399344751692739669e-02,-2.053387833626603616e-04,-1.866882670683992981e-02
3.666666666666666408e-01,1.503099063155664921e+09,-1.745888050533747236e-03,-5.549326550350872078e-02,-1.890729239062381717e-04,-1.959686568063017872e-02
3.833333333333333037e-01,1.503099063171576977e+09,-1.953367798579231079e-03,-5.399344751692739669e-02,-1.645200666847985288e-04,-2.049949847369038347e-02
4.000000000000000222e-01,1.503099063188256979e+09,-2.171413275559406532e-03,-5.399344751692739669e-02,-1.308830630781853213e-04,-2.140157065002381079e-02
4.166666666666666852e-01,1.503099063205085039e+09,-2.399364635797831668e-03,-5.549326550350872078e-02,-8.745921757750530596e-05,-2.232791606204191301e-02
4.333333333333333481e-01,1.503099063221682072e+09,-2.636617147369856289e-03,-5.399344751692739669e-02,-3.365987293033690574e-05,-2.322836785187287409e-02
4.500000000000000111e-01,1.503099063237966061e+09,-2.882667418804716816e-03,-5.549326550350872078e-02,3.097383122698587287e-05,-2.415273937974423552e-02
