# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.503099270126646042e+09,0.000000000000000000e+00,2.849654174504501897e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.503099270127157927e+09,2.147917641751685147e-06,6.958007812500000000e-03,0.000000000000000000e+00,1.159667968749999946e-04
3.333333333333333287e-02,1.503099270135799885e+09,8.764447890478153669e-06,2.999635973162633612e-02,2.036121991559252359e-06,6.159400611019648928e-04
5.000000000000000278e-02,1.503099270152709961e+09,2.010613480534787772e-05,2.849654174504501897e-02,8.870962340705919414e-06,1.091030272891727005e-03
6.666666666666666574e-02,1.503099270170326948e+09,3.641188470135284743e-05,2.849654174504501897e-02,2.149838682797131008e-05,1.566330941756276804e-03
8.333333333333332871e-02,1.503099270187051058e+09,5.788539582759026761e-05,2.849654174504501897e-02,4.077125756175501819e-05,2.041952825133056156e-03
1.000000000000000056e-01,1.503099270202917099e+09,8.467853633946515466e-05,2.849654174504501897e-02,6.738982318432458051e-05,2.518018351270212042e-03
1.166666666666666685e-01,1.503099270219765902e+09,1.168766158252789247e-04,2.699672375846369834e-02,1.018961169972662468e-04,2.969662015861228212e-03
1.333333333333333315e-01,1.503099270235591888e+09,1.544864480217000185e-04,2.999635973162633612e-02,1.446742750637536659e-04,3.472012582639396380e-03
1.499999999999999944e-01,1.503099270251991987e+09,1.974280167416706932e-04,2.699672375846369834e-02,1.959564292923599938e-04,3.925223919101997021e-03
1.666666666666666574e-01,1.503099270268174887e+09,2.455304358554707901e-04,2.849654174504501897e-02,2.558335955227125928e-04,4.404430174778125977e-03
1.833333333333333204e-01,1.503099270283958912e+09,2.985327411237056528e-04,2.849654174504501897e-02,3.242707734298126373e-04,4.884777050086039352e-03
2.000000000000000111e-01,1.503099270299685001e+09,3.560898716819140670e-04,2.849654174504501897e-02,4.011253119695700289e-04,5.366404834369615899e-03
2.166666666666666741e-01,1.503099270316570997e+09,4.177839979613533336e-04,2.699672375846369834e-02,4.861674777229892824e-04,5.824453021639393671e-03
2.333333333333333370e-01,1.503099270332653046e+09,4.831411375935639038e-04,2.699672375846369834e-02,5.791020985136316728e-04,6.284050119255682812e-03
2.500000000000000000e-01,1.503099270349069118e+09,5.516527788195227855e-04,2.999635973162633612e-02,6.795901435750629615e-04,6.795315950509039221e-03
2.666666666666666630e-01,1.503099270366389990e+09,6.228020099383184969e-04,2.849654174504501897e-02,7.872691445820033255e-04,7.283379465336156308e-03
2.833333333333333259e-01,1.503099270383189917e+09,6.960934413600717045e-04,2.699672375846369834e-02,9.017714570123564486e-04,7.748354385594090343e-03
2.999999999999999889e-01,1.503099270399467945e+09,7.710860117291568538e-04,2.849654174504501897e-02,1.022739504360376103e-03,8.240342406417513685e-03
3.166666666666666519e-01,1.503099270415838003e+09,8.474275988308622738e-04,2.849654174504501897e-02,1.149837332414372412e-03,8.734448724375169781e-03
3.333333333333333148e-01,1.503099270433470964e+09,9.248902164255929856e-04,2.699672375846369834e-02,1.282758019077282667e-03,9.205773420667518608e-03
3.499999999999999778e-01,1.503099270449794054e+09,1.003404475733901766e-03,2.999635973162633612e-02,1.421226727474051528e-03,9.729399861652525058e-03
3.666666666666666408e-01,1.503099270466473103e+09,1.083091929899599381e-03,2.849654174504501897e-02,1.564999445648408444e-03,1.023042554816408142e-02
3.833333333333333037e-01,1.503099270483253002e+09,1.164293904993369579e-03,2.849654174504501897e-02,1.713857713572878791e-03,1.073393220580771273e-02
4.000000000000000222e-01,1.503099270499711037e+09,1.247595454176688660e-03,2.849654174504501897e-02,1.867599885772813339e-03,1.124000123298801029e-02
4.166666666666666852e-01,1.503099270518244028e+09,1.333843153197764074e-03,3.599563167795159779e-02,2.026029704078251802e-03,1.187369558935517412e-02
4.333333333333333481e-01,1.503099270533128023e+09,1.424155584535151267e-03,2.699672375846369834e-02,2.188943148996645802e-03,1.236012337114618040e-02
4.500000000000000111e-01,1.503099270550993919e+09,1.519925531754505541e-03,2.699672375846369834e-02,2.356114690170706041e-03,1.284933734529008706e-02
4.666666666666666741e-01,1.503099270568466902e+09,1.622813120971943043e-03,2.849654174504501897e-02,2.527284158082283242e-03,1.336640111034220930e-02
4.833333333333333370e-01,1.503099270586497068e+09,1.734729397244964529e-03,1.799781583897579890e-02,2.702145504188221969e-03,1.371140046606160977e-02
5.000000000000000000e-01,1.503099270602497101e+09,1.857810103447041401e-03,2.249726979871975036e-02,2.880338700798625376e-03,1.413436060772024945e-02
5.166666666666666075e-01,1.503099270619076014e+09,1.994379729801744761e-03,2.849654174504501897e-02,3.061445953394117871e-03,1.466032706936090148e-02
5.333333333333333259e-01,1.503099270635147095e+09,2.146906214923141425e-03,2.549690577188238466e-02,3.244993257417012455e-03,1.513935871984922396e-02
5.500000000000000444e-01,1.503099270650806904e+09,2.317946994440602763e-03,2.849654174504501897e-02,3.430458132126551398e-03,1.567147538446874919e-02
5.666666666666666519e-01,1.503099270668086052e+09,2.510087401210238465e-03,2.849654174504501897e-02,3.617284111669306738e-03,1.620670581541398814e-02
5.833333333333333703e-01,1.503099270684977055e+09,2.725872711783801448e-03,2.699672375846369834e-02,3.804902276250889549e-03,1.672006624932589891e-02
5.999999999999999778e-01,1.503099270702008963e+09,2.967735397496824943e-03,2.549690577188238466e-02,3.992759774512622678e-03,1.721156067509914747e-02
6.166666666666666963e-01,1.503099270719101906e+09,3.237919366061613874e-03,3.299599570478897043e-02,4.180354934043660833e-03,1.783116651907969141e-02
6.333333333333333037e-01,1.503099270734980106e+09,3.538403162546335627e-03,2.999635973162633612e-02,4.367278193938909682e-03,1.840389381783911343e-02
6.500000000000000222e-01,1.503099270753310919e+09,3.870824229836991592e-03,2.849654174504501897e-02,4.553257735942629544e-03,1.895472380918890656e-02
6.666666666666666297e-01,1.503099270768232107e+09,4.236406402220371445e-03,2.699672375846369834e-02,4.738208353935717369e-03,1.948363934439556466e-02
6.833333333333333481e-01,1.503099270785938978e+09,4.635892817275798217e-03,2.549690577188238466e-02,4.922281800165190756e-03,1.999062580392969163e-02
6.999999999999999556e-01,1.503099270803028107e+09,5.069486378252292987e-03,2.849654174504501897e-02,5.105916594851566716e-03,2.055066677626130045e-02
7.166666666666666741e-01,1.503099270820542097e+09,5.536799780841432546e-03,2.849654174504501897e-02,5.289885096604191907e-03,2.111377389028878601e-02
7.333333333333332815e-01,1.503099270836177111e+09,6.036816935986195204e-03,2.699672375846369834e-02,5.475335515649479290e-03,2.165497487819067340e-02
7.500000000000000000e-01,1.503099270853454113e+09,6.567867377306361304e-03,2.849654174504501897e-02,5.663826519235313876e-03,2.222431434926201363e-02
7.666666666666666075e-01,1.503099270871077061e+09,7.127614943003563255e-03,2.849654174504501897e-02,5.857352135084136283e-03,2.279687924726416653e-02
7.833333333333333259e-01,1.503099270889028072e+09,7.713061674685069320e-03,2.849654174504501897e-02,6.058354807817643677e-03,2.337279418981187684e-02
8.000000000000000444e-01,1.503099270906755924e+09,8.320567488026257494e-03,2.849654174504501897e-02,6.269724705038887472e-03,2.395223196397994192e-02
8.166666666666666519e-01,1.503099270923358917e+09,8.945885752639210278e-03,2.699672375846369834e-02,6.494783701041788489e-03,2.451042375497169967e-02
8.333333333333333703e-01,1.503099270939502001e+09,9.584214482183786576e-03,2.699672375846369834e-02,6.737252880344835222e-03,2.507265669895184304e-02
8.499999999999999778e-01,1.503099270955770016e+09,1.023026239279348562e-02,2.399708778530106751e-02,7.001202890535109837e-03,2.558929487688244714e-02
8.666666666666666963e-01,1.503099270973448992e+09,1.087832865099769633e-02,2.699672375846369834e-02,7.290987021289636362e-03,2.616075672321166792e-02
8.833333333333333037e-01,1.503099270991204977e+09,1.152239471440864339e-02,2.699672375846369834e-02,7.611157478166899644e-03,2.673755474382217764e-02
9.000000000000000222e-01,1.503099271008980989e+09,1.215622628224069350e-02,2.549690577188238466e-02,7.966365937743039027e-03,2.729527593898260079e-02
9.166666666666666297e-01,1.503099271027992010e+09,1.277348303042312970e-02,2.699672375846369834e-02,8.361250094991447626e-03,2.788457550320685291e-02
9.333333333333333481e-01,1.503099271044523001e+09,1.336783351892000329e-02,2.849654174504501897e-02,8.800308523339142597e-03,2.850618967434659021e-02
9.499999999999999556e-01,1.503099271062072039e+09,1.393307243686997023e-02,2.699672375846369834e-02,9.287766740895365275e-03,2.911093118266924046e-02
9.666666666666666741e-01,1.503099271078046083e+09,1.446323720269759340e-02,2.849654174504501897e-02,9.827437891412245732e-03,2.974966417661019380e-02
9.833333333333332815e-01,1.503099271096487999e+09,1.495272086792841064e-02,2.999635973162633612e-02,1.042258188496758900e-02,3.042331320355342456e-02
1.000000000000000000e+00,1.503099271111445904e+09,1.539637828944405949e-02,2.849654174504501897e-02,1.107576718213668793e-02,3.108285168567312060e-02
1.016666666666666607e+00,1.503099271127533913e+09,1.578962263740874353e-02,2.699672375846369834e-02,1.178873962984385709e-02,3.172927607547824935e-02
1.033333333333333215e+00,1.503099271145203114e+09,1.612850949472105500e-02,2.699672375846369834e-02,1.256230285342018783e-02,3.238859318567631485e-02
1.050000000000000044e+00,1.503099271162655115e+09,1.640980607574245645e-02,2.699672375846369834e-02,1.339621466745600196e-02,3.306180882610831179e-02
1.066666666666666652e+00,1.503099271179450989e+09,1.663104344189852632e-02,2.699672375846369834e-02,1.428910378166091746e-02,3.374990595177705666e-02
1.083333333333333259e+00,1.503099271197693110e+09,1.679055001182331794e-02,2.999635973162633612e-02,1.523841074536454177e-02,3.450381879306024108e-02
1.100000000000000089e+00,1.503099271214178085e+09,1.688746514407012123e-02,2.999635973162633612e-02,1.624035659836986500e-02,3.527443073189351352e-02
1.116666666666666696e+00,1.503099271231553078e+09,1.692173209908233791e-02,2.849654174504501897e-02,1.728994208420411155e-02,3.603753879571433560e-02
1.133333333333333304e+00,1.503099271248640060e+09,1.689407025041901600e-02,2.849654174504501897e-02,1.838097954667100228e-02,3.681883081724293683e-02
1.149999999999999911e+00,1.503099271266977072e+09,1.680592699809493537e-02,2.849654174504501897e-02,1.950615878874241080e-02,3.761887582613939601e-02
1.166666666666666741e+00,1.503099271283253908e+09,1.665941042326709448e-02,2.699672375846369834e-02,2.065714724510621381e-02,3.841310700953223106e-02
1.183333333333333348e+00,1.503099271301729918e+09,1.645720429675929380e-02,2.849654174504501897e-02,2.182472383060851326e-02,3.925179476912645654e-02
1.199999999999999956e+00,1.503099271317445993e+09,1.620246759733963079e-02,2.849654174504501897e-02,2.299894480388233950e-02,4.011005287827524440e-02
1.216666666666666563e+00,1.503099271335787058e+09,1.589872119289491639e-02,2.999635973162633612e-02,2.416933895838568880e-02,4.101281452310878012e-02
1.233333333333333393e+00,1.503099271352128983e+09,1.554972477315924757e-02,2.549690577188238466e-02,2.532512845302545279e-02,4.185984842685724211e-02
1.250000000000000000e+00,1.503099271368974924e+09,1.515934748223349976e-02,2.849654174504501897e-02,2.645547065316306706e-02,4.277571530016070767e-02
1.266666666666666607e+00,1.503099271384875059e+09,1.473143597029277947e-02,2.849654174504501897e-02,2.754971550124589094e-02,4.370981958759889013e-02
