# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.503692965868593931e+09,0.000000000000000000e+00,3.899526765111423210e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.503692965869059086e+09,0.000000000000000000e+00,9.521484375000000000e-03,0.000000000000000000e+00,1.586914062499999783e-04
3.333333333333333287e-02,1.503692965877640009e+09,0.000000000000000000e+00,3.749544966453291495e-02,3.449991940087718720e-06,7.836730671912165965e-04
5.000000000000000278e-02,1.503692965894485950e+09,0.000000000000000000e+00,3.899526765111423210e-02,1.435186696270116538e-05,1.433833392492498814e-03
6.666666666666666574e-02,1.503692965911058903e+09,0.000000000000000000e+00,3.899526765111423210e-02,3.347017054816579616e-05,2.084312356186872155e-03
8.333333333333332871e-02,1.503692965928327084e+09,0.000000000000000000e+00,3.899526765111423210e-02,6.146164965106564945e-05,2.735257844532960544e-03
1.000000000000000056e-01,1.503692965944394112e+09,0.000000000000000000e+00,3.599563167795159779e-02,9.884894258988788287e-05,3.336832521541985459e-03
1.166666666666666685e-01,1.503692965961376905e+09,0.000000000000000000e+00,2.549690577188238466e-02,1.459986134588593340e-04,3.764214261297672837e-03
1.333333333333333315e-01,1.503692965978718042e+09,0.000000000000000000e+00,8.998907919487899448e-03,2.031043173606687899e-04,3.917581131911815513e-03
1.499999999999999944e-01,1.503692965994546890e+09,0.000000000000000000e+00,-1.199854389265053375e-02,2.701756591850573361e-04,3.722108328020724312e-03
1.666666666666666574e-01,1.503692966010294914e+09,0.000000000000000000e+00,-2.699672375846369834e-02,3.470330694442967851e-04,3.277946816537067459e-03
1.833333333333333204e-01,1.503692966027012110e+09,0.000000000000000000e+00,-4.349472161085818356e-02,4.333087756352424816e-04,2.560256602616685188e-03
2.000000000000000111e-01,1.503692966043145895e+09,0.000000000000000000e+00,-5.549326550350872078e-02,5.284537065191901748e-04,1.644176406000193115e-03
2.166666666666666741e-01,1.503692966061106920e+09,0.000000000000000000e+00,-6.449217342299662370e-02,6.317499389935983967e-04,5.798360146001425158e-04
2.333333333333333370e-01,1.503692966076778889e+09,0.000000000000000000e+00,-6.749180939615925801e-02,7.423280915330726778e-04,-5.326553404769603615e-04
2.500000000000000000e-01,1.503692966093687057e+09,0.000000000000000000e+00,-6.749180939615925801e-02,8.591888921069270550e-04,-1.643199015544499200e-03
2.666666666666666630e-01,1.503692966110285997e+09,0.000000000000000000e+00,-7.049144536932187843e-02,9.812280083208247197e-04,-2.801702638227849575e-03
2.833333333333333259e-01,1.503692966127880096e+09,0.000000000000000000e+00,-7.349108134248452662e-02,1.107263128026671770e-03,-4.008099608468813739e-03
2.999999999999999889e-01,1.503692966144776106e+09,0.000000000000000000e+00,-7.499089932906582989e-02,1.236062222851758976e-03,-5.237346893572381382e-03
3.166666666666666519e-01,1.503692966161914110e+09,0.000000000000000000e+00,-7.499089932906582989e-02,1.366371916288026695e-03,-6.464422350452011211e-03
3.333333333333333148e-01,1.503692966178320885e+09,0.000000000000000000e+00,-7.349108134248452662e-02,1.496944911626447560e-03,-7.664324624299645970e-03
3.499999999999999778e-01,1.503692966196249008e+09,0.000000000000000000e+00,-7.499089932906582989e-02,1.626565510836711862e-03,-8.887063521270131827e-03
3.666666666666666408e-01,1.503692966212435961e+09,0.000000000000000000e+00,-7.349108134248452662e-02,1.754072369554646616e-03,-1.008268033748562983e-02
3.833333333333333037e-01,1.503692966229959965e+09,0.000000000000000000e+00,-7.349108134248452662e-02,1.878377780257677347e-03,-1.127622539685607661e-02
4.000000000000000222e-01,1.503692966245508909e+09,0.000000000000000000e+00,-7.349108134248452662e-02,1.998482948850998416e-03,-1.246776870341663457e-02
4.166666666666666852e-01,1.503692966263071060e+09,0.000000000000000000e+00,-7.499089932906582989e-02,2.113488921655757094e-03,-1.368239221020680144e-02
4.333333333333333481e-01,1.503692966279300928e+09,0.000000000000000000e+00,-7.649071731564716092e-02,2.222603021926982877e-03,-1.492019411510213736e-02
4.500000000000000111e-01,1.503692966296895981e+09,0.000000000000000000e+00,-7.349108134248452662e-02,2.325140858943720249e-03,-1.610629312316115211e-02
4.666666666666666741e-01,1.503692966312813997e+09,0.000000000000000000e+00,-7.349108134248452662e-02,2.420524169827335641e-03,-1.729080240937210661e-02
4.833333333333333370e-01,1.503692966329713106e+09,0.000000000000000000e+00,-7.499089932906582989e-02,2.508274936323450204e-03,-1.849884614925114551e-02
5.000000000000000000e-01,1.503692966346187115e+09,0.000000000000000000e+00,-7.499089932906582989e-02,2.588006378265526007e-03,-1.970556103176448332e-02
5.166666666666666075e-01,1.503692966363929033e+09,0.000000000000000000e+00,-7.499089932906582989e-02,2.659411555727109275e-03,-2.091108582798679658e-02
5.333333333333333259e-01,1.503692966380376101e+09,0.000000000000000000e+00,-7.349108134248452662e-02,2.722250407591706757e-03,-2.209056634356834289e-02
5.500000000000000444e-01,1.503692966396986008e+09,0.000000000000000000e+00,-7.349108134248452662e-02,2.776336111486242889e-03,-2.326914543075164765e-02
5.666666666666666519e-01,1.503692966412746906e+09,0.000000000000000000e+00,-7.349108134248452662e-02,2.821521666385828908e-03,-2.444697142535329215e-02
5.833333333333333703e-01,1.503692966429975986e+09,0.000000000000000000e+00,-7.499089932906582989e-02,2.857687574040614770e-03,-2.564919162127037716e-02
5.999999999999999778e-01,1.503692966446863890e+09,0.000000000000000000e+00,-7.499089932906582989e-02,2.884731429746351539e-03,-2.685096108625903422e-02
6.166666666666666963e-01,1.503692966463906050e+09,0.000000000000000000e+00,-7.349108134248452662e-02,2.902560129604556897e-03,-2.802743643980703386e-02
6.333333333333333037e-01,1.503692966480371952e+09,0.000000000000000000e+00,-7.349108134248452662e-02,2.911085264596321737e-03,-2.920376970777183862e-02
6.500000000000000222e-01,1.503692966496826887e+09,0.000000000000000000e+00,-7.349108134248452662e-02,2.910222107238315085e-03,-3.038011736169260804e-02
6.666666666666666297e-01,1.503692966512619019e+09,0.000000000000000000e+00,-7.349108134248452662e-02,2.899892411209913177e-03,-3.155663717721385320e-02
6.833333333333333481e-01,1.503692966529926062e+09,0.000000000000000000e+00,-7.049144536932187843e-02,2.880031045974311508e-03,-3.268349408260298045e-02
6.999999999999999556e-01,1.503692966546479940e+09,0.000000000000000000e+00,-6.749180939615925801e-02,2.850596285529111151e-03,-3.376084763444681808e-02
7.166666666666666741e-01,1.503692966564156055e+09,0.000000000000000000e+00,-6.149253744983398939e-02,2.811583371774197242e-03,-3.473886353574781594e-02
7.333333333333332815e-01,1.503692966580955982e+09,0.000000000000000000e+00,-5.249362953034608648e-02,2.763040787289875681e-03,-3.556770668146541636e-02
7.500000000000000000e-01,1.503692966597852945e+09,0.000000000000000000e+00,-4.199490362427686641e-02,2.705088507892895733e-03,-3.622253693340515140e-02
7.666666666666666075e-01,1.503692966613634109e+09,0.000000000000000000e+00,-3.149617771820764633e-02,2.637937369769647114e-03,-3.670350760587912098e-02
7.833333333333333259e-01,1.503692966630106926e+09,0.000000000000000000e+00,-2.099745181213843320e-02,2.561908585816536667e-03,-3.701076665965115364e-02
8.000000000000000444e-01,1.503692966646642923e+09,0.000000000000000000e+00,-1.349836187923184917e-02,2.477452386271492002e-03,-3.719444848453382774e-02
8.166666666666666519e-01,1.503692966663202047e+09,0.000000000000000000e+00,2.999635973162633439e-03,2.385164743470539420e-03,-3.710470180592327638e-02
8.333333333333333703e-01,1.503692966680176973e+09,0.000000000000000000e+00,1.499817986581316806e-02,2.285801171558538708e-03,-3.681663545530041576e-02
