# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.503693021131465912e+09,0.000000000000000000e+00,1.199854389265053375e-02,-0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.503693021132031918e+09,2.147917641751685147e-06,2.197265625000000000e-03,0.000000000000000000e+00,3.662109374999999864e-05
3.333333333333333287e-02,1.503693021140583038e+09,8.764447890478153669e-06,1.049872590606921660e-02,-2.036121991559252359e-06,2.115659234846276201e-04
5.000000000000000278e-02,1.503693021157668114e+09,2.010613480534787772e-05,1.049872590606921660e-02,-8.870962340705919414e-06,3.863968392134361075e-04
6.666666666666666574e-02,1.503693021173898935e+09,3.641188470135284743e-05,1.049872590606921660e-02,-2.149838682797131008e-05,5.610172978674568545e-04
8.333333333333332871e-02,1.503693021189769030e+09,5.788539582759026761e-05,1.049872590606921660e-02,-4.077125756175501819e-05,7.353165420092478864e-04
1.000000000000000056e-01,1.503693021205773115e+09,8.467853633946515466e-05,1.049872590606921660e-02,-6.738982318432458051e-05,9.091721433906628166e-04
1.166666666666666685e-01,1.503693021222618103e+09,1.168766158252789247e-04,1.049872590606921660e-02,-1.018961169972662468e-04,1.082452639875195388e-03
1.333333333333333315e-01,1.503693021238966942e+09,1.544864480217000185e-04,1.199854389265053375e-02,-1.446742750637536659e-04,1.280017133501641646e-03
1.499999999999999944e-01,1.503693021255122900e+09,1.974280167416706932e-04,1.049872590606921660e-02,-1.959564292923599938e-04,1.451729958114589313e-03
1.666666666666666574e-01,1.503693021271172047e+09,2.455304358554707901e-04,1.049872590606921660e-02,-2.558335955227125928e-04,1.622444829957031065e-03
1.833333333333333204e-01,1.503693021287374973e+09,2.985327411237056528e-04,1.049872590606921660e-02,-3.242707734298126373e-04,1.792019082167687748e-03
2.000000000000000111e-01,1.503693021304653883e+09,3.560898716819140670e-04,1.049872590606921660e-02,-4.011253119695700289e-04,1.960312425402681909e-03
2.166666666666666741e-01,1.503693021321593046e+09,4.177839979613533336e-04,1.199854389265053375e-02,-4.861674777229892824e-04,2.152185365651474412e-03
2.333333333333333370e-01,1.503693021337785006e+09,4.831411375935639038e-04,8.998907919487899448e-03,-5.791020985136316728e-04,2.292515462667712046e-03
2.500000000000000000e-01,1.503693021354824066e+09,5.516527788195227855e-04,1.049872590606921660e-02,-6.795901435750629615e-04,2.456167725375948095e-03
2.666666666666666630e-01,1.503693021371501923e+09,6.228020099383184969e-04,1.049872590606921660e-02,-7.872691445820033255e-04,2.618025338067401717e-03
2.833333333333333259e-01,1.503693021387823105e+09,6.960934413600717045e-04,1.199854389265053375e-02,-9.017714570123564486e-04,2.802971545328037956e-03
2.999999999999999889e-01,1.503693021404506922e+09,7.710860117291568538e-04,1.199854389265053375e-02,-1.022739504360376103e-03,2.985901618466207073e-03
3.166666666666666519e-01,1.503693021421406031e+09,8.474275988308622738e-04,1.349836187923184917e-02,-1.149837332414372412e-03,3.191710360913165186e-03
3.333333333333333148e-01,1.503693021439101934e+09,9.248902164255929856e-04,1.199854389265053375e-02,-1.282758019077282667e-03,3.370306792139386200e-03
3.499999999999999778e-01,1.503693021457179070e+09,1.003404475733901766e-03,1.199854389265053375e-02,-1.421226727474051528e-03,3.546595411558994392e-03
3.666666666666666408e-01,1.503693021473392010e+09,1.083091929899599381e-03,1.199854389265053375e-02,-1.564999445648408444e-03,3.720487819009029619e-03
3.833333333333333037e-01,1.503693021491183043e+09,1.164293904993369579e-03,1.199854389265053375e-02,-1.713857713572878791e-03,3.891899255326990333e-03
4.000000000000000222e-01,1.503693021506953001e+09,1.247595454176688660e-03,1.049872590606921660e-02,-1.867599885772813339e-03,4.035751355665263482e-03
4.166666666666666852e-01,1.503693021522675037e+09,1.333843153197764074e-03,1.049872590606921660e-02,-2.026029704078251802e-03,4.176962959031779547e-03
4.333333333333333481e-01,1.503693021539388895e+09,1.424155584535151267e-03,1.199854389265053375e-02,-2.188943148996645802e-03,4.340456304759343978e-03
4.500000000000000111e-01,1.503693021557121038e+09,1.519925531754505541e-03,1.049872590606921660e-02,-2.356114690170706041e-03,4.476166491690985842e-03
4.666666666666666741e-01,1.503693021573486090e+09,1.622813120971943043e-03,1.199854389265053375e-02,-2.527284158082283242e-03,4.634020820600456489e-03
4.833333333333333370e-01,1.503693021590281963e+09,1.734729397244964529e-03,1.049872590606921660e-02,-2.702145504188221969e-03,4.763963827298473182e-03
5.000000000000000000e-01,1.503693021606599092e+09,1.857810103447041401e-03,1.049872590606921660e-02,-2.880338700798625376e-03,4.890936947386316340e-03
5.166666666666666075e-01,1.503693021622980118e+09,1.994379729801744761e-03,1.199854389265053375e-02,-3.061445953394117871e-03,5.039888579707256337e-03
5.333333333333333259e-01,1.503693021639342070e+09,2.146906214923141425e-03,1.199854389265053375e-02,-3.244993257417012455e-03,5.185781090294481512e-03
5.500000000000000444e-01,1.503693021656965971e+09,2.317946994440602763e-03,1.049872590606921660e-02,-3.430458132126551398e-03,5.303585553193526127e-03
5.666666666666666519e-01,1.503693021673624992e+09,2.510087401210238465e-03,1.049872590606921660e-02,-3.617284111669306738e-03,5.418276249766857885e-03
5.833333333333333703e-01,1.503693021690012932e+09,2.725872711783801448e-03,1.199854389265053375e-02,-3.804902276250889549e-03,5.554836943373518687e-03
5.999999999999999778e-01,1.503693021706933975e+09,2.967735397496824943e-03,1.349836187923184917e-02,-3.992759774512622678e-03,5.713263645118839100e-03
6.166666666666666963e-01,1.503693021723963022e+09,3.237919366061613874e-03,1.349836187923184917e-02,-4.180354934043660833e-03,5.868563760871975919e-03
6.333333333333333037e-01,1.503693021739742041e+09,3.538403162546335627e-03,8.998907919487899448e-03,-4.367278193938909682e-03,5.945757589631125474e-03
6.500000000000000222e-01,1.503693021756493092e+09,3.870824229836991592e-03,1.199854389265053375e-02,-4.553257735942629544e-03,6.069845692242923502e-03
6.666666666666666297e-01,1.503693021772783995e+09,4.236406402220371445e-03,1.199854389265053375e-02,-4.738208353935717369e-03,6.190851284554836978e-03
6.833333333333333481e-01,1.503693021790385962e+09,4.635892817275798217e-03,8.998907919487899448e-03,-4.922281800165190756e-03,6.258795053210215037e-03
6.999999999999999556e-01,1.503693021807743073e+09,5.069486378252292987e-03,1.049872590606921660e-02,-5.105916594851566716e-03,6.348675208397176056e-03
7.166666666666666741e-01,1.503693021824979067e+09,5.536799780841432546e-03,1.199854389265053375e-02,-5.289885096604191907e-03,6.460486188331281653e-03
7.333333333333332815e-01,1.503693021841243982e+09,6.036816935986195204e-03,1.199854389265053375e-02,-5.475335515649479290e-03,6.569206327947965836e-03
7.500000000000000000e-01,1.503693021856476068e+09,6.567867377306361304e-03,1.199854389265053375e-02,-5.663826519235313876e-03,6.674784950838219370e-03
