# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.503693076645246983e+09,-0.000000000000000000e+00,1.649799785239448521e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.503693076645749092e+09,-2.147917641751685147e-06,4.028320312500000000e-03,0.000000000000000000e+00,6.713867187499999187e-05
3.333333333333333287e-02,1.503693076655381918e+09,-8.764447890478153669e-06,1.649799785239448521e-02,2.036121991559252359e-06,3.421392381147673632e-04
5.000000000000000278e-02,1.503693076673640013e+09,-2.010613480534787772e-05,1.799781583897579890e-02,8.870962340705919414e-06,6.422506848033757067e-04
6.666666666666666574e-02,1.503693076690589905e+09,-3.641188470135284743e-05,1.649799785239448521e-02,2.149838682797131008e-05,9.175756221237499864e-04
8.333333333333332871e-02,1.503693076707998037e+09,-5.788539582759026761e-05,1.499817986581316806e-02,4.077125756175501819e-05,1.168224807513332068e-03
1.000000000000000056e-01,1.503693076724697113e+09,-8.467853633946515466e-05,1.649799785239448521e-02,6.738982318432458051e-05,1.444314602106312219e-03
1.166666666666666685e-01,1.503693076741352081e+09,-1.168766158252789247e-04,1.349836187923184917e-02,1.018961169972662468e-04,1.670985568710130903e-03
1.333333333333333315e-01,1.503693076758224010e+09,-1.544864480217000185e-04,1.349836187923184917e-02,1.446742750637536659e-04,1.898369504615057650e-03
1.499999999999999944e-01,1.503693076776210070e+09,-1.974280167416706932e-04,1.499817986581316806e-02,1.959564292923599938e-04,2.151605109533482989e-03
1.666666666666666574e-01,1.503693076792784929e+09,-2.455304358554707901e-04,1.199854389265053375e-02,2.558335955227125928e-04,2.355844734336370525e-03
1.833333333333333204e-01,1.503693076809706926e+09,-2.985327411237056528e-04,1.199854389265053375e-02,3.242707734298126373e-04,2.561224978771042913e-03
2.000000000000000111e-01,1.503693076826421976e+09,-3.560898716819140670e-04,7.499089932906584030e-03,4.011253119695700289e-04,2.692895232852311922e-03
2.166666666666666741e-01,1.503693076844070911e+09,-4.177839979613533336e-04,1.199854389265053375e-02,4.861674777229892824e-04,2.900973755691870458e-03
