# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.503693383252068043e+09,-0.000000000000000000e+00,-8.248998926197241566e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.503693383252533913e+09,-9.035247014785260355e-08,-2.050781250000000000e-02,0.000000000000000000e+00,-3.417968749999999241e-04
3.333333333333333287e-02,1.503693383261035919e+09,-6.158594877866561234e-08,-8.099017127539109850e-02,0.000000000000000000e+00,-1.691633062923184787e-03
5.000000000000000278e-02,1.503693383279007912e+09,5.100377451749107210e-07,-8.099017127539109850e-02,0.000000000000000000e+00,-3.041469250846369488e-03
6.666666666666666574e-02,1.503693383294563055e+09,1.994648274121536016e-06,-8.099017127539109850e-02,0.000000000000000000e+00,-4.391305438769554405e-03
8.333333333333332871e-02,1.503693383310895920e+09,4.691205138388199306e-06,-8.099017127539109850e-02,0.000000000000000000e+00,-5.741141626692739322e-03
1.000000000000000056e-01,1.503693383327456951e+09,8.818200971931082271e-06,-8.099017127539109850e-02,0.000000000000000000e+00,-7.090977814615924239e-03
1.166666666666666685e-01,1.503693383343765974e+09,1.451334062605906637e-05,-7.199126335590319559e-02,0.000000000000000000e+00,-8.290832203880977788e-03
1.333333333333333315e-01,1.503693383359348059e+09,2.184245933675090187e-05,-5.849290147667134815e-02,0.000000000000000000e+00,-9.265713895158834285e-03
1.499999999999999944e-01,1.503693383376610041e+09,3.081747699355461261e-05,-4.199490362427686641e-02,0.000000000000000000e+00,-9.965628955563448493e-03
1.666666666666666574e-01,1.503693383393119097e+09,4.142271947649717591e-05,-2.249726979871975036e-02,0.000000000000000000e+00,-1.034058345220877778e-02
1.833333333333333204e-01,1.503693383410398006e+09,5.364849134855939253e-05,-5.999271946325266877e-03,0.000000000000000000e+00,-1.044057131798086478e-02
2.000000000000000111e-01,1.503693383427994967e+09,6.753037552224476850e-05,7.499089932906584030e-03,0.000000000000000000e+00,-1.031558648576575560e-02
2.166666666666666741e-01,1.503693383447108030e+09,8.319238229435474104e-05,1.499817986581316806e-02,0.000000000000000000e+00,-1.006561682133553549e-02
2.333333333333333370e-01,1.503693383462217093e+09,1.008917879401751631e-04,1.499817986581316806e-02,0.000000000000000000e+00,-9.815647156905315390e-03
2.500000000000000000e-01,1.503693383478538990e+09,1.210633050002973734e-04,1.499817986581316806e-02,0.000000000000000000e+00,-9.565677492475095287e-03
2.666666666666666630e-01,1.503693383495222092e+09,1.443601226359816176e-04,1.499817986581316806e-02,0.000000000000000000e+00,-9.315707828044875183e-03
2.833333333333333259e-01,1.503693383513266087e+09,1.716893527455437551e-04,1.349836187923184917e-02,0.000000000000000000e+00,-9.090735130057677263e-03
2.999999999999999889e-01,1.503693383529732943e+09,2.042395190156062572e-04,1.499817986581316806e-02,0.000000000000000000e+00,-8.840765465627457159e-03
3.166666666666666519e-01,1.503693383547498941e+09,2.434979309616407746e-04,1.499817986581316806e-02,0.000000000000000000e+00,-8.590795801197237055e-03
3.333333333333333148e-01,1.503693383562499046e+09,2.912560886301888453e-04,1.799781583897579890e-02,0.000000000000000000e+00,-8.290832203880974319e-03
3.499999999999999778e-01,1.503693383579644918e+09,3.496016575272619699e-04,1.349836187923184917e-02,0.000000000000000000e+00,-8.065859505893776399e-03
3.666666666666666408e-01,1.503693383596257925e+09,4.208960254705205800e-04,1.499817986581316806e-02,0.000000000000000000e+00,-7.815889841463556295e-03
3.833333333333333037e-01,1.503693383613329887e+09,5.077369881911939723e-04,1.499817986581316806e-02,0.000000000000000000e+00,-7.565920177033337059e-03
4.000000000000000222e-01,1.503693383631017923e+09,6.129066906540876075e-04,1.499817986581316806e-02,0.000000000000000000e+00,-7.315950512603117822e-03
4.166666666666666852e-01,1.503693383650532961e+09,7.393055560820595198e-04,1.349836187923184917e-02,0.000000000000000000e+00,-7.090977814615919902e-03
4.333333333333333481e-01,1.503693383664154053e+09,8.898735429339312214e-04,1.499817986581316806e-02,0.000000000000000000e+00,-6.841008150185700666e-03
4.500000000000000111e-01,1.503693383681998968e+09,1.067500659194303616e-03,1.349836187923184917e-02,0.000000000000000000e+00,-6.616035452198503614e-03
4.666666666666666741e-01,1.503693383698482990e+09,1.274929210894515559e-03,1.499817986581316806e-02,0.000000000000000000e+00,-6.366065787768284377e-03
4.833333333333333370e-01,1.503693383714929104e+09,1.514650746181578529e-03,1.499817986581316806e-02,0.000000000000000000e+00,-6.116096123338065141e-03
5.000000000000000000e-01,1.503693383731339931e+09,1.788801057425762732e-03,1.499817986581316806e-02,0.000000000000000000e+00,-5.866126458907845904e-03
5.166666666666666075e-01,1.503693383748687983e+09,2.099056904030863376e-03,1.499817986581316806e-02,0.000000000000000000e+00,-5.616156794477626668e-03
5.333333333333333259e-01,1.503693383764398098e+09,2.446538302962865136e-03,1.499817986581316806e-02,0.000000000000000000e+00,-5.366187130047407432e-03
5.500000000000000444e-01,1.503693383781783104e+09,2.831720291260549777e-03,1.349836187923184917e-02,0.000000000000000000e+00,-5.141214432060210379e-03
5.666666666666666519e-01,1.503693383798012018e+09,3.254357987668876195e-03,1.349836187923184917e-02,0.000000000000000000e+00,-4.916241734073012459e-03
5.833333333333333703e-01,1.503693383815326929e+09,3.713428566145969036e-03,1.499817986581316806e-02,0.000000000000000000e+00,-4.666272069642793223e-03
5.999999999999999778e-01,1.503693383832863092e+09,4.207093404022396559e-03,1.499817986581316806e-02,0.000000000000000000e+00,-4.416302405212573987e-03
6.166666666666666963e-01,1.503693383851264000e+09,4.732683188373959342e-03,1.499817986581316806e-02,0.000000000000000000e+00,-4.166332740782354750e-03
6.333333333333333037e-01,1.503693383867993116e+09,5.286708166604601848e-03,1.499817986581316806e-02,0.000000000000000000e+00,-3.916363076352135514e-03
6.500000000000000222e-01,1.503693383884089947e+09,5.864895026550029714e-03,1.349836187923184917e-02,0.000000000000000000e+00,-3.691390378364938028e-03
6.666666666666666297e-01,1.503693383900690079e+09,6.462251106765999273e-03,1.499817986581316806e-02,0.000000000000000000e+00,-3.441420713934718358e-03
