# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.503693769653055906e+09,-0.000000000000000000e+00,2.099745181213843320e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.503693769653702974e+09,-3.946847468807326460e-06,4.760742187500000000e-03,0.000000000000000000e+00,7.934570312499998916e-05
3.333333333333333287e-02,1.503693769663829088e+09,-1.590754399572168073e-05,1.949763382555711605e-02,0.000000000000000000e+00,4.043062668842852350e-04
5.000000000000000278e-02,1.503693769681253910e+09,-3.621080142349402222e-05,2.099745181213843320e-02,0.000000000000000000e+00,7.542637970865925020e-04
6.666666666666666574e-02,1.503693769698803902e+09,-6.536572918442416780e-05,1.799781583897579890e-02,0.000000000000000000e+00,1.054227394402855889e-03
8.333333333333332871e-02,1.503693769715874910e+09,-1.040329526293467811e-04,1.949763382555711605e-02,0.000000000000000000e+00,1.379187958162141243e-03
1.000000000000000056e-01,1.503693769732583046e+09,-1.529887793250687316e-04,1.949763382555711605e-02,0.000000000000000000e+00,1.704148521921426598e-03
1.166666666666666685e-01,1.503693769749655008e+09,-2.130842443654243205e-04,1.799781583897579890e-02,0.000000000000000000e+00,2.004112119237689768e-03
1.333333333333333315e-01,1.503693769765866041e+09,-2.852011035195873884e-04,2.099745181213843320e-02,0.000000000000000000e+00,2.354069649439996872e-03
1.499999999999999944e-01,1.503693769782823086e+09,-3.702069968511535834e-04,1.949763382555711605e-02,0.000000000000000000e+00,2.679030213199282227e-03
1.666666666666666574e-01,1.503693769798760891e+09,-4.689120682768788736e-04,1.799781583897579890e-02,0.000000000000000000e+00,2.978993810515545397e-03
1.833333333333333204e-01,1.503693769815004110e+09,-5.820292947160088338e-04,1.949763382555711605e-02,0.000000000000000000e+00,3.303954374274830751e-03
2.000000000000000111e-01,1.503693769830852032e+09,-7.101406518293942264e-04,2.099745181213843320e-02,0.000000000000000000e+00,3.653911904477137856e-03
2.166666666666666741e-01,1.503693769847630024e+09,-8.536710252301197167e-04,1.949763382555711605e-02,0.000000000000000000e+00,3.978872468236423210e-03
2.333333333333333370e-01,1.503693769864342928e+09,-1.012871473306615946e-03,1.949763382555711605e-02,0.000000000000000000e+00,4.303833031995708130e-03
2.500000000000000000e-01,1.503693769881172895e+09,-1.187813070554959898e-03,1.799781583897579890e-02,0.000000000000000000e+00,4.603796629311971735e-03
2.666666666666666630e-01,1.503693769897543907e+09,-1.378392121651593732e-03,2.099745181213843320e-02,0.000000000000000000e+00,4.953754159514278839e-03
2.833333333333333259e-01,1.503693769915129900e+09,-1.584347052032635634e-03,1.799781583897579890e-02,0.000000000000000000e+00,5.253717756830542443e-03
2.999999999999999889e-01,1.503693769930756092e+09,-1.805286768124088554e-03,1.799781583897579890e-02,0.000000000000000000e+00,5.553681354146806047e-03
