# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.503693821424316883e+09,-0.000000000000000000e+00,-2.999635973162633439e-03,-0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.503693821424863100e+09,-1.798929827055640890e-06,-7.324218750000000000e-04,0.000000000000000000e+00,-1.220703124999999898e-05
3.333333333333333287e-02,1.503693821433826923e+09,-7.143096105243524524e-06,-2.999635973162633439e-03,-1.413869948528467420e-06,-6.222452863518604664e-05
5.000000000000000278e-02,1.503693821450030088e+09,-1.610466661814614789e-05,-5.999271946325266877e-03,-5.480904621995249357e-06,-1.623037428176404406e-04
6.666666666666666574e-02,1.503693821466325045e+09,-2.895384448307132715e-05,-2.999635973162633439e-03,-1.197178372019448439e-05,-2.124972054323542284e-04
8.333333333333332871e-02,1.503693821484342098e+09,-4.614755680175652706e-05,-4.499453959743949724e-03,-2.069039208931063465e-05,-2.878329446295752091e-04
1.000000000000000056e-01,1.503693821501261950e+09,-6.831024298560356336e-05,-1.499817986581316719e-03,-3.145911940556328203e-05,-3.133542297293565320e-04
1.166666666666666685e-01,1.503693821519310951e+09,-9.620762854014538220e-05,-4.499453959743949724e-03,-4.410249646159308714e-05,-3.890801706661155528e-04
1.333333333333333315e-01,1.503693821536803961e+09,-1.307146554978873428e-04,-1.499817986581316719e-03,-5.843004229691513073e-05,-4.150509711474194047e-04
1.499999999999999944e-01,1.503693821554349899e+09,-1.727789801094829173e-04,-5.999271946325266877e-03,-7.421922989269736943e-05,-5.162758240843854339e-04
1.666666666666666574e-01,1.503693821570977926e+09,-2.233816324214081377e-04,-1.499817986581316719e-03,-9.119947392158423295e-05,-5.427927817594338294e-04
1.833333333333333204e-01,1.503693821587785006e+09,-2.834965535923031810e-04,-4.499453959743949724e-03,-1.090380022054298579e-04,-6.196009811252568746e-04
2.000000000000000111e-01,1.503693821603425980e+09,-3.540507801474801052e-04,-4.499453959743949724e-03,-1.273283945496202273e-04,-6.967140203634830057e-04
2.166666666666666741e-01,1.503693821619883060e+09,-4.358870272687663831e-04,-1.499817986581316719e-03,-1.455824612706091144e-04,-7.241373611610150713e-04
2.333333333333333370e-01,1.503693821636233091e+09,-5.297303357130522588e-04,-2.999635973162633439e-03,-1.632259930194410863e-04,-7.768517272640496074e-04
2.500000000000000000e-01,1.503693821655267954e+09,-6.361602917354371124e-04,-2.999635973162633439e-03,-1.795987485318640664e-04,-8.298389726256245229e-04
2.666666666666666630e-01,1.503693821669945002e+09,-7.555901117132752349e-04,-4.499453959743949724e-03,-1.939588637388215840e-04,-9.080625196836707245e-04
2.833333333333333259e-01,1.503693821686332941e+09,-8.882536106725638213e-04,-4.499453959743949724e-03,-2.054916710143152943e-04,-9.864782801963084807e-04
2.999999999999999889e-01,1.503693821703990936e+09,-1.034200756394932025e-03,-2.999635973162633439e-03,-2.133227184913829547e-04,-1.040027591723875419e-03
3.166666666666666519e-01,1.503693821721951962e+09,-1.193302159824387266e-03,-1.499817986581316719e-03,-2.165345838736542565e-04,-1.068633467898125015e-03
